EG	GN	ECK	SP	WISC	CG	GI	JW	ASAP	EB	Type	Status	Len	Ori	LeftEnd	RightEnd	Cs	Syn	MN	Description	Comments	MW		EG	GN	ECK	SP	WISC	CG	GI	JW	ASAP	EB	Type	Status	Len	Ori	LeftEnd	RightEnd	Cs	Syn	MN	Description	Comments	MW	
EG10234	dmsC	ECK0887	P18777	b0896	CG31727	g1787123	JW0879	3048	EB0230	aa	OK	287	Clockwise	943256	944119	20.33	Null	DMSO reductase	DMSO reductase subunit C, periplasmic; has a membrane bound anchor	The glutamate residue (E87) is important for menaquinol binding. 	30826.22		EG10234	dmsC	ECK0887	P18777	b0896	CG31727	g1787123	JW0879	3048	EB0230	aa	OK	287	Clockwise	943256	944119	20.33	Null	DMSO reductase	DMSO reductase subunit C, periplasmic; has a membrane bound anchor	The glutamate residue (E87) is important for menaquinol binding. 	30826.22	
EG10282	fbaA	ECK2921	P0AB71	b2925	CG786	g1789293	JW2892	9600	EB0278	aa	OK; Verified[1]	359	Counterclockwise	3068187	3069266	66.13	ald;fba;fda	Fructose bis-P aldolase	Fructose-bisphosphate aldolase, class II; binds Zn(II); homdomeric	Binds TrxA (Kumar, 2004). kbaY, gatY, fbaA and ydjI are paralogs.	39147.26		EG10282	fbaA	ECK2921	P0AB71	b2925	CG786	g1789293	JW2892	9600	EB0278	aa	OK; Verified[1]	359	Counterclockwise	3068187	3069266	66.13	ald;fba;fda	Fructose bis-P aldolase	Fructose-bisphosphate aldolase, class II; binds Zn(II); homdomeric	Binds TrxA (Kumar, 2004). kbaY, gatY, fbaA and ydjI are paralogs.	39147.26	
EG10285	fdhF	ECK4072	P07658	b4079	CG18400	g3868721	JW4040	13363	EB0281	aa	EXCEP; Verified[0]	715	Counterclockwise	4295242	4297389	92.58	Null	Formate dehydrogenase	Formate dehydrogenase H, selenopeptide; molybdate dependence; part of FHL-1 and FHL-2 (formate hydrogenlyase) complexes	The UGA stop codon 140 is translated as selenocysteine in vivo and indicated as a "U" in the protein sequence.	79223.81		EG10285	fdhF	ECK4072	P07658	b4079	CG18400	g3868721	JW4040	13363	EB0281	aa	EXCEP; Verified[0]	715	Counterclockwise	4295242	4297389	92.58	Null	Formate dehydrogenase	Formate dehydrogenase H, selenopeptide; molybdate dependence; part of FHL-1 and FHL-2 (formate hydrogenlyase) complexes	The UGA stop codon 140 is translated as selenocysteine in vivo and indicated as a "U" in the protein sequence.	79223.81	
EG10301	fhlA	ECK2726	P19323	b2731	CG18370	g1789087	JW2701	8971	EB0297	aa	OK	692	Clockwise	2852360	2854438	61.48	fhl	Formate hydrogen-lyase	Formate hydrogen lyase system activator, global regulator	Null	78467.95		EG10301	fhlA	ECK2726	P19323	b2731	CG18370	g1789087	JW2701	8971	EB0297	aa	OK	692	Clockwise	2852360	2854438	61.48	fhl	Formate hydrogen-lyase	Formate hydrogen lyase system activator, global regulator	Null	78467.95	
EG10308	fimA	ECK4305	P04128	b4314	CG18358	g1790769	JW4277	14145	EB0304	aa	OK; Verified[23]	182	Clockwise	4541138	4541686	97.88	fimD;pilA	Fimbriae	Fimbrin type 1, major structural subunit; phase variation	One of 25 FimA homologs in EcoGene.	18111.20		EG10308	fimA	ECK4305	P04128	b4314	CG18358	g1790769	JW4277	14145	EB0304	aa	OK; Verified[23]	182	Clockwise	4541138	4541686	97.88	fimD;pilA	Fimbriae	Fimbrin type 1, major structural subunit; phase variation	One of 25 FimA homologs in EcoGene.	18111.20	
EG10309	fimB	ECK4303	P0ADH5	b4312	CG18355	g1790767	JW4275	14141	EB0305	aa	OK	200	Clockwise	4538980	4539582	97.83	Null	Fimbriae	Site-specific recombinase, fimA promoter inversion; mediates fimbriae phase switching, along with FimE	Insertion mutations in fimB and fimE are hyper-fimbriated and defective in swimming motility, but have normal swarming (Girgis, 2007).	22993.49		EG10309	fimB	ECK4303	P0ADH5	b4312	CG18355	g1790767	JW4275	14141	EB0305	aa	OK	200	Clockwise	4538980	4539582	97.83	Null	Fimbriae	Site-specific recombinase, fimA promoter inversion; mediates fimbriae phase switching, along with FimE	Insertion mutations in fimB and fimE are hyper-fimbriated and defective in swimming motility, but have normal swarming (Girgis, 2007).	22993.49	
EG10313	fimF	ECK4309	P08189	b4318	CG18343	g1790773	JW4281	14153	EB0309	aa	OK	176	Clockwise	4545765	4546295	97.98	Null	Fimbriae	Fimbrin type 1 minor component; fimbrial morphology, assembly	One of 25 FimA homologs in EcoGene. First 22 aa are predicted to be a type I signal peptide.	18715.33		EG10313	fimF	ECK4309	P08189	b4318	CG18343	g1790773	JW4281	14153	EB0309	aa	OK	176	Clockwise	4545765	4546295	97.98	Null	Fimbriae	Fimbrin type 1 minor component; fimbrial morphology, assembly	One of 25 FimA homologs in EcoGene. First 22 aa are predicted to be a type I signal peptide.	18715.33	
EG10320	flhD	ECK1893	P0A8S9	b1892	CG749	g1788202	JW1881	6303	EB0316	aa	ALT_INIT[-3]	116	Counterclockwise	1975871	1976221	42.59	flbB	Flagella	Transcriptional activator of flagellar class II operons; forms heterotetramer with FlhC; possible role in regulation of cell division; can function in vivo independently of FlhC, but does not bind DNA by itself; contains HTH motif	pgsA mutants are non-motile due to elevated RpoS levels that repress flhDC transcription; pgsA3 multicopy suppressers gadW, metE and nudL(yeaB) act by increasing RpoS levels (Uchiyama, 2010). CsrA regulon.	13316.40		EG10320	flhD	ECK1893	P0A8S9	b1892	CG749	g1788202	JW1881	6303	EB0316	aa	ALT_INIT[-3]	116	Counterclockwise	1975871	1976221	42.59	flbB	Flagella	Transcriptional activator of flagellar class II operons; forms heterotetramer with FlhC; possible role in regulation of cell division; can function in vivo independently of FlhC, but does not bind DNA by itself; contains HTH motif	pgsA mutants are non-motile due to elevated RpoS levels that repress flhDC transcription; pgsA3 multicopy suppressers gadW, metE and nudL(yeaB) act by increasing RpoS levels (Uchiyama, 2010). CsrA regulon.	13316.40	
EG10321	fliC	ECK1922	P04949	b1923	CG649	g1788232	JW1908	6402	EB0317	aa	OK; Verified[1]	498	Counterclockwise	2000134	2001630	43.11	flaF;H;hag	Flagella	Flagellin, structural gene, H-antigen	Flagellar regulon.	51294.99		EG10321	fliC	ECK1922	P04949	b1923	CG649	g1788232	JW1908	6402	EB0317	aa	OK; Verified[1]	498	Counterclockwise	2000134	2001630	43.11	flaF;H;hag	Flagella	Flagellin, structural gene, H-antigen	Flagellar regulon.	51294.99	
EG10348	fucA	ECK2795	P0AB87	b2800	CG17701	g1789164	JW2771	9179	EB0344	aa	OK	215	Counterclockwise	2931063	2931710	63.17	fucC;prd	Fucose	L-fuculose-1-phosphate aldolase	Null	23775.32		EG10348	fucA	ECK2795	P0AB87	b2800	CG17701	g1789164	JW2771	9179	EB0344	aa	OK	215	Counterclockwise	2931063	2931710	63.17	fucC;prd	Fucose	L-fuculose-1-phosphate aldolase	Null	23775.32	
EG10349	fucI	ECK2797	P69922	b2802	CG10878	g1789167	JW2773	9189	EB0345	aa	OK; Verified[0]	591	Clockwise	2933606	2935381	63.23	Null	Fucose	L-Fucose isomerase	Null	64976.67		EG10349	fucI	ECK2797	P69922	b2802	CG10878	g1789167	JW2773	9189	EB0345	aa	OK; Verified[0]	591	Clockwise	2933606	2935381	63.23	Null	Fucose	L-Fucose isomerase	Null	64976.67	
EG10351	fucO	ECK2794	P0A9S1	b2799	CG17698	g1789163	JW2770	9177	EB0347	aa	OK	383	Counterclockwise	2929887	2931038	63.15	Null	Fucose	L-1,2-Propanediol oxidoreductase	Null	40644.56		EG10351	fucO	ECK2794	P0A9S1	b2799	CG17698	g1789163	JW2770	9177	EB0347	aa	OK	383	Counterclockwise	2929887	2931038	63.15	Null	Fucose	L-1,2-Propanediol oxidoreductase	Null	40644.56	
EG10353	fucR	ECK2800	P0ACK8	b2805	CG10884	g1789170	JW2776	9195	EB0349	aa	OK	243	Clockwise	2937390	2938121	63.31	Null	Fucose	Positive regulatory protein for fuc regulon	Null	27362.17		EG10353	fucR	ECK2800	P0ACK8	b2805	CG10884	g1789170	JW2776	9195	EB0349	aa	OK	243	Clockwise	2937390	2938121	63.31	Null	Fucose	Positive regulatory protein for fuc regulon	Null	27362.17	
EG10356	fumA	ECK1607	P0AC33	b1612	CG18292	g1787897	JW1604	5392	EB0351	aa	OK; Verified[1]	548	Counterclockwise	1684755	1686401	36.31	Null	Fumarate	Fumarase A, aerobic; negatively regulated by ryhB RNA as part of indirect positive regulation by Fur	Null	60298.58		EG10356	fumA	ECK1607	P0AC33	b1612	CG18292	g1787897	JW1604	5392	EB0351	aa	OK; Verified[1]	548	Counterclockwise	1684755	1686401	36.31	Null	Fumarate	Fumarase A, aerobic; negatively regulated by ryhB RNA as part of indirect positive regulation by Fur	Null	60298.58	
EG10357	fumB	ECK4115	P14407	b4122	CG18289	g1790564	JW4083	13501	EB0352	aa	OK	548	Counterclockwise	4343703	4345349	93.62	Null	Fumarate	Fumarase B, anaerobic	FumB is required for anaerobic D-tartrate utilization and fumB mutants have reduced D-tartrate dehydratase activity (Kim, 2007).	60105.32		EG10357	fumB	ECK4115	P14407	b4122	CG18289	g1790564	JW4083	13501	EB0352	aa	OK	548	Counterclockwise	4343703	4345349	93.62	Null	Fumarate	Fumarase B, anaerobic	FumB is required for anaerobic D-tartrate utilization and fumB mutants have reduced D-tartrate dehydratase activity (Kim, 2007).	60105.32	
EG10366	galT	ECK0747	P09148	b0758	CG720	g1786973	JW0741	2573	EB0361	aa	OK; Verified[1]	348	Counterclockwise	789206	790252	17.01	galB	Galactose	Galactose-1-phosphate uridylyltransferase; Rob regulon, repressed	Null	39645.68		EG10366	galT	ECK0747	P09148	b0758	CG720	g1786973	JW0741	2573	EB0361	aa	OK; Verified[1]	348	Counterclockwise	789206	790252	17.01	galB	Galactose	Galactose-1-phosphate uridylyltransferase; Rob regulon, repressed	Null	39645.68	
EG10386	glnH	ECK0800	P0AEQ3	b0811	CG18271	g1787031	JW0796	2771	EB0381	aa	OK; Verified[22]	248	Counterclockwise	846481	847227	18.24	Null	Glutamine	Glutamine-binding protein, periplasmic	After four hours of Zn(II) stress, GlnH protein levels decreased; glnH mispelled as ginH (Easton, 2006).	27190.12		EG10386	glnH	ECK0800	P0AEQ3	b0811	CG18271	g1787031	JW0796	2771	EB0381	aa	OK; Verified[22]	248	Counterclockwise	846481	847227	18.24	Null	Glutamine	Glutamine-binding protein, periplasmic	After four hours of Zn(II) stress, GlnH protein levels decreased; glnH mispelled as ginH (Easton, 2006).	27190.12	
EG10391	glpA	ECK2233	P0A9C0	b2241	CG694	g1788574	JW2235	7422	EB0386	aa	OK; Verified[0]	542	Clockwise	2350669	2352297	50.66	Null	Glycerol phosphate	sn-Glycerol-3-phosphate dehydrogenase (anaerobic) A subunit	Null	58958.25		EG10391	glpA	ECK2233	P0A9C0	b2241	CG694	g1788574	JW2235	7422	EB0386	aa	OK; Verified[0]	542	Clockwise	2350669	2352297	50.66	Null	Glycerol phosphate	sn-Glycerol-3-phosphate dehydrogenase (anaerobic) A subunit	Null	58958.25	
EG10392	glpB	ECK2234	P13033	b2242	CG17692	g1788575	JW2236	7424	EB0387	aa	OK; Verified[0]	419	Clockwise	2352287	2353546	50.70	psi-51	Glycerol phosphate	sn-Glycerol-3-phosphate dehydrogenase (anaerobic) B subunit; membrane anchor	Null	45357.24		EG10392	glpB	ECK2234	P13033	b2242	CG17692	g1788575	JW2236	7424	EB0387	aa	OK; Verified[0]	419	Clockwise	2352287	2353546	50.70	psi-51	Glycerol phosphate	sn-Glycerol-3-phosphate dehydrogenase (anaerobic) B subunit; membrane anchor	Null	45357.24	
EG10393	glpC	ECK2235	P0A996	b2243	CG17695	g1788576	JW2237	7426	EB0388	aa	OK; Verified[0]	396	Clockwise	2353543	2354733	50.73	Null	Glycerol phosphate	sn-Glycerol-3-phosphate dehydrogenase (anaerobic) C subunit	glpC was also identified as increasing organic solvent tolerance. HT_Cmplx44_Mem: GlpC+KdgK+YahK.	44108.04		EG10393	glpC	ECK2235	P0A996	b2243	CG17695	g1788576	JW2237	7426	EB0388	aa	OK; Verified[0]	396	Clockwise	2353543	2354733	50.73	Null	Glycerol phosphate	sn-Glycerol-3-phosphate dehydrogenase (anaerobic) C subunit	glpC was also identified as increasing organic solvent tolerance. HT_Cmplx44_Mem: GlpC+KdgK+YahK.	44108.04	
EG10397	glpG	ECK3410	P09391	b3424	CG18262	g48994938	JW5687	11179	EB0392	aa	OK; Verified[0]	276	Counterclockwise	3558645	3559475	76.70	Null	Glycerol phosphate	Rhomboid intramembrane serine protease; complements the phenotypic defects of P. stuartii aarA; mutant is slightly cefotaxime resistant	Six transmembrane regions verified. Induced by glycerol.	31306.70		EG10397	glpG	ECK3410	P09391	b3424	CG18262	g48994938	JW5687	11179	EB0392	aa	OK; Verified[0]	276	Counterclockwise	3558645	3559475	76.70	Null	Glycerol phosphate	Rhomboid intramembrane serine protease; complements the phenotypic defects of P. stuartii aarA; mutant is slightly cefotaxime resistant	Six transmembrane regions verified. Induced by glycerol.	31306.70	
EG10399	glpQ	ECK2231	P09394	b2239	CG690	g1788572	JW2233	7399	EB0394	aa	OK; Verified[25]	358	Counterclockwise	2347957	2349033	50.61	Null	Glycerol phosphate	Glycerophosphodiester phosphodiesterase, periplasmic; tetrameric	Null	40843.35		EG10399	glpQ	ECK2231	P09394	b2239	CG690	g1788572	JW2233	7399	EB0394	aa	OK; Verified[25]	358	Counterclockwise	2347957	2349033	50.61	Null	Glycerol phosphate	Glycerophosphodiester phosphodiesterase, periplasmic; tetrameric	Null	40843.35	
EG10405	gltP	ECK4070	P21345	b4077	CG34330	g1790514	JW4038	13357	EB0400	aa	OK	437	Clockwise	4292504	4293817	92.52	Null	Glutamate	Proton-glutamate-aspartate transport protein	Null	47159.19		EG10405	gltP	ECK4070	P21345	b4077	CG34330	g1790514	JW4038	13357	EB0400	aa	OK	437	Clockwise	4292504	4293817	92.52	Null	Glutamate	Proton-glutamate-aspartate transport protein	Null	47159.19	
EG10411	gnd	ECK2024	P00350	b2029	CG669	g1788341	JW2011	6737	EB0406	aa	OK	468	Counterclockwise	2097886	2099292	45.22	Null	Gluconate-P dehydrogenase	6-phosphogluconate dehydrogenase, decarboxylating	Null	51481.31		EG10411	gnd	ECK2024	P00350	b2029	CG669	g1788341	JW2011	6737	EB0406	aa	OK	468	Counterclockwise	2097886	2099292	45.22	Null	Gluconate-P dehydrogenase	6-phosphogluconate dehydrogenase, decarboxylating	Null	51481.31	
EG10412	gor	ECK3485	P06715	b3500	CG665	g1789915	JW3467	11432	EB0407	aa	OK	450	Clockwise	3644322	3645674	78.55	gorA	GSH oxidoreductase	Glutathione reductase, NADP+, FAD-binding	Null	48772.51		EG10412	gor	ECK3485	P06715	b3500	CG665	g1789915	JW3467	11432	EB0407	aa	OK	450	Clockwise	3644322	3645674	78.55	gorA	GSH oxidoreductase	Glutathione reductase, NADP+, FAD-binding	Null	48772.51	
EG10422	guaC	ECK0104	P60560	b0104	CG655	g1786293	JW0101	362	EB0417	aa	OK; Verified[0]	347	Clockwise	113444	114487	2.45	Null	Guanine	GMP reductase	Null	37383.67		EG10422	guaC	ECK0104	P60560	b0104	CG655	g1786293	JW0101	362	EB0417	aa	OK; Verified[0]	347	Clockwise	113444	114487	2.45	Null	Guanine	GMP reductase	Null	37383.67	
EG10425	hdhA	ECK1614	P0AET8	b1619	CG32248	g1787905	JW1611	5419	EB0420	aa	OK; Verified[0]	255	Counterclockwise	1695297	1696064	36.54	hsd;hsdH	Hydroxysteroid dehydrogenase	7-alpha-Hydroxysteroid dehydrogenase	Null	26778.59		EG10425	hdhA	ECK1614	P0AET8	b1619	CG32248	g1787905	JW1611	5419	EB0420	aa	OK; Verified[0]	255	Counterclockwise	1695297	1696064	36.54	hsd;hsdH	Hydroxysteroid dehydrogenase	7-alpha-Hydroxysteroid dehydrogenase	Null	26778.59	
EG10426	helD	ECK0953	P15038	b0962	CG31769	g1787196	JW0945	3257	EB0421	aa	OK; Verified[0]	684	Clockwise	1023694	1025748	22.06	srjB	Helicase	ATP-dependent DNA Helicase IV	Overexpression causes filamentous biofilm formation.	77976.20		EG10426	helD	ECK0953	P15038	b0962	CG31769	g1787196	JW0945	3257	EB0421	aa	OK; Verified[0]	684	Clockwise	1023694	1025748	22.06	srjB	Helicase	ATP-dependent DNA Helicase IV	Overexpression causes filamentous biofilm formation.	77976.20	
EG10446	hisC	ECK2016	P06986	b2021	CG634	g1788332	JW2003	6717	EB0441	aa	OK	356	Clockwise	2090422	2091492	45.06	Null	Histidine	Histidinol-phosphate aminotransferase	12/219 HisC peptide masses from MS analysis confirm this start codon and indicate that the initial Met is removed; 1/219 peptide masses also indicate the Met is occasionally not clipped (Maillet, 2007).	39360.14		EG10446	hisC	ECK2016	P06986	b2021	CG634	g1788332	JW2003	6717	EB0441	aa	OK	356	Clockwise	2090422	2091492	45.06	Null	Histidine	Histidinol-phosphate aminotransferase	12/219 HisC peptide masses from MS analysis confirm this start codon and indicate that the initial Met is removed; 1/219 peptide masses also indicate the Met is occasionally not clipped (Maillet, 2007).	39360.14	
EG10449	hisG	ECK2014	P60757	b2019	CG630	g1788330	JW2001	6713	EB0444	aa	OK	299	Clockwise	2088216	2089115	45.01	Null	Histidine	ATP-phosphoribosyltransferase	Null	33366.72		EG10449	hisG	ECK2014	P60757	b2019	CG630	g1788330	JW2001	6713	EB0444	aa	OK	299	Clockwise	2088216	2089115	45.01	Null	Histidine	ATP-phosphoribosyltransferase	Null	33366.72	
EG10457	hns	ECK1232	P0ACF8	b1237	CG960	g1787489	JW1225	4152	EB0452	aa	OK; Verified[1]	137	Counterclockwise	1291732	1292145	27.84	B1;bglY;cur;drc;drdX;drs;fimG;H1;hnsA;irk;msyA;osmZ;pilG;topS;topX;verA;virR	Histone-like protein H-NS	DNA-binding global regulator H-NS; diverse mutant phenotypes affecting transcription, transposition, inversion, cryptic-gene expression; involved in chromosome organization; preferentially binds bent DNA; has N-terminal dimerization domain	HN-S forms heteromeric complexes with Hha and Cnu, which modulates HN-S function, expression and stability. Mutations affect chromosomal supercoiling. HT_Cmplx32_Mem: CspC+Hns+HupA.	15539.63		EG10457	hns	ECK1232	P0ACF8	b1237	CG960	g1787489	JW1225	4152	EB0452	aa	OK; Verified[1]	137	Counterclockwise	1291732	1292145	27.84	B1;bglY;cur;drc;drdX;drs;fimG;H1;hnsA;irk;msyA;osmZ;pilG;topS;topX;verA;virR	Histone-like protein H-NS	DNA-binding global regulator H-NS; diverse mutant phenotypes affecting transcription, transposition, inversion, cryptic-gene expression; involved in chromosome organization; preferentially binds bent DNA; has N-terminal dimerization domain	HN-S forms heteromeric complexes with Hha and Cnu, which modulates HN-S function, expression and stability. Mutations affect chromosomal supercoiling. HT_Cmplx32_Mem: CspC+Hns+HupA.	15539.63	
