Entry name (Uniprot)	Accession (UNIPROT)	Gene	Locus_Tag	Subcellular Location(this study)	Name of deletion Island (Posfai 2006)	Mobile Element	Mobile from paper	Pseudogene/Mobile Element Notes	Common Core	Deletion	Subcellular Location (UNIPROT)	Subcellular Location (EchoLOCATION)	1st Secr Sys	2nd Secr Sys	Uniprot Link	Total Length (aa)	Gene_Type	Left End	Right End	Strand	Comments/Annotation	Description (UNIPROT)
GATR_ECOLI	P36930	gatR	b4498	A		2	0	"pseudogene (Ecogene);Insertion Sequence"		del-MD37		Cytoplasmic			P36930	259	pseudogene	2167717	2169757	-		Galactitol utilization operon repressor
INSE5_ECOLI	P0CF70	insE-5	b2088	A	MD37	2	2	"Insertion Sequence;Transposase"		del-MD37	"Cell inner membrane; Multi-pass membrane protein. "	Membrane anchored			P0CF70	99	CDS	2168251	2168559	+	new id	Transposase insE for insertion sequence IS3E
INSF5_ECOLI	P0CF83	insF-5	b2089	A	MD37	2	2	"Insertion Sequence;Transposase;Rhs Element;Prophage Integrase"		del-MD37		-			P0CF83	288	CDS	2168556	2169422	+	new id	Transposase insF for insertion sequence IS3E
GATD_ECOLI	P0A9S3	gatD	b2091	B	MD37	0	2			del-MD37		Cytoplasmic	SEC		P0A9S3	346	CDS	2169857	2170897	-		Galactitol-1-phosphate 5-dehydrogenase (EC 1.1.1.251)
PTKC_ECOLI	P69831	gatC	b2092	B	MD37	0	2			del-MD37		Cytoplasmic	SEC		P69831	451	CDS	2170945	2172300	-		Galactitol permease IIC component (EIIC-Gat) (PTS system galactitol-specific EIIC component)
PTKB_ECOLI	P37188	gatB	b2093	F1	MD37	0	2			del-MD37		Integral Membrane Protein			P37188	94	CDS	2172304	2172588	-	Peripheral inner membrane cyto side but strong Signal Peptide prediction	Galactitol-specific phosphotransferase enzyme IIB component (EC 2.7.1.69) (EIIB-Gat) (PTS system galactitol-specific EIIB component)
PTKA_ECOLI	P69828	gatA	b2094	F1	MD37	0	2			del-MD37		Cytoplasmic			P69828	150	CDS	2172619	2173071	-	Galactitol-specific phosphotransferase enzyme IIA componentlocation: peripheral inner membrane protein facing the cytoplasm (potential) notes: refs: 	Galactitol-specific phosphotransferase enzyme IIA component (EC 2.7.1.-) (EIIA-Gat) (PTS system galactitol-specific EIIA component)
GATZ_ECOLI	P0C8J8	gatZ	b2095	A	MD37	0	2			del-MD37		Periplasmic			P0C8J8	420	CDS	2173081	2174343	-		D-tagatose-1,6-bisphosphate aldolase subunit gatZ
GATY_ECOLI	P0C8J6	gatY	b2096	A	MD37	0	2			del-MD37	"Cell membrane; Multi-pass membrane protein. "	Integral Membrane Protein			P0C8J6	284	CDS	2174372	2175226	-		D-tagatose-1,6-bisphosphate aldolase subunit gatY (TBPA) (TagBP aldolase) (EC 4.1.2.40) (D-tagatose-bisphosphate aldolase class II) (Tagatose-bisphosphate aldolase)
YEJO_ECOLI	P33924	yejO	b2190	H		2	0	"pseudogene (Uniprot);Insertion Sequence;Insertion Element "		del-MD23	"Membrane; Single-pass membrane protein. "	-	SEC	T5S	P33924	863	CDS	2284412	2286922	-	autotransporter	Putative uncharacterized outer membrane protein yejO
INSH8_ECOLI	P0CE55	insH-8	b2192	A	MD5	2	2	"Insertion Sequence;Transposase"		del-MD23		Cytoplasmic			P0CE55	338	CDS	2287087	2288103	-	new id	Transposase insH for insertion sequence element IS5K
INTS_ECOLI	P37326	intS	b2349	A	MD7	2	2	"Rhs Element;Prophage Integrase;Prophage Integrase (EcoGene)"		del-MD7		-			P37326	385	CDS	2464567	2465724	+		Putative prophage CPS-53 integrase
GTRA_ECOLI	P77682	yfdG	b2350	B	MD7	2	2	Prophage Integrase (EcoGene)		del-MD7		-	SEC		P77682	120	CDS	2465877	2466239	+		Bactoprenol-linked glucose translocase homolog from prophage CPS-53
GTRB_ECOLI	P77293	yfdH	b2351	B	MD7	2	2	Prophage Integrase (EcoGene)		del-MD7	"Cell outer membrane; Lipid-anchor. "	-	SEC		P77293	306	CDS	2466236	2467156	+		Bactoprenol glucosyl transferase homolog from prophage CPS-53 (EC 2.4.1.-)
YFDI_ECOLI	P76507	yfdI	b2352	B	MD7	2	2	Prophage Integrase (EcoGene)		del-MD7		-	SEC		P76507	443	CDS	2467153	2468484	+		Uncharacterized protein yfdI
TFAS_ECOLI	P77326	tfaS	b2353	A		2	0	pseudogene (Uniprot)		del-MD7		Periplasmic			P77326	114	pseudogene	2468825	2469127	+		Putative tail fiber assembly protein homolog from prophage CPS-53
YFDK_ECOLI	P77656	yfdK	b2354	A	MD7	2	2	Prophage Integrase (EcoGene)		del-MD7	"Cell inner membrane; Multi-pass membrane protein. "	-			P77656	146	CDS	2469099	2469539	-		Uncharacterized protein yfdK
YFDL_ECOLI	P76508	yfdL	b2355	A		2	0	pseudogene (Uniprot)		del-MD7		Cytoplasmic			P76508	172	CDS	2469566	2470084	-		Putative uncharacterized protein yfdL
YFDM_ECOLI	P76509	yfdM	b2356	A		2	0	pseudogene (Uniprot)		del-MD7		Cytoplasmic			P76509	91	CDS	2470134	2470409	-		Putative uncharacterized protein yfdM
YFDN_ECOLI	P76510	yfdN	b2357	A	MD7	2	2	Prophage Integrase (EcoGene)		del-MD7		Cytoplasmic			P76510	164	CDS	2470409	2470903	-		Uncharacterized protein yfdN
YFDO_ECOLI	P0AD35	yfdO	b2358	A		2	0	pseudogene (Uniprot) 		del-MD7		Cytoplasmic			P0AD35	122	CDS	2470900	2471268	-		Putative uncharacterized protein yfdO
YFDP_ECOLI	P76512	yfdP	b2359	A	MD7	2	2	Prophage Integrase (EcoGene)		del-MD7		-			P76512	120	CDS	2471542	2471988	+		Uncharacterized protein yfdP
YFDQ_ECOLI	P76513	yfdQ	b2360	A	MD7	2	2	Prophage Integrase (EcoGene)		del-MD7		-			P76513	274	CDS	2472054	2472878	+		Uncharacterized protein yfdQ
YFDR_ECOLI	P76514	yfdR	b2361	A	MD7	2	2	Prophage Integrase (EcoGene)		del-MD7	"Membrane; Single-pass membrane protein. "	-			P76514	178	CDS	2473006	2473542	+		Uncharacterized protein yfdR
YFDS_ECOLI	P76515	yfdS	b2362	A	MD7	2	2	Prophage Integrase (EcoGene)		del-MD7	"Cell inner membrane; Multi-pass membrane protein. "	-			P76515	120	CDS	2473533	2473895	+		Uncharacterized protein yfdS
YFDT_ECOLI	P76516	yfdT	b2363	A	MD7	2	2	Prophage Integrase (EcoGene)		del-MD7	Periplasm. 	-			P76516	101	CDS	2473895	2474200	+		Uncharacterized protein yfdT
YPDJ_ECOLI	Q2EET0	ypdJ	b4545	A		2	0	pseudogene (Uniprot)		del-MD7		Cytoplasmic			Q2EET0	46	CDS	2474116	2474256	+		Putative uncharacterized protein ypdJ
YFEO_ECOLI	P67729	yfeO	b2389	B		0	0			del-MD15		Cytoplasmic	SEC		P67729	418	CDS	2507652	2508908	+		Putative ion-transport protein yfeO
YPEC_ECOLI	P64542	ypeC	b2390	G	MD15	0	2			del-MD15		Cytoplasmic	SEC		P64542	108	CDS	2509023	2509349	+		Uncharacterized protein ypeC
MNTH_ECOLI	P0A769	mntH	b2392	B	MD15	0	2		Common Core	del-MD15	"Cell inner membrane; Multi-pass membrane protein. "	Integral Membrane Protein	SEC		P0A769	412	CDS	2509490	2510728	-		Manganese transport protein mntH
NUPC_ECOLI	P0AFF2	nupC	b2393	B	MD15	0	2		Common Core	del-MD15	"Cell inner membrane; Peripheral membrane protein. "	Cytoplasmic	SEC		P0AFF2	400	CDS	2511064	2512266	+		Nucleoside permease nupC (Nucleoside-transport system protein nupC)
INSL3_ECOLI	P0CF93	insL-3	b2394	A	MD15	2	2	"Insertion Sequence;Transposase"		del-MD15	"Membrane; Peripheral membrane protein. "	Integral Membrane Protein			P0CF93	370	CDS	2512353	2513465	+	(INSL3_ECOLI)	Putative transposase InsL for insertion sequence element IS186C
YFEA_ECOLI	P23842	yfeA	b2395	B	MD15	0	2			del-MD15		Membrane anchored	SEC		P23842	729	CDS	2513665	2515854	-		Uncharacterized protein YfeA
INTZ_ECOLI	P76542	intZ	b2442	A	MD3	2	2	"Rhs Element;Prophage Integrase;Prophage Integrase (EcoGene)"		del-MD3		-			P76542	402	CDS	2556793	2558088	+		Putative prophage CPZ-55 integrase
YFFL_ECOLI	P76543	yffL	b2443	A	MD3	2	2	Prophage Integrase (EcoGene)		del-MD3	Cytoplasm. 	-			P76543	213	CDS	2558279	2558920	+		Uncharacterized protein yffL
YFFM_ECOLI	P76544	yffM	b2444	A	MD3	2	2	Prophage Integrase (EcoGene)		del-MD3		-			P76544	81	CDS	2559390	2559635	+		Uncharacterized protein yffM
YFFN_ECOLI	P76545	yffN	b2445	A	MD3	2	2	Prophage Integrase (EcoGene)		del-MD3	Cell outer membrane. 	-			P76545	122	CDS	2559632	2560015	+		Uncharacterized protein yffN
YFFO_ECOLI	P76546	yffO	b2446	A	MD3	2	2	Prophage Integrase (EcoGene)		del-MD3		-			P76546	138	CDS	2560133	2560549	+		Uncharacterized protein yffO
YFFP_ECOLI	P76547	yffP	b2447	A	MD3	2	2	Prophage Integrase (EcoGene)		del-MD3	"Cell inner membrane; Multi-pass membrane protein. "	-			P76547	197	CDS	2560546	2561139	+		Uncharacterized protein yffP
YFFQ_ECOLI	P76548	yffQ	b2448	G	MD3	2	2	Prophage Integrase (EcoGene)		del-MD3		-	SEC		P76548	125	CDS	2561599	2561991	+		Uncharacterized protein yffQ
YFFR_ECOLI	P76549	yffR	b2449	A	MD3	2	2	Prophage Integrase (EcoGene)		del-MD3		-			P76549	130	CDS	2562002	2562394	+		Uncharacterized protein yffR
YFFS_ECOLI	P76550	yffS	b2450	A	MD3	2	2	Prophage Integrase (EcoGene)		del-MD3	"Cell outer membrane; Lipid-anchor; Periplasmic side. "	-			P76550	269	CDS	2562515	2563354	+		Uncharacterized protein yffS
INTA_ECOLI	P32053	intA	b2622	B	MD4	2	2	"Rhs Element;Prophage Integrase;Prophage Integrase (EcoGene)"		del-MD4		-	SEC		P32053	413	CDS	2754181	2755422	+		Prophage CP4-57 integrase
YFJH_ECOLI	P52123	yfjH	b2623	A	MD4	2	2	Prophage Integrase (EcoGene)		del-MD4	"Cell membrane; Lipid-anchor. "	Cytoplasmic			P52123	318	CDS	2755666	2756622	-		Uncharacterized protein yfjH
ALPA_ECOLI	P33997	alpA	b2624	A	MD4	2	2	Prophage Integrase (EcoGene)		del-MD4		-			P33997	70	CDS	2756666	2756878	+		Prophage CP4-57 regulatory protein AlpA
YFJI_ECOLI	P52124	yfjI	b2625	A	MD4	2	2	Prophage Integrase (EcoGene)		del-MD4	"Cell membrane; Multi-pass membrane protein. "	Cytoplasmic			P52124	469	CDS	2757007	2758416	+		Uncharacterized protein yfjI
YFJJ_ECOLI	P52125	yfjJ	b2626	A	MD4	2	2	Prophage Integrase (EcoGene)		del-MD4		Cytoplasmic			P52125	208	CDS	2758569	2759195	+		Uncharacterized protein yfjJ
YFJK_ECOLI	P52126	yfjK	b2627	A	MD4	2	2	Prophage Integrase (EcoGene)		del-MD4		-			P52126	729	CDS	2759373	2761562	-		Uncharacterized protein yfjK
YFJL_ECOLI	P52127	yfjL	b2628	A	MD4	2	2	Prophage Integrase (EcoGene)		del-MD4	"Cell inner membrane; Single-pass membrane protein. "	-			P52127	538	CDS	2761559	2763175	-		Uncharacterized protein yfjL
YFJM_ECOLI	P52128	yfjM	b2629	A	MD4	2	2	Prophage Integrase (EcoGene)		del-MD4		Cytoplasmic			P52128	87	CDS	2763535	2763798	-		Uncharacterized protein yfjM
YFJN_ECOLI	P52129	yfjN	b2630	A	MD4	2	2	Prophage Integrase (EcoGene)		del-MD4		Cytoplasmic			P52129	357	CDS	2763940	2765013	+		Uncharacterized protein yfjN
YFJO_ECOLI	P52130	yfjO	b2631	A	MD4	2	2	Prophage Integrase (EcoGene)		del-MD4		-			P52130	123	CDS	2765006	2765377	+		Uncharacterized protein yfjO
YFJP_ECOLI	P52131	yfjP	b2632	F1	MD4	2	2	Prophage Integrase (EcoGene)		del-MD4		Cytoplasmic			P52131	287	CDS	2765732	2766595	+	(YFJP_ECOLI)-http://nar.oxfordjournals.org/cgi/content/full/35/6/e37	Uncharacterized protein yfjP
YFJQ_ECOLI	P52132	yfjQ	b2633	A	MD4	2	2	Prophage Integrase (EcoGene)		del-MD4	Cytoplasm. 	Cytoplasmic			P52132	273	CDS	2766687	2767508	+		UPF0380 protein yfjQ
YFJR_ECOLI	P52133	yfjR	b2634	A	MD4	2	2	Prophage Integrase (EcoGene)		del-MD4		-			P52133	233	CDS	2767725	2768426	+		Uncharacterized HTH-type transcriptional regulator yfjR
YPJK_ECOLI	P52134	ypjK	b2635	B	MD4	2	2	Prophage Integrase (EcoGene)		del-MD4		-	SEC		P52134	78	CDS	2768467	2768703	+		Uncharacterized protein ypjK
YFJS_ECOLI	O52982	yfjS	b2636	E	MD4	2	2	Prophage Integrase (EcoGene)		del-MD4		Periplasmic	SEC	LOL	O52982	147	CDS	2768703	2769146	+		Uncharacterized lipoprotein yfjS
YFJT_ECOLI	P52135	yfjT	b2637	G	MD4	2	2	Prophage Integrase (EcoGene)		del-MD4		Membrane anchored	SEC		P52135	155	CDS	2769170	2769637	+		Uncharacterized protein yfjT
YFJU_ECOLI	P0CF86	yfjU	b2638	A		2	0	pseudogene (Uniprot) 		del-MD4		-			P0CF86	51	CDS	2769862	2770176	-	new id	Putative arsenate reductase-like protein
YFJV_ECOLI	P52137	ypjL	b2639	B		2	0	pseudogene (Uniprot) 		del-MD4		Cytoplasmic	SEC		P52137	338	CDS	2770189	2770707	-		Putative arsenical pump membrane protein (Fragment)
YFJV_ECOLI	P52137	yfjV	b2640	B		2	0	pseudogene (Uniprot) 		del-MD4		Cytoplasmic	SEC		P52137	338	CDS	2770858	2771058	-		Putative arsenical pump membrane protein (Fragment)
YFJV_ECOLI	P52137	ypjM	b2641	B		2	0	pseudogene (Uniprot) 		del-MD4		Cytoplasmic	SEC		P52137	338	pseudogene	2770998	2771180	-		Putative arsenical pump membrane protein (Fragment)
YFJW_ECOLI	P52138	yfjW	b2642	B	MD4	2	2	Prophage Integrase (EcoGene)		del-MD4		Cytoplasmic	SEC		P52138	567	CDS	2771340	2773043	+		Uncharacterized protein yfjW
YFJX_ECOLI	P52139	yfjX	b2643	A	MD4	2	2	Prophage Integrase (EcoGene)		del-MD4		Cytoplasmic			P52139	152	CDS	2773941	2774399	+		Uncharacterized protein yfjX
YFJY_ECOLI	P52140	yfjY	b2644	A	MD4	2	2	Prophage Integrase (EcoGene)		del-MD4	"Cell inner membrane; Multi-pass membrane protein. "	Integral Membrane Protein			P52140	160	CDS	2774408	2774890	+		UPF0758 protein yfjY
YPJJ_ECOLI	P58033	ypjJ	b4548	A	MD4	2	2	Prophage Integrase (EcoGene)		del-MD4	"Cell membrane; Multi-pass membrane protein. "	-			P58033	66	CDS	2774899	2775099	+		Uncharacterized protein ypjJ
YFJZ_ECOLI	P52141	yfjZ	b2645	A	MD4	2	2	Prophage Integrase (EcoGene)		del-MD4		-			P52141	105	CDS	2775137	2775454	+		Uncharacterized protein yfjZ
YPJF_ECOLI	Q46953	ypjF	b2646	A	MD4	2	2	Prophage Integrase (EcoGene)		del-MD4	"Cell inner membrane; Multi-pass membrane protein. "	-			Q46953	109	CDS	2775475	2775804	+		Uncharacterized protein ypjF
YPJA_ECOLI	P52143	ypjA	b2647	H	MD4	0	2			del-MD4		Cytoplasmic	SEC	T5S	P52143	1526	CDS	2776168	2780748	-	autotransporter	Uncharacterized outer membrane usher protein yhcD
PINH_ECOLI	P76611	pinH	b2648	A		2	0	pseudogene (Uniprot)		del-MD4		Cytoplasmic			P76611	79	pseudogene	2781087	2781230	-		Putative DNA-invertase from prophage CP4-44 (Fragment)
YPJB_ECOLI	P76612	ypjB	b2649	A		2	0	pseudogene (Ohman 2006)		del-MD4		Cytoplasmic			P76612	263	CDS	2781660	2782451	-		Uncharacterized protein ypjB
YPJC_ECOLI	P76613	ypjC	b2650	A		0	0			del-MD4		-			P76613	160	CDS	2782551	2783033	-		Uncharacterized protein ygeI
YGAQ_ECOLI	P76616	ygaQ	b2654	A		2	0	pseudogene (Uniprot)		del-MD4		Cytoplasmic			P76616	750	CDS	2784419	2784751	+		Putative uncharacterized protein ygaQ
YGAQ_ECOLI	P76616	ygaR	b4462	A		2	0	pseudogene (Uniprot)		del-MD4		Cytoplasmic			P76616	750	CDS	2784770	2785456	+		Putative uncharacterized protein ygaQ
YGAQ_ECOLI	P76616	yqaC	b2657	A		2	0	pseudogene (Uniprot)		del-MD4		Cytoplasmic			P76616	750	pseudogene	2785664	2786260	+		Putative uncharacterized protein ygaQ
YGAQ_ECOLI	P76616	yqaD	b2658	A		2	0	pseudogene (Uniprot)		del-MD4		Cytoplasmic			P76616	750	CDS	2786399	2786671	+		Putative uncharacterized protein ygaQ
CSID_ECOLI	P76621	ygaT	b2659	A	MD4	0	2			del-MD4		Periplasmic			P76621	325	CDS	2787007	2787984	+		Protein csiD
YGAF_ECOLI	P37339	ygaF	b2660	B		0	0		Common Core	del-MD4		Cytoplasmic	SEC		P37339	422	CDS	2788004	2789272	+		Uncharacterized protein ygaF
YGEK_ECOLI	Q46791	ygeL	b2856	A		2	0	pseudogene (Uniprot) 		del-MD18		Cytoplasmic			Q46791	210	CDS	2992959	2993114	-		Putative uncharacterized response regulatory protein ygeK
YGEN_ECOLI	Q46793	ygeM	b2857	A		2	0	pseudogene (Uniprot)		del-MD18		Cytoplasmic			Q46793	235	CDS	2993336	2993767	-		Putative uncharacterized protein ygeN
YGEN_ECOLI	Q46793	ygeN	b2858	A		2	0	pseudogene (Uniprot)		del-MD18		Cytoplasmic			Q46793	235	pseudogene	2993770	2994042	-		Putative uncharacterized protein ygeN
YGEO_ECOLI	Q46795	ygeO	b2859	A		2	0	pseudogene (Uniprot)		del-MD18		Cytoplasmic			Q46795	132	CDS	2993984	2994409	-		Putative uncharacterized protein ygeO (Fragment)
INSD4_ECOLI	P0CF56	insD-4	b2860	A	MD2	2	2	"Insertion Sequence;Insertion Element ;Transposase;Rhs Element;Prophage Integrase"		del-MD18		-			P0CF56	301	CDS	2994394	2995299	-	new id	Transposase insD for insertion element IS2H
INSC4_ECOLI	P0CF43	insC-4	b2861	A	MD2	2	2	"Insertion Sequence;Insertion Element ;Transposase"		del-MD18	"Cell inner membrane; Single-pass type II membrane protein. "	Membrane anchored			P0CF43	121	CDS	2995257	2995667	-	new id	Transposase insC for insertion element IS2H
YGEP_ECOLI	Q46796	ygeP	b2862	A		0	0			del-MD18		Cytoplasmic			Q46796	99	CDS	2995711	2996010	-		Uncharacterized protein ybhH
YGEQ_ECOLI	Q46797	ygeQ	b2863	G		2	0	pseudogene (Uniprot)		del-MD18		Cytoplasmic	SEC		Q46797	278	CDS	2996056	2996850	-		Putative uncharacterized protein ygeQ
END1_ECOLI	P25736	endA	b2945	G	MD42	0	2			del-MD42		Cytoplasmic	SEC		P25736	235	CDS	3088369	3089076	+		Endonuclease-1 (EC 3.1.21.1) (Endonuclease I) (Endo I)
YGHD_ECOLI	Q46832	yghD	b2968	B		0	0			del-MD10	Fimbrium. 	Periplasmic	SEC		Q46832	178	CDS	3108612	3109148	-		Putative general secretion pathway protein M-type yghD
YGHE_ECOLI	Q46833	yghE	b2969	B		2	0	pseudogene (Uniprot) 		del-MD10		Cytoplasmic	SEC		Q46833	286	pseudogene	3109150	3110010	-		Putative general secretion pathway protein L-type yghE
YGHF_ECOLI	Q46834	yghF	b2970	G		0	0			del-MD10	Cytoplasm. 	Cytoplasmic	SEC		Q46834	288	CDS	3110076	3110942	-	Belongs to the GSP C family. / potential periplasm	Putative general secretion pathway protein C-type yghF
YGHG_ECOLI	Q46835	yghG	b2971	I	MD10	0	2			del-MD10		Membrane Lipoprotein	SEC	LOL	Q46835	136	CDS	3111089	3111499	-		Uncharacterized lipoprotein yghG
PPPA_ECOLI	Q46836	pppA	b2972	B	MD10	0	2			del-MD10		Cytoplasmic	SEC		Q46836	269	CDS	3111565	3112374	-		Leader peptidase pppA
ACFD_ECOLI	Q46837	yghJ	b4466	E	MD10	0	2			del-MD10	Periplasm. 	-	SEC	LOL	Q46837	1520	CDS	3112572	3117134	-		Putative lipoprotein AcfD homolog
GLCA_ECOLI	Q46839	glcA	b2975	B	MD10	0	2			del-MD10	"Cell membrane; Multi-pass membrane protein. "	Integral Membrane Protein	SEC		Q46839	560	CDS	3117619	3119301	-		Glycolate permease glcA
MASZ_ECOLI	P37330	glcB	b2976	A	MD10	0	2			del-MD10		Cytoplasmic			P37330	723	CDS	3119656	3121827	-		Malate synthase G (MSG) (EC 2.3.3.9)
GLCG_ECOLI	P0AEQ1	glcG	b2977	A	MD10	0	2			del-MD10		Periplasmic			P0AEQ1	134	CDS	3121849	3122253	-		Protein glcG
GLCF_ECOLI	P52074	glcF	b4467	A	MD10	0	2			del-MD10	"Membrane; Single-pass membrane protein. "	-			P52074	407	CDS	3122258	3123481	-		Glycolate oxidase iron-sulfur subunit
GLCE_ECOLI	P52073	glcE	b4468	A	MD10	0	2			del-MD10	Fimbrium. 	Periplasmic			P52073	350	CDS	3123492	3124544	-		Glycolate oxidase subunit glcE
GLCD_ECOLI	P0AEP9	glcD	b2979	A	MD10	0	2			del-MD10		Cytoplasmic			P0AEP9	499	CDS	3124544	3126043	-		Glycolate oxidase subunit glcD
GLCC_ECOLI	P0ACL5	glcC	b2980	A	MD10	0	2			del-MD10	Cytoplasm. 	-			P0ACL5	254	CDS	3126294	3127058	+		Glc operon transcriptional activator
YGHO_ECOLI	Q46840	yghO	b2981	A		2	0	pseudogene (Uniprot) 		del-MD10		Cytoplasmic			Q46840	366	CDS	3127065	3128237	-		Putative uncharacterized protein yghO (Fragment)
INSH9_ECOLI	P0CE56	insH-9	b2982	A	MD22	2	2	"Insertion Sequence;Transposase"		del-MD10		-			P0CE56	338	CDS	3128200	3129216	+	new id	Transposase insH for insertion sequence element IS5LO
YGHQ_ECOLI	Q46841	yghQ	b2983	B	MD10	0	2			del-MD10		Cytoplasmic	SEC		Q46841	355	CDS	3129363	3130430	-		Inner membrane protein yghQ
YGHR_ECOLI	P64572	yghR	b2984	B	MD10	0	2			del-MD10	"Membrane; Single-pass membrane protein. "	Outer membrane Lipoprotein >EXP<	SEC		P64572	252	CDS	3130476	3131234	-		Uncharacterized ATP-binding protein yghR
YGHS_ECOLI	Q46843	yghS	b2985	B	MD10	0	2			del-MD10		Cytoplasmic	SEC		Q46843	237	CDS	3131266	3131979	-		Uncharacterized ATP-binding protein yghS
YGHT_ECOLI	Q46844	yghT	b2986	B	MD10	0	2			del-MD10	Periplasm. 	Periplasmic >EXP<	SEC		Q46844	230	CDS	3132153	3132845	+		Uncharacterized ATP-binding protein yghT
PITB_ECOLI	P43676	pitB	b2987	B	MD10	0	2			del-MD10	"Cell membrane; Multi-pass membrane protein. "	Integral Membrane Protein	SEC		P43676	499	CDS	3132894	3134393	-		Probable low-affinity inorganic phosphate transporter 2
YQIC_ECOLI	Q46868	yqiC	b3042	A	MD19	0	2			del-MD19		Cytoplasmic			Q46868	96	CDS	3182862	3183152	+		Uncharacterized protein yqiC
YGIL_ECOLI	P39834	ygiL	b3043	G	MD19	0	2			del-MD19	"Cell inner membrane; Multi-pass membrane protein. "	Integral Membrane Protein	SEC	CU	P39834	183	CDS	3183436	3183987	+	"notes: secretion 1: Sec secretion 2: CU (for Chaperone-Usher) ref: (http://www.ncbi.nlm.nih.gov/pubmed/19820722) ""Structural biology of the chaperone-usher pathway of pilus biogenesis."", (http://www.ncbi.nlm.nih.gov/pubmed/20345943) ""Escherichia coli K-12"	Uncharacterized fimbrial-like protein ygiL
INSC5_ECOLI	P0CF44	insC-5	b3044	A		2	0	"Insertion Sequence;Insertion Element ;Transposase"		del-MD19	"Cell membrane; Single-pass membrane protein. "	Periplasmic			P0CF44	121	CDS	3184164	3184574	+	new id	Transposase insC for insertion element IS2I
INSD5_ECOLI	P0CF57	insD-5	b3045	A		2	0	"Insertion Sequence;Insertion Element ;Transposase;Rhs Element;Prophage Integrase"		del-MD19		Cytoplasmic			P0CF57	301	CDS	3184532	3185437	+	new id	Transposase insD for insertion element IS2I
YQIG_ECOLI	P76655	yqiG	b3046	H		0	0			del-MD19		Cytoplasmic	SEC	BAM	P76655	821	CDS	3185422	3187887	+		Putative outer membrane usher protein yqiG
YQIH_ECOLI	P77616	yqiH	b3047	H	MD19	0	2			del-MD19		Cytoplasmic	SEC	BAM	P77616	249	CDS	3187903	3188652	+		Uncharacterized fimbrial chaperone yqiH
YQII_ECOLI	P76656	yqiI	b3048	G	MD19	0	2			del-MD19	"Membrane; Single-pass membrane protein. "	-	SEC		P76656	354	CDS	3188654	3189718	+		Uncharacterized protein yqiI
YHCA_ECOLI	P28722	yhcA	b3215	G		0	0			del-MD24	"Membrane; Single-pass membrane protein. "	-	SEC		P28722	224	CDS	3360134	3360808	+		Uncharacterized protein yqeJ
YHCD_ECOLI	P45420	yhcD	b3216	H	MD24	0	2			del-MD24		Cytoplasmic	SEC	BAM	P45420	793	CDS	3360829	3363210	+		Uncharacterized outer membrane usher protein yehB
YHCE_ECOLI	P45421	yhcE	b4569	G		2	0	pseudogene (Uniprot) 		del-MD24		Cytoplasmic	SEC		P45421	181	pseudogene	3363207	3364951	+		Putative uncharacterized protein yhcE
INH10_ECOLI	P0CE57	insH-10	b3218	A		2	0	"Insertion Sequence;Transposase"		del-MD24		Cytoplasmic			P0CE57	338	CDS	3363724	3364740	-	new id	Transposase insH for insertion sequence element IS5R
YHCF_ECOLI	P45422	yhcF	b3219	G	MD24	0	2			del-MD24		-	SEC		P45422	238	CDS	3364948	3365664	+		Uncharacterized protein yehD
GSPA_ECOLI	P45756	gspA	b3323	B	MD6	0	2			del-MD6		Cytoplasmic	SEC		P45756	489	CDS	3451951	3453420	-		Probable general secretion pathway protein A
GSPC_ECOLI	P45757	gspC	b3324	B	MD6	0	2			del-MD6	"Cell inner membrane; Multi-pass membrane protein. "	Integral Membrane Protein	SEC		P45757	271	CDS	3453600	3454415	+		Probable general secretion pathway protein C
GSPD_ECOLI	P45758	gspD	b3325	G	MD6	0	2			del-MD6		Cytoplasmic	SEC	T2S	P45758	650	CDS	3454399	3456351	+		Probable general secretion pathway protein D
GSPE_ECOLI	P45759	gspE	b3326	F1	MD6	0	2			del-MD6		Cytoplasmic			P45759	493	CDS	3456361	3457842	+	location: peripheral inner membrane protein note: ATPase of the Type II secretion system (cryptic in K12) refs: (http://www.ncbi.nlm.nih.gov/pubmed/18175178), (http://www.ncbi.nlm.nih.gov/pubmed/17255937), (http://www.ncbi.nlm.nih.gov/pubmed/16525507)	Probable general secretion pathway protein E (Type II traffic warden ATPase)
GSPF_ECOLI	P41441	gspF	b3327	B	MD6	0	2			del-MD6		Cytoplasmic	SEC		P41441	398	CDS	3457839	3459035	+		Putative general secretion pathway protein F (Protein transport protein hofF)
GSPG_ECOLI	P41442	gspG	b3328	B	MD6	0	2			del-MD6		Cytoplasmic	SEC		P41442	145	CDS	3459045	3459482	+		Putative general secretion pathway protein G (Protein transport protein hofG)
GSPH_ECOLI	P41443	gspH	b3329	G	MD6	0	2			del-MD6		Cytoplasmic	SEC	T2S	P41443	169	CDS	3459490	3459999	+	Localization: Periplasm Notes: GspH is one of four low abundance pseudopillins together with GspI, J and K. These assemble together with the major pseudopillin GspG and may be involved in initiation, stabilization, regulation or capping of the periplasmic	Putative general secretion pathway protein H (Protein transport protein hofH)
GSPI_ECOLI	P45760	gspI	b3330	G	MD6	0	2			del-MD6	"Cell inner membrane; Multi-pass membrane protein. "	Integral Membrane Protein		T2S	P45760	125	CDS	3459996	3460373	+		Probable general secretion pathway protein I
