Accession	ECK	Gene	Protein name	emPAI	mRNA	Copy number	Sequence	Number of	Mascot	Number of	GRAVY	GO cellular component
JW5186	ECK1187	dhaL	dihydroxyacetone kinase, C-terminal domain	0,93	0,23	44,02	33,81	4	241	0	-0,106	0
JW2198	ECK2202	mqo	malate dehydrogenase, FAD/NAD(P)-binding domain	0,64	-	30,64	14,78	6	240	0	-0,255	0







JW1338	ECK1341	ydaO	predicted C32 tRNA thiolase	0,87	0,41	41,26	18,97	5	239	0	-0,455	0
JW2996	ECK3019	mdaB	NADPH quinone reductase	2,51	-	115,26	31,61	6	239	0	-0,356	0
JW0089	ECK0092	murC	UDP-N-acetylmuramate:L-alanine ligase	0,69	0,51	32,96	13,65	5	238	0	-0,161	GO:0009274 cell wall (sensu Bacteria)
JW0427	ECK0431	clpP	proteolytic subunit of ClpA-ClpP and ClpX-ClpP ATP-dependent serine proteases	18,31	003	791,36	36,23	6	237	0	-0,154	GO:0005737 cytoplasm
JW5808	ECK0142	pcnB	poly(A) polymerase I	0,39	001	18,96	13,98	5	237	0	-0,531	GO:0005737 cytoplasm
JW4160	ECK4198	rpsR	30S ribosomal subunit protein S18	55,23	6,38	2308,02	50,67	5	236	0	-0,775	GO:0009281 cytosolic ribosome (sensu Bacteria) -!- GO:0005737 cytoplasm
JW0660	ECK0662	asnB	asparagine synthetase B	0,41	0,42	020	16,43	6	236	0	-0,356	GO:0005737 cytoplasm
JW5538	ECK3211	nanK	predicted N-acetylmannosamine kinase	1,03	-	049	21,65	4	235	0	0,272	GO:0005737 cytoplasm
JW4193	ECK4229	yjgA	conserved protein	2,16	1,34	99,64	27,87	5	234	0	-0,905	0
JW0785	ECK0789	ybiB	predicted transferase/phosphorylase	1,07	1,99	50,43	24,38	6	234	0	-0,165	0
JW1054	ECK1052	yceH	conserved protein	1,15	1,18	54,08	27,44	4	233	0	-0,424	0
JW3819	ECK3835	ubiD	3-octaprenyl-4-hydroxybenzoate decarboxylase	0,71	2,35	33,88	21,93	6	233	0	-0,248	0
JW2926	ECK2954	yggL	predicted protein	4,18	4,52	188,99	42,59	4	232	0	-0,678	0
JW0403	ECK0407	ybaD	conserved protein	3,33	1,18	152	53,02	6	232	0	-0,395	0
JW2748	ECK2771	ygcF	conserved protein	2,16	0,11	99,64	22,42	5	232	0	0.000	0
JW2974	ECK2999	exbB	membrane spanning protein in TonB-ExbB-ExbD complex	1,37	0,14	64,08	16,39	3	232	3	0,265	GO:0009274 cell wall (sensu Bacteria) -!- GO:0019866 inner membrane
JW2878	ECK2905	zapA	protein that localizes to the cytokinetic ring	2,73	0,61	125,04	44,95	4	231	0	-0,733	0
JW5431	ECK2703	gutQ	predicted phosphosugar-binding protein	1,64	0,93	76,29	37,69	8	231	0	0,144	GO:0030113 capsule (sensu Bacteria)
JW0700	ECK0699	ybgI	conserved metal-binding protein	2,16	2,32	99,64	25,51	4	230	0	-0,125	0
JW3065	ECK3085	exuR	DNA-binding transcriptional repressor	1,24	0,58	58,18	19,77	6	230	0	-0,524	GO:0005737 cytoplasm
JW1611	ECK1614	hdhA	7alpha-hydroxysteroid dehydrogenase, NAD-dependent	1,61	1,04	74,94	23,53	5	229	0	0,139	GO:0005737 cytoplasm
JW3250	ECK3275	rsmB	16S rRNA m5C967 methyltransferase, S-adenosyl-L-methionine-dependent	0,82	-	38,96	15,15	5	229	0	-0,394	GO:0005737 cytoplasm
JW2077	ECK2086	gatB	galactitol-specific enzyme IIB component of PTS	099	36,48	4064,14	71,28	4	228	0	0,306	GO:0005737 cytoplasm
JW3899	ECK3920	yiiU	conserved protein	18,31	004	791,36	77,78	6	228	0	-0.001	0
JW3618	ECK3633	rph	ribonuclease PH (pseudogene)	1,61	0,62	74,94	39,04	5	228	0	-0,146	0
JW1796	ECK1805	yeaZ	predicted peptidase	1,15	0,29	54,08	25,11	3	228	0	-0,071	0
JW3386	ECK3409	glpR	DNA-binding transcriptional repressor	2,83	0,26	129,48	30,56	6	226	0	-0,213	GO:0005737 cytoplasm
JW0448	ECK0453	maa	maltose O-acetyltransferase	2,59	-	118,82	50,82	5	226	0	-0,056	GO:0005737 cytoplasm
JW0494	ECK0499	allR	DNA-binding transcriptional regulator	1,74	001	081	16,61	6	225	0	0,073	GO:0005737 cytoplasm
JW0008	ECK0009	mog	predicted molybdochelatase	1,51	001	70,42	24,62	4	225	0	-0,013	GO:0005737 cytoplasm
JW0080	ECK0083	mraW	S-adenosyl-dependent methyltransferase activity on membrane-located substrates	0,39	0,89	18,96	15,34	3	224	0	-0,397	0
JW3765	ECK3783	rffA	TDP-4-oxo-6-deoxy-D-glucose transaminase	0,78	0,35	37,12	15,16	5	223	0	-0,067	0
JW0638	ECK0636	ybeL	conserved protein	0,78	2,37	37,12	18,13	3	223	0	-0,604	0
JW5473	ECK2904	ygfB	predicted protein	009	2,93	398	32,81	4	222	0	-0,362	0
JW3577	ECK3592	yibL	conserved protein	3,22	0,92	146,75	54,17	5	221	0	-0,628	0
JW0636	ECK0634	rlpB	minor lipoprotein	2,16	0,96	99,64	30,05	6	221	0	-0,252	GO:0019866 inner membrane
JW0410	ECK0414	dxs	1-deoxyxylulose-5-phosphate synthase, thiamine-requiring, FAD-requiring	0,53	0,64	25,52	11,94	5	221	0	-0,081	0
JW2076	ECK2085	gatC	galactitol-specific enzyme IIC component of PTS	2,59	12,75	118,82	6,87	4	220	11	0,824	GO:0009274 cell wall (sensu Bacteria) -!- GO:0019866 inner membrane
JW3578	ECK3593	lldP	L-lactate permease	001	0,08	47,23	9,44	3	220	12	0.001	GO:0009274 cell wall (sensu Bacteria) -!- GO:0019866 inner membrane
JW5608	ECK3749	yieP	predicted transcriptional regulator	2,16	0,84	99,64	29,13	4	217	0	-0,079	0
JW5057	ECK0418	yajL	conserved protein	1,51	-	70,42	37,24	4	217	0	0,323	0
JW3273	ECK3298	rpsQ	30S ribosomal subunit protein S17	099	1,31	4064,14	70,24	6	216	0	-0,293	GO:0009281 cytosolic ribosome (sensu Bacteria) -!- GO:0005737 cytoplasm
JW5187	ECK1188	dhaK	dihydroxyacetone kinase, N-terminal domain	1,58	1,32	73,59	25,84	5	216	0	-0,113	0
JW4012	ECK4044	dnaB	replicative DNA helicase	0,47	2,54	22,71	11,46	5	216	0	-0,415	GO:0005737 cytoplasm
JW0988	ECK0994	yccJ	predicted protein	009	6,79	398	69,33	4	215	0	-0,649	0
JW2673	ECK2699	srlB	glucitol/sorbitol-specific enzyme IIA component of PTS	4,62	0,17	208,24	65,85	5	215	0	0,002	0
JW1639	ECK1643	ydhF	predicted oxidoreductase	1,37	0,64	64,08	31,21	5	215	0	0.000	0
JW2306	ECK2303	hisJ	histidine/lysine/arginine/ornithine transporter subunit -!- periplasmic-binding component of ABC superfamily	1,15	005	54,08	29,23	5	215	1	-0,299	GO:0042597 periplasmic space
JW3748	ECK3767	ppiC	peptidyl-prolyl cis-trans isomerase C (rotamase C)	12,89	0,63	563,11	70,97	7	214	0	-0,105	0
JW2716	ECK2741	ispF	2C-methyl-D-erythritol 2,4-cyclodiphosphate synthase	2,16	001	99,64	41,51	3	214	0	0,089	GO:0005737 cytoplasm
JW0397	ECK0401	yajC	SecYEG protein translocase auxillary subunit	30,62	1,51	1302,81	27,27	5	213	1	0,395	GO:0009274 cell wall (sensu Bacteria) -!- GO:0019866 inner membrane
JW3615	ECK3630	dut	deoxyuridinetriphosphatase	2,16	001	99,64	44,37	3	213	0	0,005	0
JW3242	ECK3268	aroE	dehydroshikimate reductase, NAD(P)-binding	1,03	0,34	049	20,96	4	213	0	0,088	0
JW0377	ECK0381	proC	pyrroline-5-carboxylate reductase, NAD(P)-binding	1,51	5,53	70,42	17,84	4	212	0	0,318	GO:0005737 cytoplasm
JW3395	ECK3418	glgB	1,4-alpha-glucan branching enzyme	0,44	0,53	21,31	10,85	6	212	0	-0,509	GO:0005737 cytoplasm
JW1037	ECK1035	mdoH	glucan biosynthesis: glycosyl transferase	001	0,57	28,78	15,58	8	210	6	-0,046	GO:0009274 cell wall (sensu Bacteria) -!- GO:0019866 inner membrane
JW0192	ECK0196	rcsF	predicted outer membrane protein, signal	4,62	0,67	208,24	54,48	4	209	0	0.000	GO:0030113 capsule (sensu Bacteria)
JW0744	ECK0750	modE	DNA-binding transcriptional dual regulator	1,51	0,53	70,42	24,43	4	209	0	-0,021	GO:0005737 cytoplasm
JW1109	ECK1109	potD	polyamine transporter subunit -!- periplasmic-binding component of ABC superfamily	1,15	1,89	54,08	18,97	5	209	0	-0,445	GO:0042597 periplasmic space
JW3582	ECK3597	cysE	serine acetyltransferase	0,93	1,07	44,02	17,95	4	209	0	0,002	GO:0005737 cytoplasm
JW3348	ECK3372	gph	phosphoglycolate phosphatase	1,51	1,63	70,42	31,35	4	208	0	-0,133	0
JW2784	ECK2809	mltA	membrane-bound lytic murein transglycosylase A	1,07	0,46	50,43	25,75	5	207	0	-0,409	GO:0009274 cell wall (sensu Bacteria) -!- GO:0009279 external outer membrane (sensu Gram-negative Bacteria)
JW3058	ECK3077	ygjR	predicted NAD(P)-binding dehydrogenase	1,28	0,79	060	19,76	5	206	0	0,046	0
JW1210	ECK1213	ychN	conserved protein	009	1,05	398	57,26	4	203	0	0.000	0
JW2340	ECK2337	yfcZ	conserved protein	1,51	0,58	70,42	27,66	2	203	0	-0,094	0
JW3315	ECK3340	yheS	fused predicted transporter subunits -!- ATP-binding components of ABC superfamily	0,55	0,17	26,45	12,87	7	203	0	-0,463	GO:0005737 cytoplasm
JW0663	ECK0665	nagA	N-acetylglucosamine-6-phosphate deacetylase	0,78	1,32	37,12	16,23	4	202	0	0.000	0
JW2880	ECK2909	serA	D-3-phosphoglycerate dehydrogenase	1,64	1,07	76,29	18,78	6	201	0	0,025	GO:0005737 cytoplasm
JW3728	ECK3743	rbsA	fused D-ribose transporter subunits -!- ATP-binding components ABC superfamily	0,28	000	13,75	12,97	4	200	0	-0,088	GO:0005737 cytoplasm
JW1080	ECK1080	acpP	acyl carrier protein (ACP)	999	20,31	38218,95	42,31	4	199	0	-0,346	0
JW3946	ECK3974	rplK	50S ribosomal subunit protein L11	11,59	6,82	507,96	43,66	7	199	0	-0,061	GO:0009281 cytosolic ribosome (sensu Bacteria) -!- GO:0005737 cytoplasm
JW2023	ECK2032	rfbC	dTDP-4-deoxyrhamnose-3,5-epimerase	001	1,05	33,42	020	3	199	0	-0,204	GO:0005737 cytoplasm -!- GO:0005737 cytoplasm
JW0090	ECK0093	ddlB	D-Alanine:D-alanine ligase	0,67	2,76	32,03	15,03	4	199	0	0,077	GO:0009274 cell wall (sensu Bacteria) -!- GO:0005737 cytoplasm
JW1896	ECK1907	yecA	conserved metal-binding protein	1,31	1,27	61,36	21,72	3	198	0	-0,392	0
JW1113	ECK1113	pepT	peptidase T	0,58	8,81	27,85	14,22	5	198	0	-0,215	0
JW1372	ECK1374	ydbK	fused predicted Fe-S subunit of pyruvate-flavodoxin oxidoreductase	0,25	1,28	12,32	9,54	6	198	0	-0,191	0
JW3037	ECK3055	rpsU	30S ribosomal subunit protein S21	2153,43	3,66	80476,72	43,66	6	197	0	-0.001	GO:0009281 cytosolic ribosome (sensu Bacteria) -!- GO:0005737 cytoplasm
JW3206	ECK3226	argR	DNA-binding transcriptional dual regulator, L-arginine-binding	13,68	1,05	596,53	064	6	197	0	-0,007	GO:0005737 cytoplasm
JW3786	ECK3808	uvrD	DNA-dependent ATPase I and helicase II	0,33	0,33	16,12	10,28	6	197	0	-0,458	GO:0005737 cytoplasm
JW0749	ECK0755	ybhA	predicted hydrolase	13,68	001	596,53	20,22	5	196	0	-0,126	0
JW3720	ECK3736	mioC	FMN-binding protein MioC	5,81	2,01	260,06	51,02	4	196	0	-0,159	0
JW2872	ECK2899	gcvH	glycine cleavage complex lipoylprotein	3161,28	006	116.766	32,56	4	195	0	-0,139	0
JW1915	ECK1929	yedF	conserved protein	14,85	2,73	645,93	90,91	4	194	0	-0,271	0
JW2915	ECK2943	yqgE	predicted protein	1,15	0,85	54,08	27,27	3	194	0	-0,072	0
JW2970	ECK2995	yghZ	aldo-keto reductase	0,73	0,89	34,81	27,17	5	194	0	-0,389	0
JW1595	ECK1598	pntA	pyridine nucleotide transhydrogenase, alpha subunit	0,58	0,96	27,85	010	4	194	5	0,273	GO:0009274 cell wall (sensu Bacteria) -!- GO:0019866 inner membrane
JW3830	ECK3850	yihD	conserved protein	009	1,13	398	64,04	4	193	0	-0,424	0
JW0518	ECK0522	folD	bifunctional 5,10-methylene-tetrahydrofolate dehydrogenase -!- 5,10-methylene-tetrahydrofolate cyclohydrolase	5,58	2,86	250,07	29,86	7	193	0	0,048	0
JW0741	ECK0747	galT	galactose-1-phosphate uridylyltransferase	0,47	0,57	22,71	9,48	3	193	0	-0,524	GO:0030113 capsule (sensu Bacteria) -!- GO:0005737 cytoplasm
JW3716	ECK3731	atpB	F0 sector of membrane-bound ATP synthase, subunit a	009	3,33	398	22,88	5	192	5	0,807	GO:0009274 cell wall (sensu Bacteria) -!- GO:0019866 inner membrane
JW1265	ECK1267	yciN	predicted protein	5,81	1,31	260,06	075	5	192	0	0.000	0
JW3664	ECK3679	ibpA	heat shock chaperone	3,22	0,59	146,75	40,15	5	192	0	-0,525	0
JW2640	ECK2659	ygaU	predicted protein	1,15	2,73	54,08	29,53	4	192	0	-0,458	0
JW0938	ECK0946	ycbZ	predicted peptidase	0,53	1,04	25,52	10,24	4	192	0	-0,162	0
JW3125	ECK3144	yhbS	predicted acyltransferase with acyl-CoA N-acyltransferase domain	009	0,45	398	29,34	5	189	0	-0,075	GO:0009274 cell wall (sensu Bacteria) -!- GO:0019866 inner membrane
JW3909	ECK3930	metJ	DNA-binding transcriptional repressor, S-adenosylmethionine-binding	009	2,04	398	50,48	6	189	0	-0,748	GO:0005737 cytoplasm
JW0442	ECK0446	tesB	acyl-CoA thioesterase II	1,37	2,04	64,08	18,53	5	189	0	-0,253	0
JW3135	ECK3155	truB	tRNA pseudouridine synthase	1,24	001	58,18	24,52	6	189	0	-0,368	GO:0005737 cytoplasm
JW0407	ECK0411	thiL	thiamin-monophosphate kinase	0,58	0,36	27,85	13,23	3	189	0	0,075	0
JW1086	ECK1086	ycfH	predicted metallodependent hydrolase	0,83	0,73	39,42	26,04	5	188	0	-0,212	0
JW1693	ECK1701	ydiA	conserved protein	0,93	002	44,02	22,38	4	187	0	-0,093	0
JW2767	ECK2791	sdaC	predicted serine transporter	1,78	5,46	083	9,09	4	186	11	0,807	GO:0009274 cell wall (sensu Bacteria) -!- GO:0019866 inner membrane
JW0176	ECK0180	lpxA	UDP-N-acetylglucosamine acetyltransferase	1,51	2,04	70,42	16,41	4	185	0	0,002	GO:0005737 cytoplasm
JW2448	ECK2459	talA	transaldolase A	0,56	1,58	26,92	16,14	4	185	0	-0,315	0
JW2144	ECK2150	yeiE	predicted DNA-binding transcriptional regulator	1,15	-	54,08	16,72	4	185	0	0,017	0
JW2509	ECK2522	fdx	[2Fe-2S] ferredoxin	2,16	4,72	99,64	48,65	3	184	0	-0,357	0
JW3794	ECK3815	pldA	outer membrane phospholipase A	0,64	0,59	30,64	12,11	3	184	0	-0,446	GO:0009274 cell wall (sensu Bacteria) -!- GO:0009279 external outer membrane (sensu Gram-negative Bacteria)
JW5070	ECK0521	ybcJ	predicted RNA-binding protein	2,98	0,53	136,13	45,71	3	183	0	0,101	0
JW1821	ECK1831	yebR	conserved protein	0,78	0,68	37,12	18,58	3	183	0	0,168	0
JW0078	ECK0081	fruR	DNA-binding transcriptional dual regulator	1,15	0,51	54,08	21,56	6	182	0	-0,346	GO:0005737 cytoplasm
JW3466	ECK3484	yhiR	predicted DNA (exogenous) processing protein	1,07	0,41	50,43	23,57	5	182	0	-0,361	0
JW3154	ECK3176	ispB	octaprenyl diphosphate synthase	0,93	0,33	44,02	14,55	3	182	0	-0,095	0
JW3171	ECK3193	ptsN	sugar-specific enzyme IIA component of PTS	2,73	1,52	125,04	36,81	4	180	0	-0,167	0
JW2647	ECK2666	ygaM	predicted protein	1,37	4,32	64,08	32,74	2	179	1	-0,501	0
JW5578	ECK3837	fadA	3-ketoacyl-CoA thiolase (thiolase I)	001	1,69	24,12	13,44	3	179	0	0,131	GO:0005737 cytoplasm
JW3837	ECK3859	yihI	conserved protein	2,16	-	99,64	40,83	5	179	0	-1,377	0
JW0197	ECK0207	dkgB	2,5-diketo-D-gluconate reductase B	1,05	-	49,52	21,72	4	179	0	-0,114	GO:0005737 cytoplasm
JW2131	ECK2136	cdd	cytidine/deoxycytidine deaminase	0,72	-	34,35	16,67	3	179	0	0,001	0
JW2735	ECK2760	ygcM	6-pyruvoyl tetrahydrobiopterin synthase (PTPS)	3,64	0,16	165,27	66,12	5	178	0	-0,174	0
JW2486	ECK2497	ppk	polyphosphate kinase, component of RNA degradosome	0,14	1,13	7,02	5,38	3	178	0	-0,341	0
JW1776	ECK1785	yeaK	conserved protein	2,83	0,49	129,48	53,29	6	177	0	0,165	0
JW3219	ECK3238	mreC	cell wall structural complex MreBCD transmembrane component MreC	0,43	0,64	20,84	11,17	4	176	1	-0,152	GO:0009274 cell wall (sensu Bacteria)
JW0434	ECK0438	ybaX	predicted aluminum resistance protein	1,89	-	87,54	26,41	4	175	0	-0,095	0
JW3981	ECK4013	pepE	(alpha)-aspartyl dipeptidase	2,16	0,33	99,64	24,89	4	174	0	0,124	0
JW3595	ECK3610	rfaF	ADP-heptose:LPS heptosyltransferase II	0,72	0,77	34,35	016	4	173	0	-0,185	0
JW2671	ECK2696	mltB	membrane-bound lytic murein transglycosylase B	0,54	0,66	25,99	12,19	3	173	0	-0,331	GO:0009274 cell wall (sensu Bacteria) -!- GO:0009279 external outer membrane (sensu Gram-negative Bacteria)
JW3813	ECK3830	tatA	TatABCE protein translocation system subunit	009	7,19	398	56,18	4	172	1	0.000	0
JW1989	ECK2001	yeeX	conserved protein	3,22	12,28	146,75	49,62	4	172	0	-0,694	0
JW3927	ECK3946	yijP	conserved inner membrane protein	0,53	0,34	25,52	9,53	5	172	5	-0,323	GO:0009274 cell wall (sensu Bacteria)
JW3474	ECK3490	slp	outer membrane lipoprotein	2,59	2,67	118,82	40,43	4	170	0	0.000	GO:0009274 cell wall (sensu Bacteria) -!- GO:0009279 external outer membrane (sensu Gram-negative Bacteria)
JW4218	ECK4254	yjgP	conserved inner membrane protein	1,31	0,18	61,36	11,48	3	170	6	0,465	GO:0009274 cell wall (sensu Bacteria)
JW1426	ECK1423	tehB	predicted S-adenosyl-L-methionine-dependent methyltransferase	0,97	0,95	45,85	24,87	5	170	0	-0,376	0
JW3625	ECK3640	spoT	bifunctional (p)ppGpp synthetase II -!- guanosine-3',5'-bis pyrophosphate 3'-pyrophosphohydrolase	0,33	0,59	16,12	7,55	5	170	0	-0,332	GO:0005737 cytoplasm
JW0900	ECK0908	ycaR	conserved protein	5,81	1,34	260,06	46,67	4	169	0	-0,127	0
JW0470	ECK0475	ybaK	conserved protein	1,51	1,13	70,42	38,36	4	169	0	-0,083	0
JW2277	ECK2276	nuoH	NADH:ubiquinone oxidoreductase, membrane subunit H	1,31	6,26	61,36	12,62	4	169	8	0.001	GO:0009274 cell wall (sensu Bacteria) -!- GO:0019866 inner membrane
JW0546	ECK0549	borD	"DLP12 prophage; predicted lipoprotein"	1,68	2,43	078	52,58	3	168	0	0,205	0
JW3785	ECK3807	yigB	predicted hydrolase	1,31	000	61,36	34,03	4	168	0	-0,329	0
JW0469	ECK0474	ushA	bifunctional UDP-sugar hydrolase -!- 5'-nucleotidase	0,45	1,95	21,78	14,36	5	168	0	-0,411	GO:0005737 cytoplasm
JW0399	ECK0403	secF	SecYEG protein translocase auxillary subunit	1,78	0,34	083	12,69	4	167	6	0,401	GO:0009274 cell wall (sensu Bacteria) -!- GO:0019866 inner membrane
JW5641	ECK3631	ttk	division inhibitor	1,61	0,55	74,94	29,29	4	167	0	-0,306	0
JW3895	ECK3916	fpr	ferredoxin-NADP reductase	0,87	0,32	41,26	013	3	167	0	-0,194	0
JW0409	ECK0413	yajO	predicted oxidoreductase, NAD(P)-binding	0,72	0,79	34,35	12,04	3	167	0	-0,404	0
JW5857	ECK3742	rbsD	predicted cytoplasmic sugar-binding protein	2,16	4,96	99,64	30,22	3	166	0	-0,101	GO:0009274 cell wall (sensu Bacteria) -!- GO:0019866 inner membrane
JW3243	ECK3269	yrdC	dsRNA-binding protein	0,58	0,32	27,85	15,79	3	166	0	-0,057	0
JW0094	ECK0097	lpxC	UDP-3-O-acyl N-acetylglucosamine deacetylase	0,54	5,42	25,99	15,74	3	166	0	0.000	GO:0009274 cell wall (sensu Bacteria) -!- GO:0005737 cytoplasm
JW1046	ECK1044	solA	N-methyltryptophan oxidase, FAD-binding	0,52	0,12	25,05	13,98	3	166	0	-0,234	0
JW3216	ECK3235	rng	ribonuclease G	0,36	001	17,54	11,66	4	166	0	-0,279	GO:0005737 cytoplasm
JW1017	ECK1020	ycdX	predicted zinc-binding hydrolase	1,05	0,98	49,52	24,49	5	165	0	-0,118	0
JW3606	ECK3621	rfaG	glucosyltransferase I	000	0,33	015	9,63	3	165	0	-0,341	GO:0019866 inner membrane
JW3223	ECK3242	accB	acetyl CoA carboxylase, BCCP subunit	5,81	4,62	260,06	38,46	4	163	0	0.000	0
JW5196	ECK1261	yciO	conserved protein	2,59	1,37	118,82	24,76	4	163	0	-0,311	0
JW5703	ECK3333	yheO	predicted DNA-binding transcriptional regulator	0,85	0,92	40,34	23,33	4	163	0	-0,163	0
JW3197	ECK3217	sspB	ClpXP protease specificity-enhancing factor	2,73	1,03	125,04	29,09	4	162	0	-0,432	0
JW1594	ECK1597	pntB	pyridine nucleotide transhydrogenase, beta subunit	2,16	0,16	99,64	10,82	5	162	9	0,602	GO:0009274 cell wall (sensu Bacteria) -!- GO:0019866 inner membrane
JW3434	ECK3453	zntA	zinc, cobalt and lead efflux system	0,43	0,53	20,84	13,11	5	162	5	0,282	GO:0009274 cell wall (sensu Bacteria) -!- GO:0019866 inner membrane
JW2997	ECK3020	ygiN	quinol monooxygenase	2,98	0,71	136,13	25,96	3	161	0	0,015	0
JW3513	ECK3531	dppA	dipeptide transporter -!- periplasmic-binding component of ABC superfamily	0,58	3,94	27,85	016	5	161	0	-0,463	GO:0042597 periplasmic space
JW5295	ECK1807	yoaB	conserved protein	3,64	6,99	165,27	40,35	3	160	0	0,024	0
JW3645	ECK3661	ilvN	acetolactate synthase I, small subunit	2,73	0,91	125,04	45,83	3	160	0	-0,201	0
JW3063	ECK3083	uxaC	uronate isomerase	0,38	0,18	18,48	9,79	4	160	0	-0,429	0
JW2973	ECK2998	exbD	membrane spanning protein in TonB-ExbB-ExbD complex	5,81	0,26	260,06	52,48	5	159	1	0,013	0
JW2283	ECK2282	nuoA	NADH:ubiquinone oxidoreductase, membrane subunit A	3,64	6,62	165,27	17,69	2	159	3	0,565	GO:0009274 cell wall (sensu Bacteria) -!- GO:0019866 inner membrane
JW1700	ECK1708	btuE	predicted glutathione peroxidase	1,15	1,36	54,08	022	4	159	0	-0,131	GO:0042597 periplasmic space
JW1276	ECK1279	yciT	predicted DNA-binding transcriptional regulator	0,67	-	32,03	16,87	4	157	0	-0,092	0
JW0905	ECK0913	mukF	Involved in chromosome partioning, Ca2+ binding protein	0,22	0,51	10,88	11,14	3	156	0	-0,375	0
JW1576	ECK1579	speG	spermidine N1-acetyltransferase	1,03	0,71	049	35,48	4	155	0	-0,439	0
JW3427	ECK3446	ftsX	predicted transporter subunit -!- membrane component of ABC superfamily	001	0,69	42,64	020	4	155	4	0,192	GO:0009274 cell wall (sensu Bacteria) -!- GO:0019866 inner membrane
JW3747	ECK3766	ilvC	ketol-acid reductoisomerase, NAD(P)-binding	0,32	0,56	15,65	10,59	4	155	0	-0,205	GO:0005737 cytoplasm
JW3027	ECK3045	htrG	predicted signal transduction protein (SH3 domain)	1,03	0,41	049	24,27	3	154	1	0.000	GO:0009274 cell wall (sensu Bacteria)
JW2576	ECK2592	rluD	23S rRNA pseudouridine synthase	0,93	0,41	44,02	16,26	5	153	0	-0,416	GO:0005737 cytoplasm
JW3165	ECK3187	kdsC	3-deoxy-D-manno-octulosonate 8-phosphate phosphatase	0,78	0,24	37,12	26,06	3	153	0	0,239	0
JW0626	ECK0624	ybeD	conserved protein	14,85	1,35	645,93	55,17	3	152	0	-0,166	0
JW5380	ECK2318	trmC	fused 5-methylaminomethyl-2-thiouridine forming enzyme methyltransferase -!- FAD-dependent demodification enzyme	0,17	1,42	8,47	5,84	2	151	0	0.000	0
JW4201	ECK4237	mgtA	magnesium transporter	0,18	0,11	8,96	5,68	3	150	7	0,159	GO:0009274 cell wall (sensu Bacteria) -!- GO:0019866 inner membrane
JW5714	ECK4038	zur	DNA-binding transcriptional activator, Zn(II)-binding	1,15	-	54,08	26,32	3	150	0	0.000	GO:0005737 cytoplasm
JW1084	ECK1084	tmk	thymidylate kinase	0,85	0,36	40,34	24,88	4	149	0	-0,202	0
JW2347	ECK2345	yfdH	"CPS-53 (KpLE1) prophage; bactoprenol glucosyl transferase"	0,54	003	25,99	16,67	3	149	2	0,079	0
JW0412	ECK0416	xseB	exonuclease VII small subunit	14,85	0,55	645,93	76,25	4	148	0	-0,735	GO:0005737 cytoplasm
JW3095	ECK3114	garL	alpha-dehydro-beta-deoxy-D-glucarate aldolase	0,47	7,87	22,71	9,38	2	148	0	0,071	0
JW0729	ECK0728	tolA	membrane anchored protein in TolA-TolQ-TolR complex	0,35	001	17,07	010	3	148	1	-0.001	GO:0009274 cell wall (sensu Bacteria) -!- GO:0019866 inner membrane
JW1891	ECK1901	yecJ	predicted protein	5,31	-	238,33	54,22	3	147	0	0,082	GO:0005737 cytoplasm
JW5226	ECK1416	ydcI	predicted DNA-binding transcriptional regulator	0,47	-	22,71	21,17	3	147	0	-0,022	0
JW1274	ECK1277	yciH	conserved protein	0,58	0,19	27,85	24,07	2	146	0	-0,419	0
JW0026	ECK0029	fkpB	FKBP-type peptidyl-prolyl cis-trans isomerase (rotamase)	2,16	1,04	99,64	35,57	3	145	0	-0,095	GO:0005737 cytoplasm
JW5550	ECK3959	murI	glutamate racemase	0,58	0,59	27,85	12,63	3	145	0	0,187	GO:0009274 cell wall (sensu Bacteria)
JW0202	ECK0212	gloB	predicted hydroxyacylglutathione hydrolase	0,52	1,39	25,05	15,54	2	145	0	-0,227	0
JW2504	ECK2516	yfhM	conserved protein	0,13	1,45	6,53	4,54	5	145	0	-0,321	0
JW2161	ECK2167	yeiR	predicted enzyme	0,73	-	34,81	19,82	4	145	0	-0,229	0
JW2001	ECK2014	hisG	ATP phosphoribosyltransferase	0,37	-	18,01	10,37	2	145	0	-0,145	GO:0005737 cytoplasm
JW3129	ECK3148	yhbW	predicted enzyme	0,39	0,46	18,96	5,97	2	144	0	-0,166	0
JW4212	ECK4248	yjgD	conserved protein	30,62	2,69	1302,81	39,13	3	143	0	-0,605	0
JW5499	ECK3004	dkgA	2,5-diketo-D-gluconate reductase A	0,58	0,63	27,85	15,27	4	143	0	-0,375	GO:0005737 cytoplasm
JW1226	ECK1233	tdk	thymidine kinase/deoxyuridine kinase	0,39	1,86	18,96	17,56	2	143	0	0.000	0
JW0117	ECK0120	speE	spermidine synthase (putrescine aminopropyltransferase)	1,51	1,58	70,42	10,76	3	142	0	0.000	0
JW5601	ECK3777	wzzE	Entobacterial Common Antigen (ECA) polysaccharide chain length modulation protein	0,78	0,41	37,12	14,37	4	142	2	-0,354	GO:0019866 inner membrane
JW0854	ECK0861	ltaE	L-allo-threonine aldolase, PLP-dependent	0,62	0,74	29,71	17,42	4	142	0	-0,128	GO:0005737 cytoplasm
JW3961	ECK3989	hemE	uroporphyrinogen decarboxylase	0,47	003	22,71	018	3	142	0	-0,156	0
