Accession number	OLN	ECK	Gene	Protein name	emPAI Value	Copy number per cell	mRNA	ABS_CALL	Sequence coverage (%)	Number of unique peptides	Mascot protein score	Number of TMDs	GRAVY score	GO cellular component
P0ACI0	JW4359	ECK4388	rob	DNA-binding transcriptional activator	4.41	199.06	0.81	2	34.26	9	268	0	-0.355	GO:0005737 cytoplasm
P0A9L3	JW5746	ECK4203	fklB	FKBP-type peptidyl-prolyl cis-trans isomerase (rotamase)	14.85	645.93	0.79	2	57.77	10	565	0	-0.081	0
P0A6V1	JW3393	ECK3416	glgC	glucose-1-phosphate adenylyltransferase	1.15	54.08	0.79	2	22.04	8	324	0	-0.267	GO:0005737 cytoplasm
P0AFU8	JW1654	ECK1658	ribC	riboflavin synthase. alpha subunit	3.64	165.27	0.79	2	37.56	6	318	0	0.000	0
P42599	JW3058	ECK3077	ygjR	predicted NAD(P)-binding dehydrogenase	1.28	60	0.79	2	19.76	5	206	0	0.046	0
P77735	JW0409	ECK0413	yajO	predicted oxidoreductase. NAD(P)-binding	0.72	34.35	0.79	2	12.04	3	167	0	-0.404	0
P21865	JW0683	ECK0683	kdpD	fused sensory histidine kinase in two-component regulatory system with KdpE	0.11	5.56	0.79	2	2.01	2	25	4	0.000	GO:0009274 cell wall (sensu Bacteria) -!- GO:0019866 inner membrane
P0AG30	JW3756	ECK3775	rho	transcription termination factor	33.33	1414.45	0.78	2	77.33	33	1828	0	-0.298	GO:0005737 cytoplasm
P0A9W6	JW3157	ECK3179	yrbA	predicted DNA-binding transcriptional regulator	9	398	0.78	2	38	3	82	0	-0.265	0
P64455	JW1441	ECK1440	ydcY	predicted protein	1.15	54.08	0.78	2	51.95	2	79	0	-0.636	0
P0AFB5	JW3840	ECK3862	glnL	sensory kinase in two-component regulatory system with GlnG	0.44	21.31	0.78	2	10.03	2	78	0	-0.174	GO:0009274 cell wall (sensu Bacteria) -!- GO:0019866 inner membrane
P0A7B5	JW0232	ECK0243	proB	gamma-glutamate kinase	2.63	121	0.77	2	48.23	13	622	0	0.007	GO:0005737 cytoplasm
P0C0S1	JW2891	ECK2920	mscS	mechanosensitive channel	1.89	87.54	0.77	2	28.67	6	411	3	0.494	0
P37692	JW3595	ECK3610	rfaF	ADP-heptose:LPS heptosyltransferase II	0.72	34.35	0.77	2	16	4	173	0	-0.185	0
P11880	JW0084	ECK0087	murF	UDP-N-acetylmuramoyl-tripeptide:D-alanyl-D-alanine ligase	0.33	16.12	0.77	2	9.07	2	91	0	0.165	GO:0009274 cell wall (sensu Bacteria) -!- GO:0005737 cytoplasm
P10441	JW0177	ECK0181	lpxB	tetraacyldisaccharide-1-P synthase	0.45	21.78	0.77	2	12	3	81	0	-0.007	GO:0009274 cell wall (sensu Bacteria) -!- GO:0005737 cytoplasm
P64426	JW1486	ECK1485	yddW	predicted liprotein	0.17	8.47	0.77	2	5.47	2	22	0	-0.464	0
P0A8H8	JW5008	ECK0101	yacG	conserved protein	2.16	99.64	0.76	2	44.62	2	83	0	-0.615	0
P76193	JW1668	ECK1674	ynhG	conserved protein	0.47	22.71	0.76	2	6.29	2	24	0	-0.235	0
P0ABI4	JW3789	ECK3810	corA	magnesium/nickel/cobalt transporter	3.92	177.58	0.75	2	48.42	9	484	2	-0.156	GO:0009274 cell wall (sensu Bacteria) -!- GO:0019866 inner membrane
P76403	JW2066	ECK2077	yegQ	predicted peptidase	1.65	76.75	0.75	2	30.46	10	314	0	0.000	0
P0ABE2	JW5060	ECK0429	bolA	regulator of penicillin binding proteins and beta lactamase transcription (morphogene)	9	398	0.75	2	57.14	4	264	0	0.000	GO:0009274 cell wall (sensu Bacteria) -!- GO:0005737 cytoplasm
P32132	JW5571	ECK3864	bipA	GTP-binding protein	12	504.13	0.74	2	46	25	1406	0	-0.298	0
P0A6Z1	JW2510	ECK2523	hscA	DnaK-like molecular chaperone specific for IscU	3.42	155.57	0.74	2	45.29	18	852	0	-0.028	GO:0005737 cytoplasm
P75823	JW0854	ECK0861	ltaE	L-allo-threonine aldolase. PLP-dependent	0.62	29.71	0.74	2	17.42	4	142	0	-0.128	GO:0005737 cytoplasm
P0AFQ7	JW1086	ECK1086	ycfH	predicted metallodependent hydrolase	0.83	39.42	0.73	2	26.04	5	188	0	-0.212	0
P0ADP7	JW3811	ECK3828	yigP	conserved protein	0.78	37.12	0.73	2	13.43	2	81	0	0.021	0
P0AB91	JW0737	ECK0743	aroG	3-deoxy-D-arabino-heptulosonate-7-phosphate synthase. phenylalanine repressible	1.68	78	0.72	2	34.29	8	373	0	-0.182	0
P0A843	JW0622	ECK0620	tatE	TatABCE protein translocation system subunit	2.98	136.13	0.72	2	32.84	2	131	1	0.122	GO:0009274 cell wall (sensu Bacteria) -!- GO:0019866 inner membrane
P0AF20	JW0662	ECK0664	nagC	DNA-binding transcriptional dual regulator	0.17	8.47	0.72	2	4.93	2	72	0	-0.006	GO:0005737 cytoplasm
P0AGM7	JW2482	ECK2493	uraA	uracil transporter	1.15	54.08	0.72	2	2.56	2	48	12	1.045	GO:0009274 cell wall (sensu Bacteria) -!- GO:0019866 inner membrane
P0A9M8	JW2294	ECK2291	pta	phosphate acetyltransferase	11.92	225.17	0.71	2	57.56	34	1979	0	0.000	0
P22333	JW1615	ECK1618	add	adenosine deaminase	4.27	192.93	0.71	2	54.65	11	552	0	-0.024	0
P0ADU2	JW2997	ECK3020	ygiN	quinol monooxygenase	2.98	136.13	0.71	2	25.96	3	161	0	0.015	0
P0A951	JW1576	ECK1579	speG	spermidine N1-acetyltransferase	1.03	49	0.71	2	35.48	4	155	0	-0.439	0
P15286	JW2318	ECK2315	flk	predicted flagella assembly protein	0.26	12.79	0.71	2	9.97	2	51	1	-0.308	0
P09372	JW2594	ECK2610	grpE	heat shock protein	157.49	6374.36	0.69	2	63.45	15	829	0	-0.372	GO:0005737 cytoplasm
P0CF71	JW0005	ECK0006	yaaA	conserved protein	1.25	58.63	0.69	2	39.15	6	273	0	-0.403	0
P0AC30	JW3427	ECK3446	ftsX	predicted transporter subunit -!- membrane component of ABC superfamily	1	42.64	0.69	2	20	4	155	4	0.192	GO:0009274 cell wall (sensu Bacteria) -!- GO:0019866 inner membrane
P0A9R7	JW3428	ECK3447	ftsE	predicted transporter subunit -!- ATP-binding component of ABC superfamily	1.28	60	0.69	2	26.58	4	113	0	-0.077	GO:0005737 cytoplasm
P05020	JW1049	ECK1047	pyrC	dihydro-orotase	20.54	884.64	0.68	2	72.99	18	854	0	-0.123	GO:0005737 cytoplasm
P76270	JW1821	ECK1831	yebR	conserved protein	0.78	37.12	0.68	2	18.58	3	183	0	0.168	0
P00452	JW2228	ECK2226	nrdA	ribonucleoside diphosphate reductase 1. alpha subunit	6.15	275	0.67	2	48	36	1525	0	-0.337	0
P17117	JW0835	ECK0842	nfsA	nitroreductase A. NADPH-dependent. FMN-dependent	9	398	0.67	2	58.75	11	590	0	-0.155	0
P0A9X9	JW3525	ECK3543	cspA	major cold shock protein	9	398	0.67	2	81.43	5	284	0	-0.251	GO:0005737 cytoplasm
P69411	JW0192	ECK0196	rcsF	predicted outer membrane protein. signal	4.62	208.24	0.67	2	54.48	4	209	0	0.000	GO:0030113 capsule (sensu Bacteria)
Q46920	JW2765	ECK2789	yqcD	conserved protein	0.41	20	0.67	2	13.48	3	77	0	-0.001	0
P25741	JW3605	ECK3620	rfaP	kinase that phosphorylates core heptose of lipopolysaccharide	0.23	11.36	0.67	2	3.77	2	41	0	-0.275	GO:0019866 inner membrane
P0A6F1	JW0030	ECK0033	carA	carbamoyl phosphate synthetase small subunit. glutamine amidotransferase	48	2002.27	0.66	2	80.37	19	1067	0	-0.199	0
P04335	JW0229	ECK0240	frsA	hydrolase. binds to enzyme IIA(Glc)	0.63	30.18	0.66	2	20.05	7	349	0	0.000	0
P41052	JW2671	ECK2696	mltB	membrane-bound lytic murein transglycosylase B	0.54	25.99	0.66	2	12.19	3	173	0	-0.331	GO:0009274 cell wall (sensu Bacteria) -!- GO:0009279 external outer membrane (sensu Gram-negative Bacteria)
P0AGF6	JW3088	ECK3106	tdcB	catabolic threonine dehydratase. PLP-dependent	1	24.12	0.66	2	10.64	3	123	0	0.043	0
P37659	JW3506	ECK3523	bcsG	predicted inner membrane protein	0.33	16.12	0.66	2	6.98	2	113	4	0.022	0
P77475	JW2665	ECK2685	yqaB	predicted hydrolase	1	47.23	0.66	2	23.94	3	106	0	-0.027	0
P04693	JW4014	ECK4046	tyrB	tyrosine aminotransferase. tyrosine-repressible. PLP-dependent	1.85	85.75	0.65	2	29.22	8	481	0	0.009	GO:0005737 cytoplasm
P0AAT6	JW5090	ECK0630	ybeB	predicted protein	9	398	0.65	2	78	5	266	0	0.034	0
P0AE48	JW4181	ECK4218	ytfP	conserved protein	1.51	70.42	0.65	2	31.86	2	99	0	-0.514	0
P0A8Y1	JW4336	ECK4365	yjjG	predicted hydrolase	0.78	37.12	0.65	2	25.78	2	73	0	-0.157	0
P66948	JW2479	ECK2490	yfgC	predicted peptidase	0.19	9.44	0.65	2	4	2	31	0	-0.383	0
P18390	JW5795	ECK4350	yjjA	conserved protein	0.93	44.02	0.65	2	15.85	2	27	0	0.000	0
P10100	JW0628	ECK0626	rlpA	minor lipoprotein	0.93	44.02	0.64	2	17.68	4	258	0	-0.245	GO:0009274 cell wall (sensu Bacteria) -!- GO:0019866 inner membrane
P77488	JW0410	ECK0414	dxs	1-deoxyxylulose-5-phosphate synthase. thiamine-requiring. FAD-requiring	0.53	25.52	0.64	2	11.94	5	221	0	-0.081	0
P76187	JW1639	ECK1643	ydhF	predicted oxidoreductase	1.37	64.08	0.64	2	31.21	5	215	0	0.000	0
P16926	JW3219	ECK3238	mreC	cell wall structural complex MreBCD transmembrane component MreC	0.43	20.84	0.64	2	11.17	4	176	1	-0.152	GO:0009274 cell wall (sensu Bacteria)
P64499	JW1814	ECK1823	yebO	predicted protein	2.98	136.13	0.64	2	31.58	3	113	1	-0.044	0
P27242	JW3598	ECK3613	rfaK	lipopolysaccharide core biosynthesis	0.17	8.47	0.64	2	5.32	2	48	0	-0.176	GO:0019866 inner membrane
P43672	JW0932	ECK0940	uup	fused predicted transporter subunits -!- ATP-binding components of ABC superfamily	1.15	54.08	0.63	2	27.87	11	515	0	-0.467	GO:0005737 cytoplasm
P23894	JW1818	ECK1828	htpX	predicted endopeptidase	2.51	115.26	0.63	2	27.65	6	303	4	0.344	GO:0009274 cell wall (sensu Bacteria) -!- GO:0019866 inner membrane
P18133	JW0914	ECK0922	pncB	nicotinate phosphoribosyltransferase	0.74	35.27	0.63	2	18.75	6	269	0	-0.298	GO:0042597 periplasmic space
P0A9L5	JW3748	ECK3767	ppiC	peptidyl-prolyl cis-trans isomerase C (rotamase C)	12.89	563.11	0.63	2	70.97	7	214	0	-0.105	0
Q46857	JW5499	ECK3004	dkgA	2.5-diketo-D-gluconate reductase A	0.58	27.85	0.63	2	15.27	4	143	0	-0.375	GO:0005737 cytoplasm
P41407	JW1409	ECK1405	azoR	NADH-azoreductase. FMN-dependent	0.78	37.12	0.63	2	25.87	3	99	0	0.067	0
P0AFB8	JW3839	ECK3861	glnG	fused DNA-binding response regulator in two-component regulatory system with GlnL. nitrogen regulator I (NRI)	2.29	105.45	0.62	2	36.03	13	677	0	-0.246	GO:0005737 cytoplasm
P0AEW6	JW0466	ECK0471	gsk	inosine/guanosine kinase	1.61	74.94	0.62	2	26.96	9	411	0	-0.346	0
P0ACB7	JW3774	ECK3796	hemY	predicted protoheme IX synthesis protein	1.23	57.72	0.62	2	22.36	8	335	2	-0.362	0
P64540	JW2322	ECK2319	yfcL	predicted protein	16.78	727.17	0.62	2	66	4	259	0	-0.148	0
P0CG19	JW3618	ECK3633	rph	ribonuclease PH (pseudogene)	1.61	74.94	0.62	2	39.04	5	228	0	-0.146	0
P0AED5	JW1899	ECK1913	uvrY	DNA-binding response regulator in two-component regulatory system with BarA	0.36	17.54	0.62	2	16.06	2	112	0	-0.056	0
P25906	JW1403	ECK1399	ydbC	predicted oxidoreductase. NAD(P)-binding	0.39	18.96	0.62	2	9.79	2	63	0	0.047	0
P0A6W5	JW3148	ECK3170	greA	transcription elongation factor	16.01	695	0.61	2	78.48	14	626	0	-0.366	GO:0005737 cytoplasm
P0ADS2	JW2878	ECK2905	zapA	protein that localizes to the cytokinetic ring	2.73	125.04	0.61	2	44.95	4	231	0	-0.733	0
P0A6C1	JW2146	ECK2152	nfo	endonuclease IV with intrinsic 3'-5' exonuclease activity	0.31	15.17	0.61	2	11.58	2	75	0	-0.204	0
Q46829	JW2869	ECK2896	bglA	6-phospho-beta-glucosidase A	2.98	136.13	0.59	2	41	17	745	0	-0.452	0
P10384	JW2341	ECK2338	fadL	long-chain fatty acid outer membrane transporter	1.74	81	0.59	2	25	7	455	0	0.000	GO:0009274 cell wall (sensu Bacteria) -!- GO:0009279 external outer membrane (sensu Gram-negative Bacteria)
P64604	JW3160	ECK3182	yrbD	predicted ABC-type organic solvent transporter	7.11	316.29	0.59	2	57.38	7	292	1	-0.068	0
P0AE88	JW3883	ECK3905	cpxR	DNA-binding response regulator in two-component regulatory system with CpxA	7.11	316.29	0.59	2	34.91	7	258	0	-0.344	GO:0005737 cytoplasm
P0A761	JW3192	ECK3212	nanE	predicted N-acetylmannosamine-6-P epimerase	3.33	152	0.59	2	44.98	7	253	0	0.162	GO:0005737 cytoplasm
P0C054	JW3664	ECK3679	ibpA	heat shock chaperone	3.22	146.75	0.59	2	40.15	5	192	0	-0.525	0
P0A921	JW3794	ECK3815	pldA	outer membrane phospholipase A	0.64	30.64	0.59	2	12.11	3	184	0	-0.446	GO:0009274 cell wall (sensu Bacteria) -!- GO:0009279 external outer membrane (sensu Gram-negative Bacteria)
P0AG24	JW3625	ECK3640	spoT	bifunctional (p)ppGpp synthetase II -!- guanosine-3'.5'-bis pyrophosphate 3'-pyrophosphohydrolase	0.33	16.12	0.59	2	7.55	5	170	0	-0.332	GO:0005737 cytoplasm
P22634	JW5550	ECK3959	murI	glutamate racemase	0.58	27.85	0.59	2	12.63	3	145	0	0.187	GO:0009274 cell wall (sensu Bacteria)
P0A7F9	JW0395	ECK0399	queA	S-adenosylmethionine:tRNA ribosyltransferase-isomerase	0.31	15.17	0.59	2	8.99	2	121	0	-0.129	GO:0005737 cytoplasm
P0CF91	JW0015	ECK0016	insL	IS186/IS421 transposase	0.37	18.01	0.59	2	4.32	2	43	0	-0.222	0
P0AGB0	JW4351	ECK4380	serB	3-phosphoserine phosphatase	0.27	13.27	0.59	2	6.52	2	35	0	0.091	GO:0005737 cytoplasm
P0A7Y0	JW2551	ECK2565	rnc	RNase III	7.48	332.24	0.58	2	55.75	12	567	0	-0.449	0
P75838	JW0888	ECK0896	ycaO	conserved protein	2.51	115.26	0.58	2	29.86	11	497	0	-0.196	0
P0ACL2	JW3065	ECK3085	exuR	DNA-binding transcriptional repressor	1.24	58.18	0.58	2	19.77	6	230	0	-0.524	GO:0005737 cytoplasm
P0AD33	JW2340	ECK2337	yfcZ	conserved protein	1.51	70.42	0.58	2	27.66	2	203	0	-0.094	0
P15042	JW2403	ECK2406	ligA	DNA ligase. NAD(+)-dependent	0.28	13.75	0.57	2	8.64	5	286	0	-0.137	GO:0005737 cytoplasm
P62517	JW1037	ECK1035	mdoH	glucan biosynthesis: glycosyl transferase	1	28.78	0.57	2	15.58	8	210	6	-0.046	GO:0009274 cell wall (sensu Bacteria) -!- GO:0019866 inner membrane
P09148	JW0741	ECK0747	galT	galactose-1-phosphate uridylyltransferase	0.47	22.71	0.57	2	9.48	3	193	0	-0.524	GO:0030113 capsule (sensu Bacteria) -!- GO:0005737 cytoplasm
P0A9T4	JW2802	ECK2830	tas	predicted oxidoreductase. NADP(H)-dependent aldo-keto reductase	0.31	15.17	0.57	2	6.36	2	132	0	-0.323	0
P75849	JW0910	ECK0918	ycbL	predicted metal-binding enzyme	0.78	37.12	0.57	2	12.09	2	64	0	-0.145	0
P39177	JW0600	ECK0601	uspG	universal stress protein UP12	55.23	2308.02	0.56	2	87.32	8	532	0	-0.053	0
Q9JMR9	JW1754	ECK1763	ydjA	predicted oxidoreductase	2.51	115.26	0.56	2	35.52	6	268	0	-0.168	0
P05793	JW3747	ECK3766	ilvC	ketol-acid reductoisomerase. NAD(P)-binding	0.32	15.65	0.56	2	10.59	4	155	0	-0.205	GO:0005737 cytoplasm
Q9JMS5	JW0908	ECK0916	ycbB	predicted carboxypeptidase	0.16	7.99	0.56	2	4.72	2	61	0	-0.276	0
P05042	JW1603	ECK1606	fumC	fumarate hydratase (fumarase C).aerobic Class II	3.12	142.33	0.55	2	45.18	15	660	0	-0.133	0
P39377	JW4291	ECK4319	iadA	isoaspartyl dipeptidase	1.98	91.58	0.55	2	26.15	7	275	0	0.127	0
P0C093	JW5641	ECK3631	ttk	division inhibitor	1.61	74.94	0.55	2	29.29	4	167	0	-0.306	0
P0A8G9	JW0412	ECK0416	xseB	exonuclease VII small subunit	14.85	645.93	0.55	2	76.25	4	148	0	-0.735	GO:0005737 cytoplasm
P0AGF2	JW2782	ECK2807	ygdK	predicted Fe-S metabolism protein	0.87	41.26	0.55	2	25.17	3	132	0	-0.086	0
P23886	JW0869	ECK0877	cydC	fused cysteine transporter subunits -!- membrane component and ATP-binding component of ABC superfamily	0.32	15.65	0.55	2	4.89	2	86	6	0.244	GO:0009274 cell wall (sensu Bacteria) -!- GO:0019866 inner membrane
P0ABS5	JW3038	ECK3056	dnaG	DNA primase	0.14	7.02	0.55	2	4	2	24	0	-0.389	GO:0005737 cytoplasm
P15977	JW3379	ECK3403	malQ	4-alpha-glucanotransferase (amylomaltase)	0.78	37.12	0.54	2	16.28	9	410	0	-0.393	GO:0005737 cytoplasm
P0A7J0	JW3009	ECK3032	ribB	3.4 dihydroxy-2-butanone-4-phosphate synthase	4.01	181.53	0.54	2	52.53	7	281	0	-0.147	0
Q47146	JW5020	ECK0222	fadE	acyl coenzyme A dehydrogenase	0.17	8.47	0.54	2	6.76	3	86	2	0.006	0
P0A7E1	JW0928	ECK0936	pyrD	dihydro-orotate oxidase. FMN-linked	9.96	438.54	0.53	2	67.86	22	884	0	0.000	GO:0005737 cytoplasm
P0A9Q5	JW2316	ECK2313	usg	predicted semialdehyde dehydrogenase	9	398	0.53	2	35.01	10	443	0	0.061	0
P07762	JW3395	ECK3418	glgB	1.4-alpha-glucan branching enzyme	0.44	21.31	0.53	2	10.85	6	212	0	-0.509	GO:0005737 cytoplasm
P0A9G8	JW0744	ECK0750	modE	DNA-binding transcriptional dual regulator	1.51	70.42	0.53	2	24.43	4	209	0	-0.021	GO:0005737 cytoplasm
P0AAS7	JW5070	ECK0521	ybcJ	predicted RNA-binding protein	2.98	136.13	0.53	2	45.71	3	183	0	0.101	0
P37617	JW3434	ECK3453	zntA	zinc. cobalt and lead efflux system	0.43	20.84	0.53	2	13.11	5	162	5	0.282	GO:0009274 cell wall (sensu Bacteria) -!- GO:0019866 inner membrane
P28304	JW4011	ECK4043	qor	quinone oxidoreductase. NADPH-dependent	0.55	26.45	0.53	2	12.84	3	134	0	-0.059	0
P76206	JW1711	ECK1720	ydiY	conserved protein	0.67	32.03	0.53	2	7.54	2	61	0	-0.501	0
P52061	JW2921	ECK2949	yggV	dITP/XTP pyrophosphatase	3.33	152	0.52	2	48.22	6	347	0	-0.122	0
P05719	JW4311	ECK4338	hsdS	specificity determinant for hsdM and hsdR	0.35	17.07	0.52	2	10	3	80	0	-0.261	GO:0005737 cytoplasm
P0A6L4	JW3194	ECK3214	nanA	N-acetylneuraminate lyase	16.19	702.37	0.51	2	73.06	15	880	0	-0.031	0
P0ACE0	JW2962	ECK2988	hybC	hydrogenase 2. large subunit	0.81	39	0.51	2	23.63	9	391	0	0.000	GO:0019866 inner membrane
P0AAX8	JW0803	ECK0809	ybiS	conserved protein	1.78	83	0.51	2	40.85	6	359	1	-0.116	0
P0AAS0	JW5063	ECK0452	ylaC	predicted inner membrane protein	2.98	136.13	0.51	2	37.18	5	245	2	0.103	0
P17952	JW0089	ECK0092	murC	UDP-N-acetylmuramate:L-alanine ligase	0.69	32.96	0.51	2	13.65	5	238	0	-0.161	GO:0009274 cell wall (sensu Bacteria)
P0ACP1	JW0078	ECK0081	fruR	DNA-binding transcriptional dual regulator	1.15	54.08	0.51	2	21.56	6	182	0	-0.346	GO:0005737 cytoplasm
P60293	JW0905	ECK0913	mukF	Involved in chromosome partioning. Ca2+ binding protein	0.22	10.88	0.51	2	11.14	3	156	0	-0.375	0
P0ACZ4	JW2366	ECK2365	evgA	DNA-binding response regulator in two-component regulatory system with EvgS	0.54	25.99	0.51	2	20.59	3	113	0	-0.094	GO:0005737 cytoplasm
P27278	JW5800	ECK4382	nadR	bifunctional DNA-binding transcriptional repressor -!- NMN adenylyltransferase	0.27	13.27	0.51	2	9.02	3	65	0	-0.361	0
P24232	JW2536	ECK2549	hmp	fused nitric oxide dioxygenase -!- dihydropteridine reductase 2	1.98	91.58	0.49	2	26.26	9	423	0	0.000	0
P0A9M5	JW0228	ECK0239	gpt	guanine-hypoxanthine phosphoribosyltransferase	25.83	1104.73	0.49	2	56.58	8	374	0	-0.048	GO:0005737 cytoplasm
P0A959	JW2287	ECK2284	yfbQ	predicted aminotransferase	1.02	48.14	0.49	2	19.26	6	349	0	-0.163	0
P0ADV7	JW3159	ECK3181	yrbC	predicted ABC-type organic solvent transporter	1.25	58.63	0.49	2	35.55	6	254	0	-0.416	GO:0005737 cytoplasm
P62623	JW0027	ECK0030	ispH	1-hydroxy-2-methyl-2-(E)-butenyl 4-diphosphate reductase. 4Fe-4S protein	1.07	50.43	0.49	2	24.37	6	246	0	-0.173	GO:0005737 cytoplasm
P64483	JW1776	ECK1785	yeaK	conserved protein	2.83	129.48	0.49	2	53.29	6	177	0	0.165	0
P29018	JW0870	ECK0878	cydD	fused cysteine transporter subunits -!- membrane component and ATP-binding component of ABC superfamily	0.28	13.75	0.49	2	8.67	3	118	5	0.162	GO:0009274 cell wall (sensu Bacteria) -!- GO:0019866 inner membrane
P0AG96	JW3944	ECK3972	secE	preprotein translocase membrane subunit	0.93	44.02	0.49	2	11.02	2	67	3	0.876	GO:0009274 cell wall (sensu Bacteria) -!- GO:0019866 inner membrane
P0AE91	JW4360	ECK4389	creA	conserved protein	0.87	41.26	0.48	2	18.47	3	126	0	-0.032	0
P29131	JW3904	ECK3925	ftsN	essential cell division protein	0.25	12.32	0.48	2	6.58	2	93	1	-1.024	GO:0019866 inner membrane
P75863	JW5126	ECK0938	ycbX	predicted 2Fe-2S cluster-containing protein	0.18	8.96	0.48	2	8	2	75	0	0.000	0
P0ADX1	JW3319	ECK3344	yhfA	conserved protein	0.67	32.03	0.48	2	17.91	2	54	0	0.069	0
P60240	JW0058	ECK0060	hepA	RNA polymerase-associated helicase protein (ATPase and RNA polymerase recycling factor)	1.92	88.89	0.47	2	39.57	26	1177	0	-0.355	0
P36979	JW2501	ECK2513	yfgB	predicted enzyme	1.15	54.08	0.47	2	21.09	8	299	0	-0.291	0
P0AFL6	JW2487	ECK2498	ppx	exopolyphosphatase	0.22	10.88	0.47	2	8.19	3	93	0	-0.239	0
P36649	JW0119	ECK0122	cueO	multicopper oxidase (laccase)	0.58	27.85	0.47	2	7.95	3	83	0	-0.165	0
P64564	JW2919	ECK2947	yggT	predicted inner membrane protein	2.16	99.64	0.47	2	16.49	2	74	4	1.191	0
Q46856	JW2978	ECK3003	yqhD	alcohol dehydrogenase. NAD(P)-dependent	3.28	149	0.46	2	43.15	11	681	0	-0.129	0
P08957	JW4312	ECK4339	hsdM	DNA methylase M	1.88	87	0.46	2	39.89	16	634	0	-0.528	GO:0005737 cytoplasm
P28903	JW4197	ECK4233	nrdD	anaerobic ribonucleoside-triphosphate reductase	0.85	40.34	0.46	2	27.53	12	580	0	-0.454	0
P0A935	JW2784	ECK2809	mltA	membrane-bound lytic murein transglycosylase A	1.07	50.43	0.46	2	25.75	5	207	0	-0.409	GO:0009274 cell wall (sensu Bacteria) -!- GO:0009279 external outer membrane (sensu Gram-negative Bacteria)
P0ADV5	JW3129	ECK3148	yhbW	predicted enzyme	0.39	18.96	0.46	2	5.97	2	144	0	-0.166	0
P0AF67	JW4126	ECK4164	yjeE	ATPase with strong ADP affinity	1.68	78	0.46	2	18.95	2	90	0	-0.086	0
P24554	JW4352	ECK4381	radA	predicted repair protein	0.19	9.44	0.46	2	4.57	2	50	0	0.038	0
P0A8Z0	JW1245	ECK1247	yciA	predicted hydrolase	0.93	44.02	0.46	2	13.64	2	48	0	0.118	0
P0A6P5	JW5403	ECK2507	der	predicted GTP-binding protein	5.04	226.57	0.45	2	50.41	20	882	0	-0.334	0
P60752	JW0897	ECK0905	msbA	fused lipid transporter subunits -!- membrane component and ATP-binding component of ABC superfamily	0.91	43	0.45	2	20.62	9	300	5	0.113	GO:0009274 cell wall (sensu Bacteria) -!- GO:0019866 inner membrane
P27249	JW0162	ECK0165	glnD	uridylyltransferase	0.26	12.79	0.45	2	9.21	6	286	0	-0.294	GO:0005737 cytoplasm
P63417	JW3125	ECK3144	yhbS	predicted acyltransferase with acyl-CoA N-acyltransferase domain	9	398	0.45	2	29.34	5	189	0	-0.075	GO:0009274 cell wall (sensu Bacteria) -!- GO:0019866 inner membrane
P43671	JW0934	ECK0942	pqiB	paraquat-inducible protein B	0.23	11.36	0.45	2	7.69	3	111	1	0.000	0
Q93K97	JW3002	ECK3025	nudF	ADP-ribose pyrophosphatase	0.39	18.96	0.45	2	15.31	2	76	0	-0.216	0
P52119	JW2599	ECK2614	yfjF	predicted protein	0.78	37.12	0.45	2	19.79	2	52	0	-0.584	0
P0A794	JW2548	ECK2562	pdxJ	pyridoxine 5'-phosphate synthase	1.93	89.34	0.44	2	44.44	7	328	0	-0.091	GO:0005737 cytoplasm
P52007	JW5309	ECK1876	yecM	predicted metal-binding enzyme	0.58	27.85	0.44	2	18.09	2	83	0	0.000	0
P0AEQ6	JW0795	ECK0799	glnP	glutamine transporter subunit -!- membrane component of ABC superfamily	0.58	27.85	0.44	2	9.13	2	82	3	0.877	GO:0009274 cell wall (sensu Bacteria) -!- GO:0019866 inner membrane
P0A8L1	JW0876	ECK0884	serS	seryl-tRNA synthetase. also charges selenocysteinyl-tRNA with serine	12.04	527.07	0.43	2	59.53	23	1068	0	-0.447	GO:0005737 cytoplasm
P23882	JW3249	ECK3274	fmt	10-formyltetrahydrofolate:L-methionyl-tRNA(fMet) N-formyltransferase	3.64	165.27	0.43	2	49.52	10	614	0	0.000	GO:0005737 cytoplasm
P36767	JW0384	ECK0388	rdgC	DNA-binding protein. non-specific	2.16	99.64	0.43	2	43.56	10	481	0	-0.222	GO:0005737 cytoplasm
P08142	JW3646	ECK3662	ilvB	acetolactate synthase I. large subunit	1.37	64.08	0.43	2	22.42	7	370	0	0.041	0
P46853	JW3403	ECK3425	yhhX	predicted oxidoreductase with NAD(P)-binding Rossmann-fold domain	1.51	70.42	0.43	2	26.67	7	329	0	-0.346	0
P0A9K7	JW3702	ECK3717	phoU	DNA-binding transcriptional regulator	1.15	54.08	0.43	2	29.46	6	273	0	-0.272	0
P09996	JW3675	ECK3690	yidB	conserved protein	2.16	99.64	0.43	2	34.85	2	110	0	-0.006	0
P23917	JW0385	ECK0389	mak	manno(fructo)kinase	0.58	27.85	0.43	2	12.25	3	106	0	-0.202	0
P75957	JW5162	ECK1103	lolD	outer membrane-specific lipoprotein transporter subunit -!- ATP-binding component of ABC superfamily	0.47	22.71	0.43	2	11.59	2	65	0	-0.182	GO:0005737 cytoplasm
P03007	JW0205	ECK0215	dnaQ	DNA polymerase III epsilon subunit	0.47	22.71	0.43	2	9.47	2	61	0	-0.162	GO:0005737 cytoplasm
