SwissProt accession	SwissProt Entry	Protein description	Observed parent ions	Protein score	Observable peptides	PAI lysate	emPAI	emPAI-derived copy no/cell (see Figure 2)	Detection Frequency	Molecular mass (Da)	Isoelectric point (pI)	GRAVY (Kyte-Doolittle)	number of alternating hydrophobic/hydrophilic stretches	CAI	Essentiality	hgt	Expr_value	FunCat (v.1.3) top level classification	FunCat (v.1.3) complete classification	FunCat class description	SCOP Fold	SCOP Family	SCOP Class	SCOP Fold Description	TMHMM 2.0 number of transmembrane segments	PSORT localisation	Experimentally derived localization	Group	Operon	Running Number	ribosomal protein	log copynumber
P09551	ARGT_ECOLI	Lysine-arginine-ornithine-binding periplasmic protein precursor (LAO-binding protein)	3	98	15	0.2	5.85E-01	2.12E+02	0.004784689	27993	5.52	-0.23	13	0.37	N			63	"63;63.11;"	"PROTEIN WITH BINDING FUNCTION OR COFACTOR REQUIREMENT (structural or catalytic); "	c.94	"c.94.1;"	Alpha and beta proteins (a/b)	Periplasmic binding protein-like II	0	Periplasmic	C	low	argT-hisJQMP	880	no	2.326335861
P0A6D3	AROA_ECOLI	3-phosphoshikimate 1-carboxyvinyltransferase (EC 2.5.1.19) (5-enolpyruvylshikimate-3-phosp	13	656	18	0.72	4.27E+00	6.73E+02	0.009937431	46097	5.35	0	18					1.4	"01.01.01;01.01;01;01.01.01.11;40.03;40;"	"METABOLISM; SUBCELLULAR LOCALISATION; "	d.68	"d.68.2;"	Alpha and beta proteins (a+b)	IF3-like	0	Unknown		low	serC-aroA	304	no	2.828015064
P12008	AROC_ECOLI	Chorismate synthase (EC 4.2.3.5) (5-enolpyruvylshikimate-3-phosphate phospholyase)	3	104	13	0.23	7.01E-01	2.36E+02	0.007974482	39007	6.13	-0.27	7					1	"01.01.01;01.01;01;01.01.01.11;"	"METABOLISM; "					0	Cytoplasmic	C	low		870	no	2.372912003
P05194	AROD_ECOLI	3-dehydroquinate dehydratase (EC 4.2.1.10) (3-dehydroquinase) (Type I DHQase)	4	169	14	0.29	9.31E-01	2.78E+02	0.005980861	27468	5.1	0.07	10					67.01	"01.01.01;01.01;01;01.01.01.11;01.05;67.15;01.05.01;01.05.01.03.09;01.05.01.03;67;"	"TRANSPORT FACILITATION; METABOLISM; "	c.1	"c.1.10;"	Alpha and beta proteins (a/b)	TIM beta/alpha-barrel	0	Cytoplasmic	C	low		726	no	2.444044796
P15770	AROE_ECOLI	Shikimate dehydrogenase (EC 1.1.1.25)	6	294	12	0.5	2.16E+00	4.53E+02	0.006379585	29415	5.39	0.09	7					1.63	"01.01.01;01.01;01;63;63.21.07;01.01.01.11;63.21;"	"METABOLISM; PROTEIN WITH BINDING FUNCTION OR COFACTOR REQUIREMENT (structural or catalytic); "					0	Cytoplasmic		low		526	no	2.656098202
P0AB91	AROG_ECOLI	Phospho-2-dehydro-3-deoxyheptonate aldolase. Phe-sensitive (EC 2.5.1.54) (Phospho-2-keto-3	13	590	14	0.93	7.48E+00	9.32E+02	0.017666544	38011	6.58	-0.18	8	0.38	N			1.4	"01.01.01;01.01;01;40.03;40;"	"METABOLISM; SUBCELLULAR LOCALISATION; "	c.1	"c.1.10;"	Alpha and beta proteins (a/b)	TIM beta/alpha-barrel	0	Cytoplasmic	C	low	aroG	313	no	2.969415912
P0A6D7	AROK_ECOLI	Shikimate kinase I (EC 2.7.1.71) (SKI)	14	659	10	1.4	2.41E+01	1.84E+03	0.012645249	19408	5.11	-0.64	4					1.4	"01.01.01;01.01.01.11.09;01.01;01;01.01.01.11;40.03;40;01.01.01.11.11;01.01.01.11.13;"	"METABOLISM; SUBCELLULAR LOCALISATION; "	c.37	"c.37.1;c.37.1;"	Alpha and beta proteins (a/b)	P-loop containing nucleotide triphosphate hydrolases	0	Cytoplasmic	C	low	aroKB-damX-dam-rpe-gph-trpS	284	no	3.264817823
P30859	ARTI_ECOLI	Arginine-binding periplasmic protein 1 precursor	15	679	11	1.36	2.21E+01	1.75E+03	0.008931419	26931	5.92	-0.33	12	0.54	N			67.01.40	"01.01;01;67.10;40.28;01.01.07;40;67;"	"TRANSPORT FACILITATION; METABOLISM; SUBCELLULAR LOCALISATION; "	c.94	"c.94.1;"	Alpha and beta proteins (a/b)	Periplasmic binding protein-like II	0	Periplasmic	P	low	artPIQMJ	247	no	3.243038049
P30860	ARTJ_ECOLI	Arginine-binding periplasmic protein 2 precursor	4	217	12	0.33	1.15E+00	3.15E+02	0.004784689	26831	7.44	-0.28	12	0.41	N			67.01.40	"01.01;01;67.10;40.28;01.01.07;40;67;"	"TRANSPORT FACILITATION; METABOLISM; SUBCELLULAR LOCALISATION; "	c.94	"c.94.1;"	Alpha and beta proteins (a/b)	Periplasmic binding protein-like II	0	Periplasmic		low	artPIQMJ	698	no	2.498310554
P0AAF6	ARTP_ECOLI	Arginine transport ATP-binding protein artP	2	64	5	0.4	1.51E+00	3.68E+02	0.004784689	27023	6.62	-0.13	10	0.42	N			67.01.63.40	"67.50;01.01;01;63.19;63;67.10;01.01.07;67.50.25;40;40.30;63.19.03;67;"	"TRANSPORT FACILITATION; METABOLISM; PROTEIN WITH BINDING FUNCTION OR COFACTOR REQUIREMENT (structural or catalytic); SUBCELLULAR LOCALISATION; "	c.37	"c.37.1;"	Alpha and beta proteins (a/b)	P-loop containing nucleotide triphosphate hydrolases	0	CytoplasmicMembrane	IM	low	artPIQMJ	1024	no	2.565847819
P00963	ASNA_ECOLI	Aspartate--ammonia ligase (EC 6.3.1.1) (Asparagine synthetase A)	14	758	13	1.08	1.09E+01	1.16E+03	0.006493506	36652	5.6	-0.29	10					01.63.40	"01.01.01;01.01;01;63;40.03;01.01.01.07;63.01;40;01.01.01.07.02;"	"METABOLISM; PROTEIN WITH BINDING FUNCTION OR COFACTOR REQUIREMENT (structural or catalytic); SUBCELLULAR LOCALISATION; "	d.104	"d.104.1;"	Alpha and beta proteins (a+b)	Class II aaRS and biotin synthetases	0	Cytoplasmic	C	low	asnA	299	no	3.064457989
P22106	ASNB_ECOLI	Asparagine synthetase B [glutamine-hydrolyzing] (EC 6.3.5.4)	17	653	24	0.71	4.11E+00	6.58E+02	0.004784689	62529	5.74	-0.36	17	0.47	N			63.01.40	"01.01.01;01;63.19;01.01.01.01;63;01.01.10;01.01.01.01.02;01.01.10.01;40.03;01.01.01.07.02;63.19.03;01.01;01.01.01.07;40;01.01.10.01.05;01.01.01.01.01;"	"PROTEIN WITH BINDING FUNCTION OR COFACTOR REQUIREMENT (structural or catalytic); METABOLISM; SUBCELLULAR LOCALISATION; "	d.153.c.26	"c.26.2;d.153.1;"	Alpha and beta proteins (a/b).Alpha and beta proteins (a+b)	Ntn hydrolase-like.Adenine nucleotide alpha hydrolase-like	0	Cytoplasmic	C	low		234	no	2.818225894
P0AC38	ASPA_ECOLI	Aspartate ammonia-lyase (EC 4.3.1.1) (Aspartase)	11	458	19	0.58	2.79E+00	5.26E+02	0.019138756	52357	5.07	-0.07	9	0.6	N		2.32	1	"01.01;01;01.01.10.03.01;01.01.10;01.01.10.03;"	"METABOLISM; "	a.127	"a.127.1;"	All alpha proteins	L-aspartase-like	0	Cytoplasmic		low	aspA-dcuA	406	no	2.720985744
P0A6E4	ASSY_ECOLI	Argininosuccinate synthase (EC 6.3.4.5) (Citrulline--aspartate ligase)	13	549	22	0.59	2.90E+00	5.37E+02	0.004784689	49768	5.14	-0.38	13					1	"01.01.01;01.01;01;01.01.01.01;01.01.01.01.02;01.01.01.01.02.03;01.01.01.03;01.01.01.03.01;01.01.01.01.01;"	"METABOLISM; "	d.210.c.26	"c.26.2;d.210.1;"	Alpha and beta proteins (a/b).Alpha and beta proteins (a+b)	Argininosuccinate synthetase. C-terminal domain.Adenine nucleotide alpha hydrolase-like	0	Unknown	C	low	argG	328	no	2.729974286
P0A951	ATDA_ECOLI	Spermidine N(1)-acetyltransferase (EC 2.3.1.57) (Diamine acetyltransferase) (SAT)	2	82	12	0.17	4.68E-01	1.86E+02	0.004784689	21757	6.68	-0.45	7	0.34	N			11.01.40	"01;11.01.06;01.02.04.01;01.02.01;01.02.01.09;01.02.01.09.99;40.03;01.07.04;01.02.04;01.02;11.01;01.02.01.09.01;01.07;11;40;01.07.99;"	"CELL RESCUE. DEFENSE AND VIRULENCE; METABOLISM; SUBCELLULAR LOCALISATION; "					0	Cytoplasmic		low		972	no	2.269512944
P0ABB8	ATMA_ECOLI	Mg(2+) transport ATPase. P-type 1 (EC 3.6.3.2)	14	577	30	0.47	1.93E+00	4.24E+02	0.00786056	99468	5.86	0.16	16	0.32	N			67.63.40.13.06	"13.01;63.19;13.01.01;63;67.04;67.50.25;40.30;06;63.19.03;67.50;06.07;13;06.07.03;40;13.01.01.01;67;"	"TRANSPORT FACILITATION; PROTEIN WITH BINDING FUNCTION OR COFACTOR REQUIREMENT (structural or catalytic); SUBCELLULAR LOCALISATION; REGULATION OF / INTERACTION WITH CELLULAR ENVIRONMENT; PROTEIN FATE (folding. modification. destination); "	f.2	"f.2.1;"	Membrane and cell surface proteins and peptides	Membrane all-alpha	7	CytoplasmicMembrane		low		326	no	2.627365857
P0ABB0	ATPA_ECOLI	ATP synthase alpha chain (EC 3.6.3.14)	35	1760	24	1.46	2.77E+01	1.99E+03	0.050580998	55223	6.01	-0.04	13				2.37	67.40.13.02	"13.01;13.01.01;67.04;02;02.45;67.15;40.30;02.11;13.01.01.03;67.50;67.04.01;67.50.22;13;67.04.01.02;02.45.15;40;02.13;67;"	"TRANSPORT FACILITATION; SUBCELLULAR LOCALISATION; REGULATION OF / INTERACTION WITH CELLULAR ENVIRONMENT; ENERGY; "	b.49.a.69.c.37	"b.49.1;a.69.1;c.37.1;"	Alpha and beta proteins (a/b).All beta proteins.All alpha proteins	Left-handed superhelix.P-loop containing nucleotide triphosphate hydrolases.Domain of alpha and beta subunits of F1 ATP synthase-like	0	Unknown	IM	low	atpIBEFHAGDC	89	no	3.298853076
P0ABB4	ATPB_ECOLI	ATP synthase beta chain (EC 3.6.3.14)	41	2165	23	1.78	5.96E+01	3.11E+03	0.031508928	50195	4.74	-0.12	10	0.65	N		1.79	67.40.13.02	"13.01;13.01.01;67.04;02;02.45;67.50.25;67.15;40.30;02.11;13.01.01.03;67.50;67.04.01;13;67.04.01.02;02.45.15;40;02.13;67;"	"TRANSPORT FACILITATION; SUBCELLULAR LOCALISATION; REGULATION OF / INTERACTION WITH CELLULAR ENVIRONMENT; ENERGY; "	b.49.a.69.c.37	"b.49.1;a.69.1;c.37.1;"	Alpha and beta proteins (a/b).All beta proteins.All alpha proteins	Left-handed superhelix.P-loop containing nucleotide triphosphate hydrolases.Domain of alpha and beta subunits of F1 ATP synthase-like	0	Cytoplasmic	IM	high	atpIBEFHAGDC	61	no	3.492760389
P0ABA4	ATPD_ECOLI	ATP synthase delta chain (EC 3.6.3.14)	8	359	7	1.14	1.29E+01	1.28E+03	0.020933014	19333	4.78	0.06	6					67.40.13.02	"13.01;13.01.01;67.04;02;02.45;67.15;40.30;02.11;13.01.01.03;67.50;67.04.01;67.50.22;13;67.04.01.02;02.45.15;40;02.13;67;"	"TRANSPORT FACILITATION; SUBCELLULAR LOCALISATION; REGULATION OF / INTERACTION WITH CELLULAR ENVIRONMENT; ENERGY; "	a.70	"a.70.1;"	All alpha proteins	N-terminal domain of the delta subunit of the F1F0-ATP synthase	0	Cytoplasmic	C	low	atpIBEFHAGDC	466	no	3.10720997
P0A6E6	ATPE_ECOLI	ATP synthase epsilon chain (EC 3.6.3.14) (ATP synthase F1 sector epsilon subunit)	6	325	3	2	9.90E+01	4.18E+03	0.007177033	14938	5.6	-0.11	7					67.40.13.02	"13.01;13.01.01;67.04;02;02.45;67.15;40.30;02.11;13.01.01.03;67.50;67.04.01;67.50.22;13;67.04.01.02;02.45.15;40;02.13;67;"	"TRANSPORT FACILITATION; SUBCELLULAR LOCALISATION; REGULATION OF / INTERACTION WITH CELLULAR ENVIRONMENT; ENERGY; "	a.2.b.93	"b.93.1;a.2.10;"	All beta proteins.All alpha proteins	Long alpha-hairpin.Epsilon subunit of F1F0-ATP synthase N-terminal domain	0	Cytoplasmic	IM	high	atpIBEFHAGDC	569	no	3.621176282
P0ABA0	ATPF_ECOLI	ATP synthase B chain (EC 3.6.3.14)	9	420	10	0.9	6.94E+00	8.92E+02	0.02764487	17265	6.11	-0.21	5				1.2	67.40.13.02	"13.01;13.01.01;67.04;02;02.45;67.15;40.30;02.11;13.01.01.03;67.50;67.04.01;67.50.22;13;67.04.01.02;02.45.15;40;02.13;67;"	"TRANSPORT FACILITATION; SUBCELLULAR LOCALISATION; REGULATION OF / INTERACTION WITH CELLULAR ENVIRONMENT; ENERGY; "	f.2	"f.2.1;"	Membrane and cell surface proteins and peptides	Membrane all-alpha	1	Cytoplasmic	IM	low	atpIBEFHAGDC	458	no	2.950364854
P0ABA6	ATPG_ECOLI	ATP synthase gamma chain (EC 3.6.3.14)	13	557	16	0.81	5.49E+00	7.79E+02	0.016194332	31579	9.42	-0.23	8					67.40.13.02	"13.01;13.01.01;67.04;40.03;02;02.45;67.15;02.11;13.01.01.03;67.50;67.04.01;67.50.22;13;67.04.01.02;02.45.15;40;02.13;67;"	"TRANSPORT FACILITATION; SUBCELLULAR LOCALISATION; REGULATION OF / INTERACTION WITH CELLULAR ENVIRONMENT; ENERGY; "	c.49	"c.49.2;"	Alpha and beta proteins (a/b)	Pyruvate kinase C-terminal domain-like	0	Unknown	IM	low	atpIBEFHAGDC	327	no	2.891537458
P68699	ATPL_ECOLI	ATP synthase C chain (EC 3.6.3.14) (Lipid-binding protein) (Dicyclohexylcarbodiimide-bindi	2	69	1	2	9.90E+01	4.18E+03	0.014354067	8257	4.29	1.27	1					67.40.02.13	"13.01;13.01.01;67.04;02;02.45;67.15;40.30;02.11;13.01.01.03;67.50;67.04.01;67.50.22;13;67.04.01.02;02.45.15;40;02.13;67;"	"TRANSPORT FACILITATION; SUBCELLULAR LOCALISATION; ENERGY; REGULATION OF / INTERACTION WITH CELLULAR ENVIRONMENT; "	f.2	"f.2.1;"	Membrane and cell surface proteins and peptides	Membrane all-alpha	2	CytoplasmicMembrane		high	atpIBEFHAGDC	1004	no	3.621176282
P09053	AVTA_ECOLI	Valine--pyruvate aminotransferase (EC 2.6.1.66) (Transaminase C) (Alanine--valine transami	3	97	10	0.3	9.95E-01	2.89E+02	0.004784689	46712	5.87	-0.07	12	0.35	N			1.63	"01.01.01;01.01;01;63;01.01.10;01.02.01;01.02.01.09;01.02;63.21.17;63.21;"	"METABOLISM; PROTEIN WITH BINDING FUNCTION OR COFACTOR REQUIREMENT (structural or catalytic); "	c.67	"c.67.1;c.67.1;c.67.1;c.67.1;"	Alpha and beta proteins (a/b)	PLP-dependent transferases	0	Cytoplasmic		low		777	no	2.460897843
P41407	AZOR_ECOLI	FMN-dependent NADH-azoreductase	3	114	9	0.33	1.15E+00	3.15E+02	0.004784689	21516	4.93	0.07	5				1.03	01.63.06	"01;01.04;63;06.07;63.01;06;"	"METABOLISM; PROTEIN WITH BINDING FUNCTION OR COFACTOR REQUIREMENT (structural or catalytic); PROTEIN FATE (folding. modification. destination); "	c.23	"c.23.5;"	Alpha and beta proteins (a/b)	Flavodoxin-like	0	Unknown		low		851	no	2.498310554
P69228	BAER_ECOLI	Transcriptional regulatory protein baeR	2	57	14	0.14	3.89E-01	1.67E+02	0.004784689	27657	5.53	-0.28	7	0.39	N			11.63.04.10	"63.03.01;10.01.05.07;63;11.05.01;04.05;63.03;04.05.01.04;11.05;10;04;10.01;10.01.05;04.05.01;11;"	"CELL RESCUE. DEFENSE AND VIRULENCE; PROTEIN WITH BINDING FUNCTION OR COFACTOR REQUIREMENT (structural or catalytic); TRANSCRIPTION; CELLULAR COMMUNICATION/SIGNAL TRANSDUCTION MECHANISM; "	c.23.a.4	"a.4.6;c.23.1;"	Alpha and beta proteins (a/b).All alpha proteins	DNA/RNA-binding 3-helical bundle.Flavodoxin-like	0	Cytoplasmic		low	baeSR	1055	no	2.222716471
P0ABD8	BCCP_ECOLI	Biotin carboxyl carrier protein of acetyl-CoA carboxylase (BCCP)	7	334	6	1.17	1.37E+01	1.32E+03	0.036226931	16688	4.43	0.01	8	0.51	X		1.18	1.63	"01.06;01;63;63.21.15;63.21;01.06.01;01.06.01.05;"	"METABOLISM; PROTEIN WITH BINDING FUNCTION OR COFACTOR REQUIREMENT (structural or catalytic); "	b.84	"b.84.1;"	All beta proteins	Barrel-sandwich hybrid	0	Unknown	C	low	accBC	492	no	3.120573931
P0AE52	BCP_ECOLI	Bacterioferritin comigratory protein	16	853	9	1.78	5.89E+01	3.09E+03	0.0215311	17635	4.93	-0.43	6	0.45	N			11.01.63.65	"65;11.01.01;11.01;01;63.17;63;01.20.50;63.17.09;11;01.20;"	"CELL RESCUE. DEFENSE AND VIRULENCE; METABOLISM; PROTEIN WITH BINDING FUNCTION OR COFACTOR REQUIREMENT (structural or catalytic); ; "	c.47	"c.47.1;"	Alpha and beta proteins (a/b)	Thioredoxin fold	0	Cytoplasmic	C	high		215	no	3.489958479
P0ABD3	BFR_ECOLI	Bacterioferritin (BFR) (Cytochrome B-1) (Cytochrome B-557)	3	135	10	0.3	9.95E-01	2.89E+02	0.012759171	18496	4.53	-0.47	7	0.33	X			11.63.65	"65;63.17;63;11.07.99;63.17.09;11;11.07;"	"CELL RESCUE. DEFENSE AND VIRULENCE; PROTEIN WITH BINDING FUNCTION OR COFACTOR REQUIREMENT (structural or catalytic); ; "	a.25	"a.25.1;"	All alpha proteins	Ferritin-like	0	Cytoplasmic		low		813	no	2.460897843
Q46829	BGLA_ECOLI	6-phospho-beta-glucosidase bglA (EC 3.2.1.86)	21	962	24	0.88	6.50E+00	8.59E+02	0.010025063	55362	5.71	-0.45	18					1.63	"01;01.04;63.13.01;63;63.13;01.05.01.01.02;01.05;01.05.01;01.05.01.01;01.05.01.01.01;"	"METABOLISM; PROTEIN WITH BINDING FUNCTION OR COFACTOR REQUIREMENT (structural or catalytic); "	c.1	"c.1.8;"	Alpha and beta proteins (a/b)	TIM beta/alpha-barrel	0	Cytoplasmic		low		182	no	2.933993164
P33363	BGLX_ECOLI	Periplasmic beta-glucosidase precursor (EC 3.2.1.21) (Gentiobiase) (Cellobiase) (Beta-D-gl	9	430	33	0.27	8.74E-01	2.68E+02	0.004784689	83461	6.11	-0.26	28	0.4	N			1	"01;01.05;01.05.01;01.05.01.01;"	"METABOLISM; "	c.23.c.1	"c.1.8;c.23.11;"	Alpha and beta proteins (a/b)	TIM beta/alpha-barrel.Flavodoxin-like	0	Periplasmic	P	low		425	no	2.428134794
P12996	BIOB_ECOLI	Biotin synthase (EC 2.8.1.6) (Biotin synthetase)	6	289	15	0.4	1.51E+00	3.68E+02	0.004784689	38649	5.23	-0.38	7	0.34	N			1.4	"01;40.03;01.07;01.07.01;40;"	"METABOLISM; SUBCELLULAR LOCALISATION; "					0	Unknown	P	low	bioBFCD	530	no	2.565847819
P13000	BIOD_ECOLI	Dethiobiotin synthetase (EC 6.3.3.3) (Dethiobiotin synthase) (DTB synthetase) (DTBS)	5	198	7	0.71	4.18E+00	6.64E+02	0.004784689	24009	5.7	0.01	4					63.01.40	"01;63.19;63.17;63;40.03;01.07;63.17.07;01.07.01;40;63.19.03;"	"PROTEIN WITH BINDING FUNCTION OR COFACTOR REQUIREMENT (structural or catalytic); METABOLISM; SUBCELLULAR LOCALISATION; "	c.37	"c.37.1;"	Alpha and beta proteins (a/b)	P-loop containing nucleotide triphosphate hydrolases	0	Unknown	C	low	bioBFCD	668	no	2.822168079
P20099	BISC_ECOLI	Biotin sulfoxide reductase (EC 1.-.-.-) (BDS reductase) (BSO reductase)	2	76	31	0.06	1.60E-01	9.99E+01	0.004784689	85852	5.84	-0.3	16	0.34	N			01.40.02	"01;02.13.01;40.28;02;01.02;40;02.13;"	"METABOLISM; SUBCELLULAR LOCALISATION; ENERGY; "	b.52.c.81	"c.81.1;b.52.2;"	Alpha and beta proteins (a/b).All beta proteins	Formate dehydrogenase/DMSO reductase. domains 1-3.Double psi beta-barrel	0	Periplasmic		low		988	no	1.999565488
P0ABE2	BOLA_ECOLI	BolA protein	3	149	4	0.75	4.62E+00	7.04E+02	0.015948963	11995	6.68	-0.19	2					11.14	"14.01;11.01;11.01.99;11.01.11;11;14;11.01.03;"	"CELL RESCUE. DEFENSE AND VIRULENCE; CELL FATE; "					0	Cytoplasmic		low	bolA	795	no	2.847572659
P06129	BTUB_ECOLI	Vitamin B12 receptor precursor	7	303	30	0.23	7.11E-01	2.38E+02	0.00683527	68408	5.17	-0.53	21					01.63.40.10	"01;63.02;63;10;40.31;63.21.09;01.07;10.05;40;01.07.10;"	"METABOLISM; PROTEIN WITH BINDING FUNCTION OR COFACTOR REQUIREMENT (structural or catalytic); SUBCELLULAR LOCALISATION; CELLULAR COMMUNICATION/SIGNAL TRANSDUCTION MECHANISM; "	f.4	"f.4.3;"	Membrane and cell surface proteins and peptides	Transmembrane beta-barrels	0	OuterMembrane	C	low		534	no	2.376576957
P61517	CAN_ECOLI	Carbonic anhydrase 2 (EC 4.2.1.1)	17	837	8	2.13	1.32E+02	4.94E+03	0.021953279	25098	6.64	-0.23	4					1	"01;01.05;01.05.01;01.05.01.01;01.05.01.01.01;"	"METABOLISM; "	c.53	"c.53.2;"	Alpha and beta proteins (a/b)	Resolvase-like	0	Cytoplasmic		high		199	no	3.693726949
P00864	CAPP_ECOLI	Phosphoenolpyruvate carboxylase (EC 4.1.1.31) (PEPCase) (PEPC)	40	1558	46	0.87	6.41E+00	8.51E+02	0.013277512	99064	5.49	-0.28	29					01.40.06.02	"01;06.10;02.09;40.03;02;01.05;40;01.05.01;06;01.05.01.01;01.05.01.01.01;"	"METABOLISM; SUBCELLULAR LOCALISATION; PROTEIN FATE (folding. modification. destination); ENERGY; "	c.1	"c.1.12;"	Alpha and beta proteins (a/b)	TIM beta/alpha-barrel	0	Unknown	C	low		72	no	2.92992956
P0A6F1	CARA_ECOLI	Carbamoyl-phosphate synthase small chain (EC 6.3.5.5) (Carbamoyl-phosphate synthetase glut	11	537	14	0.79	5.11E+00	7.46E+02	0.010874293	41432	6.35	-0.2	12	0.4	N			63.01.06	"01.01.01;01;63.19;01.03;63;01.01.01.01.02;01.01.01.01.02.03;06;63.19.03;01.01;06.10;01.03.04.03;01.03.04;"	"PROTEIN WITH BINDING FUNCTION OR COFACTOR REQUIREMENT (structural or catalytic); METABOLISM; PROTEIN FATE (folding. modification. destination); "	c.23.c.8	"c.8.3;c.23.16;"	Alpha and beta proteins (a/b)	"The ""swivelling"" beta/beta/alpha domain.Flavodoxin-like"	0	Cytoplasmic	C	low	carAB	317	no	2.872738827
P00968	CARB_ECOLI	Carbamoyl-phosphate synthase large chain (EC 6.3.5.5) (Carbamoyl-phosphate synthetase ammo	44	2187	46	0.96	8.05E+00	9.72E+02	0.013592866	117712	5.09	-0.16	36					63.01.40.06	"01.01.01;01;63.19;01.01.01.01;01.03;63.17;63;01.01.01.01.02;40.03;01.01.01.01.02.03;63.17.09;06;63.19.03;01.01;06.10;01.03.04.03;40;01.03.04;"	"PROTEIN WITH BINDING FUNCTION OR COFACTOR REQUIREMENT (structural or catalytic); METABOLISM; SUBCELLULAR LOCALISATION; PROTEIN FATE (folding. modification. destination); "	d.142.c.30.a.92.c.24	"c.30.1;c.24.1;a.92.1;d.142.1;d.142.1;"	Alpha and beta proteins (a/b).Alpha and beta proteins (a+b).All alpha proteins	ATP-grasp.Carbamoyl phosphate synthetase. large subunit connection domain.Biotin carboxylase N-terminal domain-like.Methylglyoxal synthase-like	0	Unknown (This protein may have multiple localization sites.)	C	low	carAB	49	no	2.987666265
P13029	CATA_ECOLI	Peroxidase/catalase HPI (EC 1.11.1.6) (Catalase-peroxidase) (Hydroperoxidase I)	27	1022	31	0.87	6.43E+00	8.53E+02	0.011695906	80025	5.02	-0.37	24	0.51	N		1.23	11.63	"11.07.07.01;11.07.07;63.17;63;63.21.01;11;63.21;11.07;"	"CELL RESCUE. DEFENSE AND VIRULENCE; PROTEIN WITH BINDING FUNCTION OR COFACTOR REQUIREMENT (structural or catalytic); "	a.93	"a.93.1;a.93.1;"	All alpha proteins	Heme-dependent peroxidases	0	Cytoplasmic		low	katG	122	no	2.930949031
P0ABF6	CDD_ECOLI	Cytidine deaminase (EC 3.5.4.5) (Cytidine aminohydrolase) (CDA)	11	559	12	0.92	7.25E+00	9.15E+02	0.014354067	31541	5.57	0	13	0.34	N			1.63	"01;01.03;63.17;63;63.17.09;01.03.04;"	"METABOLISM; PROTEIN WITH BINDING FUNCTION OR COFACTOR REQUIREMENT (structural or catalytic); "	c.97	"c.97.1;"	Alpha and beta proteins (a/b)	Cytidine deaminase-like	0	Unknown		low		389	no	2.961421094
P0A9H7	CFA_ECOLI	Cyclopropane-fatty-acyl-phospholipid synthase (EC 2.1.1.79) (Cyclopropane fatty acid synth	3	103	21	0.14	3.89E-01	1.67E+02	0.004784689	43779	5.92	-0.32	10	0.32	N			1.4	"01.06;01;01.06.07;40.03;40;01.06.01;01.06.01.05;"	"METABOLISM; SUBCELLULAR LOCALISATION; "	c.66	"c.66.1;"	Alpha and beta proteins (a/b)	S-adenosyl-L-methionine-dependent methyltransferases	0	Cytoplasmic		low	cfa	771	no	2.222716471
P0A6F9	CH10_ECOLI	10 kDa chaperonin (Protein Cpn10) (groES protein)	14	688	6	2.33	2.14E+02	6.54E+03	0.087149692	10388	4.99	0	5					11.06	"11.01;11;06;06.01;11.01.05;"	"CELL RESCUE. DEFENSE AND VIRULENCE; PROTEIN FATE (folding. modification. destination); "	b.35	"b.35.1;"	All beta proteins	GroES-like	0	Cytoplasmic	C	high	groE	267	no	3.815577748
P0A6F5	CH60_ECOLI	60 kDa chaperonin (Protein Cpn60) (groEL protein)	96	5282	24	4	1.00E+04	6.10E+04	0.064742823	57199	4.67	-0.01	12					11.06	"11.01;11;06;06.01;11.01.05;"	"CELL RESCUE. DEFENSE AND VIRULENCE; PROTEIN FATE (folding. modification. destination); "	a.129.c.8.d.56	"d.56.1;a.129.1;c.8.5;"	Alpha and beta proteins (a/b).Alpha and beta proteins (a+b).All alpha proteins	"GroEL-like chaperone. intermediate domain.The ""swivelling"" beta/beta/alpha domain.GroEL-like chaperone. ATPase domain"	0	Cytoplasmic	C	high		7	no	4.785329835
P17315	CIRA_ECOLI	Colicin I receptor precursor	16	725	30	0.53	2.41E+00	4.83E+02	0.010466507	73897	4.97	-0.6	24	0.41	N			11.67.40	"40.31;11.05.01.01;11.05.01;11;40;11.05;67;"	"CELL RESCUE. DEFENSE AND VIRULENCE; TRANSPORT FACILITATION; SUBCELLULAR LOCALISATION; "	f.4	"f.4.3;"	Membrane and cell surface proteins and peptides	Transmembrane beta-barrels	0	OuterMembrane	IM	low	cirA	268	no	2.683947131
P0ABH7	CISY_ECOLI	Citrate synthase (EC 2.3.3.1)	19	805	16	1.19	1.44E+01	1.36E+03	0.031730043	48016	6.67	-0.23	10	0.54	N		1.29	40.02	"02.10;40.03;02;40;"	"SUBCELLULAR LOCALISATION; ENERGY; "	a.103	"a.103.1;"	All alpha proteins	Citrate synthase	0	Cytoplasmic	C	low	gltA	195	no	3.133538908
