Accession number	OLN	ECK	Gene	Protein name	emPAI Value	Normalized And Descr Itensity	Copy number per cell	mRNA expression level	mRNA expression level	Sequence coverage (%)	Number of unique peptides	Mascot protein score	Number of TMDs	GRAVY score	GO cellular component
P31547	JW0194	ECK0198	metI	DL-methionine transporter subunit -!- membrane component protein of ABC superfamily	3.64	1	1.69	0,22	0.22	13.36	2	109	5	0.994	GO:0009274 cell wall (sensu Bacteria) -!- GO:0019866 inner membrane
P76491	JW2288	ECK2285	yfbR	deoxyribonucleoside 5'-monophosphatase	0.52	1		0,22	0.22	13.07	2	64	0	-0.216	0
P17993	JW2226	ECK2224	ubiG	bifunctional 3-demethylubiquinone-9 3-methyltransferase -!- 2-octaprenyl-6-hydroxy phenol methylase	0.54	1	99.64	0,22	0.22	13	3	58	0	-0.226	GO:0009274 cell wall (sensu Bacteria) -!- GO:0019866 inner membrane
P0AFI2	JW2987	ECK3010	parC	DNA topoisomerase IV. subunit A	0.78	1	37.12	0,23	0.23	18.88	10	377	0	-0.369	GO:0005737 cytoplasm
P37349	JW5185	ECK1186	dhaH	fused predicted dihydroxyacetone-specific PTS enzyme HPr component -!- EI component	1.23	1	57.72	0,23	0.23	23.31	6	327	0	-0.017	0
P76014	JW5186	ECK1187	dhaL	dihydroxyacetone kinase. C-terminal domain	0.93	1	44.02	0,23	0.23	33.81	4	241	0	-0.106	0
P27829	JW5599	ECK3779	rffD	UDP-N-acetyl-D-mannosaminuronic acid dehydrogenase	0.41	1	20	0,23	0.23	7	2	90	0	0.065	GO:0009274 cell wall (sensu Bacteria)
P0AFI2	JW2987	ECK3010	parC	DNA topoisomerase IV. subunit A	1.31	1	37.12	0,23	0.23	28.19	15	728	0	-0.369	GO:0005737 cytoplasm
P0AEC5	JW2757	ECK2780	barA	hybrid sensory histidine kinase. in two-component regulatory system with UvrY	0.78	1	1.27	0,23	0.23	22.98	14	564	2	-0.109	GO:0009274 cell wall (sensu Bacteria) -!- GO:0019866 inner membrane
P37325	JW0556	ECK0559	ybcH	predicted protein	1	1	1.31	0,23	0.23	22.64	5	252	1	-0.158	0
P37349	JW5185	ECK1186	dhaH	fused predicted dihydroxyacetone-specific PTS enzyme HPr component -!- EI component	0.22	1	57.72	0,23	0.23	4.03	2	97	0	-0.017	0
P76014	JW5186	ECK1187	dhaL	dihydroxyacetone kinase. C-terminal domain	0.39	1	44.02	0,23	0.23	9.52	2	95	0	-0.106	0
P04994	JW2493	ECK2505	xseA	exonuclease VII. large subunit	0.22	1		0,23	0.23	4.82	3	72	0	-0.528	0
P27829	JW5599	ECK3779	rffD	UDP-N-acetyl-D-mannosaminuronic acid dehydrogenase	0.41	1	20	0,23	0.23	7.62	3	64	0	0.065	GO:0009274 cell wall (sensu Bacteria)
P13001	JW3375	ECK3399	bioH	carboxylesterase of pimeloyl-CoA synthesis	0.36	1		0,23	0.23	13	2	53	0	0.039	0
P13036	JW4251	ECK4281	fecA	"KpLE2 phage-like element; ferric citrate outer membrane transporter"	1.82	1	84	0,24	0.24	25.84	14	668	0	-0.517	GO:0009274 cell wall (sensu Bacteria) -!- GO:0009279 external outer membrane (sensu Gram-negative Bacteria)
P76506	JW2343	ECK2340	vacJ	predicted lipoprotein	2.46	1	113.03	0,24	0.24	45.02	7	331	0	-0.291	GO:0009274 cell wall (sensu Bacteria) -!- GO:0019866 inner membrane
P0ABZ4	JW3165	ECK3187	kdsC	3-deoxy-D-manno-octulosonate 8-phosphate phosphatase	0.78	1	37.12	0,24	0.24	26.06	3	153	0	0.239	0
P0AB10	JW5127	ECK0943	ymbA	conserved protein	0.93	1	44.02	0,24	0.24	19.23	2	137	0	-0.158	0
P30178	JW0786	ECK0790	ybiC	predicted dehydrogenase	0.39	1	18.96	0,24	0.24	11.36	2	85	0	-0.084	0
P0AB58	JW1272	ECK1275	yciM	conserved protein	0	1	15	0,24	0.24	11.05	3	45	0	-0.365	0
P13036	JW4251	ECK4281	fecA	"KpLE2 phage-like element; ferric citrate outer membrane transporter"	13.96	1	84	0,24	0.24	60.08	39	2076	0	-0.517	GO:0009274 cell wall (sensu Bacteria) -!- GO:0009279 external outer membrane (sensu Gram-negative Bacteria)
P0AB58	JW1272	ECK1275	yciM	conserved protein	2.46	1	15	0,24	0.24	37.53	12	543	0	-0.365	0
P20966	JW2154	ECK2160	fruA	fused fructose-specific PTS enzyme IIB'BC components	2.98	1	1.63	0,24	0.24	25.58	11	498	9	0.585	GO:0009274 cell wall (sensu Bacteria) -!- GO:0019866 inner membrane
P25535	JW2874	ECK2901	visC	predicted oxidoreductase. FAD/NAD(P)-binding domain	1.82	1		0,24	0.24	26.75	9	472	0	-0.132	0
P76506	JW2343	ECK2340	vacJ	predicted lipoprotein	3.92	1	113.03	0,24	0.24	41.04	7	300	0	-0.291	GO:0009274 cell wall (sensu Bacteria) -!- GO:0019866 inner membrane
P0AB10	JW5127	ECK0943	ymbA	conserved protein	1.68	1	44.02	0,24	0.24	34.07	3	225	0	-0.158	0
P0A812	JW1849	ECK1861	ruvB	ATP-dependent DNA helicase. component of RuvABC resolvasome	0.62	1		0,24	0.24	17.86	4	176	0	-0.089	GO:0005737 cytoplasm
P24173	JW3596	ECK3611	rfaC	ADP-heptose:LPS heptosyl transferase I	0.27	1		0,24	0.24	8.15	2	45	0	-0.219	GO:0019866 inner membrane
P45804	JW3365	ECK3389	yhgE	predicted inner membrane protein	0.26	1	0.97	0,24	0.24	3.14	2	44	11	0.454	GO:0009274 cell wall (sensu Bacteria)
P0AF24	JW0661	ECK0663	nagD	UMP phosphatase	2.51	1	115.26	0,25	0.25	38	5	350	0	0.109	0
P31063	JW1913	ECK1927	yedD	predicted protein	2.16	1	99.64	0,25	0.25	46.72	5	350	0	-0.195	0
P75915	JW1018	ECK1021	ycdY	conserved protein	4.99	1	224.39	0,25	0.25	35.33	5	281	0	-0.166	0
P67087	JW3115	ECK3134	yraL	predicted methyltransferase	0.27	1	13.27	0,25	0.25	10.49	2	137	0	-0.168	0
P0A7I0	JW1202	ECK1199	prfA	peptide chain release factor RF-1	0.53	1	25.52	0,25	0.25	13	4	117	0	-0.001	GO:0005737 cytoplasm
P0AFW4	JW0602	ECK0603	rnk	regulator of nucleoside diphosphate kinase	2.16	1	99.64	0,25	0.25	34.56	2	116	0	-0.029	0
Q9JMR4	JW5408	ECK2558	yfhB	conserved protein	0.52	1	25.05	0,25	0.25	10.43	2	107	1	0.000	0
P31063	JW1913	ECK1927	yedD	predicted protein	18.95	1	99.64	0,25	0.25	74.45	11	669	0	-0.195	0
P07021	JW2586	ECK2602	yfiB	predicted outer membrane lipoprotein	9	1		0,25	0.25	45.63	6	381	0	-0.289	GO:0009274 cell wall (sensu Bacteria) -!- GO:0019866 inner membrane
P0A6H8	JW1241	ECK1243	cls	cardiolipin synthase 1	0.47	1	1.13	0,25	0.25	13.79	4	258	2	0.000	GO:0009274 cell wall (sensu Bacteria) -!- GO:0019866 inner membrane
Q9JMR4	JW5408	ECK2558	yfhB	conserved protein	1.85	1	1	0,25	0.25	21.33	4	235	1	0.000	0
P0AF24	JW0661	ECK0663	nagD	UMP phosphatase	0.87	1	115.26	0,25	0.25	24	3	184	0	0.109	0
P0AER3	JW0649	ECK0647	gltJ	glutamate and aspartate transporter subunit -!- membrane component of ABC superfamily	1.15	1	1.37	0,25	0.25	17.48	3	159	5	0.605	GO:0009274 cell wall (sensu Bacteria) -!- GO:0019866 inner membrane
P64606	JW3161	ECK3183	yrbE	predicted toluene transporter subunit-!- membrane component of ABC superfamily	2.16	1	1.54	0,25	0.25	11.92	3	157	5	0.847	0
P75915	JW1018	ECK1021	ycdY	conserved protein	1.15	1	224.39	0,25	0.25	19.02	3	125	0	-0.166	0
P03961	JW0684	ECK0684	kdpC	potassium translocating ATPase. subunit C	2.16	1	1.54	0,25	0.25	11.05	2	97	1	0.085	GO:0009274 cell wall (sensu Bacteria) -!- GO:0019866 inner membrane
P77304	JW1626	ECK1630	ydgR	predicted transporter	0.58	1	1.19	0,25	0.25	2	2	61	14	0.736	GO:0009274 cell wall (sensu Bacteria) -!- GO:0019866 inner membrane
P00963	JW3722	ECK3738	asnA	asparagine synthetase A	2.16	1	99.64	0,26	0.26	51.21	11	544	0	-0.289	GO:0005737 cytoplasm
P0AG20	JW2755	ECK2778	relA	(p)ppGpp synthetase I/GTP pyrophosphokinase	0.46	1	22.25	0,26	0.26	17.07	9	304	0	-0.337	GO:0009281 cytosolic ribosome (sensu Bacteria) -!- GO:0005737 cytoplasm
P0ACL0	JW3386	ECK3409	glpR	DNA-binding transcriptional repressor	2.83	1	129.48	0,26	0.26	30.56	6	226	0	-0.213	GO:0005737 cytoplasm
P0ABV2	JW2973	ECK2998	exbD	membrane spanning protein in TonB-ExbB-ExbD complex	5.81	1	260.06	0,26	0.26	52.48	5	159	1	0.013	0
P52645	JW1376	ECK1378	ydbH	predicted protein	0.57	1	1.18	0,26	0.26	16.04	10	545	1	-0.164	0
P28306	JW1083	ECK1083	yceG	predicted aminodeoxychorismate lyase	1.37	1	1.42	0,26	0.26	28.82	9	375	1	-0.236	0
P00963	JW3722	ECK3738	asnA	asparagine synthetase A	0.52	1	99.64	0,26	0.26	17.88	4	292	0	-0.289	GO:0005737 cytoplasm
P0AG20	JW2755	ECK2778	relA	(p)ppGpp synthetase I/GTP pyrophosphokinase	0.23	1	22.25	0,26	0.26	10.08	5	197	0	-0.337	GO:0009281 cytosolic ribosome (sensu Bacteria) -!- GO:0005737 cytoplasm
P0AEC8	JW4086	ECK4118	dcuS	sensory histidine kinase in two-component regulatory system with DcuR. regulator of anaerobic fumarate respiration	0.45	1	1.12	0,26	0.26	12	5	177	2	-0.109	GO:0009274 cell wall (sensu Bacteria)
P0ACL0	JW3386	ECK3409	glpR	DNA-binding transcriptional repressor	0.47	1	129.48	0,26	0.26	8.73	2	76	0	-0.213	GO:0005737 cytoplasm
P0ABV2	JW2973	ECK2998	exbD	membrane spanning protein in TonB-ExbB-ExbD complex	2.16	1	2.42	0,26	0.26	23	2	43	1	0.013	0
P0A6U3	JW3719	ECK3734	gidA	glucose-inhibited cell-division protein	0.86	1	41	0,27	0.27	23.05	10	429	0	-0.308	0
P39099	JW3203	ECK3223	degQ	serine endoprotease. periplasmic	1.02	1	48.14	0,27	0.27	25.71	6	413	1	0.055	0
P27828	JW5600	ECK3778	rffE	UDP-N-acetyl glucosamine-2-epimerase	0.82	1	38.96	0,27	0.27	16.76	5	141	0	-0.151	GO:0005737 cytoplasm
P23908	JW3929	ECK3948	argE	acetylornithine deacetylase	0.36	1	17.54	0,27	0.27	8.88	2	94	0	-0.181	GO:0005737 cytoplasm
Q46863	JW2988	ECK3011	ygiS	predicted transporter subunit -!- periplasmic-binding component of ABC superfamily	0.17	1	8.47	0,27	0.27	8.04	2	91	0	-0.374	GO:0042597 periplasmic space
P24205	JW1844	ECK1856	lpxM	myristoyl-acyl carrier protein (ACP)-dependent acyltransferase	0.33	1	16.12	0,27	0.27	9.91	2	69	1	0.000	GO:0009274 cell wall (sensu Bacteria) -!- GO:0019866 inner membrane
P09053	JW5652	ECK3561	avtA	valine-pyruvate aminotransferase	0.29	1	14.22	0,27	0.27	4	2	43	0	-0.065	0
P0A6U3	JW3719	ECK3734	gidA	glucose-inhibited cell-division protein	2.47	1	41	0,27	0.27	36.25	19	894	0	-0.308	0
P27300	JW0898	ECK0906	lpxK	lipid A 4'kinase	2.87	1	1.62	0,27	0.27	42.07	10	496	1	0.064	GO:0009274 cell wall (sensu Bacteria) -!- GO:0009274 cell wall (sensu Bacteria) -!- GO:0030113 capsule (sensu Bacteria) -!- GO:0019866 inner membrane
P24205	JW1844	ECK1856	lpxM	myristoyl-acyl carrier protein (ACP)-dependent acyltransferase	2.65	1	1.21	0,27	0.27	34.67	9	455	1	0.000	GO:0009274 cell wall (sensu Bacteria) -!- GO:0019866 inner membrane
Q46863	JW2988	ECK3011	ygiS	predicted transporter subunit -!- periplasmic-binding component of ABC superfamily	0.37	1	8.47	0,27	0.27	16	4	351	0	-0.374	GO:0042597 periplasmic space
P39099	JW3203	ECK3223	degQ	serine endoprotease. periplasmic	0.35	1	1.68	0,27	0.27	10.33	2	117	1	0.055	0
P09053	JW5652	ECK3561	avtA	valine-pyruvate aminotransferase	0.47	1	14.22	0,27	0.27	9.35	3	108	0	-0.065	0
P77611	JW1621	ECK1625	rsxC	fused predicted 4Fe-4S ferredoxin-type protein	0.11	1		0,27	0.27	3.38	2	58	0	-0.416	GO:0009274 cell wall (sensu Bacteria) -!- GO:0019866 inner membrane
P27245	JW5248	ECK1523	marR	DNA-binding transcriptional repressor	0.58	1		0,27	0.27	26.39	2	53	0	0.051	GO:0005737 cytoplasm
P0A749	JW3156	ECK3178	murA	UDP-N-acetylglucosamine 1-carboxyvinyltransferase	2.78	1	127.26	0,28	0.28	35.56	13	543	0	0.000	GO:0009274 cell wall (sensu Bacteria)
P37765	JW1261	ECK1263	rluB	23S rRNA pseudouridylate synthase	6.08	1	271.77	0,28	0.28	44.33	15	538	0	-0.585	0
P0AC13	JW3144	ECK3166	folP	7.8-dihydropteroate synthase	2.41	1	110.81	0,28	0.28	29.79	8	489	0	-0.022	0
P0A884	JW2795	ECK2823	thyA	thymidylate synthetase	4.88	1	220	0,28	0.28	34.85	8	333	0	-0.382	GO:0005737 cytoplasm
P00887	JW1694	ECK1702	aroH	3-deoxy-D-arabino-heptulosonate-7-phosphate synthase. tryptophan repressible	0.52	1	25.05	0,28	0.28	12.93	4	108	0	-0.315	0
P13669	JW0719	ECK0718	mngR	DNA-binding transcriptional dual regulator. fatty-acyl-binding	0.58	1	27.85	0,28	0.28	8.75	3	43	0	-0.563	GO:0005737 cytoplasm
P37765	JW1261	ECK1263	rluB	23S rRNA pseudouridylate synthase	5.31	1	271.77	0,28	0.28	53.61	14	618	0	-0.585	0
P31433	JW3630	ECK3645	yicH	conserved protein	1.51	1	1.45	0,28	0.28	24.78	12	589	1	-0.161	0
P0AC13	JW3144	ECK3166	folP	7.8-dihydropteroate synthase	2.98	1	110.81	0,28	0.28	34.04	9	398	0	-0.022	0
P0A749	JW3156	ECK3178	murA	UDP-N-acetylglucosamine 1-carboxyvinyltransferase	0.86	1	127.26	0,28	0.28	18.85	7	303	0	0.000	GO:0009274 cell wall (sensu Bacteria)
P00887	JW1694	ECK1702	aroH	3-deoxy-D-arabino-heptulosonate-7-phosphate synthase. tryptophan repressible	0.69	1	25.05	0,28	0.28	16.67	5	260	0	-0.315	0
P36928	JW2054	ECK2063	yegD	predicted chaperone	0.37	1		0,28	0.28	9.78	3	162	0	-0.118	0
P03960	JW0685	ECK0685	kdpB	potassium translocating ATPase. subunit B	0.24	1	0.94	0,28	0.28	6.89	3	148	7	0.358	GO:0009274 cell wall (sensu Bacteria) -!- GO:0019866 inner membrane
P0A884	JW2795	ECK2823	thyA	thymidylate synthetase	0.43	1	220	0,28	0.28	9.09	2	120	0	-0.382	GO:0005737 cytoplasm
P28224	JW1631	ECK1635	ydhA	predicted lipoprotein	4.18	1		0,28	0.28	48.62	4	108	0	-0.314	0
P37627	JW3455	ECK3473	yhiJ	predicted protein	0.28	1		0,28	0.28	6.48	3	39	0	-0.341	0
P24171	JW1531	ECK1531	dcp	dipeptidyl carboxypeptidase II	2.05	1	94.72	0,29	0.29	25.55	12	600	0	-0.331	0
P0A6E4	JW3140	ECK3161	argG	argininosuccinate synthetase	0.65	1	31	0,29	0.29	19.69	7	251	0	-0.371	GO:0005737 cytoplasm
P76256	JW1796	ECK1805	yeaZ	predicted peptidase	1.15	1	54.08	0,29	0.29	25.11	3	228	0	-0.071	0
P18775	JW5118	ECK0885	dmsA	dimethyl sulfoxide reductase. anaerobic. subunit A	0.11	1	5.56	0,29	0.29	3.32	2	67	0	-0.436	GO:0009274 cell wall (sensu Bacteria) -!- GO:0019866 inner membrane
P31808	JW1263	ECK1265	yciK	predicted oxoacyl-(acyl carrier protein) reductase. EmrKY-TolC system	0.58	1	27.85	0,29	0.29	17.06	3	63	0	-0.321	0
P05852	JW3036	ECK3054	ygjD	predicted peptidase	1	1	24.12	0,29	0.29	11.28	2	39	0	0.015	0
P46474	JW5542	ECK3234	yhdP	conserved membrane protein. predicted transporter	1.56	1	1.46	0,29	0.29	34.04	28	1443	1	-0.279	0
P45800	JW3361	ECK3385	yrfF	predicted inner membrane protein	1.28	1	1	0,29	0.29	17.72	9	563	5	-0.097	0
P18392	JW1601	ECK1604	rstB	sensory histidine kinase in two-component regulatory system with RstA	0.93	1	1.31	0,29	0.29	16.63	6	321	2	-0.026	GO:0009274 cell wall (sensu Bacteria) -!- GO:0019866 inner membrane
P77307	JW5066	ECK0485	ybbM	predicted inner membrane protein	2.16	1	1.54	0,29	0.29	18.15	5	196	7	0.726	GO:0009274 cell wall (sensu Bacteria) -!- GO:0019866 inner membrane
P24171	JW1531	ECK1531	dcp	dipeptidyl carboxypeptidase II	0.32	1	94.72	0,29	0.29	4.41	4	179	0	-0.331	0
P23898	JW1698	ECK1706	nlpC	predicted lipoprotein	1.31	1		0,29	0.29	35.71	4	152	0	-0.292	GO:0009274 cell wall (sensu Bacteria) -!- GO:0019866 inner membrane
P67553	JW5258	ECK1580	ynfC	predicted protein	1.31	1		0,29	0.29	31.78	4	126	0	-0.411	0
P05852	JW3036	ECK3054	ygjD	predicted peptidase	0.31	1	24.12	0,29	0.29	8.01	2	101	0	0.015	0
P76256	JW1796	ECK1805	yeaZ	predicted peptidase	0.78	1	54.08	0,29	0.29	12.99	3	76	0	-0.071	0
P0A6E4	JW3140	ECK3161	argG	argininosuccinate synthetase	0.24	1	31	0,29	0.29	6.71	3	44	0	-0.371	GO:0005737 cytoplasm
P04425	JW2914	ECK2942	gshB	glutathione synthetase	4.46	1	201.25	0,31	0.31	57.28	12	709	0	-0.261	0
P0A9V1	JW3168	ECK3190	yhbG	predicted transporter subunit -!- ATP-binding component of ABC superfamily	3.22	1	146.75	0,31	0.31	40.25	9	413	0	-0.124	GO:0005737 cytoplasm
P39160	JW4286	ECK4314	uxuB	D-mannonate oxidoreductase. NAD-binding	0.91	1	43	0,31	0.31	19.96	6	274	0	-0.141	0
P67080	JW2918	ECK2946	yggS	predicted enzyme	3.39	1	154.25	0,31	0.31	44.87	7	271	0	0.000	0
P22939	JW0411	ECK0415	ispA	geranyltranstransferase	2.16	1	99.64	0,31	0.31	24.08	5	258	0	-0.121	GO:0005737 cytoplasm
P0AGK4	JW3147	ECK3169	yhbY	predicted RNA-binding protein	5.31	1	238.33	0,31	0.31	40.21	4	136	0	-0.182	0
P0ACL9	JW0109	ECK0112	pdhR	DNA-binding transcriptional dual regulator	0.52	1	25.05	0,31	0.31	14.57	2	98	0	-0.551	GO:0005737 cytoplasm
P0A9V1	JW3168	ECK3190	yhbG	predicted transporter subunit -!- ATP-binding component of ABC superfamily	3.22	1	146.75	0,31	0.31	46.47	10	501	0	-0.124	GO:0005737 cytoplasm
P67080	JW2918	ECK2946	yggS	predicted enzyme	2.73	1	154.25	0,31	0.31	37.61	7	273	0	0.000	0
P76594	JW2568	ECK2582	yfiQ	fused predicted acyl-CoA synthetase NAD(P)-binding subunit -!- ATP-binding subunit	0.12	1		0,31	0.31	3.95	2	217	0	-0.119	0
P22939	JW0411	ECK0415	ispA	geranyltranstransferase	2.16	1	99.64	0,31	0.31	16.05	6	213	0	-0.121	GO:0005737 cytoplasm
P0A8D9	JW2292	ECK2289	yfbV	conserved inner membrane protein	0.93	1	1.31	0,31	0.31	12.58	2	97	2	-0.036	0
P00562	JW3911	ECK3932	metL	fused aspartokinase II -!- homoserine dehydrogenase II	0.54	1	25.99	0,32	0.32	12.22	9	444	0	-0.101	0
P0A9F3	JW1267	ECK1269	cysB	DNA-binding transcriptional dual regulator. O-acetyl-L-serine-binding	1.08	1	50.89	0,32	0.32	23.77	6	265	0	-0.077	GO:0005737 cytoplasm
P69811	JW3895	ECK3916	fpr	ferredoxin-NADP reductase	0.87	1	41.26	0,32	0.32	13	3	167	0	-0.194	0
P45748	JW3243	ECK3269	yrdC	dsRNA-binding protein	0.58	1	27.85	0,32	0.32	15.79	3	166	0	-0.057	0
P64588	JW3042	ECK3061	yqjI	predicted transcriptional regulator	0.93	1	44.02	0,32	0.32	12.56	3	138	0	-0.001	0
P52108	JW1600	ECK1603	rstA	DNA-bindng response regulator in two-component regulatory system with RstB	0.47	1	22.71	0,32	0.32	10.33	2	52	0	-0.064	GO:0005737 cytoplasm
P21189	JW0059	ECK0061	polB	DNA polymerase II	0	1	5.07	0,32	0.32	2.04	2	24	0	-0.451	GO:0005737 cytoplasm
P0A9F3	JW1267	ECK1269	cysB	DNA-binding transcriptional dual regulator. O-acetyl-L-serine-binding	0.87	1	50.89	0,32	0.32	20.06	6	191	0	-0.077	GO:0005737 cytoplasm
P45748	JW3243	ECK3269	yrdC	dsRNA-binding protein	0.58	1	27.85	0,32	0.32	21.05	3	159	0	-0.057	0
P00562	JW3911	ECK3932	metL	fused aspartokinase II -!- homoserine dehydrogenase II	0.15	1	25.99	0,32	0.32	6	3	124	0	-0.101	0
P0ADG4	JW2517	ECK2530	suhB	inositol monophosphatase	21.54	1	926.36	0,33	0.33	62	20	953	0	-0.171	GO:0005737 cytoplasm
P06129	JW3938	ECK3958	btuB	vitamin B12/cobalamin outer membrane transporter	1.97	1	91.13	0,33	0.33	36.64	15	695	0	-0.534	GO:0009274 cell wall (sensu Bacteria) -!- GO:0009279 external outer membrane (sensu Gram-negative Bacteria)
P0A6I0	JW0893	ECK0901	cmk	cytidylate kinase	6	1	276.96	0,33	0.33	66.08	10	400	0	0.000	GO:0005737 cytoplasm
P20083	JW2998	ECK3021	parE	DNA topoisomerase IV. subunit B	0.87	1	41.26	0,33	0.33	19.68	8	394	0	-0.345	GO:0005737 cytoplasm
P03018	JW3786	ECK3808	uvrD	DNA-dependent ATPase I and helicase II	0.33	1	16.12	0,33	0.33	10.28	6	197	0	-0.458	GO:0005737 cytoplasm
P0AD57	JW3154	ECK3176	ispB	octaprenyl diphosphate synthase	0.93	1	44.02	0,33	0.33	14.55	3	182	0	-0.095	0
P0A7C6	JW3981	ECK4013	pepE	(alpha)-aspartyl dipeptidase	2.16	1	99.64	0,33	0.33	24.89	4	174	0	0.124	0
P25740	JW3606	ECK3621	rfaG	glucosyltransferase I	0	1	15	0,33	0.33	9.63	3	165	0	-0.341	GO:0019866 inner membrane
P0ACU7	JW5733	ECK4129	yjdC	predicted transcriptional regulator	0.93	1	44.02	0,33	0.33	30.89	4	132	0	-0.305	0
P07604	JW1316	ECK1319	tyrR	DNA-binding transcriptional dual regulator. tyrosine-binding	0.47	1	22.71	0,33	0.33	12	4	108	0	-0.208	GO:0005737 cytoplasm
P65367	JW2761	ECK2784	yqcA	predicted flavoprotein	1.15	1	54.08	0,33	0.33	18.79	2	42	0	-0.117	0
P06129	JW3938	ECK3958	btuB	vitamin B12/cobalamin outer membrane transporter	15.68	1	91.13	0,33	0.33	66.12	36	2002	0	-0.534	GO:0009274 cell wall (sensu Bacteria) -!- GO:0009279 external outer membrane (sensu Gram-negative Bacteria)
P0ADG4	JW2517	ECK2530	suhB	inositol monophosphatase	10.45	1	926.36	0,33	0.33	62.55	17	921	0	-0.171	GO:0005737 cytoplasm
P20083	JW2998	ECK3021	parE	DNA topoisomerase IV. subunit B	2.76	1	41.26	0,33	0.33	31.75	19	857	0	-0.345	GO:0005737 cytoplasm
P03018	JW3786	ECK3808	uvrD	DNA-dependent ATPase I and helicase II	0.46	1	16.12	0,33	0.33	16.94	8	520	0	-0.458	GO:0005737 cytoplasm
P0AGC7	JW4350	ECK4379	ytjB	conserved protein	2.46	1	1.58	0,33	0.33	46.26	7	390	1	0.000	GO:0009274 cell wall (sensu Bacteria) -!- GO:0019866 inner membrane
P0A6I0	JW0893	ECK0901	cmk	cytidylate kinase	2.16	1	276.96	0,33	0.33	21.15	6	330	0	0.000	GO:0005737 cytoplasm
P07604	JW1316	ECK1319	tyrR	DNA-binding transcriptional dual regulator. tyrosine-binding	0.36	1	22.71	0,33	0.33	10.53	4	194	0	-0.208	GO:0005737 cytoplasm
P25742	JW3607	ECK3622	rfaQ	lipopolysaccharide core biosynthesis protein	0.41	1		0,33	0.33	14.24	3	141	0	-0.164	GO:0019866 inner membrane
P0AD57	JW3154	ECK3176	ispB	octaprenyl diphosphate synthase	0.64	1	44.02	0,33	0.33	15.48	2	116	0	-0.095	0
P33593	JW3444	ECK3463	nikD	nickel transporter subunit -!- ATP-binding component of ABC superfamily	0.39	1		0,33	0.33	7.09	2	111	0	0.297	GO:0005737 cytoplasm
P0A6L0	JW4344	ECK4373	deoC	2-deoxyribose-5-phosphate aldolase. NAD(P)-linked	1.85	1	85.75	0,34	0.34	56	10	524	0	-0.014	GO:0005737 cytoplasm
P15770	JW3242	ECK3268	aroE	dehydroshikimate reductase. NAD(P)-binding	1.03	1	49	0,34	0.34	20.96	4	213	0	0.088	0
P0CB39	JW3927	ECK3946	yijP	conserved inner membrane protein	0.53	1	25.52	0,34	0.34	9.53	5	172	5	-0.323	GO:0009274 cell wall (sensu Bacteria)
P0AG93	JW0399	ECK0403	secF	SecYEG protein translocase auxillary subunit	1.78	1	83	0,34	0.34	12.69	4	167	6	0.401	GO:0009274 cell wall (sensu Bacteria) -!- GO:0019866 inner membrane
P03856	JW5604	ECK3770	rep	DNA helicase and single-stranded DNA-dependent ATPase	0.28	1	13.75	0,34	0.34	8.77	5	130	0	-0.408	GO:0005737 cytoplasm
P64636	JW5865	ECK3386	yrfG	predicted hydrolase	1.78	1	83	0,34	0.34	20.72	3	119	0	-0.309	0
P0A6B4	JW4013	ECK4045	alr	alanine racemase 1. PLP-binding. biosynthetic	0.35	1	17.07	0,34	0.34	13.65	3	116	0	-0.106	0
P0A901	JW4110	ECK4145	blc	outer membrane lipoprotein (lipocalin)	0.93	1	44.02	0,34	0.34	24.86	4	86	0	-0.214	GO:0009274 cell wall (sensu Bacteria) -!- GO:0009279 external outer membrane (sensu Gram-negative Bacteria)
P0CB39	JW3927	ECK3946	yijP	conserved inner membrane protein	5	1	1.41	0,34	0.34	36.05	18	769	5	-0.323	GO:0009274 cell wall (sensu Bacteria)
P0AG93	JW0399	ECK0403	secF	SecYEG protein translocase auxillary subunit	11.92	1	1.92	0,34	0.34	24.77	8	566	6	0.401	GO:0009274 cell wall (sensu Bacteria) -!- GO:0019866 inner membrane
P0A901	JW4110	ECK4145	blc	outer membrane lipoprotein (lipocalin)	5.11	1	44.02	0,34	0.34	47.46	11	477	0	-0.214	GO:0009274 cell wall (sensu Bacteria) -!- GO:0009279 external outer membrane (sensu Gram-negative Bacteria)
P15770	JW3242	ECK3268	aroE	dehydroshikimate reductase. NAD(P)-binding	1.42	1	49	0,34	0.34	22.79	5	229	0	0.088	0
P0A6L0	JW4344	ECK4373	deoC	2-deoxyribose-5-phosphate aldolase. NAD(P)-linked	0.37	1	85.75	0,34	0.34	19.31	3	216	0	-0.014	GO:0005737 cytoplasm
P03856	JW5604	ECK3770	rep	DNA helicase and single-stranded DNA-dependent ATPase	0.11	1	13.75	0,34	0.34	3.57	2	120	0	-0.408	GO:0005737 cytoplasm
P14375	JW3968	ECK3996	zraR	fused DNA-binding response regulator in two-component regulatory system with ZraS	0.19	1		0,34	0.34	6.35	2	39	0	-0.033	GO:0005737 cytoplasm
P0AEI4	JW0819	ECK0825	yliG	predicted SAM-dependent methyltransferase	1.47	1	68.61	0,35	0.35	34.01	11	463	0	0.000	0
P16095	JW1803	ECK1812	sdaA	L-serine deaminase I	2.55	1	117.04	0,35	0.35	28.19	10	455	0	-0.051	0
