predicted location (PSORTbv3.0.2)		Score			emPAI			Peptides			Sequence coverage (%)	
253773710	short-chain dehydrogenase/reductase SDR 	cytoplasmic membrane	53	46		0,12	0,12		4	1		14,5	4,6	
253774872	preprotein translocase, SecA subunit 	cytoplasmic membrane		47	52		0,03	0,07		2	2		1,5	1,5
253771523	ribosomal protein L33 	cytoplasmic			98			0,60			2			39,2
253773279	signal peptide peptidase SppA, 67K type 	cytoplasmic membrane		96			0,05			1			2,1	
253772669	protein of unknown function DUF1131 	unknown		95			0,34			2			13,6	
253772411	DNA mismatch repair protein MutS 	cytoplasmic			95			0,03			2			3
253774068	formate acetyltransferase 	cytoplasmic		94			0,21			11			15,3	
253771965	ABC transporter related 	cytoplasmic membrane			93			0,42			3			14,5
253775151	surface antigen (D15) 	outer membrane		92			0,16			6			10,4	
253773266	glyceraldehyde-3-phosphate dehydrogenase, type I 	cytoplasmic		92			0,31			3			10,6	
253771606	glycyl-tRNA synthetase, beta subunit 	cytoplasmic		44	48		0,09	0,04		2	2		3,5	3,8
253772786	aminotransferase class I and II 	cytoplasmic			92			0,15			5			12,1
253773228	PTS system, mannose/fructose/sorbose family, IIC subunit 	cytoplasmic membrane		91			0,12			1			7,1	
253773876	PTS system, glucose-specific IIBC subunit 	cytoplasmic membrane		91			0,13			4			9,6	
253771921	rod shape-determining protein MreC 	unknown		91			0,17			5			14,4	
253771708	Type II (General) Secretory Pathway (IISP) Family protein 	cytoplasmic membrane			91			0,29			2			9
253775233	aspartate ammonia-lyase 	cytoplasmic		90			0,13			5			8,8	
253773140	Ferroxidase 	cytoplasmic		89			0,38			2			14,5	
253772699	nucleoside transporter 	cytoplasmic membrane			89			0,08			1			3
253772610	uracil phosphoribosyltransferase 	cytoplasmic			89			0,32			3			13,9
253775313	excinuclease ABC, A subunit 	cytoplasmic			89						3			3,5
253772225	transketolase 	cytoplasmic		87			0,25			5			6,5	
253775395	glutamate racemase 	cytoplasmic			87			0,22			2			6,3
253775526	ubiquinone/menaquinone biosynthesis methyltransferase 	cytoplasmic	86			0,12			1			4,8		
253773043	nucleotide sugar dehydrogenase 	cytoplasmic	43	43		0,08	0,08		2	2		6,2	5,2	
253773882	3-oxoacyl-(acyl-carrier-protein) synthase 2 	cytoplasmic	41		45	0,16		0,16	2		2	5,6		5,6
253773612	ATP-dependent helicase HrpA 	cytoplasmic			86			0,02			2			2
253772553	Glycine hydroxymethyltransferase 	cytoplasmic			86			0,07			2			4,6
253773927	periplasmic glucan biosynthesis protein MdoG 	periplasmic		83			0,12			4			7,8	
253775357	methionine synthase 	cytoplasmic			83			0,07			4			3,1
253775358	transcriptional regulator, IclR family 	cytoplasmic			83			0,11			1			4,4
253775029	Type I site-specific deoxyribonuclease 	cytoplasmic			83			0,13			6			5,4
253773897	flagellar L-ring protein 	outer membrane		82			0,46			3			12,1	
253771980	ribosomal protein L21 	cytoplasmic	81			1,19			3			28,2		
253772235	fructose-bisphosphate aldolase, class II 	cytoplasmic		81			0,08			1			3,9	
253774975	Phosphoglycerate mutase 	cytoplasmic			80			0,14			2			11,6
253772840	lipopolysaccharide kinase 	cytoplasmic			79			0,13			1			6,5
253772822	glycosyl transferase family 2 	cytoplasmic membrane		78			0,09			2			7,5	
253774009	protein of unknown function DUF307 	cytoplasmic membrane		78			0,21			1			7,4	
253774302	succinyl-CoA synthetase, beta subunit 	cytoplasmic		77			0,08			3			8,5	
253775342	binding-protein-dependent transport systems inner membrane component 	cytoplasmic membrane		77			0,12			4			8,2	
253774780	copper resistance lipoprotein NlpE 	outer membrane		77			0,13			1			5,9	
253774981	DNA repair protein RadA 	cytoplasmic membrane			77			0,14			4			9,6
253775212	phosphatidylserine decarboxylase 	cytoplasmic membrane		74			0,19			2			6,8	
253773042	6-phosphogluconate dehydrogenase, decarboxylating 	cytoplasmic		74			0,22			3			7,9	
253774104	protein of unknown function DUF74 	unknown		74			0,30			1			11,2	
253773298	acetylornithine and succinylornithine aminotransferase 	cytoplasmic		73			0,08			2			4,9	
253773860	lipoprotein releasing system, ATP-binding protein 	cytoplasmic membrane			73			0,13			2			10,3
253771709	protein insertion ABC transporter, inner membrane subunit FtsX 	cytoplasmic membrane			73			0,18			2			6,5
253772684	phosphoenolpyruvate-protein phosphotransferase 	cytoplasmic		72			0,11			3			6,3	
253775216	fumarate reductase, flavoprotein subunit 	cytoplasmic membrane		72			0,16			7			10,8	
253774966	aspartate kinase 	cytoplasmic			72			0,11			3			4
253775500	GTP-binding protein HSR1-related 	unknown			72			0,15			1			5,3
253774954	chaperone protein DnaJ 	cytoplasmic			72			0,17			4			10,6
253771981	ribosomal protein L27 	cytoplasmic			71			0,90			3			37,6
253774281	phosphoglycerate mutase 1 family 	cytoplasmic		70			0,12			3			11,2	
253774890	transcriptional regulator, LacI family 	cytoplasmic			70			0,09			1			2,1
253772167	Cytochrome-c3 hydrogenase 	cytoplasmic membrane	69			0,23			7			13,1		
253772317	PTSINtr with GAF domain, PtsP 	cytoplasmic			69			0,04			2			2,8
253773189	pyruvate kinase 	cytoplasmic	68			0,13			3			7,5		
253773813	D-amino-acid dehydrogenase 	cytoplasmic membrane		67			0,14			3			8,6	
253775186	protein of unknown function DUF1471 	unknown		67			0,28			1			8,3	
253772999	uncharacterized chaperone protein YegD 	cytoplasmic			67			0,07			1			2,2
253774352	HAD-superfamily hydrolase, subfamily IIA 	cytoplasmic			67			0,12			1			4,4
253771860	ribosomal protein S19 	cytoplasmic			67			0,32			2			19,1
253771956	multi-sensor hybrid histidine kinase 	cytoplasmic membrane		66			0,04			3			3,9	
253774280	Pectinesterase 	outer membrane		66			0,07			2			5,6	
253773413	electron transport complex, RnfABCDGE type, C subunit 	extracellular		66			0,08			2			2,9	
253771984	D-alanyl-D-alanine carboxypeptidase/D-alanyl-D-alanine-endopeptidase 	periplasmic			66			0,13			2			4,8
253775469	formate dehydrogenase, beta subunit 	cytoplasmic membrane			65			0,10			1			3,7
253772820	polysaccharide deacetylase 	cytoplasmic			65			0,21			3			9,8
253772448	alanyl-tRNA synthetase 	cytoplasmic		64			0,03			3			4	
253774057	lipid A ABC exporter, fused ATPase and inner membrane subunits MsbA 	cytoplasmic membrane		64			0,10			4			6,9	
253774410	peroxiredoxin 	cytoplasmic		64			0,16			1			8,6	
253775230	chaperonin Cpn10 	cytoplasmic		63			0,34			1			14,6	
253772574	cysteine desulfurase IscS 	cytoplasmic			63			0,07			1			3
253772571	inositol monophosphatase 	cytoplasmic			63			0,11			1			4,1
253771613	hypothetical protein ECBD_0183 	unknown			63			0,13			1			5,5
253773327	translation initiation factor IF-3 	cytoplasmic	62			0,35			2			12,2		
253772907	PTS system, fructose subfamily, IIC subunit 	cytoplasmic membrane		62			0,06			2			3,9	
253771508	(p)ppGpp synthetase I, SpoT/RelA 	cytoplasmic			62			0,08			3			4,6
253774378	protein of unknown function DUF163 	unknown		61			0,19			1			5,8	
253771526	Three-deoxy-D-manno-octulosonic-acid transferase domain protein 	unknown			61			0,07			1			2,8
253772156	tonB-system energizer ExbB 	cytoplasmic membrane			61			0,13			1			6,1
253774379	Peptidoglycan glycosyltransferase 	cytoplasmic membrane			61			0,15			2			3,5
253773333	integration host factor, alpha subunit 	cytoplasmic			61			0,30			2			19,2
253772498	16S rRNA processing protein RimM 	cytoplasmic			61			0,35			2			12,6
253773574	TonB-dependent receptor 	outer membrane		60			0,04			5			6,1	
253772899	phosphoesterase PA-phosphatase related 	cytoplasmic membrane		60			0,12			1			4,2	
253772474	Peptidoglycan-binding LysM 	unknown		60			0,21			4			33,6	
253771756	gluconate transporter 	cytoplasmic membrane		59			0,15			2			5,3	
253771872	ribosomal protein L18 	cytoplasmic			59			1,03			5			36,8
253771987	ribosomal RNA large subunit methyltransferase J 	cytoplasmic	58			0,14			1			5,8		
253772683	PTS system, glucose subfamily, IIA subunit 	cytoplasmic		58			0,19			2			14,8	
253774537	heat shock protein Hsp90 	cytoplasmic			58			0,05			1			2,2
253771748	transcriptional regulator, DeoR family 	cytoplasmic			58			0,12			1			3,6
253775621	aspartate/ammonia ligase 	cytoplasmic	57			0,09			1			3,9		
253775360	isocitrate lyase 	cytoplasmic		57			0,07			2			4,8	
253774041	asparaginyl-tRNA synthetase 	cytoplasmic		57			0,13			6			10,9	
253771665	outer membrane lipoprotein, Slp family 	outer membrane		57			0,35			3			19,7	
253773403	pyridoxamine 5'-phosphate oxidase 	cytoplasmic			57			0,13			3			11
253774880	UDP-N-acetylglucosamine--N-acetylmuramyl-(pentapeptide) pyrophosphoryl-undecaprenol N-acetylglucosamine transferase 	cytoplasmic membrane			57			0,18			2			6,8
253773926	glycosyl transferase family 2 	cytoplasmic membrane		56			0,03			5			5,5	
253772888	ribosomal protein L25 	cytoplasmic		56			1,32			4			43,6	
253774351	ROK family protein 	cytoplasmic			56			0,07			1			2,5
253773077	protein of unknown function DUF980 	cytoplasmic			56			0,11			2			9,8
253774580	ubiquinol oxidase, subunit II 	cytoplasmic membrane	55			0,09			1			4,4		
253773460	Diamine N-acetyltransferase 	cytoplasmic	55			0,15			2			13,4		
253772753	Beta-ketoacyl synthase 	cytoplasmic		55			0,08			1			3,2	
253774303	2-oxoglutarate dehydrogenase, E2 subunit, dihydrolipoamide succinyltransferase 	cytoplasmic		55			0,08			3			7,4	
253774569	histone family protein DNA-binding protein 	cytoplasmic		55			0,38			2			15,6	
253773956	delta-1-pyrroline-5-carboxylate dehydrogenase 	cytoplasmic			55			0,07			4			3,4
253771877	ribosomal protein L36 	cytoplasmic			55			0,81			1			21,1
253774942	isoleucyl-tRNA synthetase 	cytoplasmic		54			0,02			1			0,9	
253771502	AsmA family protein 	unknown		54			0,05			3			5,1	
253775559	magnesium and cobalt transport protein CorA 	cytoplasmic membrane		54			0,09			3			6,6	
253774291	protein TolR 	cytoplasmic membrane		54			0,22			2			14,1	
253772064	protein of unknown function DUF883 ElaB 	unknown		54			0,31			1			9,9	
253774487	peptidyl-prolyl cis-trans isomerase cyclophilin type 	cytoplasmic		53			0,19			1			6,7	
253771993	argininosuccinate synthase 	cytoplasmic			53			0,07			3			6
253774861	signaling modulator of AmpD, AmpE 	cytoplasmic membrane		52			0,10			2			5,6	
253773380	Cyclopropane-fatty-acyl-phospholipid synthase 	cytoplasmic			52			0,07			1			2,1
253772534	ribonuclease III 	cytoplasmic			52			0,13			2			6,6
253771522	ribosomal protein L28 	cytoplasmic			52			0,38			5			39,7
253775428	cell division protein FtsN 	cytoplasmic membrane	51			0,09			1			3,1		
253774920	Dihydrofolate reductase 	cytoplasmic	51			0,17			1			4,8		
253773028	dTDP-4-dehydrorhamnose reductase 	cytoplasmic	50			0,10			1			4,7		
253772418	hydrogenase accessory protein HypB 	cytoplasmic	50			0,15			1			6,2		
253775635	UDP-N-acetylglucosamine pyrophosphorylase 	cytoplasmic		50			0,07			2			3,5	
253772236	MscS Mechanosensitive ion channel 	cytoplasmic membrane		50			0,11			1			4,2	
253774724	protein of unknown function DUF1440 	cytoplasmic membrane		50			0,31			2			12,7	
253771977	UDP-N-acetylglucosamine 1-carboxyvinyltransferase 	cytoplasmic			50			0,07			2			5
253773886	3-oxoacyl-(acyl-carrier-protein) synthase III 	cytoplasmic			50			0,10			1			4,1
253773755	oligopeptide/dipeptide ABC transporter, ATPase subunit 	cytoplasmic membrane			50			0,18			3			9,3
253772440	short-chain dehydrogenase/reductase SDR 	cytoplasmic			50			0,25			2			6,9
253772591	1-hydroxy-2-methyl-2-(E)-butenyl 4-diphosphate synthase 	cytoplasmic	49			0,08			3			8,1		
253771887	TrkA-N domain protein 	cytoplasmic membrane		49			0,07			3			5,7	
253773676	hypothetical protein ECBD_2295 	cytoplasmic membrane		49			0,08			1			3,7	
253772632	phosphoribosylaminoimidazole-succinocarboxamide synthase 	cytoplasmic			49			0,12			1			5,1
253772126	protein of unknown function DUF1190 	periplasmic			49			0,14			2			14,3
253773766	UTP-glucose-1-phosphate uridylyltransferase 	cytoplasmic	48			0,21			2			7,3		
253774023	putative RNA methylase 	cytoplasmic		48			0,04			1			1,9	
253774595	deoxyxylulose-5-phosphate synthase 	cytoplasmic		48			0,05			3			5,3	
253774084	ABC transporter, CydDC cysteine exporter (CydDC-E) family, permease/ATP-binding protein CydD 	cytoplasmic membrane		48			0,10			3			4,1	
253773136	CDP-diacylglycerol/glycerol-3-phosphate 3-phosphatidyltransferase 	cytoplasmic membrane		48			0,16			1			5,5	
253773221	uncharacterized protein YebO 	unknown		48			0,32			1			9,5	
253772921	GTP cyclohydrolase I 	cytoplasmic			48			0,13			3			12,2
253772592	histidyl-tRNA synthetase 	cytoplasmic	47			0,07			1			1,6		
253773734	pseudouridine synthase 	cytoplasmic	47			0,10			1			2,7		
253774517	short-chain dehydrogenase/reductase SDR 	cytoplasmic	47			0,11			1			8,2		
253772598	inosine-5'-monophosphate dehydrogenase 	cytoplasmic		47			0,06			3			9,6	
253771637	cellulose synthase subunit B 	cytoplasmic membrane		46			0,04			4			5,2	
253774310	citrate synthase I 	cytoplasmic		46			0,07			1			2,6	
253772151	2,5-didehydrogluconate reductase 	cytoplasmic		46			0,09			2			3,1	
253771768	phosphoenolpyruvate carboxykinase (ATP) 	cytoplasmic		46			0,11			2			5,2	
253772826	YfaZ family protein 	unknown		46			0,18			1			7,8	
253772797	NADH-quinone oxidoreductase, chain I 	cytoplasmic		46			0,34			3			15	
253773888	ribosomal protein L32 	cytoplasmic		46			1,42			1			17,5	
253775119	valyl-tRNA synthetase 	cytoplasmic		46						3			2,5	
253771707	signal recognition particle-docking protein FtsY 	cytoplasmic membrane			46			0,06			2			4,2
253775234	anaerobic c4-dicarboxylate antiporter, Dcu family 	cytoplasmic membrane			46			0,07			1			1,8
253772890	pseudouridine synthase 	cytoplasmic	45			0,13			1			3,9		
253775303	acetate/CoA ligase 	cytoplasmic		45			0,05			3			5,9	
253773712	exoribonuclease II 	cytoplasmic		45			0,05			1			1,7	
253773192	glucose-6-phosphate 1-dehydrogenase 	cytoplasmic			45			0,06			1			2,2
253772535	GTP-binding protein Era 	cytoplasmic membrane			45			0,10			1			3
253773185	ABC transporter related 	cytoplasmic membrane			45			0,11			2			5,2
253774802	uridylate kinase 	cytoplasmic			45			0,27			2			10
253774574	ATP-dependent Clp protease, proteolytic subunit ClpP 	cytoplasmic	44			0,15			1			3,6		
253773167	arginyl-tRNA synthetase 	cytoplasmic		44			0,05			1			1,4	
253774738	aminoacyl-histidine dipeptidase 	cytoplasmic		44			0,06			2			4,3	
253772581	PepB aminopeptidase 	cytoplasmic		44			0,07			1			1,9	
253773739	anthranilate phosphoribosyltransferase 	cytoplasmic		44			0,09			1			2,7	
253773746	OmpW family protein 	outer membrane		44			0,15			2			9,9	
253772883	two component transcriptional regulator, LuxR family 	cytoplasmic			44			0,03			2			2,4
253772801	proton-translocating NADH-quinone oxidoreductase, chain M 	cytoplasmic membrane			44						1			1,6
253771541	L-threonine 3-dehydrogenase 	cytoplasmic	43			0,09			1			5,3		
253773720	Tetratricopeptide domain protein 	cytoplasmic		43			0,07			1			2,3	
253775153	protein of unknown function DUF21 	cytoplasmic membrane		43			0,14			2			4,5	
253775522	twin-arginine translocation protein, TatB subunit 	cytoplasmic membrane		43			0,18			3			18,7	
253774304	2-oxoglutarate dehydrogenase, E1 subunit 	cytoplasmic			43			0,06			2			1,9
253774851	spermidine synthase 	cytoplasmic			43			0,06			1			2,4
253775476	thioesterase domain protein 	cytoplasmic			43			0,09			1			3
253772290	PAS modulated sigma54 specific transcriptional regulator, Fis family 	cytoplasmic	42			0,05			1			1,7		
253772793	NADH-quinone oxidoreductase, E subunit 	cytoplasmic		42						1			4,8	
253774806	UTP-GlnB uridylyltransferase, GlnD 	cytoplasmic membrane			42			0,03			4			4,6
253773343	phosphoenolpyruvate synthase 	cytoplasmic			42			0,04			1			1,1
253771865	ribosomal protein S17 	cytoplasmic			42			0,36			3			23,8
253771436	chromosomal replication initiator protein DnaA 	cytoplasmic	41						1			1,3		
253775198	adenylosuccinate synthetase 	cytoplasmic			41			0,07			1			3
253773366	LPP repeat-containing protein 	outer membrane	6186	2302	1744	10,74	15,69	7,26	5	7	6	57,7	65,4	62,8
253774042	porin Gram-negative type 	outer membrane	2831	3167	2895	1,64	2,95	2,36	12	16	15	27,3	33,4	32,9
253775338	porin LamB type 	outer membrane	3253	789	3348	2,59	1,02	3,94	15	11	21	48	28	52,7
253774796	outer membrane protein assembly complex, YaeT protein 	outer membrane	1356	388	1926	1,70	0,64	3,00	32	24	37	42,2	31,7	54,6
253774014	OmpA domain protein transmembrane region-containing protein 	outer membrane	1664		1613	2,38		2,82	11		10	42,9		45
253774914	Organic solvent tolerance protein 	outer membrane	1030	1271		1,20	0,77		23	19		33,2	25,9	
253775391	translation elongation factor Tu 	cytoplasmic	980	81	1004	1,59	0,16	3,65	14	4	18	38,3	11,2	46,2
253774183	virulence-related outer membrane protein 	outer membrane	1096	368	570	2,20	1,71	0,94	7	6	6	38,6	43,3	43,3
253774297	cytochrome bd ubiquinol oxidase subunit I 	cytoplasmic membrane	279	612	1026	0,32	0,47	0,55	9	8	10	12,8	12,5	13,4
253774607	protein-export membrane protein SecD 	cytoplasmic membrane	380	692	614	0,62	0,78	0,54	12	15	13	22,6	26,2	23,1
253774192	TonB-dependent siderophore receptor 	outer membrane	353	648	519	0,60	0,73	0,54	15	15	16	20,5	20,6	24,9
253775633	ATP synthase F1, beta subunit 	cytoplasmic membrane	780	108	489	1,59	0,21	1,43	13	4	14	28	8,5	34,6
253774288	peptidoglycan-associated lipoprotein 	outer membrane	325	635	400	1,27	5,09	0,64	4	10	6	32,4	45,7	32,9
253775631	ATP synthase F1, alpha subunit 	cytoplasmic	806	90	439	1,52	0,12	0,50	20	4	10	40,4	7,4	20,7
253774548	transporter, hydrophobe/amphiphile efflux-1 (HAE1) family 	cytoplasmic membrane	172	102	871	0,15	0,06	0,62	10	4	17	10	4,1	20,4
253773400	17 kDa surface antigen 	outer membrane	327	417	303	3,81	4,85	1,19	5	6	5	38,7	38,7	38,7
253773763	iron-containing alcohol dehydrogenase 	cytoplasmic	299		745	0,31		0,59	13		17	14,3		20,2
253772127	type I secretion outer membrane protein, TolC family 	outer membrane	222	216	591	0,27	0,27	0,43	6	6	10	15,5	17,1	22,4
253775134	PTS system, trehalose-specific IIBC subunit 	cytoplasmic membrane	464	168	323	0,55	0,28	0,45	6	4	5	12,7	8,5	10,4
253774857	pyruvate dehydrogenase complex dihydrolipoamide acetyltransferase 	cytoplasmic	224	537	172	0,55	0,34	0,40	10	9	7	15,2	15,4	12,4
253774568	PpiC-type peptidyl-prolyl cis-trans isomerase 	cytoplasmic membrane	243	55	563	0,33	0,10	0,46	7	5	13	15,6	8	19,9
253775201	HflK protein 	unknown	111	440	297	0,15	0,52	0,42	3	7	7	8,8	18,6	17,9
253772795	NADH-quinone oxidoreductase, chain G 	cytoplasmic	337		499	0,47		0,38	19		12	18,4		15
253774306	succinate dehydrogenase or fumarate reductase, flavoprotein subunit 	cytoplasmic membrane	258	49	529	0,41	0,05	0,48	11	3	9	16,3	4,3	18,7
253774382	Beta-lactamase 	cytoplasmic membrane	276		478	0,77		1,20	9		10	23,3		28,8
253773229	PTS system, mannose/fructose/sorbose family, IIA subunit 	cytoplasmic	442		302	0,88		1,06	6		10	24,1		26,9
253772976	D-tagatose-bisphosphate aldolase, class II, non-catalytic subunit 	cytoplasmic	289	113	342	0,50	0,31	0,31	8	5	7	19,3	11,4	16,4
253772594	outer membrane assembly lipoprotein YfgL 	outer membrane	91	63	577	0,16	0,08	0,58	2	1	7	8,2	3,1	23,2
253771835	translation elongation factor Tu 	cytoplasmic			699			2,48			17			45,2
253771863	ribosomal protein L16 	cytoplasmic	99	597		0,22	1,23		1	5		11,8	51,5	
253774823	penicillin-binding protein 1B 	cytoplasmic membrane	172	192	321	0,11	0,36	0,27	5	13	8	5,8	15,4	10,8
253772733	membrane protein involved in aromatic hydrocarbon degradation 	outer membrane	158	213	311	0,22	0,30	0,30	4	4	8	11,9	11,4	20,6
253771615	OmpA/MotB domain protein 	outer membrane	203	244	207	0,52	2,08	0,76	2	5	3	11,9	30,6	25,6
253771754	glycogen/starch/alpha-glucan phosphorylase 	cytoplasmic	90	197	339	0,11	0,15	0,33	7	8	9	8	9,5	14,3
253774185	Ferritin Dps family protein 	cytoplasmic	254		346	3,46		2,78	7		8	53,9		58,1
253774433	TonB-dependent siderophore receptor 	outer membrane	94	133	335	0,12	0,08	0,42	6	4	10	8	5,2	16,5
253774804	ribosomal protein S2 	cytoplasmic	295	122	144	0,60	0,42	0,60	6	8	9	28,2	29	34,9
253774547	efflux transporter, RND family, MFP subunit 	cytoplasmic membrane	291		264	0,46		0,83	8		11	23,4		32,5
253771639	cellulose synthase operon C domain protein 	unknown	138		411	0,13		0,32	9		14	8		15,1
253772509	outer membrane assembly lipoprotein YfiO 	outer membrane	219	92	223	0,40	0,12	0,76	3	4	10	14,7	15,1	32,2
253775629	ATP synthase F0, B subunit 	cytoplasmic membrane	153	135	245	0,43	0,71	1,92	2	4	6	17,3	19,2	34,6
253772822	glycosyl transferase family 2 	cytoplasmic membrane	49	309	153	0,09	0,19	0,09	2	4	1	5	11,2	3,7
253772794	NADH-quinone oxidoreductase, F subunit 	cytoplasmic	175	78	228	0,38	0,07	0,29	6	1	8	13,7	2,9	21,8
253771920	cell shape determining protein, MreB/Mrl family 	cytoplasmic	203		273	0,53		0,82	5		7	19,9		23,3
253774858	2-oxo-acid dehydrogenase E1 subunit, homodimeric type 	cytoplasmic	152		321	0,34		0,25	12		10	12,3		11,5
253771561	PTS system, mannitol-specific IIC subunit 	cytoplasmic membrane	64	134	275	0,05	0,10	0,21	2	4	6	4,7	6	10,2
253774373	Rare lipoprotein B 	outer membrane	99	255	115	0,34	1,39	0,55	1	6	3	6,2	37,3	24,4
253775660	60 kDa inner membrane insertion protein 	cytoplasmic membrane	156	81	230	0,23	0,11	0,30	3	2	4	6,8	4,2	7,7
253772979	PTS system, galactitol-specific IIC subunit 	cytoplasmic membrane	120	94	248	0,49	0,14	0,30	6	4	4	10	6,7	7,5
253773868	FAD-dependent pyridine nucleotide-disulphide oxidoreductase 	cytoplasmic membrane	154	87	215	0,22	0,14	0,40	4	5	6	14,5	10,8	16,6
253771875	ribosomal protein L15 	cytoplasmic	92	363		0,23	1,78		2	7		18,1	43,1	
253771938	protein of unknown function DUF1043 	cytoplasmic membrane	96	190	161	0,51	1,27	1,27	2	4	4	22,7	39,4	28
253775592	transcription termination factor Rho 	cytoplasmic	162	75	197	0,61	0,15	0,50	7	6	7	19,3	13,6	17,7
253771745	FAD dependent oxidoreductase 	cytoplasmic	235		190	0,66		0,76	10		13	22,6		25
253772980	Alcohol dehydrogenase GroES domain protein 	cytoplasmic	113	114	196	0,29	0,29	0,40	3	4	4	9,2	13	13
253773441	NAD(P) transhydrogenase, alpha subunit 	cytoplasmic membrane		209	183		0,34	0,26		8	4		15,5	8
253774608	preprotein translocase, YajC subunit 	cytoplasmic membrane	100	192	98	0,29	1,76	0,66	1	5	2	8,2	27,3	20
253773574	TonB-dependent receptor 	outer membrane	96	99	190	0,09	0,13	0,18	5	6	7	6,4	8	13,7
253772779	phosphate acetyltransferase 	cytoplasmic	172		212	0,23		0,18	6		5	9,2		8,7
253772402	Peptidase M23 	outer membrane	100		276	0,17		0,37	3		5	8,2		13,2
253774775	lipoprotein, YaeC family 	cytoplasmic membrane	241		132	0,38		0,24	4		2	23,6		12,2
253774159	Beta-lactamase 	cytoplasmic membrane	163		207	0,44		0,44	6		10	21,5		31,2
253775091	TonB-dependent siderophore receptor 	outer membrane	62	102	199	0,21	0,16	0,35	8	10	11	8,7	9,8	16,9
253775406	sulfatase 	cytoplasmic membrane	138	171	49	0,16	0,27	0,10	5	8	7	8,5	11,6	9
253772631	NlpBDapX family lipoprotein 	outer membrane	181	47	123	0,41	0,19	0,41	3	2	3	12,5	10,2	11,6
253773892	ribonuclease, Rne/Rng family 	cytoplasmic	113	56	180	0,09	0,03	0,12	5	1	5	4,4	0,8	5,6
253773211	Mammalian cell entry related domain protein 	unknown	75	53	217	0,07	0,03	0,18	3	1	7	3,3	1,1	10,4
253775545	5-methyltetrahydropteroyltriglutamate/homocysteine S-methyltransferase 	cytoplasmic	144		195	0,16		0,12	4		5	6,6		7,8
253774604	nucleoside-specific channel-forming protein Tsx 	outer membrane	141	70	122	0,21	0,10	0,33	3	4	4	13,6	11,9	10,5
253772370	enolase 	cytoplasmic	242		89	0,52		0,15	6		5	20,1		13,7
253772014	transport-associated 	periplasmic	193	46	89	0,86	0,17	0,36	4	3	3	25,1	17,8	17,8
253774776	outer membrane lipoprotein 	outer membrane		100	226		0,23	0,52		2	2		20,9	20,9
253772455	efflux pump membrane protein 	cytoplasmic membrane	123		202	0,35		0,45	5		6	14,4		13,1
253775493	GTP-binding protein TypA 	cytoplasmic membrane	131		192	0,21		0,33	7		8	13,2		14,5
253774875	cell division protein FtsZ 	cytoplasmic membrane	99		213	0,17		0,61	3		6	11,7		19,8
253775257	sulfatase 	cytoplasmic membrane		86	217		0,11	0,36		4	6		5,5	9,3
253774854	aconitate hydratase 2 	cytoplasmic	94		206	0,11		0,07	3		5	4,3		6,5
253772224	peptidase M48 Ste24p 	unknown	159		136	0,26		0,26	2		3	14,7		14,7
253774778	prolyl-tRNA synthetase 	cytoplasmic	126		164	0,11		0,22	2		4	4		7,9
253773279	signal peptide peptidase SppA, 67K type 	cytoplasmic membrane		170	120		0,21	0,05		4	1		7,6	2,4
253775223	Entericidin EcnAB 	cytoplasmic membrane	141		146	0,75		0,75	1		1	39,6		39,6
253773227	PTS system, mannose/fructose/sorbose family, IID subunit 	cytoplasmic membrane	84	43	155	0,11	0,11	0,22	1	1	2	4,2	5,2	7,3
253774060	ribosomal protein S1 	cytoplasmic	69	46	163	0,17	0,11	0,23	7	6	9	11	8,6	16,7
253772790	NADH-ubiquinone/plastoquinone oxidoreductase chain 3 	cytoplasmic membrane	54	78	141	0,20	0,45	0,20	1	2	1	7,5	14,3	7,5
253774578	Uncharacterized lipoprotein 	unknown	111	84	76	0,35	0,35	0,16	2	2	1	12	10,4	7,3
253773792	outer membrane lipoprotein LolB 	periplasmic	68	62	135		0,14	0,30	1	1	3	5,8	5,3	10,1
253774289	Tol-Pal system beta propeller repeat protein TolB 	periplasmic	60		200	0,15		0,32	2		6	6,3		14
253775386	ribosomal protein L10 	cytoplasmic	81	54	121	0,19	0,19	0,42	1	1	2	7,9	7,9	14,5
253774296	cytochrome d ubiquinol oxidase, subunit II 	cytoplasmic membrane	133		120	0,45		0,25	4		2	9,5		5,8
253774856	dihydrolipoamide dehydrogenase 	cytoplasmic	88		164	0,06		0,21	2		5	5,3		12,9
253775331	Glycerol-3-phosphate O-acyltransferase 	cytoplasmic membrane	68	183		0,04	0,32		4	15		4,1	15,2	
253772512	ATP-dependent chaperone ClpB 	cytoplasmic	58		191	0,03		0,14	5		6	5		9,2
253772017	LppC family lipoprotein 	cytoplasmic membrane	101		144	0,14		0,19	7		6	10,3		9,9
253772448	alanyl-tRNA synthetase 	cytoplasmic	94	48	102	0,03	0,03	0,07	3	1	3	3,8	1,4	4,2
253775657	tryptophanase 	cytoplasmic	105	76	62	0,20	0,20	0,20	3	3	7	6,6	6,2	12,7
253773461	protein of unknown function DUF1283 	unknown	72	79	89	0,26	0,26	0,26	1	1	1	10,6	10,6	10,6
253774348	PTS system, N-acetylglucosamine-specific IIBC subunit 	cytoplasmic membrane	123	62	52	0,15	0,10	0,05	3	3	2	4,5	4,6	3,2
253774795	outer membrane chaperone Skp (OmpH) 	periplasmic	120		115	0,69		0,19	2		1	17,4		7,5
