Protein name	Protein accession numbers	Protein molecular weight (Da)	Protein identification probability	Number of unique peptides	Number of unique spectra	Number of total spectra	Percentage of total spectra	Percentage sequence coverage
C6EH22_ECOBD UPF0042 nucleotide-binding protein yhbJ OS=Escherichia coli (strain B / BL21-DE3) GN=yhbJ PE=3 SV=1	C6EH22_ECOBD	32,475.6	99.8%	1	1	1	0.0493%	4.58%
C6EH23_ECOBD PTS IIA-like nitrogen-regulatory protein PtsN OS=Escherichia coli (strain B / BL21-DE3) GN=ptsN PE=4 SV=1	C6EH23_ECOBD	17,942.0	53.8%	1	1	1	0.0629%	6.75%
C6EH26_ECOBD ABC transporter related OS=Escherichia coli (strain B / BL21-DE3) GN=yhbG PE=4 SV=1	C6EH26_ECOBD	26,783.5	100.0%	12	15	16	0.561%	70.1%
C6EH28_ECOBD Putative uncharacterized protein OS=Escherichia coli (strain B / BL21-DE3) GN=yrbK PE=4 SV=1	C6EH28_ECOBD	21,716.9	100.0%	10	11	12	0.532%	31.4%
C6EH32_ECOBD ABC transporter related OS=Escherichia coli (strain B / BL21-DE3) GN=yrbF PE=4 SV=1	C6EH32_ECOBD	29,079.6	100.0%	8	9	18	0.887%	36.4%
C6EH33_ECOBD Predicted toluene transporter subunit: membrane component of ABC superfamily OS=Escherichia coli (strain B / BL21-DE3) GN=yrbE PE=4 SV=1	C6EH33_ECOBD	27,846.0	100.0%	4	4	5	0.303%	22.3%
C6EH34_ECOBD Mammalian cell entry related domain protein OS=Escherichia coli (strain B / BL21-DE3) GN=yrbD PE=4 SV=1	C6EH34_ECOBD	19,559.0	100.0%	21	31	64	2.19%	85.2%
C6EH35_ECOBD Predicted ABC-type organic solvent transporter OS=Escherichia coli (strain B / BL21-DE3) GN=yrbC PE=4 SV=1	C6EH35_ECOBD	23,945.5	100.0%	8	9	9	0.338%	34.1%
C6EH41_ECOBD 50S ribosomal protein L21 OS=Escherichia coli (strain B / BL21-DE3) GN=rplU PE=3 SV=1	C6EH41_ECOBD	11,545.9	100.0%	3	3	3	0.170%	20.4%
C6EH42_ECOBD 50S ribosomal protein L27 OS=Escherichia coli (strain B / BL21-DE3) GN=rpmA PE=3 SV=1	C6EH42_ECOBD	9,106.6	59.1%	1	1	1	0.0566%	9.41%
C6EH45_ECOBD D-alanyl-D-alanine carboxypeptidase OS=Escherichia coli (strain B / BL21-DE3) GN=dacB PE=4 SV=1	C6EH45_ECOBD	51,798.2	100.0%	17	19	21	0.773%	48.0%
C6EH49_ECOBD ATP-dependent metalloprotease FtsH OS=Escherichia coli (strain B / BL21-DE3) GN=ECBD_0564 PE=4 SV=1	C6EH49_ECOBD	71,024.8	100.0%	61	79	186	6.57%	68.8%
C6EH52_ECOBD Preprotein translocase, SecG subunit OS=Escherichia coli (strain B / BL21-DE3) GN=secG PE=4 SV=1	C6EH52_ECOBD	11,375.8	100.0%	5	7	22	1.44%	55.5%
C6EH54_ECOBD Argininosuccinate synthase OS=Escherichia coli (strain B / BL21-DE3) GN=argG PE=3 SV=1	C6EH54_ECOBD	49,905.1	53.8%	1	1	1	0.0629%	2.24%
C6EH57_ECOBD Translation initiation factor IF-2 OS=Escherichia coli (strain B / BL21-DE3) GN=infB PE=3 SV=1	C6EH57_ECOBD	97,331.0	100.0%	4	4	5	0.171%	8.09%
C6EH61_ECOBD Polyribonucleotide nucleotidyltransferase OS=Escherichia coli (strain B / BL21-DE3) GN=ECBD_0576 PE=3 SV=1	C6EH61_ECOBD	77,083.0	50.0%	1	1	1	0.0353%	1.13%
C6EH62_ECOBD Putative uncharacterized protein nlpI OS=Escherichia coli (strain B / BL21-DE3) GN=nlpI PE=4 SV=1	C6EH62_ECOBD	33,604.4	72.2%	1	1	1	0.0444%	7.14%
C6EH63_ECOBD ATP-dependent RNA helicase OS=Escherichia coli (strain B / BL21-DE3) GN=deaD PE=3 SV=1	C6EH63_ECOBD	70,530.7	100.0%	3	3	3	0.111%	7.95%
C6EH73_ECOBD NAD-dependent epimerase/dehydratase OS=Escherichia coli (strain B / BL21-DE3) GN=yraR PE=4 SV=1	C6EH73_ECOBD	23,225.4	99.8%	2	2	2	0.0752%	9.48%
C6EH75_ECOBD Putative uncharacterized protein yraP OS=Escherichia coli (strain B / BL21-DE3) GN=yraP PE=4 SV=1	C6EH75_ECOBD	20,009.7	100.0%	6	6	7	0.459%	37.7%
C6EH78_ECOBD LppC family lipoprotein OS=Escherichia coli (strain B / BL21-DE3) GN=yraM PE=4 SV=1	C6EH78_ECOBD	72,821.9	100.0%	19	19	20	0.866%	35.4%
C6EHA8_ECOBD L-threonine/L-serine transporter OS=Escherichia coli (strain B / BL21-DE3) GN=tdcC PE=3 SV=1	C6EHA8_ECOBD	48,863.8	50.0%	1	1	1	0.0515%	2.71%
C6EHB0_ECOBD Formate acetyltransferase OS=Escherichia coli (strain B / BL21-DE3) GN=tdcE PE=3 SV=1	C6EHB0_ECOBD	85,920.6	50.0%	1	1	2	0.0607%	1.70%
C6EHB7_ECOBD Aminodeoxychorismate lyase OS=Escherichia coli (strain B / BL21-DE3) GN=yceG PE=4 SV=1	C6EHB7_ECOBD	38,231.0	100.0%	10	11	12	0.618%	35.0%
C6EHB9_ECOBD 3-oxoacyl-(Acyl carrier protein) synthase OS=Escherichia coli (strain B / BL21-DE3) GN=fabF PE=3 SV=1	C6EHB9_ECOBD	43,028.6	100.0%	7	7	7	0.278%	29.5%
C6EHC1_ECOBD 3-oxoacyl-(Acyl-carrier-protein) reductase OS=Escherichia coli (strain B / BL21-DE3) GN=fabG PE=3 SV=1	C6EHC1_ECOBD	25,489.9	100.0%	1	1	1	0.0666%	4.51%
C6EHC2_ECOBD Acyl carrier protein S-malonyltransferase OS=Escherichia coli (strain B / BL21-DE3) GN=fabD PE=4 SV=1	C6EHC2_ECOBD	32,398.4	50.0%	1	1	2	0.0985%	7.12%
C6EHC4_ECOBD Fatty acid/phospholipid synthesis protein PlsX OS=Escherichia coli (strain B / BL21-DE3) GN=ECBD_2511 PE=3 SV=1	C6EHC4_ECOBD	37,092.8	100.0%	1	1	2	0.0939%	4.34%
C6EHC9_ECOBD Fused ribonucleaseE: endoribonuclease/RNA-binding protein/RNA degradosome binding protein OS=Escherichia coli (strain B / BL21-DE3) GN=rne PE=4 SV=1	C6EHC9_ECOBD	118,266.0	100.0%	42	47	60	2.22%	50.0%
C6EHE4_ECOBD Integral membrane protein MviN OS=Escherichia coli (strain B / BL21-DE3) GN=mviN PE=4 SV=1	C6EHE4_ECOBD	55,252.4	100.0%	3	3	4	0.188%	7.83%
C6EHE7_ECOBD Ribosomal-protein-S5-alanine N-acetyltransferase OS=Escherichia coli (strain B / BL21-DE3) GN=rimJ PE=4 SV=1	C6EHE7_ECOBD	22,670.4	99.8%	1	1	1	0.0724%	4.64%
C6EHE9_ECOBD Glutaredoxin 2 (Grx2) OS=Escherichia coli (strain B / BL21-DE3) GN=grxB PE=4 SV=1	C6EHE9_ECOBD	24,333.7	99.8%	1	1	1	0.0666%	5.58%
C6EHF0_ECOBD Predicted lipoprotein OS=Escherichia coli (strain B / BL21-DE3) GN=yceB PE=4 SV=1	C6EHF0_ECOBD	20,482.3	100.0%	2	2	2	0.0887%	14.5%
C6EHF9_ECOBD Lipid A biosynthesis lauroyl (Or palmitoleoyl) acyltransferase OS=Escherichia coli (strain B / BL21-DE3) GN=htrB PE=4 SV=1	C6EHF9_ECOBD	35,389.6	100.0%	6	7	9	0.463%	28.1%
C6EHG0_ECOBD Major facilitator superfamily MFS_1 OS=Escherichia coli (strain B / BL21-DE3) GN=yceE PE=4 SV=1	C6EHG0_ECOBD	43,851.4	99.5%	2	2	2	0.103%	3.92%
C6EHG3_ECOBD Glycosyl transferase family 2 OS=Escherichia coli (strain B / BL21-DE3) GN=ECBD_2550 PE=4 SV=1	C6EHG3_ECOBD	95,754.9	100.0%	19	21	25	0.926%	26.3%
C6EHG4_ECOBD Glucan biosynthesis protein, periplasmic OS=Escherichia coli (strain B / BL21-DE3) GN=mdoG PE=4 SV=1	C6EHG4_ECOBD	57,895.9	100.0%	7	7	7	0.247%	23.3%
C6EHI9_ECOBD Putative uncharacterized protein OS=Escherichia coli (strain B / BL21-DE3) GN=ycdO PE=4 SV=1	C6EHI9_ECOBD	41,121.0	100.0%	2	2	2	0.103%	6.40%
C6EHJ0_ECOBD FTR1 family protein OS=Escherichia coli (strain B / BL21-DE3) GN=ECBD_2577 PE=4 SV=1	C6EHJ0_ECOBD	30,326.6	80.7%	1	1	1	0.132%	4.71%
C6EHJ1_ECOBD Proline:sodium symporter OS=Escherichia coli (strain B / BL21-DE3) GN=putP PE=3 SV=1	C6EHJ1_ECOBD	54,328.3	99.8%	2	2	2	0.0939%	3.78%
C6EHK5_ECOBD Glucose-1-phosphatase OS=Escherichia coli (strain B / BL21-DE3) GN=agp PE=4 SV=1	C6EHK5_ECOBD	45,676.0	100.0%	4	4	4	0.159%	16.7%
C6EHN9_ECOBD Predicted inner membrane protein OS=Escherichia coli (strain B / BL21-DE3) GN=yhaH PE=4 SV=1	C6EHN9_ECOBD	14,263.9	62.7%	1	1	1	0.0566%	7.44%
C6EHP4_ECOBD Conserved inner membrane protein OS=Escherichia coli (strain B / BL21-DE3) GN=yqjE PE=4 SV=1	C6EHP4_ECOBD	15,129.6	99.8%	2	2	3	0.224%	14.9%
C6EHP5_ECOBD Putative uncharacterized protein OS=Escherichia coli (strain B / BL21-DE3) GN=yqjD PE=4 SV=1	C6EHP5_ECOBD	11,033.7	100.0%	4	4	4	0.177%	30.7%
C6EHQ5_ECOBD Sodium:dicarboxylate symporter OS=Escherichia coli (strain B / BL21-DE3) GN=ygjU PE=3 SV=1	C6EHQ5_ECOBD	43,402.9	50.0%	1	1	1	0.0493%	1.93%
C6EHQ7_ECOBD Integral membrane protein TerC OS=Escherichia coli (strain B / BL21-DE3) GN=ygjT PE=4 SV=1	C6EHQ7_ECOBD	35,964.4	100.0%	3	6	7	0.246%	15.3%
C6EHS8_ECOBD RNA polymerase sigma factor OS=Escherichia coli (strain B / BL21-DE3) GN=rpoD PE=3 SV=1	C6EHS8_ECOBD	70,221.2	100.0%	3	3	3	0.153%	4.89%
C6EHT0_ECOBD 30S ribosomal protein S21 OS=Escherichia coli (strain B / BL21-DE3) GN=rpsU PE=3 SV=1	C6EHT0_ECOBD	8,482.1	99.6%	2	2	2	0.113%	25.4%
C6EHT6_ECOBD Putative uncharacterized protein OS=Escherichia coli (strain B / BL21-DE3) GN=ygiH PE=3 SV=1	C6EHT6_ECOBD	22,176.4	51.8%	1	1	1	0.0444%	6.83%
C6EHT8_ECOBD Undecaprenol kinase OS=Escherichia coli (strain B / BL21-DE3) GN=uppP PE=3 SV=1	C6EHT8_ECOBD	29,742.2	99.8%	2	2	6	0.364%	9.16%
C6EHU0_ECOBD Predicted signal transduction protein (SH3 domain) OS=Escherichia coli (strain B / BL21-DE3) GN=ygiM PE=4 SV=1	C6EHU0_ECOBD	23,058.8	100.0%	15	23	31	1.38%	64.6%
C6EHV1_ECOBD Putative uncharacterized protein OS=Escherichia coli (strain B / BL21-DE3) GN=yqiC PE=4 SV=1	C6EHV1_ECOBD	11,258.3	69.0%	1	1	1	0.0566%	9.38%
C6EHV7_ECOBD UPF0441 protein ygiB OS=Escherichia coli (strain B / BL21-DE3) GN=ygiB PE=3 SV=1	C6EHV7_ECOBD	23,461.2	100.0%	4	5	5	0.188%	24.2%
C6EHV8_ECOBD Outer membrane channel protein OS=Escherichia coli (strain B / BL21-DE3) GN=tolC PE=4 SV=1	C6EHV8_ECOBD	53,723.7	100.0%	34	40	56	2.07%	63.3%
C6EHW7_ECOBD Histidine kinase OS=Escherichia coli (strain B / BL21-DE3) GN=ygiY PE=4 SV=1	C6EHW7_ECOBD	50,265.2	100.0%	18	18	21	0.773%	43.7%
C6EHX6_ECOBD 1-acyl-sn-glycerol-3-phosphate acyltransferase OS=Escherichia coli (strain B / BL21-DE3) GN=plsC PE=4 SV=1	C6EHX6_ECOBD	27,405.7	100.0%	5	7	8	0.301%	21.6%
C6EHX7_ECOBD Multicopper oxidase type 3 OS=Escherichia coli (strain B / BL21-DE3) GN=sufI PE=4 SV=1	C6EHX7_ECOBD	51,840.3	100.0%	1	1	1	0.0368%	2.77%
C6EHY7_ECOBD Membrane spanning protein in TonB-ExbB-ExbD complex OS=Escherichia coli (strain B / BL21-DE3) GN=exbB PE=3 SV=1	C6EHY7_ECOBD	26,269.8	100.0%	7	9	11	0.414%	36.1%
C6EHZ0_ECOBD UPF0114 protein yqhA OS=Escherichia coli (strain B / BL21-DE3) GN=yqhA PE=3 SV=1	C6EHZ0_ECOBD	18,624.1	100.0%	4	5	6	0.309%	20.7%
C6EHZ1_ECOBD Aldo-keto reductase OS=Escherichia coli (strain B / BL21-DE3) GN=yghZ PE=4 SV=1	C6EHZ1_ECOBD	38,815.8	72.6%	1	1	1	0.0407%	1.73%
C6EI19_ECOBD DNA helicase IV OS=Escherichia coli (strain B / BL21-DE3) GN=helD PE=4 SV=1	C6EI19_ECOBD	77,960.3	99.8%	1	1	1	0.0666%	1.02%
C6EI20_ECOBD Conserved inner membrane protein OS=Escherichia coli (strain B / BL21-DE3) GN=yccF PE=4 SV=1	C6EI20_ECOBD	16,257.9	100.0%	3	3	3	0.155%	15.5%
C6EI21_ECOBD Putative uncharacterized protein OS=Escherichia coli (strain B / BL21-DE3) GN=ECBD_2634 PE=4 SV=1	C6EI21_ECOBD	82,002.7	100.0%	2	2	2	0.0740%	2.36%
C6EI25_ECOBD OmpA domain protein transmembrane region-containing protein OS=Escherichia coli (strain B / BL21-DE3) GN=ompA PE=3 SV=1	C6EI25_ECOBD	37,183.0	100.0%	40	55	308	10.8%	79.2%
C6EI27_ECOBD Predicted peptidase OS=Escherichia coli (strain B / BL21-DE3) GN=ycbZ PE=4 SV=1	C6EI27_ECOBD	65,815.4	50.0%	1	1	1	0.0353%	1.71%
C6EI30_ECOBD Putative uncharacterized protein OS=Escherichia coli (strain B / BL21-DE3) GN=ECBD_2643 PE=4 SV=1	C6EI30_ECOBD	20,615.9	100.0%	3	3	4	0.262%	30.5%
C6EI31_ECOBD Mammalian cell entry related domain protein OS=Escherichia coli (strain B / BL21-DE3) GN=pqiB PE=4 SV=1	C6EI31_ECOBD	60,504.4	100.0%	23	29	35	1.14%	51.1%
C6EI32_ECOBD Integral membrane protein, PqiA family OS=Escherichia coli (strain B / BL21-DE3) GN=pqiA PE=4 SV=1	C6EI32_ECOBD	46,446.5	50.0%	1	1	1	0.0515%	3.12%
C6EI37_ECOBD Dihydroorotate dehydrogenase OS=Escherichia coli (strain B / BL21-DE3) GN=pyrD PE=3 SV=1	C6EI37_ECOBD	36,758.1	100.0%	13	16	19	0.755%	42.6%
C6EI52_ECOBD Asparaginyl-tRNA synthetase OS=Escherichia coli (strain B / BL21-DE3) GN=asnS PE=3 SV=1	C6EI52_ECOBD	52,552.3	100.0%	2	2	2	0.0736%	4.51%
"C6EI53_ECOBD Outer membrane porin 1a (Ia;b;F) OS=Escherichia coli (strain B / BL21-DE3) GN=ompF PE=3 SV=1"	C6EI53_ECOBD	39,316.3	100.0%	30	37	174	5.96%	84.3%
C6EI54_ECOBD Aspartate aminotransferase, PLP-dependent OS=Escherichia coli (strain B / BL21-DE3) GN=aspC PE=3 SV=1	C6EI54_ECOBD	43,556.1	100.0%	4	4	4	0.159%	13.1%
C6EI57_ECOBD ErfK/YbiS/YcfS/YnhG family protein OS=Escherichia coli (strain B / BL21-DE3) GN=ycbB PE=4 SV=1	C6EI57_ECOBD	67,823.7	50.0%	1	1	1	0.0614%	1.63%
C6EI58_ECOBD Chromosome partition protein mukB OS=Escherichia coli (strain B / BL21-DE3) GN=mukB PE=3 SV=1	C6EI58_ECOBD	170,199.7	100.0%	3	3	3	0.111%	2.42%
C6EI62_ECOBD Conserved inner membrane protein OS=Escherichia coli (strain B / BL21-DE3) GN=ycbC PE=4 SV=1	C6EI62_ECOBD	28,649.7	100.0%	5	6	6	0.296%	26.6%
C6EI67_ECOBD Tetraacyldisaccharide 4'-kinase OS=Escherichia coli (strain B / BL21-DE3) GN=lpxK PE=3 SV=1	C6EI67_ECOBD	35,570.6	100.0%	4	4	5	0.235%	18.6%
C6EI68_ECOBD Fused lipid transporter subunits of ABC superfamily: membrane component/ATP-binding component OS=Escherichia coli (strain B / BL21-DE3) GN=msbA PE=3 SV=1	C6EI68_ECOBD	64,444.7	100.0%	28	33	43	1.41%	56.4%
C6EI71_ECOBD 30S ribosomal protein S1 OS=Escherichia coli (strain B / BL21-DE3) GN=rpsA PE=4 SV=1	C6EI71_ECOBD	61,139.4	100.0%	3	3	3	0.106%	6.28%
C6EI72_ECOBD Cytidylate kinase OS=Escherichia coli (strain B / BL21-DE3) GN=cmk PE=3 SV=1	C6EI72_ECOBD	24,728.6	61.0%	1	1	1	0.0351%	11.9%
C6EI74_ECOBD 3-phosphoshikimate 1-carboxyvinyltransferase OS=Escherichia coli (strain B / BL21-DE3) GN=aroA PE=3 SV=1	C6EI74_ECOBD	46,065.5	60.3%	1	1	1	0.0752%	2.58%
C6EI78_ECOBD Formate transporter OS=Escherichia coli (strain B / BL21-DE3) GN=focA PE=4 SV=1	C6EI78_ECOBD	30,973.4	99.8%	2	3	4	0.242%	9.12%
C6EI79_ECOBD Formate acetyltransferase OS=Escherichia coli (strain B / BL21-DE3) GN=pflB PE=3 SV=1	C6EI79_ECOBD	85,342.3	100.0%	1	1	1	0.0370%	1.71%
C6EI93_ECOBD DNA-binding transcriptional dual regulator, leucine-binding OS=Escherichia coli (strain B / BL21-DE3) GN=lrp PE=4 SV=1	C6EI93_ECOBD	18,869.3	50.0%	1	1	1	0.0655%	5.49%
C6EI94_ECOBD Thioredoxin reductase OS=Escherichia coli (strain B / BL21-DE3) GN=trxB PE=3 SV=1	C6EI94_ECOBD	34,605.7	100.0%	2	2	2	0.103%	10.9%
C6EI95_ECOBD ABC transporter, CydDC cysteine exporter (CydDC-E) family, permease/ATP-binding protein CydD OS=Escherichia coli (strain B / BL21-DE3) GN=cydD PE=4 SV=1	C6EI95_ECOBD	65,066.8	100.0%	18	21	29	0.948%	33.8%
C6EI96_ECOBD ABC transporter, CydDC cysteine exporter (CydDC-E) family, permease/ATP-binding protein CydC OS=Escherichia coli (strain B / BL21-DE3) GN=cydC PE=4 SV=1	C6EI96_ECOBD	62,903.9	100.0%	17	19	22	0.719%	36.1%
C6EIA2_ECOBD ABC transporter related OS=Escherichia coli (strain B / BL21-DE3) GN=macB PE=3 SV=1	C6EIA2_ECOBD	70,668.9	100.0%	5	5	5	0.176%	12.2%
C6EIA3_ECOBD Efflux transporter, RND family, MFP subunit OS=Escherichia coli (strain B / BL21-DE3) GN=macA PE=4 SV=1	C6EIA3_ECOBD	40,636.2	100.0%	8	10	11	0.437%	26.7%
C6EIA7_ECOBD Predicted transporter OS=Escherichia coli (strain B / BL21-DE3) GN=ybjE PE=4 SV=1	C6EIA7_ECOBD	32,324.4	74.6%	1	1	1	0.0666%	7.02%
C6EIB2_ECOBD Conserved protein with NAD(P)-binding Rossmann-fold domain OS=Escherichia coli (strain B / BL21-DE3) GN=ybjT PE=4 SV=1	C6EIB2_ECOBD	53,718.3	100.0%	3	3	3	0.189%	7.77%
C6EIB5_ECOBD UPF0145 protein ybjQ OS=Escherichia coli (strain B / BL21-DE3) GN=ybjQ PE=3 SV=1	C6EIB5_ECOBD	11,419.0	71.3%	1	1	1	0.0907%	11.2%
C6EIB6_ECOBD Predicted lipoprotein OS=Escherichia coli (strain B / BL21-DE3) GN=ybjP PE=4 SV=1	C6EIB6_ECOBD	18,973.8	100.0%	5	5	5	0.258%	39.8%
C6EIB7_ECOBD Arginine transporter ATP-binding subunit OS=Escherichia coli (strain B / BL21-DE3) GN=artP PE=4 SV=1	C6EIB7_ECOBD	27,004.5	100.0%	3	3	4	0.197%	14.9%
C6EIB8_ECOBD Arginine transporter subunit OS=Escherichia coli (strain B / BL21-DE3) GN=artI PE=3 SV=1	C6EIB8_ECOBD	26,912.1	100.0%	5	5	7	0.263%	30.0%
C6EIB9_ECOBD Arginine transporter subunit OS=Escherichia coli (strain B / BL21-DE3) GN=artQ PE=3 SV=1	C6EIB9_ECOBD	26,200.2	51.8%	1	1	1	0.0444%	7.14%
C6EIC0_ECOBD Arginine transporter subunit OS=Escherichia coli (strain B / BL21-DE3) GN=artM PE=3 SV=1	C6EIC0_ECOBD	24,897.5	100.0%	2	2	2	0.0887%	9.01%
C6EIC1_ECOBD Arginine transporter subunit OS=Escherichia coli (strain B / BL21-DE3) GN=artJ PE=3 SV=1	C6EIC1_ECOBD	26,839.4	100.0%	2	2	2	0.0752%	11.1%
C6EID7_ECOBD Lipoprotein AcfD-like protein OS=Escherichia coli (strain B / BL21-DE3) GN=ECBD_0765 PE=4 SV=1	C6EID7_ECOBD	167,230.2	100.0%	26	29	36	1.33%	20.7%
C6EIE7_ECOBD Lytic transglycosylase catalytic OS=Escherichia coli (strain B / BL21-DE3) GN=ECBD_0776 PE=4 SV=1	C6EIE7_ECOBD	40,227.3	60.3%	1	1	1	0.0752%	2.78%
C6EIF3_ECOBD Putative uncharacterized protein OS=Escherichia coli (strain B / BL21-DE3) GN=yggN PE=4 SV=1	C6EIF3_ECOBD	26,411.4	50.4%	1	1	1	0.0376%	3.35%
C6EIF9_ECOBD Predicted inner membrane protein OS=Escherichia coli (strain B / BL21-DE3) GN=yggT PE=4 SV=1	C6EIF9_ECOBD	21,150.6	99.8%	2	2	2	0.0887%	15.4%
C6EIG4_ECOBD Glutathione synthetase OS=Escherichia coli (strain B / BL21-DE3) GN=gshB PE=3 SV=1	C6EIG4_ECOBD	35,544.6	50.0%	1	1	1	0.0515%	4.75%
C6EIG8_ECOBD Sugar transporter OS=Escherichia coli (strain B / BL21-DE3) GN=ECBD_0797 PE=3 SV=1	C6EIG8_ECOBD	50,938.8	100.0%	2	2	2	0.0939%	2.16%
C6EIH3_ECOBD Peptidase M48 Ste24p OS=Escherichia coli (strain B / BL21-DE3) GN=ECBD_0802 PE=3 SV=1	C6EIH3_ECOBD	26,824.4	100.0%	9	9	9	0.338%	37.3%
C6EIH4_ECOBD Transketolase OS=Escherichia coli (strain B / BL21-DE3) GN=tktA PE=4 SV=1	C6EIH4_ECOBD	72,195.0	100.0%	2	2	2	0.123%	3.92%
C6EII3_ECOBD Phosphoglycerate kinase OS=Escherichia coli (strain B / BL21-DE3) GN=pgk PE=3 SV=1	C6EII3_ECOBD	41,101.2	100.0%	5	6	6	0.238%	18.3%
C6EII4_ECOBD Fructose-bisphosphate aldolase OS=Escherichia coli (strain B / BL21-DE3) GN=fbaA PE=4 SV=1	C6EII4_ECOBD	39,129.3	100.0%	4	4	5	0.235%	8.91%
C6EII5_ECOBD Mechanosensitive channel OS=Escherichia coli (strain B / BL21-DE3) GN=yggB PE=4 SV=1	C6EII5_ECOBD	30,879.0	100.0%	14	18	27	1.02%	47.2%
C6EII7_ECOBD Putative uncharacterized protein OS=Escherichia coli (strain B / BL21-DE3) GN=yggE PE=4 SV=1	C6EII7_ECOBD	26,617.5	100.0%	14	15	16	0.788%	47.2%
C6EIK3_ECOBD Aminomethyltransferase OS=Escherichia coli (strain B / BL21-DE3) GN=gcvT PE=3 SV=1	C6EIK3_ECOBD	40,129.0	50.0%	1	1	1	0.0397%	2.75%
C6EIL2_ECOBD Putative uncharacterized protein OS=Escherichia coli (strain B / BL21-DE3) GN=ygfX PE=4 SV=1	C6EIL2_ECOBD	15,977.4	99.8%	2	2	2	0.113%	7.41%
C6EIL5_ECOBD Protein disulfide isomerase II OS=Escherichia coli (strain B / BL21-DE3) GN=dsbC PE=4 SV=1	C6EIL5_ECOBD	25,632.0	99.8%	2	2	3	0.113%	9.32%
C6EIM8_ECOBD Predicted oxidoreductase OS=Escherichia coli (strain B / BL21-DE3) GN=ygfM PE=4 SV=1	C6EIM8_ECOBD	28,646.3	50.7%	1	1	2	0.0920%	2.32%
C6EIP3_ECOBD Peptidase M23 OS=Escherichia coli (strain B / BL21-DE3) GN=ygeR PE=4 SV=1	C6EIP3_ECOBD	26,547.4	100.0%	7	7	8	0.281%	33.5%
C6EIP8_ECOBD Predicted transporter OS=Escherichia coli (strain B / BL21-DE3) GN=yqeG PE=3 SV=1	C6EIP8_ECOBD	45,083.4	100.0%	2	2	2	0.0985%	4.65%
C6EIQ8_ECOBD Putative transport protein ybjL OS=Escherichia coli (strain B / BL21-DE3) GN=ybjL PE=3 SV=1	C6EIQ8_ECOBD	60,335.7	100.0%	2	2	2	0.0736%	7.31%
C6EIU1_ECOBD Major facilitator superfamily MFS_1 OS=Escherichia coli (strain B / BL21-DE3) GN=cmr PE=4 SV=1	C6EIU1_ECOBD	44,305.5	50.0%	1	1	1	0.0493%	2.44%
C6EIU4_ECOBD Beta-lactamase OS=Escherichia coli (strain B / BL21-DE3) GN=dacC PE=3 SV=1	C6EIU4_ECOBD	43,591.9	100.0%	26	33	43	1.71%	61.0%
C6EIU9_ECOBD Diguanylate cyclase OS=Escherichia coli (strain B / BL21-DE3) GN=yliF PE=4 SV=1	C6EIU9_ECOBD	49,857.0	60.3%	1	1	1	0.0752%	4.98%
C6EIV0_ECOBD Binding-protein-dependent transport systems inner membrane component OS=Escherichia coli (strain B / BL21-DE3) GN=yliD PE=3 SV=1	C6EIV0_ECOBD	33,221.6	67.8%	1	1	1	0.0666%	2.97%
C6EIV1_ECOBD Binding-protein-dependent transport systems inner membrane component OS=Escherichia coli (strain B / BL21-DE3) GN=yliC PE=3 SV=1	C6EIV1_ECOBD	34,049.1	100.0%	3	3	3	0.113%	11.4%
C6EIV2_ECOBD Extracellular solute-binding protein family 5 OS=Escherichia coli (strain B / BL21-DE3) GN=ECBD_2793 PE=4 SV=1	C6EIV2_ECOBD	56,453.6	99.8%	2	2	3	0.0980%	5.08%
C6EIV3_ECOBD ABC transporter related OS=Escherichia coli (strain B / BL21-DE3) GN=ECBD_2794 PE=4 SV=1	C6EIV3_ECOBD	69,096.4	100.0%	2	2	4	0.246%	3.53%
C6EIW3_ECOBD ErfK/YbiS/YcfS/YnhG family protein OS=Escherichia coli (strain B / BL21-DE3) GN=ybiS PE=4 SV=1	C6EIW3_ECOBD	33,307.3	50.0%	1	1	1	0.0493%	8.82%
C6EIW8_ECOBD Outer membrane protein X OS=Escherichia coli (strain B / BL21-DE3) GN=ompX PE=4 SV=1	C6EIW8_ECOBD	18,585.0	100.0%	10	14	24	1.06%	50.9%
C6EIW9_ECOBD Putative uncharacterized protein OS=Escherichia coli (strain B / BL21-DE3) GN=ybiF PE=4 SV=1	C6EIW9_ECOBD	31,152.3	50.4%	1	1	1	0.0376%	2.37%
C6EIX0_ECOBD DNA protection during starvation conditions OS=Escherichia coli (strain B / BL21-DE3) GN=dps PE=3 SV=1	C6EIX0_ECOBD	18,678.1	99.8%	2	2	2	0.0770%	18.6%
C6EIX1_ECOBD Cationic amino acid ABC transporter, periplasmic binding protein OS=Escherichia coli (strain B / BL21-DE3) GN=glnH PE=3 SV=1	C6EIX1_ECOBD	27,173.3	100.0%	4	4	4	0.150%	23.4%
C6EIX2_ECOBD Glutamine ABC transporter permease protein OS=Escherichia coli (strain B / BL21-DE3) GN=glnP PE=3 SV=1	C6EIX2_ECOBD	24,347.9	100.0%	3	3	3	0.133%	13.2%
C6EIX3_ECOBD ABC transporter related OS=Escherichia coli (strain B / BL21-DE3) GN=glnQ PE=4 SV=1	C6EIX3_ECOBD	26,713.2	100.0%	13	18	23	0.865%	54.6%
C6EIX4_ECOBD MscS Mechanosensitive ion channel OS=Escherichia coli (strain B / BL21-DE3) GN=ybiO PE=4 SV=1	C6EIX4_ECOBD	81,889.2	50.0%	1	1	1	0.0353%	1.75%
