EG	GN	SP	GI	JW	ASAP	EB	Len	Description	MW
EG10191	cysJ	P38038	g1789123	JW2734	9063	EB0188	599	"Sulfite reductase [NADPH] flavoprotein alpha-component; binds FMN and FAD"	66269,84
EG10192	cysK	P0ABK5	g1788754	JW2407	7957	EB0189	323	"Cysteine synthase A, O-acetylserine sulfhydrylase A; homodimeric; selenate, azaserine, chromate resistance; alkali-inducible, sulfate starvation-inducible protein SSI5; cysteine desulfhydrase"	34489,65
EG10193	cysM	P16703	g2367138	JW2414	7982	EB0190	303	Cysteine synthase B, O-acetylserine sulfhydrylase B	32664,16
EG10194	cysN	P23845	g1789108	JW2721	9026	EB0191	475	Gtp subunit of ATP sulfurylase	52558,47
EG10195	cysP	P16700	g1788765	JW2418	7992	EB0192	338	Periplasmic sulfate binding protein	37614,57
EG10196	cysS	P21888	g1786737	JW0515	1810	EB0193	461	"Cysteine--tRNA ligase; binds Zn(II)"	52202,09
EG10197	cysU	P16701	g1788764	JW2417	7990	EB0194	277	"Cysteine transport system; may also transport molybdate"	30291,86
EG10198	cysW	P0AEB0	g87082099	JW2416	7988	EB0195	291	"Membrane-bound sulfate transport protein; may also transport molybdate"	32537,59
EG10200	cytR	P0ACN7	g1790369	JW3905	12853	EB0196	341	"Regulatory gene for deo, udp, and cdd; mutants show improved growth on uridine"	37819,78
EG10201	dacA	P0AEB2	g1786851	JW0627	2168	EB0197	403	"D-alanine D-alanine carboxypeptidase PBP5, cell morphology; penicillin-binding protein 5; beta-lactamase activity"	44443,96
EG10202	dacB	P24228	g1789573	JW3149	10458	EB0198	477	"D-alanine D-alanine carboxypeptidase PBP4; penicillin-binding protein 4"	51798,31
EG10203	dacC	P08506	g1787062	JW0823	2860	EB0199	400	"D-alanine D-alanine carboxypeptidase PBP6; penicillin-binding protein 6"	43608,91
EG10204	dam	P0AEE8	g1789789	JW3350	11063	EB0200	278	"DNA-(adenine-N6)-methyltransferase, methylates GATC; role in repair and replication"	32099,61
EG10205	dapA	P0A6L2	g1788823	JW2463	8163	EB0201	292	Dihydrodipicolinate synthase	31269,97
EG10206	dapB	P04036	g1786214	JW0029	112	EB0202	273	Dihydrodipicolinate reductase	28756,61
EG10207	dapD	P0A9D8	g1786362	JW0161	565	EB0203	274	"2,3,4,5-tetrahydropyridine-2-carboxylate N-succinyltransferase; mutations suppress growth defects of strains lacking superoxide dismutase"	29892,1
EG10208	dapE	P0AED7	g1788816	JW2456	8142	EB0204	375	N-succinyl-diaminopimelate desuccinylase, DAP/lysine biosynthesis, contains Zn(2+)/Co(2+)	41269,01
EG10209	dapF	P0A6K1	g87082334	JW5592	12442	EB0205	274	Diaminopimelate epimerase	30208,56
EG10210	dbpA	P21693	g1787605	JW1337	4511	EB0206	457	ATP-dependent 3'-5' RNA helicase, specific for 23S rRNA	49187,77
EG10211	dcm	P0AED9	g1788271	JW1944	6509	EB0207	472	"DNA cytosine methyltransferase; internal cytosine methylated"	53464,8
EG10212	dcp	P24171	g1787819	JW1531	5133	EB0208	681	Dipeptidyl carboxypeptidase II	77515,75
EG10213	ddlA	P0A6J8	g1786579	JW0372	1309	EB0209	364	D-alanine:D-alanine ligase A, ADP-forming	39315,81
EG10214	ddlB	P07862	g1786280	JW0090	326	EB0210	306	D-alanine:D-alanine ligase B, ADP-forming	32839,71
EG10215	deaD	P0A9P6	g87082221	JW5531	10392	EB0211	629	"Translation factor W2, putative RNA helix-destabilizer; facilitates translation of mRNAs with 5' secondary structures; multicopy suppressor of rpsB(Ts) mutations"	70546,16
EG10216	dedA	P0ABP6	g1788656	JW2314	7653	EB0212	219	Gene in pdxB operon, function unknown	24510,25
EG10217	accD	P0A9Q5	g1788655	JW2313	7648	EB0213	304	Acetyl-CoA carboxylase, carboxyltransferase beta subunit	33321,89
EG10218	dedD	P09549	g87082083	JW5378	7643	EB0214	220	Gene in folC operon, function unknown	22938,49
EG10219	deoA	P07650	g1790842	JW4345	14374	EB0215	440	"Thymidine phosphorylase; homodimeric"	47207,12
EG10220	deoB	P0A6K6	g1790843	JW4346	14377	EB0216	407	"Phosphopentomutase; deoxyribouratase"	44369,96
EG10221	deoC	P0A6L0	g1790841	JW4344	14371	EB0217	259	"2-deoxy-D-ribose 5-phosphate aldolase (DERA); deoxyriboaldolase; binds selenium"	27733,8
EG10222	deoD	P0ABP8	g1790844	JW4347	14379	EB0218	239	"Purine nucleoside phosphorylase; PNP; hexamer"	25949,91
EG10223	deoR	P0ACK5	g1787063	JW0824	2862	EB0219	252	"Repressor for deo operon, nupG and tsx; binds deoxyribose-5-phosphate inducer"	28547,98
EG10224	dgkA	P0ABN1	g1790475	JW4002	13235	EB0220	122	Diacylglycerol kinase	13244,68
EG10225	dgt	P15723	g1786355	JW0156	548	EB0221	505	Deoxyguanosine 5'-triphosphate triphosphohydrolase	59382,94
EG10226	dicA	P06966	g1787853	JW1562	5248	EB0222	135	Regulatory for dicB, Qin prophage	15656,04
EG10227	dicB	P09557	g1787857	JW1566	5260	EB0223	62	Control of cell division, activates MinC, Qin prophage	6964,27
EG10228	dicC	P06965	g1787852	JW1561	5244	EB0224	76	Regulatory for dicB, Qin prophage	8577,74
EG10229	flk	P15286	g1788661	JW2318	7667	EB0225	331	"Prevents premature secretion of FlgM; senses flagellar assembly stage"	36668,26
EG10230	dksA	P0ABS1	g1786338	JW0141	499	EB0226	151	"RNAP-binding protein modulating ppGpp and iNTP regulation; reduces open complex half-life on rRNA promoters"	17527,75
EG10231	dld	P06149	g1788454	JW2121	7048	EB0227	571	"D-lactate dehydrogenase; vinylglycolate resistance, FAD enzyme"	64612,33
EG10232	dmsA	P18775	g87081797	JW5118	3044	EB0228	814	DMSO reductase subunit A, anaerobic, periplasmic	90398,61
EG10233	dmsB	P18776	g1787122	JW0878	3046	EB0229	205	"DMSO reductase subunit B; apparent Fe-S binding subunit; anaerobic"	22868,94
EG10234	dmsC	P18777	g1787123	JW0879	3048	EB0230	287	"DMSO reductase subunit C, periplasmic; has a membrane bound anchor"	30826,22
EG10235	dnaA	P03004	g2367267	JW3679	12103	EB0231	467	"DNA synthesis initiator and global transcription regulator; binds DNA at DnaA boxes, binds cardiolipin and other acidic phospholipids, binds ATP"	52550,81
EG10236	dnaB	P0ACB0	g1790486	JW4012	13269	EB0232	471	"Replicative DNA helicase; DNA-dependent ATPase involved in DNA synthesis; binds DNA contrahelicase termination protein Tus at Ter sites; possibly involved in DNA recombination"	52390,08
EG10237	dnaC	P0AEF0	g1790823	JW4325	14304	EB0233	245	"DNA biosynthesis, helicase DnaB loader; dual ATP/ADP switch protein"	27935,09
EG10238	dnaE	P10443	g1786381	JW0179	624	EB0234	1160	"DNA polymerase III, alpha subunit; suppressor of dnaG-Ts"	129904,57
EG10239	dnaG	P0ABS5	g1789447	JW3038	10065	EB0235	581	"Primase for DNA replication; primer synthesis for leading- and lagging-strand synthesis; binds Zn(II)"	65564,63
EG10240	dnaJ	P08622	g1786197	JW0014	54	EB0236	376	"DnaK co-chaperone; DNA-binding protein; stress-related DNA biosynthesis, responsive to heat shock; binds Zn(II)"	41100,33
EG10241	dnaK	P0A6Y8	g1786196	JW0013	52	EB0237	638	Hsp70 molecular chaperone, heat-inducible	69114,96
EG10242	dnaN	P0A988	g1790136	JW3678	12098	EB0238	366	"DNA polymerase III sliding clamp beta subunit; required for high processivity; required for regulatory inactivation of DnaA"	40586,6
EG10243	dnaQ	P03007	g1786409	JW0205	722	EB0239	243	"DNA polymerase III epsilon subunit; streptomycin, azaserine resistant; 3' to 5' proofreading, lexA regulon"	27098,93
EG10244	dnaT	P0A8J2	g1790824	JW4326	14306	EB0240	179	Primasomal protein i	19455,12
EG10245	dnaX	P06710	g1786676	JW0459	1633	EB0241	643	"DNA polymerase III holoenzyme, tau and gamma ATPase subunits; gamma chain (aa 1-431) is main subunit of the clamp loader complex"	71137,74
EG10246	mltD	P0AEZ7	g1786405	JW5018	704	EB0242	452	"Membrane-bound lytic transglycosylase D, murein hydrolase; periplasmic OM-attached lipoprotein"	49417,47
EG10247	acpS	P24224	g1788916	JW2547	8433	EB0243	126	"ACP-CoA phosphopantetheinyltransferase; Holo-ACP synthase"	14052,3
EG10248	dppA	P23847	g1789966	JW3513	11576	EB0244	535	"Dipeptide/heme transport, periplasmic binding protein; recognition for transport and chemotaxis"	60293,67
EG10249	dsdA	P00926	g1788708	JW2363	7804	EB0245	442	D-Serine deaminase	47900,57
EG10250	dsdX	P08555	g1788707	JW2362	7801	EB0246	445	"D-serine permease; D-serine tolerance"	47163,14
EG10251	dut	P06968	g1790071	JW3615	11899	EB0247	151	"dUTP pyrophosphatase; dUTPase"	16155,47
EG10252	ebgA	P06864	g48994920	JW5511	10104	EB0248	1030	"Evolved beta-galactosidase, alpha subunit; normal substrate and function unknown; alpha(4)beta(4) holoenzyme"	117878,95
EG10253	ebgC	P0AC73	g1789458	JW3048	10106	EB0249	149	"Evolved beta-galactosidase, beta subunit; normal substrate and function unknown; alpha(4)beta(4) holoenzyme"	17456,62
EG10254	ebgR	P06846	g1789456	JW3046	10099	EB0250	327	ebgAC operon repressor	36210,36
EG10255	eco	P23827	g1788538	JW2197	7297	EB0251	162	Ecotin, serine protease inhibitor	18192,05
EG10256	eda	P0A955	g1788156	JW1839	6164	EB0252	213	"KHG/KDPG aldolase; 2-keto-4-hydroxyglutarate aldolase and 2-keto-3-deoxy-6-phosphogluconate aldolase activities; homotrimeric; 2-keto-4-hydroxyglutarate aldolase is also known as 4-hydroxy-2-oxoglutarate aldolase. 2-keto-3-deoxy-6-phosphogluconate aldolas"	22284,03
EG10257	edd	P0ADF6	g1788157	JW1840	6166	EB0253	603	"Phosphogluconate dehydratase; growth on gluconate"	64639,02
EG10258	eno	P0A6P9	g1789141	JW2750	9110	EB0254	432	"Enolase; phosphoprotein; component of RNA degradosome"	45654,95
EG10259	entA	P15047	g1786812	JW0588	2054	EB0255	248	2,3-Dihydro-2,3-dihydroxybenzoate dehydrogenase	26249,66
EG10260	entB	P0ADI4	g1786811	JW0587	2052	EB0256	285	"Asochorismatase, aryl carrier protein (ArCP); also called 2,3-dihydro-2,3-dihydroxybenzoate synthase"	32554,34
EG10261	entC	P0AEJ2	g1786809	JW0585	2047	EB0257	391	Isochorismate synthase	42931,65
EG10262	entD	P19925	g1786797	JW5085	2009	EB0258	209	"Enterochelin synthase, component D; EntB(ArCP)/EntF-CoA phosphopantetheinyltransferase; facilitates secretion of enterobactin peptide"	23603,98
EG10263	entE	P10378	g1786810	JW0586	2049	EB0259	536	"Enterochelin synthase, component E; 2,3-dihydroxybenzoate (DHB)-AMP ligase; holo-EntB(ArCP)-S-DHB formation"	59112,15
EG10264	entF	P11454	g1786801	JW0578	2021	EB0260	1293	"Enterochelin synthase, component F; multifunctional: holo-EntF(PCP), primed by EntD; seryl-AMP, seryl-S-EntF synthase; DHB-Ser-S-EntF intermediate formation; chain-releasing thioesterase (TE) domain is both a cyclotrimerizing lactone synthase and an elong"	141990,95
EG10265	lpxC	P0A725	g1786285	JW0094	336	EB0261	305	"Lipid A synthesis, UDP-3-O-(R-3-hydroxymyristoyl)-N-acetylglucosamine deacetylase; zinc metalloamidase; cell envelope and cell separation"	33955,92
EG10266	acrE	P24180	g1789665	JW3233	10722	EB0262	385	"AcrEF-TolC efflux pump, multidrug/solvent resistance; membrane-fusion lipoprotein"	41317,68
EG10267	acrF	P24181	g1789666	JW3234	10724	EB0263	1034	"AcrEF-TolC efflux pump, multidrug/solvent resistance; osmotically remedial envelope defect"	111454,39
EG10268	envY	P10805	g1786778	JW0555	1935	EB0264	253	Thermoregulatory activator of porin expression, AraC family	29018,87
EG10269	envZ	P0AEJ4	g1789808	JW3367	11108	EB0265	450	"Osmosensor histidine protein kinase/phosphatase; regulates production of outer membrane proteins; dimeric"	50334,06
EG10270	era	P06616	g1788919	JW2550	8440	EB0266	301	"Ribosome-associated GTPase essential for growth; also required for a normal adaptation response to thermal stress; GTP-dependent autophosphorylating protein kinase activity; membrane-associated, 16S rRNA-binding protein; cell cycle arrest, possible checkp"	33810,06
EG10271	exbB	P0ABU7	g1789381	JW2974	9869	EB0267	244	"Uptake of enterochelin; resistance or sensitivity to colicins; similarity with TolQ"	26287,39
EG10272	exbD	P0ABV2	g1789380	JW2973	9866	EB0268	141	"Uptake of enterochelin; resistance or sensitivity to colicins; similarity with TolR"	15526,98
EG10273	fabA	P0A6Q3	g1787187	JW0937	3229	EB0269	172	"3R-3-hydroxydecanoyl acyl carrier protein (ACP) dehydratase; also called beta-hydroxydecanoylthioester dehydrase"	18969,05
EG10274	fabB	P0A953	g1788663	JW2320	7675	EB0270	406	"beta-Ketoacyl-ACP synthase I; KAS I; homodimeric"	42613,32
EG10275	accB	P0ABD8	g1789653	JW3223	10675	EB0271	156	"Acetyl-CoA carboxylase, biotin carboxyl carrier protein; BCCP; homodimeric"	16687,21
EG10276	accC	P24182	g1789654	JW3224	10677	EB0272	449	Acetyl-CoA carboxylase, biotin carboxylase (BC) subunit	49320,74
EG10277	fabH	P0A6R0	g1787333	JW1077	3696	EB0273	317	"beta-Ketoacyl-ACP synthase III; KAS III; monomer"	33515,12
EG10278	fadA	P21151	g48994986	JW5578	12562	EB0274	387	"Thiolase of fatty acid oxidation complex FadAB; 3-ketoacyl-CoA thiolase"	40876,2
EG10279	fadB	P21177	g1790281	JW3822	12564	EB0275	729	"Multifunctional fatty acid oxidation complex FadAB; four enzyme activities: L-3-hydroxyacyl-CoA dehydrogenase, 3-hydroxyacyl-CoA epimerase, dodecenoyl-CoA-delta-isomerase, and small-chain-length enoyl-CoA hydratase (cronotase)"	79593,91
EG10280	fadL	P10384	g1788686	JW2341	7740	EB0276	446	"Fatty acid transport protein, outer membrane; long-chain fatty acid receptor"	48541,59
EG10281	fadR	P0A8V6	g1787436	JW1176	3988	EB0277	239	"Repressor/activator for fatty acid metabolism regulon; fatty acid-responsive transcription factor; fabAB, iclR activator (regulates aceBAK, glyoxylate shunt); fad repressor; homodimeric"	26968,61
EG10282	fbaA	P0AB71	g1789293	JW2892	9600	EB0278	359	"Fructose-bisphosphate aldolase, class II; binds Zn(II); homdomeric"	39147,26
EG10283	fbp	P0A993	g1790679	JW4191	13842	EB0279	332	"Fructose-1,6-bisphosphatase; allosteric: inhibited by AMP"	36833,93
EG10284	fdhE	P13024	g1790324	JW3862	12703	EB0280	309	"Redox enzyme maturation protein (REMP) for FdnG/FdoG; required for formate dehydrogenase activity; probable cytoplasmic protein"	34746,71
EG10285	fdhF	P07658	g3868721	JW4040	13363	EB0281	715	"Formate dehydrogenase H, selenopeptide; molybdate dependence; part of FHL-1 and FHL-2 (formate hydrogenlyase) complexes"	79223,81
EG10286	fecA	P13036	g1790743	JW4251	14067	EB0282	774	"Outer membrane ferric citrate receptor; ferric citrate uptake, TonB-dependent; signals FecR to activate FecI"	85321,61
EG10287	fecB	P15028	g87082411	JW4250	14065	EB0283	300	Periplasmic ferric citrate-binding protein	33146,35
EG10288	fecC	P15030	g1790741	JW4249	14063	EB0284	332	Ferric citrate transport membrane permease	34892,73
EG10289	fecD	P15029	g1790740	JW4248	14059	EB0285	318	Ferric citrate transport membrane permease	34131,5
EG10290	fecE	P15031	g1790739	JW4247	14057	EB0286	255	Ferric citrate ATP-binding, membrane-associated transport protein	28190,65
EG10291	fecI	P23484	g1790746	JW4253	14072	EB0287	173	"Alternative RNAP sigma factor required for fecA promoter recognition and ferric citrate transport; activated by FecR"	19480,41
EG10292	fecR	P23485	g1790745	JW4252	14070	EB0288	317	"Transmembrane signal transducer for ferric citrate transport; recognizes FecA:ferric citrate complex in periplasm and activates FecI sigma factor in cytoplasm"	35532,06
EG10293	fepA	P05825	g1786798	JW5086	2014	EB0289	746	Ferrienterobactin outer membrane receptor	82106,9
EG10294	fepB	P0AEL6	g1786807	JW0584	2038	EB0290	318	Ferrienterobactin-binding periplasmic protein	34283,07
EG10295	fepC	P23878	g1786803	JW0580	2025	EB0291	271	Ferrienterobactin transporter, membrane ATP protein	29784,11
EG10296	fepD	P23876	g1786805	JW0582	2031	EB0292	334	Ferrienterobactin transporter, membrane permease	33871,33
EG10297	fepE	P26266	g1786802	JW0579	2023	EB0293	377	"Ferrienterobactin transport, membrane protein; regulator of length of O-antigen component of lipopolysaccharide chains"	42099,53
EG10298	fepG	P23877	g1786804	JW0581	2027	EB0294	330	Ferrienterobactin transporter, membrane permease	34910,18
EG10299	fes	P13039	g1786799	JW0576	2019	EB0295	374	Enterochelin esterase	42569,54
EG10300	ffh	P0AGD7	g1788963	JW5414	8586	EB0296	453	"Signal Recognition Particle (SRP) protein, with 4.5S RNA; GTPase involved in co-translational protein translocation into and through membranes"	49787,3
EG10301	fhlA	P19323	g1789087	JW2701	8971	EB0297	692	Formate hydrogen lyase system activator, global regulator	78467,95
EG10302	fhuA	P06971	g1786344	JW0146	520	EB0298	747	"Outer membrane transporter for ferrichrome-iron; interacts with TonB; receptor for microcin J25, colicin M, and phages T1, T5, phi80; transports albomycin and rifamycin"	82182,28
EG10303	fhuB	P06972	g1786347	JW0149	526	EB0299	660	ABC transporter permease, Fe(3+)-ferrichrome uptake	70423
EG10304	fhuC	P07821	g1786345	JW0147	522	EB0300	265	ABC transporter ATPase, Fe(3+)-ferrichrome uptake	28886,43
EG10305	fhuD	P07822	g1786346	JW0148	524	EB0301	296	"Periplasmic Fe(3+)-ferrichrome binding protein; binds other hydroxamate siderophores; fhuD mutants are albomycin resistant"	32998,33
EG10306	fhuE	P16869	g1787344	JW1088	3724	EB0302	729	"Outer membrane receptor for ferric-rhodotorulic acid; also receptor for ferric siderophores coprogen and ferrioxamine B"	81232,65
EG10307	fic	P20605	g1789761	JW3324	10987	EB0303	200	Filamentation in presence of cyclic AMP, in mutants	22960,03
EG10308	fimA	P04128	g1790769	JW4277	14145	EB0304	182	"Fimbrin type 1, major structural subunit; phase variation"	18111,2
EG10309	fimB	P0ADH5	g1790767	JW4275	14141	EB0305	200	"Site-specific recombinase, fimA promoter inversion; mediates flagellar phase switching, along with FimE"	22993,49
EG10310	fimC	P31697	g1790771	JW4279	14149	EB0306	241	"Periplasmic chaperone for type 1 fimbriae; FimCD chaperone-usher transport"	26688,9
EG10311	fimD	P30130	g1790772	JW5780	14151	EB0307	878	"Outer membrane fimbrial subunit export usher protein; involved in export and assembly of type 1 fimbrial subunits; FimCD chaperone-usher transport"	96482,39
EG10312	fimE	P0ADH7	g1790768	JW4276	14143	EB0308	198	"Site-specific recombinase, fimA promoter inversion; biased towards the ""ON to OFF"" phase switching direction"	23116,26
EG10313	fimF	P08189	g1790773	JW4281	14153	EB0309	176	"Fimbrin type 1 minor component; fimbrial morphology, assembly"	18715,33
EG10314	fimG	P08190	g1790774	JW4282	14155	EB0310	167	"Fimbrin type 1 minor component; pilus length; perhaps inhibits polymerization in pilus assembly"	17317,36
EG10315	fimH	P08191	g1790775	JW4283	14157	EB0311	300	"Minor type 1 fimbrial subunit; membrane-specific adhesin; mediates mannose-binding to host surfaces"	31473,49
EG10316	lpxD	P21645	g1786376	JW0174	610	EB0312	341	Lipid A synthesis, UDP-3-O-(R-3-hydroxymyristoyl)-glucosamine N-acyltransferase	36038,48
EG10317	fis	P0A6R3	g1789661	JW3229	10703	EB0313	98	"Transcriptional activator for rRNA operons, bends DNA; interacts with RNAP; nucleoid-associated protein; dimeric"	11239,93
EG10318	fldA	P61949	g1786900	JW0671	2332	EB0314	176	Flavodoxin I	19736,94
EG10319	flhC	P0ABY7	g1788201	JW1880	6301	EB0315	192	"Transcriptional activator of flagellar class II operons; forms heterotetramer with FlhD; CsrA regulon; may be allosteric effector of FlhD"	21566,09
EG10320	flhD	P0A8S9	g1788202	JW1881	6303	EB0316	116	"Transcriptional activator of flagellar class II operons; forms heterotetramer with FlhC; possible role in regulation of cell division; can function in vivo independently of FlhC, but does not bind DNA by itself; contains HTH motif"	13316,4
EG10321	fliC	P04949	g1788232	JW1908	6402	EB0317	498	Flagellin, structural gene, H-antigen	51294,99
EG10322	fliL	P0ABX8	g1788254	JW1928	6467	EB0318	154	Affects rotational direction of flagella during chemotaxis	17220,9
EG10323	fliM	P06974	g1788255	JW1929	6469	EB0319	334	Flagellar synthesis, motor switching and energizing	37849,16
