Accession	Gene names	Gene names (PREFERRED)	Gene names (ALTERNATIVE)	Gene names (OLN)	Entry name	Subcellular locations	Protein existence	Protein family	Protein names	Gene Ontology ID	Keywords	Length	Gene location
P05100	tag b3549 JW3518	tag		b3549 JW3518	3MG1_ECOLI		Evidence at protein level		DNA-3-methyladenine glycosylase 1 (EC 3.2.2.20) (3-methyladenine-DNA glycosylase I, constitutive) (TAG I) (DNA-3-methyladenine glycosidase I) (DNA-3-methyladenine glycosylase I)	"GO:0008725; GO:0006284; GO:0046872; GO:0005515"	"3D-structure; Complete proteome; DNA damage; DNA repair; Direct protein sequencing; Hydrolase; Metal-binding; Zinc"	187	
P04395	alkA aidA b2068 JW2053	alkA	aidA	b2068 JW2053	3MG2_ECOLI		Evidence at protein level	Alkylbase DNA glycosidase alkA family	DNA-3-methyladenine glycosylase 2 (EC 3.2.2.21) (3-methyladenine-DNA glycosylase II, inducible) (TAG II) (DNA-3-methyladenine glycosidase II) (DNA-3-methyladenine glycosylase II)	"GO:0003677; GO:0006307; GO:0003905; GO:0006284; GO:0005737; GO:0005515"	"3D-structure; Complete proteome; DNA damage; DNA repair; Direct protein sequencing; Hydrolase"	282	
P00350	gnd b2029 JW2011	gnd		b2029 JW2011	6PGD_ECOLI		Evidence at protein level	6-phosphogluconate dehydrogenase family	6-phosphogluconate dehydrogenase, decarboxylating (EC 1.1.1.44)	"GO:0019521; GO:0050661; GO:0055114; GO:0006098; GO:0004616; GO:0042803"	"3D-structure; Complete proteome; Gluconate utilization; NADP; Oxidoreductase; Pentose shunt"	468	
C4ZXT8	pgl BWG_0619	pgl		BWG_0619	6PGL_ECOBW		Inferred from homology	Cycloisomerase 2 family	6-phosphogluconolactonase (6-P-gluconolactonase) (EC 3.1.1.31)	"GO:0017057; GO:0006006"	"Acetylation; Carbohydrate metabolism; Complete proteome; Glucose metabolism; Hydrolase"	331	
B1X797	pgl ECDH10B_0835	pgl		ECDH10B_0835	6PGL_ECODH		Inferred from homology	Cycloisomerase 2 family	6-phosphogluconolactonase (6-P-gluconolactonase) (EC 3.1.1.31)	"GO:0017057; GO:0006006"	"Acetylation; Carbohydrate metabolism; Complete proteome; Glucose metabolism; Hydrolase"	331	
P52697	pgl ybhE b0767 JW0750	pgl	ybhE	b0767 JW0750	6PGL_ECOLI		Evidence at protein level	Cycloisomerase 2 family	6-phosphogluconolactonase (6-P-gluconolactonase) (Pgl) (EC 3.1.1.31)	"GO:0017057; GO:0006006"	"3D-structure; Acetylation; Carbohydrate metabolism; Complete proteome; Glucose metabolism; Hydrolase"	331	
C4ZSX9	aaeA BWG_2942	aaeA		BWG_2942	AAEA_ECOBW	"Cell inner membrane; Single-pass membrane protein. "	Evidence at transcript level	Membrane fusion protein (MFP) (TC 8.A.1) family	p-hydroxybenzoic acid efflux pump subunit AaeA (pHBA efflux pump protein A)	"GO:0016021; GO:0005886; GO:0009306; GO:0008565"	"Cell inner membrane; Cell membrane; Complete proteome; Membrane; Transmembrane; Transmembrane helix; Transport"	310	
B1XHL3	aaeA ECDH10B_3418	aaeA		ECDH10B_3418	AAEA_ECODH	"Cell inner membrane; Single-pass membrane protein. "	Evidence at transcript level	Membrane fusion protein (MFP) (TC 8.A.1) family	p-hydroxybenzoic acid efflux pump subunit AaeA (pHBA efflux pump protein A)	"GO:0016021; GO:0005886; GO:0009306; GO:0008565"	"Cell inner membrane; Cell membrane; Complete proteome; Membrane; Transmembrane; Transmembrane helix; Transport"	310	
P46482	aaeA yhcQ b3241 JW3210	aaeA	yhcQ	b3241 JW3210	AAEA_ECOLI	"Cell inner membrane; Single-pass membrane protein. "	Evidence at transcript level	Membrane fusion protein (MFP) (TC 8.A.1) family	p-hydroxybenzoic acid efflux pump subunit AaeA (pHBA efflux pump protein A)	"GO:0046942; GO:0016021; GO:0005886; GO:0009306; GO:0008565; GO:0042221"	"Cell inner membrane; Cell membrane; Complete proteome; Membrane; Transmembrane; Transmembrane helix; Transport"	310	
C4ZSX8	aaeB BWG_2941	aaeB		BWG_2941	AAEB_ECOBW	"Cell inner membrane; Multi-pass membrane protein. "	Evidence at transcript level	Aromatic acid exporter ArAE (TC 2.A.85) family	p-hydroxybenzoic acid efflux pump subunit AaeB (pHBA efflux pump protein B)	"GO:0016021; GO:0005886; GO:0006810"	"Cell inner membrane; Cell membrane; Complete proteome; Membrane; Transmembrane; Transmembrane helix; Transport"	655	
P46481	aaeB yhcP b3240 JW3209	aaeB	yhcP	b3240 JW3209	AAEB_ECOLI	"Cell inner membrane; Multi-pass membrane protein. "	Evidence at protein level	Aromatic acid exporter ArAE (TC 2.A.85) family	p-hydroxybenzoic acid efflux pump subunit AaeB (pHBA efflux pump protein B)	"GO:0046942; GO:0016021; GO:0005886; GO:0042221"	"Cell inner membrane; Cell membrane; Complete proteome; Membrane; Transmembrane; Transmembrane helix; Transport"	655	
P67662	aaeR yhcS b3243 JW3212	aaeR	yhcS	b3243 JW3212	AAER_ECOLI		Predicted		HTH-type transcriptional activator AaeR	"GO:0003677; GO:0006355; GO:0003700; GO:0006350; GO:0016563"	"Activator; Complete proteome; DNA-binding; Transcription; Transcription regulation"	309	
C4ZSY0	aaeX BWG_2943	aaeX		BWG_2943	AAEX_ECOBW	"Cell membrane; Multi-pass membrane protein. "	Evidence at transcript level	AaeX family	Protein AaeX	"GO:0016021; GO:0005886"	"Cell membrane; Complete proteome; Membrane; Transmembrane; Transmembrane helix"	67	
B1XHL4	aaeX ECDH10B_3419	aaeX		ECDH10B_3419	AAEX_ECODH	"Cell membrane; Multi-pass membrane protein. "	Evidence at transcript level	AaeX family	Protein AaeX	"GO:0016021; GO:0005886"	"Cell membrane; Complete proteome; Membrane; Transmembrane; Transmembrane helix"	67	
P46478	aaeX yhcR b3242 JW5541	aaeX	yhcR	b3242 JW5541	AAEX_ECOLI	"Cell membrane; Multi-pass membrane protein. "	Evidence at transcript level	AaeX family	Protein AaeX	"GO:0016021; GO:0005886"	"Cell membrane; Complete proteome; Membrane; Transmembrane; Transmembrane helix"	67	
P37623	acpT yhhU b3475 JW3440	acpT	yhhU	b3475 JW3440	ACPT_ECOLI		Inferred from homology	P-Pant transferase superfamily, Gsp/sfp/hetI/acpT family	4'-phosphopantetheinyl transferase AcpT (EC 2.7.8.-)	"GO:0008897; GO:0009059; GO:0000287"	"Complete proteome; Transferase"	195
C4ZS34	acpP BWG_0942	acpP		BWG_0942	ACP_ECOBW	Cytoplasm. 	Inferred from homology		Acyl carrier protein (ACP)	"GO:0000036; GO:0048037; GO:0005737; GO:0006633; GO:0031177"	"Complete proteome; Cytoplasm; Fatty acid biosynthesis; Lipid synthesis; Phosphopantetheine"	78
B1XA04	acpP ECDH10B_1166	acpP		ECDH10B_1166	ACP_ECODH	Cytoplasm. 	Inferred from homology		Acyl carrier protein (ACP)	"GO:0000036; GO:0048037; GO:0005737; GO:0006633; GO:0031177"	"Complete proteome; Cytoplasm; Fatty acid biosynthesis; Lipid synthesis; Phosphopantetheine"	78
P0A6A8	acpP b1094 JW1080	acpP		b1094 JW1080	ACP_ECOLI	Cytoplasm. 	Evidence at protein level		Acyl carrier protein (ACP) (Cytosolic-activating factor) (CAF) (Fatty acid synthase acyl carrier protein)	"GO:0000035; GO:0000036; GO:0048037; GO:0005737; GO:0006633; GO:0009245; GO:0031177; GO:0042493"	"3D-structure; Complete proteome; Cytoplasm; Direct protein sequencing; Fatty acid biosynthesis; Lipid synthesis; Phosphopantetheine"	78
P0AE06	acrA lir mtcA b0463 JW0452	acrA	lir mtcA	b0463 JW0452	ACRA_ECOLI	"Cell inner membrane; Lipid-anchor. "	Evidence at protein level	Membrane fusion protein (MFP) (TC 8.A.1) family	Acriflavine resistance protein A	"GO:0005886; GO:0005515; GO:0009306; GO:0008565; GO:0046677; GO:0042493"	"3D-structure; Antibiotic resistance; Cell inner membrane; Cell membrane; Complete proteome; Lipoprotein; Membrane; Palmitate; Signal; Transport"	397
P31224	acrB acrE b0462 JW0451	acrB	acrE	b0462 JW0451	ACRB_ECOLI	"Cell inner membrane; Multi-pass membrane protein. "	Evidence at protein level	AcrB/AcrD/AcrF (TC 2.A.6) family	Acriflavine resistance protein B	"GO:0016021; GO:0005886; GO:0005515; GO:0005215"	"3D-structure; Cell inner membrane; Cell membrane; Complete proteome; Membrane; Transmembrane; Transmembrane helix; Transport"	1049
P24177	acrD yffA b2470 JW2454	acrD	yffA	b2470 JW2454	ACRD_ECOLI	"Cell inner membrane; Multi-pass membrane protein. "	Inferred from homology	AcrB/AcrD/AcrF (TC 2.A.6) family	Probable aminoglycoside efflux pump (Acriflavine resistance protein D)	"GO:0015307; GO:0016021; GO:0005886"	"Cell inner membrane; Cell membrane; Complete proteome; Membrane; Transmembrane; Transmembrane helix; Transport"	1037
P24180	acrE envC b3265 JW3233	acrE	envC	b3265 JW3233	ACRE_ECOLI	"Cell inner membrane; Lipid-anchor. "	Inferred from homology	Membrane fusion protein (MFP) (TC 8.A.1) family	Acriflavine resistance protein E (Protein envC)	"GO:0007049; GO:0051301; GO:0031226; GO:0009306; GO:0008565"	"Cell cycle; Cell division; Cell inner membrane; Cell membrane; Complete proteome; Lipoprotein; Membrane; Palmitate; Signal"	385
P24181	acrF envD b3266 JW3234	acrF	envD	b3266 JW3234	ACRF_ECOLI	"Cell inner membrane; Multi-pass membrane protein. "	Inferred from homology	AcrB/AcrD/AcrF (TC 2.A.6) family	Acriflavine resistance protein F (Protein envD)	"GO:0007049; GO:0051301; GO:0016021; GO:0005886; GO:0005215"	"Cell cycle; Cell division; Cell inner membrane; Cell membrane; Complete proteome; Membrane; Transmembrane; Transmembrane helix; Transport"	1034
P0ACS9	acrR ybaH b0464 JW0453	acrR	ybaH	b0464 JW0453	ACRR_ECOLI		Evidence at protein level		HTH-type transcriptional regulator AcrR (Potential acrAB operon repressor)	"GO:0008144; GO:0032582; GO:0005515; GO:0042493; GO:0043565; GO:0003700; GO:0016566; GO:0006350"	"3D-structure; Complete proteome; DNA-binding; Repressor; Transcription; Transcription regulation"	215
P27550	acs yfaC b4069 JW4030	acs	yfaC	b4069 JW4030	ACSA_ECOLI		Evidence at protein level	ATP-dependent AMP-binding enzyme family	Acetyl-coenzyme A synthetase (EC 6.2.1.1) (Acetate--CoA ligase) (Acyl-activating enzyme)	"GO:0016208; GO:0005524; GO:0003987"	"ATP-binding; Acetylation; Complete proteome; Ligase; Nucleotide-binding"	652
C5A160	actP BWG_3781	actP		BWG_3781	ACTP_ECOBW	"Cell inner membrane; Multi-pass membrane protein. "	Inferred from homology	Sodium:solute symporter (SSF) (TC 2.A.21) family	Cation/acetate symporter ActP (Acetate permease) (Acetate transporter ActP)	"GO:0005887; GO:0006814; GO:0015293"	"Cell inner membrane; Cell membrane; Complete proteome; Ion transport; Membrane; Sodium; Sodium transport; Symport; Transmembrane; Transmembrane helix; Transport"	549
B1XCV3	actP ECDH10B_4257	actP		ECDH10B_4257	ACTP_ECODH	"Cell inner membrane; Multi-pass membrane protein. "	Inferred from homology	Sodium:solute symporter (SSF) (TC 2.A.21) family	Cation/acetate symporter ActP (Acetate permease) (Acetate transporter ActP)	"GO:0005887; GO:0006814; GO:0015293"	"Cell inner membrane; Cell membrane; Complete proteome; Ion transport; Membrane; Sodium; Sodium transport; Symport; Transmembrane; Transmembrane helix; Transport"	549
P32705	actP yjcG b4067 JW4028	actP	yjcG	b4067 JW4028	ACTP_ECOLI	"Cell inner membrane; Multi-pass membrane protein. "	Evidence at protein level	Sodium:solute symporter (SSF) (TC 2.A.21) family	Cation/acetate symporter ActP (Acetate permease) (Acetate transporter ActP)	"GO:0005887; GO:0006814; GO:0015293"	"Cell inner membrane; Cell membrane; Complete proteome; Ion transport; Membrane; Sodium; Sodium transport; Symport; Transmembrane; Transmembrane helix; Transport"	549
P0AB65	yccX b0968 JW5131	yccX		b0968 JW5131	ACYP_ECOLI		Evidence at protein level	Acylphosphatase family	Acylphosphatase (EC 3.6.1.7) (Acylphosphate phosphohydrolase)	GO:0003998	"3D-structure; Complete proteome; Disulfide bond; Hydrolase"	92
P06134	ada b2213 JW2201	ada		b2213 JW2201	ADA_ECOLI		Evidence at protein level	MGMT family	Regulatory protein ada (Regulatory protein of adaptative response) [Cleaved into: Methylated-DNA--protein-cysteine methyltransferase (EC 2.1.1.63) (O-6-methylguanine-DNA alkyltransferase)]	"GO:0006281; GO:0005622; GO:0003908; GO:0006355; GO:0043565; GO:0003700; GO:0006350; GO:0008270"	"3D-structure; Activator; Complete proteome; DNA damage; DNA repair; DNA-binding; Direct protein sequencing; Metal-binding; Methyltransferase; Transcription; Transcription regulation; Transferase; Zinc"	354
C4ZY85	add BWG_1437	add		BWG_1437	ADD_ECOBW		Inferred from homology	Adenosine and AMP deaminases family	Adenosine deaminase (EC 3.5.4.4) (Adenosine aminohydrolase)	"GO:0004000; GO:0009168"	"Complete proteome; Hydrolase; Metal-binding; Nucleotide metabolism; Zinc"	333
B1XF88	add ECDH10B_1756	add		ECDH10B_1756	ADD_ECODH		Inferred from homology	Adenosine and AMP deaminases family	Adenosine deaminase (EC 3.5.4.4) (Adenosine aminohydrolase)	"GO:0004000; GO:0009168"	"Complete proteome; Hydrolase; Metal-binding; Nucleotide metabolism; Zinc"	333
P22333	add b1623 JW1615	add		b1623 JW1615	ADD_ECOLI		Inferred from homology	Adenosine and AMP deaminases family	Adenosine deaminase (EC 3.5.4.4) (Adenosine aminohydrolase)	"GO:0006154; GO:0004000; GO:0005737; GO:0043103; GO:0015950; GO:0032261; GO:0009168"	"Complete proteome; Hydrolase; Metal-binding; Nucleotide metabolism; Zinc"	333
C4ZXQ7	ade BWG_3356	ade		BWG_3356	ADEC_ECOBW		Inferred from homology	Adenine deaminase family	Adenine deaminase (Adenase) (Adenine aminase) (EC 3.5.4.2)	"GO:0006146; GO:0000034"	"Complete proteome; Hydrolase; Manganese"	588
B1X998	ade ECDH10B_3848	ade		ECDH10B_3848	ADEC_ECODH		Inferred from homology	Adenine deaminase family	Adenine deaminase (Adenase) (Adenine aminase) (EC 3.5.4.2)	"GO:0006146; GO:0000034"	"Complete proteome; Hydrolase; Manganese"	588
P31441	ade yicP b3665 JW3640	ade	yicP	b3665 JW3640	ADEC_ECOLI		Evidence at protein level	Adenine deaminase family	Adenine deaminase (Adenase) (Adenine aminase) (EC 3.5.4.2)	"GO:0006146; GO:0000034"	"Complete proteome; Hydrolase; Manganese"	588
P37686	yiaY b3589 JW5648	yiaY		b3589 JW5648	ADH2_ECOLI		Inferred from homology	Iron-containing alcohol dehydrogenase family	Probable alcohol dehydrogenase (EC 1.1.1.1)	"GO:0004022; GO:0046872; GO:0055114"	"Complete proteome; Iron; NAD; Oxidoreductase"	383
P0A9Q7	adhE ana b1241 JW1228	adhE	ana	b1241 JW1228	ADHE_ECOLI		Evidence at protein level	"Aldehyde dehydrogenase family; Iron-containing alcohol dehydrogenase family"	"Aldehyde-alcohol dehydrogenase [Includes: Alcohol dehydrogenase (ADH) (EC 1.1.1.1); Acetaldehyde dehydrogenase [acetylating] (ACDH) (EC 1.2.1.10); Pyruvate-formate-lyase deactivase (PFL deactivase)]"	"GO:0008774; GO:0004022; GO:0006066; GO:0015976; GO:0005829; GO:0016020; GO:0046872; GO:0055114; GO:0005515"	"Acetylation; Complete proteome; Direct protein sequencing; Iron; Multifunctional enzyme; NAD; Oxidoreductase"	891
P39451	adhP yddN b1478 JW1474	adhP	yddN	b1478 JW1474	ADHP_ECOLI		Evidence at protein level	Zinc-containing alcohol dehydrogenase family	Alcohol dehydrogenase, propanol-preferring (EC 1.1.1.1)	"GO:0004022; GO:0055114; GO:0008270"	"Complete proteome; Direct protein sequencing; Metal-binding; NAD; Oxidoreductase; Zinc"	336
P28629	adiA adi b4117 JW5731	adiA	adi	b4117 JW5731	ADIA_ECOLI	Cytoplasm. 	Evidence at protein level	Orn/Lys/Arg decarboxylase class-I family	Biodegradative arginine decarboxylase (ADC) (EC 4.1.1.19)	"GO:0008792; GO:0006520; GO:0005829; GO:0051454; GO:0030170; GO:0001101"	"3D-structure; Complete proteome; Cytoplasm; Decarboxylase; Direct protein sequencing; Lyase; Pyridoxal phosphate"	755
P60061	adiC aniC yjdD yjdE b4115 JW4076	adiC	aniC yjdD yjdE	b4115 JW4076	ADIC_ECOLI	"Cell inner membrane; Multi-pass membrane protein. "	Evidence at protein level	Amino acid-polyamine-organocation (APC) superfamily	Arginine/agmatine antiporter	"GO:0015171; GO:0016021; GO:0051454; GO:0005886; GO:0001101; GO:0015300"	"Amino-acid transport; Antiport; Cell inner membrane; Cell membrane; Complete proteome; Membrane; Transmembrane; Transmembrane helix; Transport"	445
P33234	adiY b4116 JW4077	adiY		b4116 JW4077	ADIY_ECOLI		Evidence at protein level		HTH-type transcriptional regulator AdiY	"GO:0005622; GO:0043193; GO:0005515; GO:0043565; GO:0003700; GO:0006350; GO:0016563"	"Complete proteome; DNA-binding; Transcription; Transcription regulation"	253
Q93K97	nudF aspP yqiE yzzG b3034 JW3002	nudF	aspP yqiE yzzG	b3034 JW3002	ADPP_ECOLI		Evidence at protein level	Nudix hydrolase family, NudF subfamily	ADP-ribose pyrophosphatase (EC 3.6.1.13) (ADP-ribose diphosphatase) (ADP-ribose phosphohydrolase) (ASPPase) (Adenosine diphosphoribose pyrophosphatase) (ADPR-PPase)	"GO:0047631; GO:0005829; GO:0046872; GO:0005515"	"3D-structure; Complete proteome; Direct protein sequencing; Hydrolase; Magnesium; Manganese; Metal-binding"	209
P0AAP1	adrA yaiC b0385 JW0376	adrA	yaiC	b0385 JW0376	ADRA_ECOLI	"Cell inner membrane; Multi-pass membrane protein. "	Evidence at protein level		Probable diguanylate cyclase AdrA (DGC) (EC 2.7.7.65)	"GO:0005525; GO:0009190; GO:0016021; GO:0046872; GO:0016849; GO:0005886; GO:0016740"	"Cell inner membrane; Cell membrane; Complete proteome; GTP-binding; Magnesium; Membrane; Metal-binding; Nucleotide-binding; Transferase; Transmembrane; Transmembrane helix"	371
P76261	adrB yoaD b1815 JW1804	adrB	yoaD	b1815 JW1804	ADRB_ECOLI		Evidence at protein level		Putative cyclic-di-GMP phosphodiesterase AdrB (EC 3.1.4.52)	"GO:0016787; GO:0005515"	"Complete proteome; Hydrolase; c-di-GMP"	532
P51981	ycjG ycjH b1325 JW1318	ycjG	ycjH	b1325 JW1318	AEEP_ECOLI		Evidence at protein level	Mandelate racemase/muconate lactonizing enzyme family	L-Ala-D/L-Glu epimerase (AE epimerase) (AEE) (EC 5.1.1.-)	"GO:0009063; GO:0007047; GO:0046872; GO:0016855"	"3D-structure; Cell wall biogenesis/degradation; Complete proteome; Isomerase; Magnesium; Metal-binding"	321
P37127	aegA yffG b2468 JW2452	aegA	yffG	b2468 JW2452	AEGA_ECOLI		Inferred from homology		Protein AegA	"GO:0051539; GO:0009055; GO:0006537; GO:0046872; GO:0055114; GO:0016639"	"4Fe-4S; Complete proteome; Iron; Iron-sulfur; Metal-binding; Oxidoreductase; Repeat"	659
P50466	aer air yqjJ b3072 JW3043	aer	air yqjJ	b3072 JW3043	AER_ECOLI	"Cell inner membrane; Multi-pass membrane protein. "	Evidence at protein level		Aerotaxis receptor	"GO:0006935; GO:0016021; GO:0005886; GO:0006355; GO:0004871"	"Cell inner membrane; Cell membrane; Chemotaxis; Complete proteome; FAD; Flavoprotein; Membrane; Methylation; Transducer; Transmembrane; Transmembrane helix"	506
C4ZUT0	aes BWG_0357	aes		BWG_0357	AES_ECOBW	Cytoplasm. 	Inferred from homology	'GDXG' lipolytic enzyme family	Acetyl esterase (EC 3.1.1.-)	"GO:0004091; GO:0005737"	"Complete proteome; Cytoplasm; Hydrolase; Serine esterase"	319
B1XFR3	aes ECDH10B_0432	aes		ECDH10B_0432	AES_ECODH	Cytoplasm. 	Inferred from homology	'GDXG' lipolytic enzyme family	Acetyl esterase (EC 3.1.1.-)	"GO:0004091; GO:0005737"	"Complete proteome; Cytoplasm; Hydrolase; Serine esterase"	319
P23872	aes ybaC b0476 JW0465	aes	ybaC	b0476 JW0465	AES_ECOLI	Cytoplasm. 	Evidence at protein level	'GDXG' lipolytic enzyme family	Acetyl esterase (EC 3.1.1.-) (EcE)	"GO:0004091; GO:0005737"	"Complete proteome; Cytoplasm; Direct protein sequencing; Hydrolase; Serine esterase"	319
P39180	flu yeeQ yzzX b2000 JW1982	flu	yeeQ yzzX	b2000 JW1982	AG43_ECOLI	"Periplasm.  Secreted. Cell surface.  Cell outer membrane; Multi-pass membrane protein. "	Evidence at protein level		"Antigen 43 (AG43) (Fluffing protein) [Cleaved into: Antigen 43 alpha chain; Antigen 43 beta chain]"	"GO:0009279; GO:0009986; GO:0005576; GO:0016021; GO:0042597; GO:0005886"	"Cell membrane; Cell outer membrane; Complete proteome; Direct protein sequencing; Membrane; Periplasm; Secreted; Signal; Transmembrane; Transmembrane beta strand"	1039
P42906	agaA b3135 JW5527	agaA		b3135 JW5527	AGAA_ECOLI		Uncertain	NagA family	Putative N-acetylgalactosamine-6-phosphate deacetylase (EC 3.5.1.-)	"GO:0005975; GO:0016787"	"Carbohydrate metabolism; Complete proteome; Hydrolase"	167
P42912	agaI yraG b3141 JW3110	agaI	yraG	b3141 JW3110	AGAI_ECOLI		Inferred from homology	Glucosamine/galactosamine-6-phosphate isomerase family	Putative galactosamine-6-phosphate isomerase (EC 5.3.1.-) (Galactosamine-6-phosphate deaminase)	"GO:0006044; GO:0004342"	"Complete proteome; Isomerase"	251
P06720	melA mel-7 b4119 JW4080	melA	mel-7	b4119 JW4080	AGAL_ECOLI		Evidence at protein level	Glycosyl hydrolase 4 family	Alpha-galactosidase (EC 3.2.1.22) (Melibiase)	"GO:0004557; GO:0005975; GO:0046872"	"Carbohydrate metabolism; Complete proteome; Direct protein sequencing; Glycosidase; Hydrolase; Manganese; Metal-binding; NAD"	451
P0ACK2	agaR yhaW b3131 JW3100	agaR	yhaW	b3131 JW3100	AGAR_ECOLI		Predicted		Putative aga operon transcriptional repressor	"GO:0003677; GO:0005622; GO:0006355; GO:0003700; GO:0006350"	"Complete proteome; DNA-binding; Repressor; Transcription; Transcription regulation"	269
P42907	agaS yraB b3136 JW3105	agaS	yraB	b3136 JW3105	AGAS_ECOLI		Evidence at protein level	SIS family, AgaS subfamily	Putative tagatose-6-phosphate ketose/aldose isomerase (EC 5.3.1.-)	"GO:0005975; GO:0016861; GO:0005529"	"3D-structure; Complete proteome; Isomerase; Repeat"	384
P19926	agp b1002 JW0987	agp		b1002 JW0987	AGP_ECOLI	Periplasm. 	Evidence at protein level	Histidine acid phosphatase family	Glucose-1-phosphatase (G1Pase) (EC 3.1.3.10)	"GO:0003993; GO:0008877; GO:0042597"	"3D-structure; Complete proteome; Direct protein sequencing; Hydrolase; Periplasm; Signal"	413
P0AE08	ahpC b0605 JW0598	ahpC		b0605 JW0598	AHPC_ECOLI		Evidence at protein level	AhpC/TSA family	Alkyl hydroperoxide reductase subunit C (EC 1.11.1.15) (Alkyl hydroperoxide reductase protein C22) (Peroxiredoxin) (SCRP-23) (Sulfate starvation-induced protein 8) (SSI8) (Thioredoxin peroxidase)	"GO:0045454; GO:0005829; GO:0016020; GO:0055114; GO:0004601; GO:0051920; GO:0006805"	"Acetylation; Antioxidant; Complete proteome; Direct protein sequencing; Disulfide bond; Oxidoreductase; Peroxidase; Redox-active center"	187
P35340	ahpF b0606 JW0599	ahpF		b0606 JW0599	AHPF_ECOLI		Evidence at protein level	Class-II pyridine nucleotide-disulfide oxidoreductase family	Alkyl hydroperoxide reductase subunit F (EC 1.8.1.-) (Alkyl hydroperoxide reductase F52A protein)	"GO:0050660; GO:0051287; GO:0045454; GO:0005829; GO:0009055; GO:0055114; GO:0016651; GO:0005515; GO:0015035"	"3D-structure; Acetylation; Complete proteome; Disulfide bond; FAD; Flavoprotein; NAD; NADP; Oxidoreductase; Redox-active center"	521
P33224	aidB b4187 JW5867	aidB		b4187 JW5867	AIDB_ECOLI		Evidence at protein level	Acyl-CoA dehydrogenase family	Protein AidB	"GO:0003677; GO:0006307; GO:0008470; GO:0055114; GO:0005515"	"3D-structure; Complete proteome; FAD; Flavoprotein; Oxidoreductase"	541
C4ZU94	ais BWG_2025	ais		BWG_2025	AIS_ECOBW	Periplasm. 	Inferred from homology	Phosphoglycerate mutase family, Ais subfamily	Lipopolysaccharide core heptose(II)-phosphate phosphatase (EC 3.1.3.-)	"GO:0016787; GO:0042597"	"Complete proteome; Hydrolase; Periplasm; Signal"	200
B1X8W5	ais ECDH10B_2412	ais		ECDH10B_2412	AIS_ECODH	Periplasm. 	Inferred from homology	Phosphoglycerate mutase family, Ais subfamily	Lipopolysaccharide core heptose(II)-phosphate phosphatase (EC 3.1.3.-)	"GO:0016787; GO:0042597"	"Complete proteome; Hydrolase; Periplasm; Signal"	200
P45565	ais pmrG b2252 JW2246	ais	pmrG	b2252 JW2246	AIS_ECOLI	Periplasm. 	Evidence at transcript level	Phosphoglycerate mutase family, Ais subfamily	Lipopolysaccharide core heptose(II)-phosphate phosphatase (EC 3.1.3.-) (Polymyxin resistance protein pmrG)	"GO:0016787; GO:0042597"	"Complete proteome; Hydrolase; Periplasm; Signal"	200
P00561	thrA thrA1 thrA2 b0002 JW0001	thrA	thrA1 thrA2	b0002 JW0001	AK1H_ECOLI		Evidence at protein level	"Aspartokinase family; Homoserine dehydrogenase family"	"Bifunctional aspartokinase/homoserine dehydrogenase 1 (Aspartokinase I/homoserine dehydrogenase I) (AKI-HDI) [Includes: Aspartokinase (EC 2.7.2.4); Homoserine dehydrogenase (EC 1.1.1.3)]"	"GO:0005524; GO:0050661; GO:0016597; GO:0004072; GO:0009090; GO:0004412; GO:0009089; GO:0055114; GO:0009088"	"ATP-binding; Allosteric enzyme; Amino-acid biosynthesis; Complete proteome; Direct protein sequencing; Kinase; Multifunctional enzyme; NADP; Nucleotide-binding; Oxidoreductase; Repeat; Threonine biosynthesis; Transferase"	820
P00562	metL metM b3940 JW3911	metL	metM	b3940 JW3911	AK2H_ECOLI		Evidence at protein level	"Aspartokinase family; Homoserine dehydrogenase family"	"Bifunctional aspartokinase/homoserine dehydrogenase 2 (Aspartokinase II/homoserine dehydrogenase II) (AKII-HDII) [Includes: Aspartokinase (EC 2.7.2.4); Homoserine dehydrogenase (EC 1.1.1.3)]"	"GO:0005524; GO:0050661; GO:0004072; GO:0009090; GO:0004412; GO:0009089; GO:0009086; GO:0055114"	"ATP-binding; Amino-acid biosynthesis; Complete proteome; Direct protein sequencing; Kinase; Methionine biosynthesis; Multifunctional enzyme; NADP; Nucleotide-binding; Oxidoreductase; Transferase"	810
P08660	lysC apk b4024 JW3984	lysC	apk	b4024 JW3984	AK3_ECOLI		Evidence at protein level	Aspartokinase family	Lysine-sensitive aspartokinase 3 (EC 2.7.2.4) (Aspartate kinase III) (AKIII) (Lysine-sensitive aspartokinase III)	"GO:0005524; GO:0016597; GO:0004072; GO:0009090; GO:0009089"	"3D-structure; ATP-binding; Allosteric enzyme; Amino-acid biosynthesis; Complete proteome; Direct protein sequencing; Kinase; Lysine biosynthesis; Nucleotide-binding; Transferase"	449
P25553	aldA ald b1415 JW1412	aldA	ald	b1415 JW1412	ALDA_ECOLI		Evidence at protein level	Aldehyde dehydrogenase family	Lactaldehyde dehydrogenase (EC 1.2.1.22) (Aldehyde dehydrogenase A) (Glycolaldehyde dehydrogenase) (EC 1.2.1.21)	"GO:0019571; GO:0042355; GO:0050569; GO:0008911; GO:0055114; GO:0019301"	"3D-structure; Complete proteome; Direct protein sequencing; NAD; Oxidoreductase"	479
