Accession	Biological Process (Uniprot)
P0A780	regulation of transcription, DNA-dependent|transcription, DNA-dependent|transcription termination, DNA-dependent
P0AFM9	response to stress
P37188	carbohydrate transport|transport|phosphoenolpyruvate-dependent sugar phosphotransferase system|galactitol metabolic process
P11989	regulation of transcription, DNA-dependent|transcription, DNA-dependent
P32057	lipopolysaccharide biosynthetic process
P0AEU3	amino acid transport|transport
C4ZX61	oxidation-reduction process
B1X7H4	two-component signal transduction system (phosphorelay)|phosphorylation
C4ZPZ0	transport
P0ACD2	lipopolysaccharide biosynthetic process
P21177	oxidation-reduction process|fatty acid metabolic process|lipid catabolic process|metabolic process|lipid metabolic process
C4ZPY3	regulation of transcription, DNA-dependent|transcription, DNA-dependent
P06129	transport|ion transport
B1XBX9	oxidation-reduction process|regulation of cell shape|peptidoglycan biosynthetic process|cell cycle|cellular cell wall organization|cell division
C4ZYI1	translation
B1XAZ3	phosphorylation|nucleotide metabolic process
P0ACJ5	regulation of transcription, DNA-dependent|transcription, DNA-dependent
C4ZUK4	protein folding
P0A6R3	regulation of transcription, DNA-dependent|transcription, DNA-dependent
P0AAJ5	transport|electron transport chain
B1XEC6	oxidation-reduction process
Q47149	regulation of transcription, DNA-dependent|transcription, DNA-dependent
C4ZTZ9	carbohydrate transport|transport
C4ZYL8	oxidation-reduction process|cellular amino acid biosynthetic process|tyrosine biosynthetic process|aromatic amino acid family biosynthetic process
C5A018	oxidation-reduction process
P0A698	DNA repair|SOS response|response to DNA damage stimulus
B1XDA7	oxidation-reduction process
B1XAF4	oxidation-reduction process
B1X964	phosphorylation
P0A6T1	gluconeogenesis|glycolysis
C5A0K6	spermidine biosynthetic process|polyamine biosynthetic process|putrescine biosynthetic process
P32135	transport
P00490	carbohydrate metabolic process|metabolic process
P24228	regulation of cell shape|response to antibiotic|peptidoglycan biosynthetic process|cell cycle|cell division|cellular cell wall organization
B1X863	metabolic process
C4ZXF0	translation
C4ZWT6	methylation
C4ZYI0	translational initiation|translation
P13445	transcription, DNA-dependent|regulation of transcription, DNA-dependent
P45568	oxidation-reduction process|isoprenoid biosynthetic process
C4ZZS9	phosphorylation
P77239	copper ion transport|transport|ion transport
Q47706	carbohydrate transport|transport|ion transport
B1XC12	cellular amino acid biosynthetic process|methionine biosynthetic process
B1X9T2	tRNA processing
B1XC23	phosphorylation
P24173	lipopolysaccharide biosynthetic process
B1XGC3	protein folding
C4ZT97	regulation of transcription, DNA-dependent|transcription, DNA-dependent
C4ZTF6	two-component signal transduction system (phosphorelay)
B1X8B1	transport|ion transport
P0ACK8	regulation of transcription, DNA-dependent|fucose metabolic process|carbohydrate metabolic process|transcription, DNA-dependent
P76630	transport
C4ZUR8	regulation of transcription, DNA-dependent|transcription, DNA-dependent
C5A016	regulation of transcription, DNA-dependent
C4ZPV4	protein folding
B1XEZ6	transport|protein transport|transmembrane transport
P27243	lipopolysaccharide biosynthetic process
P11553	carbohydrate metabolic process|fucose metabolic process|phosphorylation
C4ZZM0	metabolic process
P06992	response to antibiotic|methylation|rRNA processing
Q47140	oxidation-reduction process|aromatic compound catabolic process
P77376	oxidation-reduction process
P0A6P9	glycolysis
C4ZSF4	pyrimidine-containing compound salvage|phosphorylation
P0AFT2	amino acid transport|transport
P0AAB4	ubiquinone biosynthetic process
B1X649	transport
P0AAK4	transport|electron transport chain
C5A067	transport|carbohydrate transport|phosphoenolpyruvate-dependent sugar phosphotransferase system
P33359	transport
B1XB22	carbohydrate transport
C4ZTM6	oxidation-reduction process|transport|electron transport chain
B1XC30	transport
P0A9C9	carbohydrate metabolic process
P0C066	cellular cell wall organization
B1XC06	phosphorylation
P23830	phospholipid biosynthetic process
P30845	response to antibiotic|lipid biosynthetic process|lipid A biosynthetic process|lipopolysaccharide biosynthetic process
C4ZT77	glycolysis
B1X9G3	glucan biosynthetic process
P32662	carbohydrate metabolic process
B1X8Z8	oxidation-reduction process|transport|metabolic process
C4ZU43	cytochrome complex assembly|transport
C4ZUX3	protein folding
P0AD86	cellular amino acid biosynthetic process|threonine biosynthetic process
C4ZVY2	glycogen biosynthetic process
B1XC62	regulation of cell shape|peptidoglycan biosynthetic process|cell cycle|cell division|cellular cell wall organization
P07822	transport|ion transport|iron ion homeostasis
B1X6J6	protein folding
C5A180	transport
P0A6E1	cellular amino acid biosynthetic process|aromatic amino acid family biosynthetic process|phosphorylation
P17443	regulation of cell shape|peptidoglycan biosynthetic process|cell cycle|cell division|cellular cell wall organization
P50456	regulation of transcription, DNA-dependent|carbohydrate metabolic process|transcription, DNA-dependent
C4ZRK6	regulation of transcription, DNA-dependent|transcription, DNA-dependent
P30750	amino acid transport|transport
P16690	phosphonate transport
B1XEN0	regulation of transcription, DNA-dependent|transcription, DNA-dependent
C4ZYR6	regulation of transcription, DNA-dependent|transcription, DNA-dependent
C4ZWS0	oxidation-reduction process
B1X6V6	cellular amino acid biosynthetic process|histidine biosynthetic process
P76341	purine base metabolic process
P31460	regulation of transcription, DNA-dependent|transcription, DNA-dependent
P71241	lipopolysaccharide biosynthetic process
C4ZZT3	glutamine metabolic process|pyrimidine nucleotide biosynthetic process
P07464	lactose biosynthetic process
P76042	transport
B1XEP5	oxidation-reduction process
B1XFM5	proteolysis
P02916	carbohydrate transport|transport
P0A9X4	regulation of cell shape
B1XDP3	regulation of transcription, DNA-dependent|transcription, DNA-dependent
B1XCU8	regulation of transcription, DNA-dependent|transcription, DNA-dependent
P33341	transport
B1XHI1	phosphoenolpyruvate-dependent sugar phosphotransferase system|phosphorylation
P0A6V5	glycerol metabolic process
P77364	phosphorylation
B1X6L2	carbohydrate transport|transport|phosphoenolpyruvate-dependent sugar phosphotransferase system|phosphorylation
P77671	purine base metabolic process
P0ACG8	response to stress
P18471	conjugation
P37751	lipopolysaccharide biosynthetic process
P37353	menaquinone biosynthetic process
P39406	methylation|rRNA processing|rRNA methylation
P80644	oxidation-reduction process
C4ZVX8	carbohydrate metabolic process
C4ZV00	defense response to bacterium|cytolysis|metabolic process
B1XBF3	protein folding
P00861	cellular amino acid biosynthetic process|lysine biosynthetic process
P08722	carbohydrate transport|transport|phosphoenolpyruvate-dependent sugar phosphotransferase system|phosphorylation
B1X707	arginine biosynthetic process
P0AE76	porphyrin biosynthetic process|cobalamin biosynthetic process|phosphorylation
P0AEK7	transport|electron transport chain
P45756	transport
P0ABZ4	lipopolysaccharide biosynthetic process
C4ZUE4	potassium ion transport
C4ZSH7	transport
C4ZX73	metabolic process
P15005	DNA restriction-modification system
C5A085	phospholipid biosynthetic process
B1X721	phosphorylation
P77650	oxidation-reduction process|aromatic compound catabolic process
P23524	phosphorylation
B1XD74	methylation
C4ZWH4	transport|potassium ion transport|ion transport
P63284	response to stress
P31474	transport
C4ZZM7	oxidation-reduction process
B1XGT3	regulation of transcription, DNA-dependent|transcription, DNA-dependent
B1XH95	regulation of transcription, DNA-dependent|transcription, DNA-dependent
P08394	DNA repair|response to DNA damage stimulus
C4ZWH1	phosphorylation
P77539	oxidation-reduction process
P0AFR2	transport
P77622	transport|protein transport|peptide transport
B1X8W8	oxidation-reduction process|response to antibiotic|lipid biosynthetic process|lipid A biosynthetic process|lipopolysaccharide biosynthetic process|methylation|metabolic process
C4ZUL7	cell division
P75728	oxidation-reduction process|ubiquinone biosynthetic process
P0CF27	transposition|DNA recombination
C4ZZI4	regulation of transcription, DNA-dependent|transcription, DNA-dependent
B1X6D4	oxidation-reduction process|cellular amino acid biosynthetic process|aromatic amino acid family biosynthetic process
P16384	tRNA processing
P41067	conjugation
B1XBZ6	thiamine biosynthetic process
B1XBA7	oxidation-reduction process|cellular amino acid biosynthetic process
P77580	oxidation-reduction process|aromatic compound catabolic process
C4ZQH2	phosphorylation
P0CF08	transposition|DNA recombination
P37640	regulation of transcription, DNA-dependent|transcription, DNA-dependent
P02932	transport|ion transport|response to stress
P02921	carbohydrate transport|transport
P28246	response to antibiotic|transport
B1XBN2	pyrimidine nucleotide biosynthetic process
P0ABH0	regulation of cell shape|cell cycle|cell division
C4ZY44	oxidation-reduction process
P0AC23	transport
P0AEP1	carbohydrate transport|transport
P0A6C8	cellular amino acid biosynthetic process|arginine biosynthetic process|phosphorylation
B1XC40	phospholipid biosynthetic process
C4ZSM8	transport
P31068	transport|protein transport|flagellum organization
B1XAW6	regulation of transcription, DNA-dependent|transcription, DNA-dependent
P19769	transposition|DNA recombination
P33590	transport
C4ZTB5	oxidation-reduction process|aromatic compound catabolic process
P37660	transport
P69212	transport
C4ZYA5	regulation of transcription, DNA-dependent|transcription, DNA-dependent
B1X7D1	oxidation-reduction process
P0AGK8	transcription, DNA-dependent|regulation of transcription, DNA-dependent|response to stress
P0A6Q3	lipid biosynthetic process|fatty acid biosynthetic process
C4ZY94	oxidation-reduction process|transport
P0A6U8	glycogen biosynthetic process
P30958	DNA repair|response to DNA damage stimulus
C4ZZY8	transport|lipid transport
B1X8G6	oxidation-reduction process
P0AFK6	transport
P37689	glycolysis
C4ZQJ6	transport
P24186	oxidation-reduction process|cellular amino acid biosynthetic process|one-carbon metabolic process|methionine biosynthetic process|purine nucleotide biosynthetic process|histidine biosynthetic process|metabolic process
B1X848	cellular amino acid biosynthetic process|aromatic amino acid family biosynthetic process
B1X9W6	transport|proton transport|ion transport|ATP biosynthetic process
P0AAD2	amino acid transport|transport
C4ZVS3	transport|carbohydrate transport|phosphoenolpyruvate-dependent sugar phosphotransferase system
P23890	regulation of transcription, DNA-dependent|transcription, DNA-dependent|two-component signal transduction system (phosphorelay)
B1X7X0	regulation of transcription, DNA-dependent|transcription, DNA-dependent
P0A9T8	transport
C4ZYX7	DNA repair|SOS response|DNA replication|response to DNA damage stimulus
P03018	DNA repair|SOS response|DNA replication|response to DNA damage stimulus
P76149	oxidation-reduction process|nitrogen compound metabolic process
B1X9V4	transport|phosphate transport
P17315	transport|ion transport|iron ion homeostasis
B1XCY7	regulation of transcription, DNA-dependent|transcription, DNA-dependent
P04951	lipopolysaccharide biosynthetic process
C4ZU95	response to antibiotic|lipid biosynthetic process|lipid A biosynthetic process|lipopolysaccharide biosynthetic process
P0AEL3	transport|ion transport|iron ion homeostasis
C4ZZ26	carbohydrate metabolic process
B1XGN9	oxidation-reduction process
C4ZTT8	transport
B1X855	lipid biosynthetic process|lipid A biosynthetic process|phosphorylation
P32720	carbohydrate transport|transport
C4ZVI0	transport
B1XFW9	regulation of transcription, DNA-dependent|transcription, DNA-dependent
P0CF71	transposition|DNA recombination
P69797	carbohydrate transport|transport|phosphoenolpyruvate-dependent sugar phosphotransferase system|phosphorylation
P0ACT2	regulation of transcription, DNA-dependent|transcription, DNA-dependent
P0AG34	transport
B1XG62	response to antibiotic|regulation of cell shape|peptidoglycan biosynthetic process|cellular cell wall organization
C4ZRV0	methylation
P45763	transport
B1XC96	spermidine biosynthetic process|polyamine biosynthetic process
P30128	regulation of transcription, DNA-dependent|transcription, DNA-dependent
P0ACT6	regulation of transcription, DNA-dependent|transcription, DNA-dependent
C4ZQD5	oxidation-reduction process
P77304	transport|protein transport|peptide transport
C4ZSB5	cellular amino acid biosynthetic process|histidine biosynthetic process|metabolic process
P0A930	polysaccharide transport|transport|carbohydrate transport|polysaccharide biosynthetic process|ion transport
P17411	carbohydrate metabolic process|metabolic process
Q46863	transport
P39831	oxidation-reduction process
B1XBJ4	oxidation-reduction process|aromatic compound catabolic process
P0AE06	response to antibiotic|transport
P76187	oxidation-reduction process
C4ZQ14	oxidation-reduction process
P13009	cellular amino acid biosynthetic process|methionine biosynthetic process|methylation
B1XCP2	carbohydrate transport|transport|phosphoenolpyruvate-dependent sugar phosphotransferase system|phosphorylation
P33599	oxidation-reduction process|transport|metabolic process
P75987	response to stress
B1XA35	transport
