Genea	GI	Product
dcuS	1790567	sensory histidine kinase in two-component regulatory system with DcuR, regulator of anaerobic fumarate respiration
yjdO	87082373	predicted protein
lysU	1790571	lysine tRNA synthetase, inducible
cadA	1790573	lysine decarboxylase 1
yjdC	87082374	predicted transcriptional regulator
dsbD	1790578	fused thiol:disulfide interchange protein: activator of DsbC/conserved protein
cutA	1790579	copper binding protein, copper sensitivity
dcuA	1790580	C4-dicarboxylate antiporter
aspA	87082375	aspartate ammonia-lyase
fxsA	87082376	inner membrane protein
yjeH	1790584	predicted transporter
groS	1790585	Cpn10 chaperonin GroES, small subunit of GroESL
groL	1790586	Cpn60 chaperonin GroEL, large subunit of GroESL
yjeI	87082377	conserved protein
yjeK	1790589	predicted lysine aminomutase
efp	1790590	Elongation factor EF-P
ecnA	48994998	entericidin A membrane lipoprotein, antidote entericidin B
ecnB	48994999	entericidin B membrane lipoprotein
sugE	87082378	multidrug efflux system protein
blc	1790592	outer membrane lipoprotein (lipocalin)
ampC	1790593	beta-lactamase/D-alanine carboxypeptidase
frdD	1790594	fumarate reductase (anaerobic), membrane anchor subunit
frdC	1790595	fumarate reductase (anaerobic), membrane anchor subunit
frdB	1790596	fumarate reductase (anaerobic), Fe-S subunit
frdA	1790597	fumarate reductase (anaerobic) catalytic and NAD/flavoprotein subunit
poxA	87082379	predicted lysyl-tRNA synthetase
yjeP	2367355	predicted mechanosensitive channel
psd	1790604	phosphatidylserine decarboxylase
rsgA	87082381	ribosome small subunit-dependent GTPase A
yjeE	1790610	ATPase with strong ADP affinity
amiB	1790611	N-acetylmuramoyl-l-alanine amidase II
mutL	1790612	methyl-directed mismatch repair protein
miaA	1790613	delta(2)-isopentenylpyrophosphate tRNA-adenosine transferase
hfq	1790614	HF-I, host factor for RNA phage Q beta replication
hflX	1790615	predicted GTPase
hflK	1790616	modulator for HflB protease specific for phage lambda cII repressor
hflC	1790617	modulator for HflB protease specific for phage lambda cII repressor
yjeT	1790619	conserved inner membrane protein
purA	1790620	adenylosuccinate synthetase
nsrR	1790621	predicted DNA-binding transcriptional regulator
rnr	87082383	exoribonuclease R, RNase R
rlmB	1790623	23S rRNA (Gm2251)-methyltransferase
yjfM	1790628	conserved protein
yjfC	1790629	predicted synthetase/amidase
yjfN	87082385	predicted protein
yjfO	87082386	conserved protein
yjfP	1790634	predicted hydrolase
ulaR	1790635	DNA-binding transcriptional dual regulator
ulaG	87082387	predicted L-ascorbate 6-phosphate lactonase
ulaA	87082388	L-ascorbate-specific enzyme IIC component of PTS
ulaB	1790638	L-ascorbate-specific enzyme IIB component of PTS
ulaC	2367359	L-ascorbate-specific enzyme IIA component of PTS
ulaD	1790640	3-keto-L-gulonate 6-phosphate decarboxylase
ulaE	1790641	L-xylulose 5-phosphate 3-epimerase
ulaF	1790642	L-ribulose 5-phosphate 4-epimerase
yjfY	1790643	predicted protein
rpsF	221142685	30S ribosomal subunit protein S6
priB	1790645	primosomal protein N
rpsR	1790646	30S ribosomal subunit protein S18
rplI	1790647	50S ribosomal subunit protein L9
cycA	1790653	D-alanine/D-serine/glycine transporter
ytfE	1790654	predicted regulator of cell morphogenesis and cell wall metabolism
ytfF	1790655	predicted inner membrane protein
qorB	1790656	NAD(P)H:quinone oxidoreductase
ytfH	87082391	predicted transcriptional regulator
cpdB	1790658	2':3'-cyclic-nucleotide 2'-phosphodiesterase
cysQ	1790659	PAPS (adenosine 3'-phosphate 5'-phosphosulfate) 3'(2'),5'-bisphosphate nucleotidase
ytfJ	1790662	predicted transcriptional regulator
ytfK	87082392	conserved protein
ytfL	1790664	predicted inner membrane protein
msrA	1790665	methionine sulfoxide reductase A
ytfM	1790666	predicted outer membrane protein and surface antigen
ytfN	1790667	conserved protein
ytfP	1790668	conserved protein
ppa	1790673	inorganic pyrophosphatase
ytfR	48995001	predicted sugar transporter subunit: ATP-binding component of ABC superfamily
ytfT	145693214	predicted sugar transporter subunit: membrane component of ABC superfamily
fbp	1790679	fructose-1,6-bisphosphatase I
mpl	1790680	UDP-N-acetylmuramate:L-alanyl-gamma-D-glutamyl- meso-diaminopimelate ligase
yjgA	1790681	conserved protein
pmbA	1790682	predicted peptidase required for the maturation and secretion of the antibiotic peptide MccB17
nrdG	1790685	anaerobic ribonucleotide reductase activating protein
nrdD	1790686	anaerobic ribonucleoside-triphosphate reductase
treC	1790687	trehalose-6-P hydrolase
treB	2367362	fused trehalose(maltose)-specific PTS enzyme: IIB component/IIC component
treR	1790689	DNA-binding transcriptional repressor
mgtA	2367363	magnesium transporter
yjgF	87082396	ketoacid-binding protein
pyrI	1790692	aspartate carbamoyltransferase, regulatory subunit
pyrB	2367364	aspartate carbamoyltransferase, catalytic subunit
pyrL	1790694	pyrBI operon leader peptide
argI	1790703	ornithine carbamoyltransferase 1
rraB	1790704	conserved protein
yjgM	48995002	predicted acetyltransferase
valS	1790708	valyl-tRNA synthetase
holC	1790709	DNA polymerase III, chi subunit
pepA	1790710	multifunctional aminopeptidase A: a cyteinylglycinase, transcription regulator and site-specific recombination factor
lptF	1790712	conserved inner membrane protein
lptG	87082400	conserved inner membrane protein
yjgR	1790714	predicted ATPase
idnT	1790716	L-idonate and D-gluconate transporter
yjgB	87082401	predicted alcohol dehydrogenase, Zn-dependent and NAD(P)-binding
yjiA	87082430	predicted GTPase
yjiX	1790813	conserved protein
yjiY	87082431	predicted inner membrane protein
tsr	2367378	methyl-accepting chemotaxis protein I, serine sensor receptor
opgB	87082433	phosphoglycerol transferase I
yjjA	87082434	conserved protein
dnaC	1790823	DNA biosynthesis protein
dnaT	1790824	DNA biosynthesis protein (primosomal protein I)
yjjB	145693219	conserved inner membrane protein
rsmC	1790830	16S rRNA m(2)G1207 methyltransferase
yjjG	1790833	dUMP phosphatase
prfC	1790835	peptide chain release factor RF-3
osmY	1790836	periplasmic protein
ytjA	145693221	predicted protein
yjjU	1790837	predicted esterase
yjjV	87082439	predicted DNase
yjjW	1790839	predicted pyruvate formate lyase activating enzyme
yjjI	1790840	conserved protein
deoC	1790841	2-deoxyribose-5-phosphate aldolase, NAD(P)-linked
deoA	1790842	thymidine phosphorylase
deoB	1790843	phosphopentomutase
deoD	1790844	purine-nucleoside phosphorylase
lplA	1790846	lipoate-protein ligase A
ytjB	1790847	conserved protein
serB	1790849	3-phosphoserine phosphatase
radA	1790850	predicted repair protein
nadR	87082440	bifunctional DNA-binding transcriptional repressor/ NMN adenylyltransferase
yjjK	2367384	fused predicted transporter subunits of ABC superfamily: ATP-binding components
slt	87082441	lytic murein transglycosylase, soluble
trpR	1790854	DNA-binding transcriptional repressor, tryptophan-binding
yjjX	87082442	thiamin metabolism associated protein
ytjC	1790856	phosphoglyceromutase 2, co-factor independent
rob	1790857	DNA-binding transcriptional activator
creA	1790859	conserved protein
creB	1790860	DNA-binding response regulator in two-component regulatory system with CreC
creC	1790861	sensory histidine kinase in two-component regulatory system with CreB or PhoB, regulator of the CreBC regulon
creD	1790862	inner membrane protein
arcA	1790863	DNA-binding response regulator in two-component regulatory system with ArcB or CpxA
yjjY	1790864	predicted protein
yjtD	1790865	predicted rRNA methyltransferase
