A5A616	YNEM_ECOLI Uncharacterized protein yneM OS=Escherichia coli (strain K12) GN=yneM PE=1 SV=1
P15254	PUR4_ECOLI Phosphoribosylformylglycinamidine synthase OS=Escherichia coli (strain K12) GN=purL PE=1 SV=3
P15286	FLK_ECOLI Flagellar regulator flk OS=Escherichia coli (strain K12) GN=flk PE=3 SV=2
P15288	PEPD_ECOLI Aminoacyl-histidine dipeptidase OS=Escherichia coli (strain K12) GN=pepD PE=1 SV=3
P15770	AROE_ECOLI Shikimate dehydrogenase OS=Escherichia coli (strain K12) GN=aroE PE=1 SV=1
P15877	DHG_ECOLI Quinoprotein glucose dehydrogenase OS=Escherichia coli (strain K12) GN=gcd PE=1 SV=3
P16095	SDHL_ECOLI L-serine dehydratase 1 OS=Escherichia coli (strain K12) GN=sdaA PE=1 SV=3
P16384	MIAA_ECOLI tRNA Delta(2)-isopentenylpyrophosphate transferase OS=Escherichia coli (strain K12) GN=miaA PE=1 SV=2
P16433	HYCG_ECOLI Formate hydrogenlyase subunit 7 OS=Escherichia coli (strain K12) GN=hycG PE=1 SV=2
P16456	SELD_ECOLI Selenide, water dikinase OS=Escherichia coli (strain K12) GN=selD PE=1 SV=1
P16525	TUS_ECOLI DNA replication terminus site-binding protein OS=Escherichia coli (strain K12) GN=tus PE=1 SV=1
P16528	ICLR_ECOLI Acetate operon repressor OS=Escherichia coli (strain K12) GN=iclR PE=1 SV=1
P16659	SYP_ECOLI Prolyl-tRNA synthetase OS=Escherichia coli (strain K12) GN=proS PE=1 SV=4
P16676	CYSA_ECOLI Sulfate/thiosulfate import ATP-binding protein cysA OS=Escherichia coli (strain K12) GN=cysA PE=3 SV=2
P16700	CYSP_ECOLI Thiosulfate-binding protein OS=Escherichia coli (strain K12) GN=cysP PE=1 SV=1
P16926	MREC_ECOLI Rod shape-determining protein mreC OS=Escherichia coli (strain K12) GN=mreC PE=3 SV=1
P17115	GUTQ_ECOLI Protein gutQ OS=Escherichia coli (strain K12) GN=gutQ PE=3 SV=3
P17117	NFSA_ECOLI Oxygen-insensitive NADPH nitroreductase OS=Escherichia coli (strain K12) GN=nfsA PE=1 SV=2
P17169	GLMS_ECOLI Glucosamine--fructose-6-phosphate aminotransferase [isomerizing] OS=Escherichia coli (strain K12) GN=glmS PE=1 SV=4
P17443	MURG_ECOLI UDP-N-acetylglucosamine--N-acetylmuramyl-(pentapeptide) pyrophosphoryl-undecaprenol N-acetylglucosamine transferase OS=Escherichia coli (strain K12) GN=murG PE=1 SV=3
P17444	BETA_ECOLI Choline dehydrogenase OS=Escherichia coli (strain K12) GN=betA PE=1 SV=1
P17445	BETB_ECOLI Betaine aldehyde dehydrogenase OS=Escherichia coli (strain K12) GN=betB PE=1 SV=3
P17846	CYSI_ECOLI Sulfite reductase [NADPH] hemoprotein beta-component OS=Escherichia coli (strain K12) GN=cysI PE=1 SV=4
P17854	CYSH_ECOLI Phosphoadenosine phosphosulfate reductase OS=Escherichia coli (strain K12) GN=cysH PE=1 SV=3
P17888	PRIA_ECOLI Primosomal protein N' OS=Escherichia coli (strain K12) GN=priA PE=1 SV=2
P17952	MURC_ECOLI UDP-N-acetylmuramate--L-alanine ligase OS=Escherichia coli (strain K12) GN=murC PE=1 SV=2
P17993	UBIG_ECOLI 3-demethylubiquinone-9 3-methyltransferase OS=Escherichia coli (strain K12) GN=ubiG PE=1 SV=1
P18196	MINC_ECOLI Septum site-determining protein minC OS=Escherichia coli (strain K12) GN=minC PE=1 SV=1
P18335	ARGD_ECOLI Acetylornithine/succinyldiaminopimelate aminotransferase OS=Escherichia coli (strain K12) GN=argD PE=1 SV=4
P18775	DMSA_ECOLI Anaerobic dimethyl sulfoxide reductase chain A OS=Escherichia coli (strain K12) GN=dmsA PE=1 SV=2
P18843	NADE_ECOLI NH(3)-dependent NAD(+) synthetase OS=Escherichia coli (strain K12) GN=nadE PE=1 SV=2
P19319	NARZ_ECOLI Respiratory nitrate reductase 2 alpha chain OS=Escherichia coli (strain K12) GN=narZ PE=1 SV=5
P19624	PDXA_ECOLI 4-hydroxythreonine-4-phosphate dehydrogenase OS=Escherichia coli (strain K12) GN=pdxA PE=1 SV=1
P19926	AGP_ECOLI Glucose-1-phosphatase OS=Escherichia coli (strain K12) GN=agp PE=1 SV=1
P19934	TOLA_ECOLI Protein tolA OS=Escherichia coli (strain K12) GN=tolA PE=1 SV=1
P20083	PARE_ECOLI DNA topoisomerase 4 subunit B OS=Escherichia coli (strain K12) GN=parE PE=1 SV=3
P20605	FIC_ECOLI Probable adenosine monophosphate-protein transferase fic OS=Escherichia coli (strain K12) GN=fic PE=1 SV=1
P20966	PTFBC_ECOLI PTS system fructose-specific EIIBC component OS=Escherichia coli (strain K12) GN=fruA PE=4 SV=1
P21151	FADA_ECOLI 3-ketoacyl-CoA thiolase OS=Escherichia coli (strain K12) GN=fadA PE=1 SV=3
P21165	PEPQ_ECOLI Xaa-Pro dipeptidase OS=Escherichia coli (strain K12) GN=pepQ PE=1 SV=2
P21170	SPEA_ECOLI Biosynthetic arginine decarboxylase OS=Escherichia coli (strain K12) GN=speA PE=1 SV=2
P21177	FADB_ECOLI Fatty acid oxidation complex subunit alpha OS=Escherichia coli (strain K12) GN=fadB PE=1 SV=2
P21179	CATE_ECOLI Catalase HPII OS=Escherichia coli (strain K12) GN=katE PE=1 SV=1
P21338	RNI_ECOLI Ribonuclease I OS=Escherichia coli (strain K12) GN=rna PE=1 SV=1
P21345	GLTP_ECOLI Proton glutamate symport protein OS=Escherichia coli (strain K12) GN=gltP PE=1 SV=2
P21365	YCIC_ECOLI UPF0259 membrane protein yciC OS=Escherichia coli (strain K12) GN=yciC PE=1 SV=2
P21367	YCAC_ECOLI Uncharacterized protein ycaC OS=Escherichia coli (strain K12) GN=ycaC PE=1 SV=1
P21499	RNR_ECOLI Ribonuclease R OS=Escherichia coli (strain K12) GN=rnr PE=1 SV=2
P21507	SRMB_ECOLI ATP-dependent RNA helicase srmB OS=Escherichia coli (strain K12) GN=srmB PE=1 SV=1
P21513	RNE_ECOLI Ribonuclease E OS=Escherichia coli (strain K12) GN=rne PE=1 SV=6
P21515	ACPH_ECOLI Acyl carrier protein phosphodiesterase OS=Escherichia coli (strain K12) GN=acpH PE=3 SV=2
P21599	KPYK2_ECOLI Pyruvate kinase II OS=Escherichia coli (strain K12) GN=pykA PE=1 SV=3
P21645	LPXD_ECOLI UDP-3-O-[3-hydroxymyristoyl] glucosamine N-acyltransferase OS=Escherichia coli (strain K12) GN=lpxD PE=1 SV=2
P21693	DBPA_ECOLI ATP-independent RNA helicase dbpA OS=Escherichia coli (strain K12) GN=dbpA PE=1 SV=2
P21865	KDPD_ECOLI Sensor protein kdpD OS=Escherichia coli (strain K12) GN=kdpD PE=1 SV=2
P21866	KDPE_ECOLI KDP operon transcriptional regulatory protein kdpE OS=Escherichia coli (strain K12) GN=kdpE PE=1 SV=3
P21888	SYC_ECOLI Cysteinyl-tRNA synthetase OS=Escherichia coli (strain K12) GN=cysS PE=1 SV=2
P21889	SYD_ECOLI Aspartyl-tRNA synthetase OS=Escherichia coli (strain K12) GN=aspS PE=1 SV=1
P21893	RECJ_ECOLI Single-stranded-DNA-specific exonuclease recJ OS=Escherichia coli (strain K12) GN=recJ PE=1 SV=2
P22106	ASNB_ECOLI Asparagine synthetase B [glutamine-hydrolyzing] OS=Escherichia coli (strain K12) GN=asnB PE=1 SV=3
P22186	MRAZ_ECOLI Protein mraZ OS=Escherichia coli (strain K12) GN=mraZ PE=3 SV=1
P22188	MURE_ECOLI UDP-N-acetylmuramoyl-L-alanyl-D-glutamate--2,6-diaminopimelate ligase OS=Escherichia coli (strain K12) GN=murE PE=1 SV=2
P22255	CYSQ_ECOLI 3'(2'),5'-bisphosphate nucleotidase cysQ OS=Escherichia coli (strain K12) GN=cysQ PE=1 SV=2
P22256	GABT_ECOLI 4-aminobutyrate aminotransferase OS=Escherichia coli (strain K12) GN=gabT PE=1 SV=1
P22259	PCKA_ECOLI Phosphoenolpyruvate carboxykinase [ATP] OS=Escherichia coli (strain K12) GN=pckA PE=1 SV=2
P22333	ADD_ECOLI Adenosine deaminase OS=Escherichia coli (strain K12) GN=add PE=3 SV=2
P22523	MUKB_ECOLI Chromosome partition protein mukB OS=Escherichia coli (strain K12) GN=mukB PE=1 SV=2
P22524	MUKE_ECOLI Chromosome partition protein mukE OS=Escherichia coli (strain K12) GN=mukE PE=1 SV=5
P22525	YCBB_ECOLI Uncharacterized protein ycbB OS=Escherichia coli (strain K12) GN=ycbB PE=1 SV=2
P22634	MURI_ECOLI Glutamate racemase OS=Escherichia coli (strain K12) GN=murI PE=1 SV=2
P22731	LIVF_ECOLI High-affinity branched-chain amino acid transport ATP-binding protein livF OS=Escherichia coli (strain K12) GN=livF PE=1 SV=2
P22939	ISPA_ECOLI Geranyltranstransferase OS=Escherichia coli (strain K12) GN=ispA PE=1 SV=1
P23305	YIGA_ECOLI Uncharacterized protein yigA OS=Escherichia coli (strain K12) GN=yigA PE=4 SV=1
P23367	MUTL_ECOLI DNA mismatch repair protein mutL OS=Escherichia coli (strain K12) GN=mutL PE=1 SV=2
P23538	PPSA_ECOLI Phosphoenolpyruvate synthase OS=Escherichia coli (strain K12) GN=ppsA PE=1 SV=5
P23721	SERC_ECOLI Phosphoserine aminotransferase OS=Escherichia coli (strain K12) GN=serC PE=1 SV=4
P23827	ECOT_ECOLI Ecotin OS=Escherichia coli (strain K12) GN=eco PE=1 SV=1
P23830	PSS_ECOLI CDP-diacylglycerol--serine O-phosphatidyltransferase OS=Escherichia coli (strain K12) GN=pssA PE=1 SV=2
P23836	PHOP_ECOLI Transcriptional regulatory protein phoP OS=Escherichia coli (strain K12) GN=phoP PE=1 SV=1
P23839	YICC_ECOLI UPF0701 protein yicC OS=Escherichia coli (strain K12) GN=yicC PE=1 SV=2
P23842	YFEA_ECOLI Uncharacterized protein yfeA OS=Escherichia coli (strain K12) GN=yfeA PE=4 SV=2
P23843	OPPA_ECOLI Periplasmic oligopeptide-binding protein OS=Escherichia coli (strain K12) GN=oppA PE=1 SV=2
P23845	CYSN_ECOLI Sulfate adenylyltransferase subunit 1 OS=Escherichia coli (strain K12) GN=cysN PE=1 SV=1
P23847	DPPA_ECOLI Periplasmic dipeptide transport protein OS=Escherichia coli (strain K12) GN=dppA PE=1 SV=1
P23862	PRIC_ECOLI Primosomal replication protein N'' OS=Escherichia coli (strain K12) GN=priC PE=1 SV=3
P23865	PRC_ECOLI Tail-specific protease OS=Escherichia coli (strain K12) GN=prc PE=1 SV=2
P23869	PPIB_ECOLI Peptidyl-prolyl cis-trans isomerase B OS=Escherichia coli (strain K12) GN=ppiB PE=1 SV=2
P23871	HEMH_ECOLI Ferrochelatase OS=Escherichia coli (strain K12) GN=hemH PE=1 SV=3
P23878	FEPC_ECOLI Ferric enterobactin transport ATP-binding protein fepC OS=Escherichia coli (strain K12) GN=fepC PE=3 SV=2
P23882	FMT_ECOLI Methionyl-tRNA formyltransferase OS=Escherichia coli (strain K12) GN=fmt PE=1 SV=4
P23886	CYDC_ECOLI ATP-binding/permease protein cydC OS=Escherichia coli (strain K12) GN=cydC PE=3 SV=2
P23893	GSA_ECOLI Glutamate-1-semialdehyde 2,1-aminomutase OS=Escherichia coli (strain K12) GN=hemL PE=1 SV=2
P23894	HTPX_ECOLI Probable protease htpX OS=Escherichia coli (strain K12) GN=htpX PE=1 SV=1
P23908	ARGE_ECOLI Acetylornithine deacetylase OS=Escherichia coli (strain K12) GN=argE PE=1 SV=2
P23909	MUTS_ECOLI DNA mismatch repair protein mutS OS=Escherichia coli (strain K12) GN=mutS PE=1 SV=1
P23930	LNT_ECOLI Apolipoprotein N-acyltransferase OS=Escherichia coli (strain K12) GN=lnt PE=1 SV=1
P24171	DCP_ECOLI Peptidyl-dipeptidase dcp OS=Escherichia coli (strain K12) GN=dcp PE=1 SV=4
P24173	RFAC_ECOLI Lipopolysaccharide heptosyltransferase 1 OS=Escherichia coli (strain K12) GN=rfaC PE=1 SV=1
P24175	MANB_ECOLI Phosphomannomutase OS=Escherichia coli (strain K12) GN=manB PE=3 SV=1
P24177	ACRD_ECOLI Probable aminoglycoside efflux pump OS=Escherichia coli (strain K12) GN=acrD PE=3 SV=3
P24182	ACCC_ECOLI Biotin carboxylase OS=Escherichia coli (strain K12) GN=accC PE=1 SV=2
P24186	FOLD_ECOLI Bifunctional protein folD OS=Escherichia coli (strain K12) GN=folD PE=1 SV=4
P24188	YCEA_ECOLI UPF0176 protein yceA OS=Escherichia coli (strain K12) GN=yceA PE=2 SV=2
P24192	HYPD_ECOLI Hydrogenase isoenzymes formation protein hypD OS=Escherichia coli (strain K12) GN=hypD PE=1 SV=1
P24193	HYPE_ECOLI Hydrogenase isoenzymes formation protein hypE OS=Escherichia coli (strain K12) GN=hypE PE=1 SV=2
P24202	MRR_ECOLI Mrr restriction system protein OS=Escherichia coli (strain K12) GN=mrr PE=1 SV=1
P24203	YJIA_ECOLI Uncharacterized GTP-binding protein yjiA OS=Escherichia coli (strain K12) GN=yjiA PE=1 SV=3
P24205	MSBB_ECOLI Lipid A biosynthesis (KDO)2-(lauroyl)-lipid IVA acyltransferase OS=Escherichia coli (strain K12) GN=msbB PE=1 SV=1
P24228	DACB_ECOLI D-alanyl-D-alanine carboxypeptidase dacB OS=Escherichia coli (strain K12) GN=dacB PE=1 SV=2
P24230	RECG_ECOLI ATP-dependent DNA helicase recG OS=Escherichia coli (strain K12) GN=recG PE=1 SV=1
P24241	PTIBC_ECOLI PTS system arbutin-, cellobiose-, and salicin-specific EIIBC component OS=Escherichia coli (strain K12) GN=ascF PE=4 SV=3
P24251	CRL_ECOLI Sigma factor-binding protein crl OS=Escherichia coli (strain K12) GN=crl PE=1 SV=5
P24255	RP54_ECOLI RNA polymerase sigma-54 factor OS=Escherichia coli (strain K12) GN=rpoN PE=3 SV=2
P24554	RADA_ECOLI DNA repair protein radA OS=Escherichia coli (strain K12) GN=radA PE=3 SV=1
P25397	TEHB_ECOLI Tellurite resistance protein tehB OS=Escherichia coli (strain K12) GN=tehB PE=4 SV=1
P25437	FRMA_ECOLI S-(hydroxymethyl)glutathione dehydrogenase OS=Escherichia coli (strain K12) GN=frmA PE=1 SV=3
P25516	ACON1_ECOLI Aconitate hydratase 1 OS=Escherichia coli (strain K12) GN=acnA PE=1 SV=3
P25519	HFLX_ECOLI GTP-binding protein hflX OS=Escherichia coli (strain K12) GN=hflX PE=1 SV=3
P25522	MNME_ECOLI tRNA modification GTPase mnmE OS=Escherichia coli (strain K12) GN=mnmE PE=1 SV=3
P25534	UBIH_ECOLI 2-octaprenyl-6-methoxyphenol hydroxylase OS=Escherichia coli (strain K12) GN=ubiH PE=1 SV=2
P25535	VISC_ECOLI Protein visC OS=Escherichia coli (strain K12) GN=visC PE=3 SV=2
P25553	ALDA_ECOLI Lactaldehyde dehydrogenase OS=Escherichia coli (strain K12) GN=aldA PE=1 SV=2
P25714	OXAA_ECOLI Inner membrane protein oxaA OS=Escherichia coli (strain K12) GN=oxaA PE=1 SV=2
P25740	RFAG_ECOLI Lipopolysaccharide core biosynthesis protein rfaG OS=Escherichia coli (strain K12) GN=rfaG PE=1 SV=1
P25741	RFAP_ECOLI Lipopolysaccharide core heptose(I) kinase rfaP OS=Escherichia coli (strain K12) GN=rfaP PE=3 SV=1
P25746	HFLD_ECOLI High frequency lysogenization protein hflD OS=Escherichia coli (strain K12) GN=hflD PE=1 SV=1
P25894	YGGG_ECOLI Uncharacterized metalloprotease yggG OS=Escherichia coli (strain K12) GN=yggG PE=1 SV=2
P26602	UBIC_ECOLI Chorismate--pyruvate lyase OS=Escherichia coli (strain K12) GN=ubiC PE=1 SV=2
P26612	AMY2_ECOLI Cytoplasmic alpha-amylase OS=Escherichia coli (strain K12) GN=amyA PE=3 SV=3
P26616	MAO1_ECOLI NAD-dependent malic enzyme OS=Escherichia coli (strain K12) GN=sfcA PE=3 SV=4
P26646	YHDH_ECOLI Putative quinone oxidoreductase yhdH OS=Escherichia coli (strain K12) GN=yhdH PE=1 SV=1
P26647	PLSC_ECOLI 1-acyl-sn-glycerol-3-phosphate acyltransferase OS=Escherichia coli (strain K12) GN=plsC PE=1 SV=1
P26648	SUFI_ECOLI Protein sufI OS=Escherichia coli (strain K12) GN=sufI PE=1 SV=2
P27240	RFAY_ECOLI Lipopolysaccharide core heptose(II) kinase rfaY OS=Escherichia coli (strain K12) GN=rfaY PE=3 SV=2
P27247	PLSX_ECOLI Phosphate acyltransferase OS=Escherichia coli (strain K12) GN=plsX PE=1 SV=2
P27248	GCST_ECOLI Aminomethyltransferase OS=Escherichia coli (strain K12) GN=gcvT PE=1 SV=3
P27249	GLND_ECOLI [Protein-PII] uridylyltransferase OS=Escherichia coli (strain K12) GN=glnD PE=3 SV=2
P27278	NADR_ECOLI Transcriptional regulator nadR OS=Escherichia coli (strain K12) GN=nadR PE=4 SV=2
P27297	BAX_ECOLI Protein bax OS=Escherichia coli (strain K12) GN=bax PE=4 SV=3
P27298	OPDA_ECOLI Oligopeptidase A OS=Escherichia coli (strain K12) GN=prlC PE=3 SV=3
P27300	LPXK_ECOLI Tetraacyldisaccharide 4'-kinase OS=Escherichia coli (strain K12) GN=lpxK PE=1 SV=2
P27302	TKT1_ECOLI Transketolase 1 OS=Escherichia coli (strain K12) GN=tktA PE=1 SV=5
P27303	EMRA_ECOLI Multidrug resistance protein A OS=Escherichia coli (strain K12) GN=emrA PE=3 SV=2
P27305	GLUQ_ECOLI Glutamyl-Q tRNA(Asp) synthetase OS=Escherichia coli (strain K12) GN=gluQ PE=1 SV=6
P27306	STHA_ECOLI Soluble pyridine nucleotide transhydrogenase OS=Escherichia coli (strain K12) GN=sthA PE=1 SV=5
P27431	YCFD_ECOLI Uncharacterized protein ycfD OS=Escherichia coli (strain K12) GN=ycfD PE=4 SV=2
P27434	RODZ_ECOLI Cytoskeleton protein rodZ OS=Escherichia coli (strain K12) GN=rodZ PE=1 SV=2
P27550	ACSA_ECOLI Acetyl-coenzyme A synthetase OS=Escherichia coli (strain K12) GN=acs PE=1 SV=2
P27828	WECB_ECOLI UDP-N-acetylglucosamine 2-epimerase OS=Escherichia coli (strain K12) GN=wecB PE=1 SV=2
P27829	WECC_ECOLI UDP-N-acetyl-D-mannosamine dehydrogenase OS=Escherichia coli (strain K12) GN=wecC PE=3 SV=4
P27833	RFFA_ECOLI Lipopolysaccharide biosynthesis protein rffA OS=Escherichia coli (strain K12) GN=rffA PE=3 SV=2
P27836	WECG_ECOLI Probable UDP-N-acetyl-D-mannosaminuronic acid transferase OS=Escherichia coli (strain K12) GN=wecG PE=3 SV=2
P27848	YIGL_ECOLI Uncharacterized protein yigL OS=Escherichia coli (strain K12) GN=yigL PE=3 SV=4
P27862	YIGZ_ECOLI IMPACT family member yigZ OS=Escherichia coli (strain K12) GN=yigZ PE=1 SV=2
P28246	BCR_ECOLI Bicyclomycin resistance protein OS=Escherichia coli (strain K12) GN=bcr PE=1 SV=4
P28248	DCD_ECOLI Deoxycytidine triphosphate deaminase OS=Escherichia coli (strain K12) GN=dcd PE=1 SV=1
P28249	ASMA_ECOLI Protein asmA OS=Escherichia coli (strain K12) GN=asmA PE=4 SV=2
P28304	QOR_ECOLI Quinone oxidoreductase OS=Escherichia coli (strain K12) GN=qor PE=1 SV=1
P28305	PABC_ECOLI Aminodeoxychorismate lyase OS=Escherichia coli (strain K12) GN=pabC PE=1 SV=1
P28306	YCEG_ECOLI UPF0755 protein yceG OS=Escherichia coli (strain K12) GN=yceG PE=1 SV=2
P28630	HOLA_ECOLI DNA polymerase III subunit delta OS=Escherichia coli (strain K12) GN=holA PE=1 SV=1
P28631	HOLB_ECOLI DNA polymerase III subunit delta' OS=Escherichia coli (strain K12) GN=holB PE=1 SV=2
P28635	METQ_ECOLI D-methionine-binding lipoprotein metQ OS=Escherichia coli (strain K12) GN=metQ PE=1 SV=2
P28903	NRDD_ECOLI Anaerobic ribonucleoside-triphosphate reductase OS=Escherichia coli (strain K12) GN=nrdD PE=1 SV=2
P28904	TREC_ECOLI Trehalose-6-phosphate hydrolase OS=Escherichia coli (strain K12) GN=treC PE=3 SV=3
P29013	YCGB_ECOLI Uncharacterized protein ycgB OS=Escherichia coli (strain K12) GN=ycgB PE=4 SV=2
P29018	CYDD_ECOLI ATP-binding/permease protein cydD OS=Escherichia coli (strain K12) GN=cydD PE=1 SV=3
P29131	FTSN_ECOLI Cell division protein ftsN OS=Escherichia coli (strain K12) GN=ftsN PE=1 SV=3
P29217	YCEH_ECOLI UPF0502 protein yceH OS=Escherichia coli (strain K12) GN=yceH PE=1 SV=3
P29680	DCUP_ECOLI Uroporphyrinogen decarboxylase OS=Escherichia coli (strain K12) GN=hemE PE=1 SV=3
P30011	NADC_ECOLI Nicotinate-nucleotide pyrophosphorylase [carboxylating] OS=Escherichia coli (strain K12) GN=nadC PE=1 SV=7
P30014	RNT_ECOLI Ribonuclease T OS=Escherichia coli (strain K12) GN=rnt PE=1 SV=1
P30126	LEUD_ECOLI 3-isopropylmalate dehydratase small subunit OS=Escherichia coli (strain K12) GN=leuD PE=1 SV=3
P30128	GREB_ECOLI Transcription elongation factor greB OS=Escherichia coli (strain K12) GN=greB PE=1 SV=2
P30137	THIE_ECOLI Thiamine-phosphate pyrophosphorylase OS=Escherichia coli (strain K12) GN=thiE PE=1 SV=1
P30138	THIF_ECOLI Adenylyltransferase thiF OS=Escherichia coli (strain K12) GN=thiF PE=1 SV=2
P30178	YBIC_ECOLI Uncharacterized oxidoreductase ybiC OS=Escherichia coli (strain K12) GN=ybiC PE=1 SV=2
P30744	SDHM_ECOLI L-serine dehydratase 2 OS=Escherichia coli (strain K12) GN=sdaB PE=1 SV=2
P30745	MOAA_ECOLI Molybdenum cofactor biosynthesis protein A OS=Escherichia coli (strain K12) GN=moaA PE=1 SV=1
P30750	METN_ECOLI Methionine import ATP-binding protein metN OS=Escherichia coli (strain K12) GN=metN PE=1 SV=4
P30843	BASR_ECOLI Transcriptional regulatory protein basR OS=Escherichia coli (strain K12) GN=basR PE=2 SV=3
P30845	EPTA_ECOLI Phosphoethanolamine transferase eptA OS=Escherichia coli (strain K12) GN=eptA PE=1 SV=2
P30847	BAES_ECOLI Signal transduction histidine-protein kinase baeS OS=Escherichia coli (strain K12) GN=baeS PE=3 SV=2
P30850	RNB_ECOLI Exoribonuclease 2 OS=Escherichia coli (strain K12) GN=rnb PE=1 SV=3
P30859	ARTI_ECOLI Putative ABC transporter arginine-binding protein 2 OS=Escherichia coli (strain K12) GN=artI PE=1 SV=3
P30860	ARTJ_ECOLI ABC transporter arginine-binding protein 1 OS=Escherichia coli (strain K12) GN=artJ PE=1 SV=2
P30864	YAFC_ECOLI Uncharacterized HTH-type transcriptional regulator yafC OS=Escherichia coli (strain K12) GN=yafC PE=1 SV=1
P30870	GLNE_ECOLI Glutamate-ammonia-ligase adenylyltransferase OS=Escherichia coli (strain K12) GN=glnE PE=1 SV=2
P30871	YGIF_ECOLI Uncharacterized protein ygiF OS=Escherichia coli (strain K12) GN=ygiF PE=4 SV=1
P30958	MFD_ECOLI Transcription-repair-coupling factor OS=Escherichia coli (strain K12) GN=mfd PE=1 SV=2
P31069	KCH_ECOLI Putative potassium channel protein OS=Escherichia coli (strain K12) GN=kch PE=1 SV=1
P31119	AAS_ECOLI Bifunctional protein aas OS=Escherichia coli (strain K12) GN=aas PE=1 SV=2
P31120	GLMM_ECOLI Phosphoglucosamine mutase OS=Escherichia coli (strain K12) GN=glmM PE=1 SV=3
P31121	MARB_ECOLI Multiple antibiotic resistance protein marB OS=Escherichia coli (strain K12) GN=marB PE=4 SV=1
P31142	THTM_ECOLI 3-mercaptopyruvate sulfurtransferase OS=Escherichia coli (strain K12) GN=sseA PE=1 SV=3
P31224	ACRB_ECOLI Acriflavine resistance protein B OS=Escherichia coli (strain K12) GN=acrB PE=1 SV=1
P31433	YICH_ECOLI Uncharacterized protein yicH OS=Escherichia coli (strain K12) GN=yicH PE=4 SV=2
P31466	YIEG_ECOLI Putative permease yieG OS=Escherichia coli (strain K12) GN=yieG PE=1 SV=2
P31473	RAVA_ECOLI ATPase ravA OS=Escherichia coli (strain K12) GN=ravA PE=1 SV=2
P31475	YIEP_ECOLI Uncharacterized HTH-type transcriptional regulator yieP OS=Escherichia coli (strain K12) GN=yieP PE=4 SV=3
P31547	METI_ECOLI D-methionine transport system permease protein metI OS=Escherichia coli (strain K12) GN=metI PE=1 SV=1
P31548	THIQ_ECOLI Thiamine import ATP-binding protein thiQ OS=Escherichia coli (strain K12) GN=thiQ PE=1 SV=2
P31550	THIB_ECOLI Thiamine-binding periplasmic protein OS=Escherichia coli (strain K12) GN=thiB PE=1 SV=2
P31554	LPTD_ECOLI LPS-assembly protein lptD OS=Escherichia coli (strain K12) GN=lptD PE=1 SV=2
P31663	PANC_ECOLI Pantothenate synthetase OS=Escherichia coli (strain K12) GN=panC PE=1 SV=1
P31677	OTSA_ECOLI Alpha,alpha-trehalose-phosphate synthase [UDP-forming] OS=Escherichia coli (strain K12) GN=otsA PE=1 SV=3
P31678	OTSB_ECOLI Trehalose-phosphate phosphatase OS=Escherichia coli (strain K12) GN=otsB PE=1 SV=2
P31680	DJLA_ECOLI DnaJ-like protein djlA OS=Escherichia coli (strain K12) GN=djlA PE=1 SV=1
P31801	CHAA_ECOLI Calcium/proton antiporter OS=Escherichia coli (strain K12) GN=chaA PE=1 SV=1
P31802	NARP_ECOLI Nitrate/nitrite response regulator protein narP OS=Escherichia coli (strain K12) GN=narP PE=3 SV=1
P31806	YJEF_ECOLI Uncharacterized protein yjeF OS=Escherichia coli (strain K12) GN=yjeF PE=1 SV=2
P31808	YCIK_ECOLI Uncharacterized oxidoreductase yciK OS=Escherichia coli (strain K12) GN=yciK PE=1 SV=3
P31979	NUOF_ECOLI NADH-quinone oxidoreductase subunit F OS=Escherichia coli (strain K12) GN=nuoF PE=1 SV=3
P32055	FCL_ECOLI GDP-L-fucose synthetase OS=Escherichia coli (strain K12) GN=fcl PE=1 SV=2
P32099	LPLA_ECOLI Lipoate-protein ligase A OS=Escherichia coli (strain K12) GN=lplA PE=1 SV=3
P32131	HEMN_ECOLI Oxygen-independent coproporphyrinogen-III oxidase OS=Escherichia coli (strain K12) GN=hemN PE=1 SV=4
P32132	TYPA_ECOLI GTP-binding protein typA/BipA OS=Escherichia coli (strain K12) GN=typA PE=1 SV=2
P32141	YIHT_ECOLI Uncharacterized aldolase yihT OS=Escherichia coli (strain K12) GN=yihT PE=3 SV=1
P32144	YIHW_ECOLI Uncharacterized HTH-type transcriptional regulator yihW OS=Escherichia coli (strain K12) GN=yihW PE=4 SV=2
P32160	YIIQ_ECOLI Uncharacterized protein yiiQ OS=Escherichia coli (strain K12) GN=yiiQ PE=4 SV=1
P32173	MOBA_ECOLI Molybdopterin-guanine dinucleotide biosynthesis protein A OS=Escherichia coli (strain K12) GN=mobA PE=1 SV=1
P32176	FDOG_ECOLI Formate dehydrogenase-O major subunit OS=Escherichia coli (strain K12) GN=fdoG PE=1 SV=5
P32664	NUDC_ECOLI NADH pyrophosphatase OS=Escherichia coli (strain K12) GN=nudC PE=1 SV=2
P32668	YIJF_ECOLI Uncharacterized protein yijF OS=Escherichia coli (strain K12) GN=yijF PE=4 SV=1
P32680	YJAG_ECOLI Uncharacterized protein yjaG OS=Escherichia coli (strain K12) GN=yjaG PE=4 SV=1
P32684	RLUF_ECOLI Ribosomal large subunit pseudouridine synthase F OS=Escherichia coli (strain K12) GN=rluF PE=1 SV=1
P32684	RLUF_ECOLI Ribosomal large subunit pseudouridine synthase F OS=Escherichia coli (strain K12) GN=rluF PE=1 SV=1
