Accession	Gene names (PREFERRED)	Gene names (ALTERNATIVE)	Gene names	Gene names (OLN)	Entry name	Subcellular locations	Protein existence	Protein family	Protein names	Gene Ontology ID	Keywords	Length	Gene location
A5A614	yciZ		b4596	JW1277	YCIZ_ECOLI		Inferred from homology	UPF0509 family	UPF0509 protein yciZ		Complete proteome	57	
O32528	ypdI		b2376	JW2373	YPDI_ECOLI	"Cell membrane; Lipid-anchor. "	Predicted		Uncharacterized lipoprotein ypdI	GO:0005886	"Cell membrane; Complete proteome; Lipoprotein; Membrane; Palmitate; Signal"	91	
O32583	thiS	thiG1	b4407	JW3955	THIS_ECOLI		Evidence at protein level	Sulfur carrier protein ThiS family	Sulfur carrier protein ThiS (Thiamine biosynthesis protein ThiS)	"GO:0000166; GO:0009228"	"3D-structure; Complete proteome; Nucleotide-binding; Thiamine biosynthesis; Thioester bond"	66	
P00350	gnd		b2029	JW2011	6PGD_ECOLI		Evidence at protein level	6-phosphogluconate dehydrogenase family	6-phosphogluconate dehydrogenase, decarboxylating (EC 1.1.1.44)	"GO:0019521; GO:0050661; GO:0055114; GO:0006098; GO:0004616; GO:0042803"	"3D-structure; Complete proteome; Gluconate utilization; NADP; Oxidoreductase; Pentose shunt"	468	
P00363	frdA		b4154	JW4115	FRDA_ECOLI		Evidence at protein level	FAD-dependent oxidoreductase 2 family, FRD/SDH subfamily	Fumarate reductase flavoprotein subunit (EC 1.3.99.1)	"GO:0050660; GO:0009061; GO:0001539; GO:0005737; GO:0009055; GO:0022900; GO:0006113; GO:0009296; GO:0016020; GO:0005515; GO:0000104; GO:0006810"	"3D-structure; Complete proteome; Electron transport; FAD; Flavoprotein; Oxidoreductase; Transport"	602	
P00370	gdhA		b1761	JW1750	DHE4_ECOLI		Evidence at protein level	Glu/Leu/Phe/Val dehydrogenases family	NADP-specific glutamate dehydrogenase (NADP-GDH) (EC 1.4.1.4)	"GO:0005488; GO:0005737; GO:0006537; GO:0004354; GO:0055114"	"Complete proteome; Direct protein sequencing; NADP; Oxidoreductase"	447	
P00393	ndh		b1109	JW1095	DHNA_ECOLI	Cell membrane. 	Evidence at protein level	NADH dehydrogenase family	NADH dehydrogenase (EC 1.6.99.3)	"GO:0050660; GO:0008137; GO:0019646; GO:0044459; GO:0006810"	"3D-structure; Cell membrane; Complete proteome; Direct protein sequencing; Electron transport; FAD; Flavoprotein; Membrane; NAD; Oxidoreductase; Transport; Ubiquinone"	434	
P00448	sodA		b3908	JW3879	SODM_ECOLI		Evidence at protein level	Iron/manganese superoxide dismutase family	Superoxide dismutase [Mn] (EC 1.15.1.1) (MnSOD)	"GO:0005737; GO:0046872; GO:0055114; GO:0019430; GO:0004784"	"3D-structure; Complete proteome; Direct protein sequencing; Manganese; Metal-binding; Oxidoreductase"	206	
P00452	nrdA	dnaF	b2234	JW2228	RIR1_ECOLI		Evidence at protein level	Ribonucleoside diphosphate reductase large chain family	Ribonucleoside-diphosphate reductase 1 subunit alpha (EC 1.17.4.1) (Protein B1) (Ribonucleoside-diphosphate reductase 1 R1 subunit) (Ribonucleotide reductase 1)	"GO:0005524; GO:0006260; GO:0009263; GO:0015949; GO:0055114; GO:0005515; GO:0004748; GO:0005971"	"3D-structure; ATP-binding; Acetylation; Allosteric enzyme; Alternative initiation; Complete proteome; DNA replication; Direct protein sequencing; Disulfide bond; Nucleotide-binding; Oxidoreductase"	761	
P00509	aspC		b0928	JW0911	AAT_ECOLI	Cytoplasm. 	Evidence at protein level	Class-I pyridoxal-phosphate-dependent aminotransferase family	Aspartate aminotransferase (AspAT) (EC 2.6.1.1) (Transaminase A)	"GO:0004069; GO:0033585; GO:0004838; GO:0006532; GO:0005829; GO:0016212; GO:0042803; GO:0030170"	"3D-structure; Aminotransferase; Complete proteome; Cytoplasm; Direct protein sequencing; Pyridoxal phosphate; Transferase"	396	
P00547	thrB		b0003	JW0002	KHSE_ECOLI	Cytoplasm. 	Evidence at protein level	GHMP kinase family, Homoserine kinase subfamily	Homoserine kinase (HK) (HSK) (EC 2.7.1.39)	"GO:0005524; GO:0005737; GO:0004413; GO:0009088"	"ATP-binding; Amino-acid biosynthesis; Complete proteome; Cytoplasm; Kinase; Nucleotide-binding; Threonine biosynthesis; Transferase"	310	
P00550	mtlA		b3599	JW3573	PTM3C_ECOLI	"Cell inner membrane; Multi-pass membrane protein. "	Evidence at protein level		"PTS system mannitol-specific EIICBA component (EIICBA-Mtl) (EII-Mtl) [Includes: Mannitol permease IIC component (PTS system mannitol-specific EIIC component); Mannitol-specific phosphotransferase enzyme IIB component (EC 2.7.1.69) (PTS system mannitol-specific EIIB component); Mannitol-specific phosphotransferase enzyme IIA component (EC 2.7.1.-) (PTS system mannitol-specific EIIA component)]"	"GO:0016021; GO:0016301; GO:0009401; GO:0005886; GO:0005515; GO:0008982; GO:0005351"	"3D-structure; Cell inner membrane; Cell membrane; Complete proteome; Kinase; Membrane; Phosphotransferase system; Sugar transport; Transferase; Transmembrane; Transmembrane helix; Transport"	637	
P00561	thrA	thrA1 thrA2	b0002	JW0001	AK1H_ECOLI		Evidence at protein level	"Aspartokinase family; Homoserine dehydrogenase family"	"Bifunctional aspartokinase/homoserine dehydrogenase 1 (Aspartokinase I/homoserine dehydrogenase I) (AKI-HDI) [Includes: Aspartokinase (EC 2.7.2.4); Homoserine dehydrogenase (EC 1.1.1.3)]"	"GO:0005524; GO:0050661; GO:0016597; GO:0004072; GO:0009090; GO:0004412; GO:0009089; GO:0055114; GO:0009088"	"ATP-binding; Allosteric enzyme; Amino-acid biosynthesis; Complete proteome; Direct protein sequencing; Kinase; Multifunctional enzyme; NADP; Nucleotide-binding; Oxidoreductase; Repeat; Threonine biosynthesis; Transferase"	820	
P00562	metL	metM	b3940	JW3911	AK2H_ECOLI		Evidence at protein level	"Aspartokinase family; Homoserine dehydrogenase family"	"Bifunctional aspartokinase/homoserine dehydrogenase 2 (Aspartokinase II/homoserine dehydrogenase II) (AKII-HDII) [Includes: Aspartokinase (EC 2.7.2.4); Homoserine dehydrogenase (EC 1.1.1.3)]"	"GO:0005524; GO:0050661; GO:0004072; GO:0009090; GO:0004412; GO:0009089; GO:0009086; GO:0055114"	"ATP-binding; Amino-acid biosynthesis; Complete proteome; Direct protein sequencing; Kinase; Methionine biosynthesis; Multifunctional enzyme; NADP; Nucleotide-binding; Oxidoreductase; Transferase"	810	
P00579	rpoD	alt	b3067	JW3039	RPOD_ECOLI		Evidence at protein level	Sigma-70 factor family	RNA polymerase sigma factor rpoD (Sigma-70)	"GO:0003677; GO:0005515; GO:0006355; GO:0009408; GO:0003700; GO:0016987; GO:0006352; GO:0030528"	"3D-structure; Complete proteome; DNA-binding; Sigma factor; Transcription; Transcription regulation"	613	
P00963	asnA		b3744	JW3722	ASNA_ECOLI	Cytoplasm. 	Evidence at protein level	Class-II aminoacyl-tRNA synthetase family, AsnA subfamily	Aspartate--ammonia ligase (EC 6.3.1.1) (Asparagine synthetase A)	"GO:0005524; GO:0004812; GO:0006529; GO:0004071; GO:0005737; GO:0005515; GO:0006418"	"3D-structure; ATP-binding; Amino-acid biosynthesis; Asparagine biosynthesis; Complete proteome; Cytoplasm; Direct protein sequencing; Ligase; Nucleotide-binding"	330
P00968	carB	pyrA	b0033	JW0031	CARB_ECOLI		Evidence at protein level	CarB family	Carbamoyl-phosphate synthase large chain (EC 6.3.5.5) (Carbamoyl-phosphate synthetase ammonia chain)	"GO:0005524; GO:0016597; GO:0006526; GO:0004088; GO:0046872; GO:0005515; GO:0019856; GO:0006221"	"3D-structure; ATP-binding; Amino-acid biosynthesis; Arginine biosynthesis; Complete proteome; Direct protein sequencing; Ligase; Manganese; Metal-binding; Nucleotide-binding; Pyrimidine biosynthesis; Repeat"	1073
P02358	rpsF		b4200	JW4158	RS6_ECOLI		Evidence at protein level	Ribosomal protein S6P family	"30S ribosomal protein S6 [Cleaved into: 30S ribosomal protein S6, fully modified isoform; 30S ribosomal protein S6, non-modified isoform]"	"GO:0022627; GO:0019843; GO:0003735; GO:0006412"	"3D-structure; Acetylation; Complete proteome; Direct protein sequencing; RNA-binding; Ribonucleoprotein; Ribosomal protein; rRNA-binding"	135
P02359	rpsG		b3341	JW3303	RS7_ECOLI		Evidence at protein level	Ribosomal protein S7P family	30S ribosomal protein S7	"GO:0016020; GO:0005515; GO:0019843; GO:0015935; GO:0003735; GO:0000049; GO:0006412"	"3D-structure; Complete proteome; Direct protein sequencing; RNA-binding; Ribonucleoprotein; Ribosomal protein; rRNA-binding; tRNA-binding"	179
P02413	rplO		b3301	JW3263	RL15_ECOLI		Evidence at protein level	Ribosomal protein L15P family	50S ribosomal protein L15	"GO:0015934; GO:0019843; GO:0003735; GO:0006412"	"3D-structure; Complete proteome; Direct protein sequencing; RNA-binding; Ribonucleoprotein; Ribosomal protein; rRNA-binding"	144
P02916	malF		b4033	JW3993	MALF_ECOLI	"Cell inner membrane; Multi-pass membrane protein; Periplasmic side. "	Evidence at protein level	Binding-protein-dependent transport system permease family, MalFG subfamily	Maltose transport system permease protein malF	"GO:0043190; GO:0016021; GO:0042956; GO:0015609; GO:0015423; GO:0005886"	"3D-structure; Cell inner membrane; Cell membrane; Complete proteome; Membrane; Sugar transport; Transmembrane; Transmembrane helix; Transport"	514
P02918	mrcA	ponA	b3396	JW3359	PBPA_ECOLI	"Cell inner membrane; Single-pass type II membrane protein. "	Evidence at protein level	"Glycosyltransferase 51 family; Transpeptidase family"	"Penicillin-binding protein 1A (PBP-1a) (PBP1a) [Includes: Penicillin-insensitive transglycosylase (EC 2.4.2.-) (Peptidoglycan TGase); Penicillin-sensitive transpeptidase (EC 3.4.-.-) (DD-transpeptidase)]"	"GO:0007047; GO:0005887; GO:0045918; GO:0008658; GO:0009252; GO:0008955; GO:0009274; GO:0008360; GO:0046677; GO:0042493; GO:0009002; GO:0016763"	"Antibiotic resistance; Cell inner membrane; Cell membrane; Cell shape; Cell wall biogenesis/degradation; Complete proteome; Direct protein sequencing; Glycosyltransferase; Hydrolase; Membrane; Multifunctional enzyme; Peptidoglycan synthesis; Signal-anchor; Transferase; Transmembrane; Transmembrane helix"	850
P02919	mrcB	pbpF ponB	b0149	JW0145	PBPB_ECOLI	"Cell inner membrane; Single-pass type II membrane protein. "	Evidence at protein level	"Glycosyltransferase 51 family; Transpeptidase family"	"Penicillin-binding protein 1B (PBP-1b) (PBP1b) (Murein polymerase) [Includes: Penicillin-insensitive transglycosylase (EC 2.4.1.129) (Peptidoglycan TGase) (Peptidoglycan glycosyltransferase); Penicillin-sensitive transpeptidase (EC 3.4.-.-) (DD-transpeptidase)]"	"GO:0007047; GO:0016021; GO:0008658; GO:0009252; GO:0008955; GO:0009274; GO:0005886; GO:0005515; GO:0008360; GO:0046677; GO:0009002"	"3D-structure; Alternative initiation; Antibiotic resistance; Cell inner membrane; Cell membrane; Cell shape; Cell wall biogenesis/degradation; Complete proteome; Direct protein sequencing; Glycosyltransferase; Hydrolase; Membrane; Multifunctional enzyme; Peptidoglycan synthesis; Signal-anchor; Transferase; Transmembrane; Transmembrane helix"	844
P02920	lacY		b0343	JW0334	LACY_ECOLI	"Cell inner membrane; Multi-pass membrane protein. "	Evidence at protein level	LacY/rafB permease family	Lactose permease (Lactose-proton symport)	"GO:0005887; GO:0030395; GO:0015528"	"3D-structure; Cell inner membrane; Cell membrane; Complete proteome; Formylation; Membrane; Sugar transport; Symport; Transmembrane; Transmembrane helix; Transport"	417
P02921	melB	mel-4	b4120	JW4081	MELB_ECOLI	"Cell inner membrane; Multi-pass membrane protein. "	Evidence at protein level	Sodium:galactoside symporter (TC 2.A.2) family	Melibiose carrier protein (Melibiose permease) (Melibiose transporter) (Na+ (Li+)/melibiose symporter) (Thiomethylgalactoside permease II)	"GO:0008643; GO:0016021; GO:0005886; GO:0006814; GO:0015293"	"Cell inner membrane; Cell membrane; Complete proteome; Membrane; Sugar transport; Symport; Transmembrane; Transmembrane helix; Transport"	469
P02924	araF		b1901	JW1889	ARAF_ECOLI	Periplasm. 	Evidence at protein level	Bacterial solute-binding protein 2 family	L-arabinose-binding periplasmic protein (ABP)	"GO:0008643; GO:0042597"	"3D-structure; Complete proteome; Direct protein sequencing; Periplasm; Signal; Sugar transport; Transport"	329
P02925	rbsB	prlB rbsP	b3751	JW3730	RBSB_ECOLI	Periplasm. 	Evidence at protein level	Bacterial solute-binding protein 2 family	D-ribose-binding periplasmic protein	"GO:0008643; GO:0006935; GO:0016020; GO:0042597"	"3D-structure; Chemotaxis; Complete proteome; Direct protein sequencing; Periplasm; Signal; Sugar transport; Transport"	296
P02930	tolC	mtcB mukA refI	b3035	JW5503	TOLC_ECOLI	"Cell outer membrane; Multi-pass membrane protein. "	Evidence at protein level	Outer membrane factor (OMF) (TC 1.B.17) family	Outer membrane protein tolC	"GO:0009279; GO:0042930; GO:0016021; GO:0005886; GO:0015031; GO:0014070; GO:0005215"	"3D-structure; Cell membrane; Cell outer membrane; Complete proteome; Direct protein sequencing; Membrane; Repeat; Signal; Transmembrane; Transmembrane beta strand; Transport"	493
P02931	ompF	cmlB coa cry tolF	b0929	JW0912	OMPF_ECOLI	"Cell outer membrane; Multi-pass membrane protein. "	Evidence at protein level	Gram-negative porin family	Outer membrane protein F (Outer membrane protein 1A) (Outer membrane protein B) (Outer membrane protein IA) (Porin OmpF)	"GO:0009279; GO:0009597; GO:0046718; GO:0006811; GO:0005886; GO:0046930; GO:0015288"	"3D-structure; Cell membrane; Cell outer membrane; Complete proteome; Direct protein sequencing; Ion transport; Membrane; Phage recognition; Porin; Signal; Transmembrane; Transmembrane beta strand; Transport"	362
P02932	phoE	ompE	b0241	JW0231	PHOE_ECOLI	"Cell outer membrane; Multi-pass membrane protein. "	Evidence at protein level	Gram-negative porin family	Outer membrane pore protein E	"GO:0009279; GO:0006811; GO:0005886; GO:0046930; GO:0015288; GO:0006950"	"3D-structure; Cell membrane; Cell outer membrane; Complete proteome; Ion transport; Membrane; Porin; Signal; Stress response; Transmembrane; Transmembrane beta strand; Transport"	351
P02942	tsr	cheD	b4355	JW4318	MCP1_ECOLI	"Cell inner membrane; Multi-pass membrane protein. "	Evidence at protein level		Methyl-accepting chemotaxis protein I (MCP-I) (Serine chemoreceptor protein)	"GO:0006935; GO:0016021; GO:0005886; GO:0005515; GO:0004888"	"3D-structure; Cell inner membrane; Cell membrane; Chemotaxis; Complete proteome; Direct protein sequencing; Membrane; Methylation; Transducer; Transmembrane; Transmembrane helix"	551
P02943	lamB	malB	b4036	JW3996	LAMB_ECOLI	"Cell outer membrane; Multi-pass membrane protein. "	Evidence at protein level	Porin LamB (TC 1.B.3) family	Maltoporin (Lambda receptor protein) (Maltose-inducible porin)	"GO:0009279; GO:0009597; GO:0046718; GO:0005886; GO:0046930; GO:0015288; GO:0005515; GO:0005351"	"3D-structure; Cell membrane; Cell outer membrane; Complete proteome; Disulfide bond; Ion transport; Membrane; Phage recognition; Porin; Signal; Sugar transport; Transmembrane; Transmembrane beta strand; Transport"	446
P03004	dnaA		b3702	JW3679	DNAA_ECOLI	Cytoplasm. 	Evidence at protein level	DnaA family	Chromosomal replication initiator protein dnaA	"GO:0005524; GO:0003688; GO:0006270; GO:0005737; GO:0017111; GO:0006275"	"3D-structure; ATP-binding; Complete proteome; Cytoplasm; DNA replication; DNA-binding; Nucleotide-binding"	467
P03018	uvrD	mutU pdeB rad recL	b3813	JW3786	UVRD_ECOLI		Evidence at protein level	Helicase family, UvrD subfamily	DNA helicase II (EC 3.6.4.12)	"GO:0005524; GO:0004003; GO:0003677; GO:0006281; GO:0006268; GO:0009432; GO:0005737; GO:0005515"	"3D-structure; ATP-binding; Complete proteome; DNA damage; DNA repair; DNA replication; DNA-binding; Direct protein sequencing; Helicase; Hydrolase; Nucleotide-binding; SOS response"	720
P03024	galR		b2837	JW2805	GALR_ECOLI		Evidence at protein level		HTH-type transcriptional regulator galR (Galactose operon repressor)	"GO:0003677; GO:0006012; GO:0005622; GO:0005515; GO:0006355; GO:0003700; GO:0006350"	"Carbohydrate metabolism; Complete proteome; DNA-binding; Galactose metabolism; Repressor; Transcription; Transcription regulation"	343
P03030	lysR		b2839	JW2807	LYSR_ECOLI	Cytoplasm. 	Evidence at protein level		Transcriptional activator protein lysR	"GO:0003677; GO:0005737; GO:0005515; GO:0006355; GO:0003700; GO:0006350"	"Activator; Complete proteome; Cytoplasm; DNA-binding; Repressor; Transcription; Transcription regulation"	311
P03813	ygeA		b2840	JW2808	YGEA_ECOLI		Evidence at protein level	Aspartate/glutamate racemases family	Uncharacterized protein ygeA	"GO:0006520; GO:0005515; GO:0016855"	"Complete proteome; Isomerase"	230
P03817	mioC	yieB	b3742	JW3720	MIOC_ECOLI		Evidence at protein level	Flavodoxin family, MioC subfamily	Protein mioC	"GO:0010181; GO:0022900; GO:0016491; GO:0006810"	"3D-structure; Complete proteome; Direct protein sequencing; Electron transport; FMN; Flavoprotein; Transport"	147
P03819	kefC	trkC	b0047	JW0046	KEFC_ECOLI	"Cell inner membrane; Multi-pass membrane protein. "	Evidence at protein level	Monovalent cation:proton antiporter 2 (CPA2) transporter (TC 2.A.37) family, KefC subfamily	Glutathione-regulated potassium-efflux system protein kefC (K(+)/H(+) antiporter)	"GO:0005488; GO:0003824; GO:0015503; GO:0016021; GO:0005886; GO:0006885; GO:0015299"	"3D-structure; Antiport; Cell inner membrane; Cell membrane; Complete proteome; Ion transport; Membrane; Potassium; Potassium transport; Transmembrane; Transmembrane helix; Transport"	620
P03825	pioO	pinO pno	b3322	JW3284	PIOO_ECOLI		Evidence at protein level		Protein pioO (Protein pinO)	GO:0006260	"Calcium; Complete proteome; DNA replication"	139
P03841	malM	molA	b4037	JW3997	MALM_ECOLI	Periplasm. 	Predicted		Maltose operon periplasmic protein	"GO:0008643; GO:0042597"	"Complete proteome; Periplasm; Signal; Sugar transport; Transport"	306
P03959	kdpA		b0698	JW0686	ATKA_ECOLI	"Cell inner membrane; Multi-pass membrane protein. "	Inferred from homology	KdpA family	Potassium-transporting ATPase A chain (EC 3.6.3.12) (ATP phosphohydrolase [potassium-transporting] A chain) (Potassium-binding and translocating subunit A) (Potassium-translocating ATPase A chain)	"GO:0005524; GO:0016021; GO:0005886; GO:0030955; GO:0008556"	"ATP-binding; Cell inner membrane; Cell membrane; Complete proteome; Hydrolase; Ion transport; Membrane; Nucleotide-binding; Potassium; Potassium transport; Transmembrane; Transmembrane helix; Transport"	557
P03960	kdpB		b0697	JW0685	ATKB_ECOLI	"Cell inner membrane; Multi-pass membrane protein. "	Evidence at protein level	Cation transport ATPase (P-type) (TC 3.A.3) family, Type IA subfamily	Potassium-transporting ATPase B chain (EC 3.6.3.12) (ATP phosphohydrolase [potassium-transporting] B chain) (Potassium-binding and translocating subunit B) (Potassium-translocating ATPase B chain)	"GO:0005524; GO:0006754; GO:0016021; GO:0000287; GO:0005886; GO:0008556"	"3D-structure; ATP-binding; Cell inner membrane; Cell membrane; Complete proteome; Hydrolase; Ion transport; Magnesium; Membrane; Metal-binding; Nucleotide-binding; Phosphoprotein; Potassium; Potassium transport; Transmembrane; Transmembrane helix; Transport"	682
P03961	kdpC		b0696	JW0684	ATKC_ECOLI	"Cell inner membrane; Single-pass membrane protein. "	Inferred from homology	KdpC family	Potassium-transporting ATPase C chain (EC 3.6.3.12) (ATP phosphohydrolase [potassium-transporting] C chain) (Potassium-binding and translocating subunit C) (Potassium-translocating ATPase C chain)	"GO:0005524; GO:0016021; GO:0005886; GO:0008556"	"ATP-binding; Cell inner membrane; Cell membrane; Complete proteome; Hydrolase; Ion transport; Membrane; Nucleotide-binding; Potassium; Potassium transport; Transmembrane; Transmembrane helix; Transport"	190
P04036	dapB		b0031	JW0029	DAPB_ECOLI	Cytoplasm. 	Evidence at protein level	Dihydrodipicolinate reductase family	Dihydrodipicolinate reductase (DHPR) (EC 1.3.1.26)	"GO:0005488; GO:0005829; GO:0019877; GO:0008839; GO:0055114"	"3D-structure; Amino-acid biosynthesis; Complete proteome; Cytoplasm; Diaminopimelate biosynthesis; Lysine biosynthesis; NADP; Oxidoreductase"	273
P04079	guaA		b2507	JW2491	GUAA_ECOLI		Evidence at protein level		GMP synthase [glutamine-hydrolyzing] (EC 6.3.5.2) (GMP synthetase) (GMPS) (Glutamine amidotransferase)	"GO:0005524; GO:0003922; GO:0003921; GO:0005829; GO:0006541; GO:0005515"	"3D-structure; ATP-binding; Complete proteome; Direct protein sequencing; GMP biosynthesis; Glutamine amidotransferase; Ligase; Nucleotide-binding; Purine biosynthesis"	525
P04128	fimA	pilA	b4314	JW4277	FIMA1_ECOLI	Fimbrium. 	Evidence at protein level	Fimbrial protein family	Type-1 fimbrial protein, A chain (Type-1A pilin)	"GO:0007155; GO:0009289"	"3D-structure; Complete proteome; Disulfide bond; Fimbrium; Signal"	182
P04152	umuC		b1184	JW1173	UMUC_ECOLI		Evidence at protein level	DNA polymerase type-Y family	Protein umuC	"GO:0006281; GO:0003887; GO:0009432; GO:0003684; GO:0016021; GO:0005515"	"Complete proteome; DNA damage; DNA repair; SOS mutagenesis; SOS response"	422
P04391	argI		b4254	JW4211	OTC1_ECOLI	Cytoplasm. 	Evidence at protein level	ATCase/OTCase family	Ornithine carbamoyltransferase chain I (EC 2.1.3.3) (OTCase-1)	"GO:0016597; GO:0006526; GO:0004585; GO:0009348"	"3D-structure; Amino-acid biosynthesis; Arginine biosynthesis; Complete proteome; Cytoplasm; Direct protein sequencing; Transferase"	334
P04395	alkA	aidA	b2068	JW2053	3MG2_ECOLI		Evidence at protein level	Alkylbase DNA glycosidase alkA family	DNA-3-methyladenine glycosylase 2 (EC 3.2.2.21) (3-methyladenine-DNA glycosylase II, inducible) (TAG II) (DNA-3-methyladenine glycosidase II) (DNA-3-methyladenine glycosylase II)	"GO:0003677; GO:0006307; GO:0003905; GO:0006284; GO:0005737; GO:0005515"	"3D-structure; Complete proteome; DNA damage; DNA repair; Direct protein sequencing; Hydrolase"	282
P04425	gshB	gsh-II	b2947	JW2914	GSHB_ECOLI		Evidence at protein level	Prokaryotic GSH synthase family	Glutathione synthetase (EC 6.3.2.3) (GSH synthetase) (GSH-S) (GSHase) (Glutathione synthase)	"GO:0005524; GO:0005829; GO:0004363; GO:0000287; GO:0005515"	"3D-structure; ATP-binding; Complete proteome; Direct protein sequencing; Glutathione biosynthesis; Ligase; Magnesium; Manganese; Metal-binding; Nucleotide-binding"	316
P04693	tyrB		b4054	JW4014	TYRB_ECOLI	Cytoplasm. 	Evidence at protein level	Class-I pyridoxal-phosphate-dependent aminotransferase family	Aromatic-amino-acid aminotransferase (ARAT) (AROAT) (EC 2.6.1.57)	"GO:0050048; GO:0033585; GO:0004838; GO:0008793; GO:0006532; GO:0005737; GO:0009098; GO:0042803; GO:0030170; GO:0019292"	"3D-structure; Amino-acid biosynthesis; Aminotransferase; Aromatic amino acid biosynthesis; Complete proteome; Cytoplasm; Pyridoxal phosphate; Transferase"	397
P04805	gltX		b2400	JW2395	SYE_ECOLI	Cytoplasm. 	Evidence at protein level	Class-I aminoacyl-tRNA synthetase family	Glutamyl-tRNA synthetase (EC 6.1.1.17) (Glutamate--tRNA ligase) (GluRS)	"GO:0005524; GO:0005737; GO:0004818; GO:0006424; GO:0005515; GO:0008270"	"ATP-binding; Aminoacyl-tRNA synthetase; Complete proteome; Cytoplasm; Direct protein sequencing; Ligase; Metal-binding; Nucleotide-binding; Protein biosynthesis; Zinc"	471
P04825	pepN		b0932	JW0915	AMPN_ECOLI	"Cell inner membrane; Peripheral membrane protein; Cytoplasmic side. "	Evidence at protein level	Peptidase M1 family	Aminopeptidase N (EC 3.4.11.2) (Alpha-aminoacylpeptide hydrolase)	"GO:0004177; GO:0008237; GO:0043171; GO:0005886; GO:0006508; GO:0008270"	"3D-structure; Aminopeptidase; Cell inner membrane; Cell membrane; Complete proteome; Direct protein sequencing; Hydrolase; Membrane; Metal-binding; Metalloprotease; Protease; Zinc"	870
P04846	nlpA		b3661	JW3635	NLPA_ECOLI	"Cell inner membrane; Lipid-anchor. "	Evidence at protein level	NlpA lipoprotein family	Lipoprotein 28	GO:0005886	"Cell inner membrane; Cell membrane; Complete proteome; Lipoprotein; Membrane; Palmitate; Signal"	272
P04951	kdsB		b0918	JW0901	KDSB_ECOLI	Cytoplasm. 	Evidence at protein level	KdsB family	3-deoxy-manno-octulosonate cytidylyltransferase (EC 2.7.7.38) (CMP-2-keto-3-deoxyoctulosonic acid synthase) (CKS) (CMP-KDO synthase)	"GO:0008690; GO:0005737; GO:0019294; GO:0000287; GO:0005515"	"3D-structure; Complete proteome; Cytoplasm; Direct protein sequencing; Lipopolysaccharide biosynthesis; Magnesium; Nucleotidyltransferase; Transferase"	248
P04983	rbsA		b3749	JW3728	RBSA_ECOLI	"Cell inner membrane; Peripheral membrane protein. "	Evidence at protein level	ABC transporter superfamily, Ribose importer (TC 3.A.1.2.1) family	Ribose import ATP-binding protein RbsA (EC 3.6.3.17)	"GO:0005524; GO:0015407; GO:0005886; GO:0005515"	"ATP-binding; Cell inner membrane; Cell membrane; Complete proteome; Direct protein sequencing; Hydrolase; Membrane; Nucleotide-binding; Repeat; Sugar transport; Transport"	501
P04993	recD		b2819	JW2787	EX5A_ECOLI		Evidence at protein level	RecD family	Exodeoxyribonuclease V alpha chain (EC 3.1.11.5) (Exodeoxyribonuclease V 67 kDa polypeptide)	"GO:0005524; GO:0006310; GO:0006281; GO:0004519; GO:0008854; GO:0009338; GO:0004386; GO:0005515"	"3D-structure; ATP-binding; Complete proteome; DNA damage; DNA repair; Endonuclease; Exonuclease; Helicase; Hydrolase; Nuclease; Nucleotide-binding"	608
P04994	xseA		b2509	JW2493	EX7L_ECOLI	Cytoplasm. 	Evidence at protein level	XseA family	Exodeoxyribonuclease 7 large subunit (EC 3.1.11.6) (Exodeoxyribonuclease VII large subunit) (Exonuclease VII large subunit)	"GO:0006308; GO:0005737; GO:0008855; GO:0009318; GO:0003676; GO:0005515"	"Complete proteome; Cytoplasm; Direct protein sequencing; Exonuclease; Hydrolase; Nuclease"	456
P04995	sbcB	cpeA xonA	b2011	JW1993	EX1_ECOLI		Evidence at protein level		Exodeoxyribonuclease I (Exonuclease I) (EC 3.1.11.1) (DNA deoxyribophosphodiesterase) (dRPase)	"GO:0006308; GO:0006281; GO:0008852; GO:0003676"	"3D-structure; Complete proteome; DNA damage; DNA repair; Direct protein sequencing; Exonuclease; Hydrolase; Nuclease"	475
P05020	pyrC		b1062	JW1049	PYRC_ECOLI		Evidence at protein level	DHOase family, Type 1 subfamily	Dihydroorotase (DHOase) (EC 3.5.2.3)	"GO:0004151; GO:0046872; GO:0019856; GO:0006221"	"3D-structure; Complete proteome; Direct protein sequencing; Hydrolase; Metal-binding; Pyrimidine biosynthesis; Zinc"	348
P05041	pabB		b1812	JW1801	PABB_ECOLI		Evidence at protein level	Anthranilate synthase component I family	Para-aminobenzoate synthase component 1 (EC 2.6.1.85) (ADC synthase) (Para-aminobenzoate synthase component I)	"GO:0046820; GO:0046656; GO:0016833"	"3D-structure; Complete proteome; Folate biosynthesis; Transferase"	453
P05042	fumC		b1611	JW1603	FUMC_ECOLI	Cytoplasm. 	Evidence at protein level	Class-II fumarase/aspartase family, Fumarase subfamily	Fumarate hydratase class II (Fumarase C) (EC 4.2.1.2)	"GO:0004333; GO:0006106; GO:0006099; GO:0045239"	"3D-structure; Allosteric enzyme; Complete proteome; Cytoplasm; Direct protein sequencing; Lyase; Tricarboxylic acid cycle"	467
