Accession	Gene names	Gene names (PREFERRED)	Gene names (ALTERNATIVE)	Gene names (OLN)	Entry name	Subcellular locations	Protein existence	Protein family	Protein names	Gene Ontology ID	Keywords	Length	Gene location	Name	Accession	Comments	Description	Common Core	Category	Uniprot Subcellular Loci	EchoLOCATION	Total Len	1st Secr Sys	2nd Secr Sys	SignalP SP HMM	Smax HMM	SignalP SP NN	D-score NN	LipoP S	Peptidase	Score	Helixes Predicted	Expected No aas in helixes	Expected No aas in helixes in first 60 aas	Phobius Signal	Phobius TMHs	TatP Signal	TatP D-score
C6EGM8	adhE ECBD_2383 ECD_01215	adhE		ECBD_2383 ECD_01215	C6EGM8_ECOBD		Predicted		Fused acetaldehyde-CoA dehydrogenase/iron-dependent alcohol dehydrogenase/pyruvate-formate lyase deactivase (EC 1.1.1.1) (EC 1.2.1.10) (Iron-containing alcohol dehydrogenase)	"GO:0008774; GO:0004022; GO:0006066; GO:0015976; GO:0016829; GO:0046872; GO:0055114"	"Complete proteome; Lyase; Oxidoreductase; Pyruvate"	891		ADHE_ECOLI	P0A9Q7		>P0A9Q7|ADHE_ECOLI Aldehyde-alcohol dehydrogenase OS=Escherichia coli (strain K12) GN=adhE PE=1 SV=2	yes	A		Cytoplasmic	891			0	0	0	0		CYT 		0	0.66	0.00		0	55	0.175
C6EEN9	adhP ECBD_2161 ECD_01436	adhP		ECBD_2161 ECD_01436	C6EEN9_ECOBD		Inferred from homology	Zinc-containing alcohol dehydrogenase family	Alcohol dehydrogenase (EC 1.1.1.1) (Alcohol dehydrogenase zinc-binding domain protein)	"GO:0004022; GO:0055114; GO:0008270"	"Complete proteome; Metal-binding; Oxidoreductase; Zinc"	336		ADHP_ECOLI	P39451		>P39451|ADHP_ECOLI Alcohol dehydrogenase, propanol-preferring OS=Escherichia coli (strain K12) GN=adhP PE=1 SV=1	yes	B		Cytoplasmic	336	SEC		0	0	0	0		CYT 		0	2.26	0.00		0	3	0.038
C6ED07	adiA ECBD_3914 ECD_03988	adiA		ECBD_3914 ECD_03988	C6ED07_ECOBD		Predicted		Arginine decarboxylase (EC 4.1.1.19) (Biodegradative arginine decarboxylase) (EC 4.1.1.19)	"GO:0008792; GO:0006520; GO:0005737; GO:0030170"	"Complete proteome; Lyase"	756		ADIA_ECOLI	P28629		>P28629|ADIA_ECOLI Biodegradative arginine decarboxylase OS=Escherichia coli (strain K12) GN=adiA PE=1 SV=1		A	Cytoplasm. 	Cytoplasmic	755			0	0	0	0		CYT 		0	0.02	0.00		0	53	0.036
C6ED09	yjdE ECBD_3916 ECD_03986	yjdE		ECBD_3916 ECD_03986	C6ED09_ECOBD		Predicted		Amino acid permease-associated region (Arginine:agmatin)	"GO:0015171; GO:0016021"	"Complete proteome; Membrane; Transmembrane"	445		ADIC_ECOLI	P60061		>P60061|ADIC_ECOLI Arginine/agmatine antiporter OS=Escherichia coli (strain K12) GN=adiC PE=1 SV=1		B	"Cell inner membrane; Multi-pass membrane protein. "	-	445	SEC		0	0	0	0		TMH 	8.651	12	253.36	43.55		12	42	0.292
C6ED08	adiY ECBD_3915 ECD_03987	adiY		ECBD_3915 ECD_03987	C6ED08_ECOBD		Predicted		DNA-binding transcriptional activator (Transcriptional regulator, AraC family)	"GO:0005622; GO:0006355; GO:0043565; GO:0003700; GO:0006350"	"Complete proteome; DNA-binding; Transcription; Transcription regulation"	253		ADIY_ECOLI	P33234		>P33234|ADIY_ECOLI HTH-type transcriptional regulator adiY OS=Escherichia coli (strain K12) GN=adiY PE=1 SV=1	yes	A		Cytoplasmic	253			0	0	0	0		CYT 		0	0.03	0.00		0	6	0.029
C6EHV9	yqiE ECBD_0705 ECD_02906	yqiE		ECBD_0705 ECD_02906	C6EHV9_ECOBD		Inferred from homology	Nudix hydrolase family	ADP-ribose diphosphatase (EC 3.6.1.13) (ADP-ribose pyrophosphatase) (EC 3.6.1.13)	"GO:0047631; GO:0046872"	"Complete proteome; Hydrolase"	209		ADPP_ECOLI	Q93K97		>Q93K97|ADPP_ECOLI ADP-ribose pyrophosphatase OS=Escherichia coli (strain K12) GN=nudF PE=1 SV=2	yes	A		Cytoplasmic	209			0	0	0	0		CYT 		0	0.00	0.00		0	51	0.032
C6ELK2	yaiC ECBD_3279 ECD_00332	yaiC		ECBD_3279 ECD_00332	C6ELK2_ECOBD		Predicted		Diguanylate cyclase (Predicted diguanylate cyclase)	"GO:0009190; GO:0016849"	Complete proteome	371		ADRA_ECOLI	P0AAP1		>P0AAP1|ADRA_ECOLI Protein adrA OS=Escherichia coli (strain K12) GN=adrA PE=4 SV=1	yes	B	"Cell inner membrane; Multi-pass membrane protein. "	-	371	SEC		0	0	0	0		CYT 		5	104.30	16.53		5	52	0.171
C6EFQ7	ycjG ECBD_2292 ECD_01302	ycjG		ECBD_2292 ECD_01302	C6EFQ7_ECOBD		Predicted		L-Ala-D/L-Glu epimerase (Mandelate racemase/muconate lactonizing protein)	"GO:0003824; GO:0009063"	Complete proteome	321		AEEP_ECOLI	P51981		>P51981|AEEP_ECOLI L-Ala-D/L-Glu epimerase OS=Escherichia coli (strain K12) GN=ycjG PE=1 SV=2	yes	B		Cytoplasmic	321	SEC		0	0	0	0		CYT 		0	0.31	0.00		0	20	0.051
C6EKP4	aegA ECBD_1222 ECD_02359	aegA		ECBD_1222 ECD_02359	C6EKP4_ECOBD		Predicted		Fused predicted oxidoreductase: FeS binding subunit/NAD/FAD-binding subunit (Glutamate synthase, small subunit)	"GO:0051539; GO:0009055; GO:0006537; GO:0046872; GO:0016639"	"4Fe-4S; Complete proteome; Iron; Iron-sulfur; Metal-binding"	659		AEGA_ECOLI	P37127		>P37127|AEGA_ECOLI Protein aegA OS=Escherichia coli (strain K12) GN=aegA PE=3 SV=2	yes	A		Cytoplasmic	659			0	0	0	0		CYT 		0	0.34	0.00		0	17	0.171
C6EHS4	aer ECBD_0670 ECD_02941	aer		ECBD_0670 ECD_02941	C6EHS4_ECOBD		Predicted		Fused signal transducer for aerotaxis sensory component/methyl accepting chemotaxis component (Methyl-accepting chemotaxis sensory transducer with Pas/Pac sensor)	"GO:0006935; GO:0016021; GO:0006355; GO:0004871"	Complete proteome	506		AER_ECOLI	P50466		>P50466|AER_ECOLI Aerotaxis receptor OS=Escherichia coli (strain K12) GN=aer PE=1 SV=1		B	"Cell inner membrane; Multi-pass membrane protein. "	Membrane anchored	506	SEC		0	0	34	0		CYT 		1	27.92	0.00		1	33	0.057
C6EKY8	aes ECBD_3180 ECD_00427	aes		ECBD_3180 ECD_00427	C6EKY8_ECOBD		Predicted		Acetyl esterase (EC 3.1.1.-) (Alpha/beta hydrolase fold-3 domain protein)	GO:0016787	"Complete proteome; Hydrolase"	319		AES_ECOLI	P23872		>P23872|AES_ECOLI Acetyl esterase OS=Escherichia coli (strain K12) GN=aes PE=1 SV=3		A	Cytoplasm. 	Cytoplasmic	319			0	0	0	0		CYT 		0	0.39	0.00		0	55	0.043
C6EH90	agaA ECBD_0605 ECD_03002	agaA		ECBD_0605 ECD_03002	C6EH90_ECOBD		Predicted		N-acetylgalactosamine-6-phosphate deacetylase (N-acetylglucosamine-6-phosphate deacetylase) (EC 3.5.1.25)	"GO:0006044; GO:0008448"	"Complete proteome; Hydrolase"	377		AGAA_ECOLI	P42906		>P42906|AGAA_ECOLI Putative N-acetylgalactosamine-6-phosphate deacetylase OS=Escherichia coli (strain K12) GN=agaA PE=5 SV=3		A		Cytoplasmic	167			0	0	0	0		CYT 		0	0.01	0.00		0	20	0.101
C6EH84	ECBD_0599			ECBD_0599	C6EH84_ECOBD		Predicted		Glucosamine-6-phosphate deaminase (EC 3.5.99.6)	"GO:0006044; GO:0004342; GO:0016787"	"Complete proteome; Hydrolase"	233		AGAI_ECOLI	P42912		>P42912|AGAI_ECOLI Putative galactosamine-6-phosphate isomerase OS=Escherichia coli (strain K12) GN=agaI PE=3 SV=1		B		Cytoplasmic	251	SEC		0	0	0	0		CYT 		0	0.72	0.26		0	20	0.100
C6ED05	melA ECBD_3912 ECD_03990	melA		ECBD_3912 ECD_03990	C6ED05_ECOBD		Predicted		Alpha-galactosidase, NAD(P)-binding (EC 3.2.1.22) (Glycoside hydrolase family 4)	"GO:0004557; GO:0005488; GO:0005975"	"Complete proteome; Glycosidase; Hydrolase"	451		AGAL_ECOLI	P06720		>P06720|AGAL_ECOLI Alpha-galactosidase OS=Escherichia coli (strain K12) GN=melA PE=1 SV=1		A		Cytoplasmic	451			0	0	0	0		CYT 		0	0.30	0.30	23	0	36	0.055
C6EH96	agaR ECBD_0611 ECD_02996	agaR		ECBD_0611 ECD_02996	C6EH96_ECOBD		Predicted		DNA-binding transcriptional dual regulator (Transcriptional regulator, DeoR family)	"GO:0003677; GO:0005622; GO:0006355; GO:0003700; GO:0006350"	"Complete proteome; DNA-binding; Transcription; Transcription regulation"	269		AGAR_ECOLI	P0ACK2		>P0ACK2|AGAR_ECOLI Putative aga operon transcriptional repressor OS=Escherichia coli (strain K12) GN=agaR PE=4 SV=1	yes	A		Cytoplasmic	269			0	0	0	0		CYT 		0	0.02	0.00		0	6	0.227
C6EH89	agaS ECBD_0604 ECD_03003	agaS		ECBD_0604 ECD_03003	C6EH89_ECOBD		Predicted		Sugar isomerase, AgaS family (Tagatose-6-phosphate ketose/aldose isomerase) (EC 5.-.-.-)	"GO:0005975; GO:0016861; GO:0005529"	"Complete proteome; Isomerase"	384		AGAS_ECOLI	P42907		>P42907|AGAS_ECOLI Putative tagatose-6-phosphate ketose/aldose isomerase OS=Escherichia coli (strain K12) GN=agaS PE=1 SV=1		A		Cytoplasmic	384			0	0	0	0		CYT 		0	4.86	1.04		0	10	0.116
C6EHK5	agp ECBD_2592 ECD_01005	agp		ECBD_2592 ECD_01005	C6EHK5_ECOBD		Predicted		Glucose-1-phosphatase (EC 3.1.3.10) (Glucose-1-phosphatase/inositol phosphatase) (EC 3.1.3.10)	"GO:0003993; GO:0008877"	"Complete proteome; Hydrolase; Signal"	413		AGP_ECOLI	P19926		>P19926|AGP_ECOLI Glucose-1-phosphatase OS=Escherichia coli (strain K12) GN=agp PE=1 SV=1		G	Periplasm. 	Periplasmic >EXP<	413	SEC		23	1.000	23	0.871	22	SpI 	21.932	0	4.67	4.65	22	0	46	0.090
C6EK89	ahpC ECBD_3047 ECD_00574	ahpC		ECBD_3047 ECD_00574	C6EK89_ECOBD		Predicted		Alkyl hydroperoxide reductase, C22 subunit (EC 1.11.1.15) (Peroxiredoxin)	"GO:0045454; GO:0055114; GO:0004601; GO:0051920"	"Complete proteome; Oxidoreductase; Peroxidase"	187		AHPC_ECOLI	P0AE08		>P0AE08|AHPC_ECOLI Alkyl hydroperoxide reductase subunit C OS=Escherichia coli (strain K12) GN=ahpC PE=1 SV=2	yes	A		Cytoplasmic	187			0	0	0	0		CYT 		0	0.01	0.01		0	41	0.059
C6EK88	ECBD_3046			ECBD_3046	C6EK88_ECOBD		Inferred from homology	Class-II pyridine nucleotide-disulfide oxidoreductase family	Alkyl hydroperoxide reductase, F subunit	"GO:0050660; GO:0051287; GO:0045454; GO:0009055; GO:0055114; GO:0016651; GO:0015035"	"Complete proteome; FAD; Flavoprotein; Oxidoreductase; Redox-active center"	531		AHPF_ECOLI	P35340		>P35340|AHPF_ECOLI Alkyl hydroperoxide reductase subunit F OS=Escherichia coli (strain K12) GN=ahpF PE=1 SV=2	yes	A		Cytoplasmic	521			0	0	0	0		CYT 		0	0.42	0.00		0	11	0.071
C6ECG2	aidB ECBD_3847 ECD_04054	aidB		ECBD_3847 ECD_04054	C6ECG2_ECOBD		Inferred from homology	Acyl-CoA dehydrogenase family	Acyl-CoA dehydrogenase domain protein (Isovaleryl CoA dehydrogenase)	"GO:0003995; GO:0055114"	"Complete proteome; FAD; Flavoprotein; Oxidoreductase"	541		AIDB_ECOLI	P33224		>P33224|AIDB_ECOLI Protein aidB OS=Escherichia coli (strain K12) GN=aidB PE=1 SV=3	yes	A		Cytoplasmic	541			0	0	0	0		CYT 		0	2.40	0.00		0	62	0.038
C6E9U8	ais ECBD_1407 ECD_02178	ais		ECBD_1407 ECD_02178	C6E9U8_ECOBD	Periplasm. 	Inferred from homology	Phosphoglycerate mutase family, Ais subfamily	Lipopolysaccharide core heptose(II)-phosphate phosphatase (EC 3.1.3.-)		"Complete proteome; Hydrolase; Periplasm; Signal"	200		AIS_ECOLI	P45565	notes: periplasmic protein by virtue of its homology with the well characterized Salmonella homologue PmrG (http://www.ncbi.nlm.nih.gov/pmc/articles/PMC1618816/)	>P45565|AIS_ECOLI Lipopolysaccharide core heptose(II)-phosphate phosphatase OS=Escherichia coli (strain K12) GN=ais PE=2 SV=2		G	Periplasm. 	Membrane anchored	200	SEC		32	1.000	26	0.552	31	SpI 	9.815	1	21.19	21.19	31	0	31	0.191
C6EBG7	thrA ECBD_3616 ECD_00002	thrA		ECBD_3616 ECD_00002	C6EBG7_ECOBD		Predicted		Aspartate kinase (EC 1.1.1.3) (EC 2.7.2.4) (Bifunctional aspartokinase I/homoserine dehydrogenase I) (EC 1.1.1.3) (EC 2.7.2.4)	"GO:0050661; GO:0016597; GO:0009067; GO:0004072; GO:0004412; GO:0055114"	"Complete proteome; Kinase; Oxidoreductase; Transferase"	820		AK1H_ECOLI	P00561	Peripheral IM Cytoplasmic side ref - Anna Lopez 2005 http://www.mcponline.org/content/4/8/1205.abstract Note: Could not obtain any evidence for membrane binding F1 Peripheral IM Cytoplasmic side ref - Anna Lopez 2005 http://www.mcponline.org/content/4/8/1205.abstract Note:  Could not obtain any evidence for membrane binding	>P00561|AK1H_ECOLI Bifunctional aspartokinase/homoserine dehydrogenase 1 OS=Escherichia coli (strain K12) GN=thrA PE=1 SV=2		F1		Cytoplasmic >EXP<	820			0	0	15	0		CYT 		0	0.17	0.00		0	41	0.145
C6EE68	metL ECBD_4083 ECD_03826	metL		ECBD_4083 ECD_03826	C6EE68_ECOBD		Predicted		Aspartate kinase (EC 1.1.1.3) (EC 2.7.2.4) (Bifunctional aspartate kinase II/homoserine dehydrogenase II) (EC 1.1.1.3) (EC 2.7.2.4)	"GO:0050661; GO:0009067; GO:0004072; GO:0004412; GO:0055114"	"Complete proteome; Kinase; Oxidoreductase; Transferase"	810		AK2H_ECOLI	P00562		>P00562|AK2H_ECOLI Bifunctional aspartokinase/homoserine dehydrogenase 2 OS=Escherichia coli (strain K12) GN=metL PE=1 SV=3		A		Cytoplasmic	810			0	0	0	0		CYT 		0	0.03	0.00		0	23	0.219
C6EE00	lysC ECBD_4013 ECD_03896	lysC		ECBD_4013 ECD_03896	C6EE00_ECOBD		Inferred from homology	Aspartokinase family	Aspartokinase (EC 2.7.2.4)	"GO:0016597; GO:0004072; GO:0008652"	"Complete proteome; Kinase; Transferase"	449		AK3_ECOLI	P08660		>P08660|AK3_ECOLI Lysine-sensitive aspartokinase 3 OS=Escherichia coli (strain K12) GN=lysC PE=1 SV=2		A		Cytoplasmic	449			0	0	0	0		CYT 		0	0.73	0.72		0	42	0.078
C6EEU8	aldA ECBD_2225 ECD_01370	aldA		ECBD_2225 ECD_01370	C6EEU8_ECOBD		Inferred from homology	Aldehyde dehydrogenase family	Aldehyde Dehydrogenase (Aldehyde dehydrogenase A, NAD-linked) (EC 1.2.1.22)	"GO:0008911; GO:0055114"	"Complete proteome; Oxidoreductase"	479		ALDA_ECOLI	P25553		>P25553|ALDA_ECOLI Lactaldehyde dehydrogenase OS=Escherichia coli (strain K12) GN=aldA PE=1 SV=2	yes	A		Cytoplasmic	479			0	0	0	0		CYT 		0	1.48	0.00		0	64	0.021
C6EE87	aldB ECBD_0142 ECD_03443	aldB		ECBD_0142 ECD_03443	C6EE87_ECOBD		Inferred from homology	Aldehyde dehydrogenase family	Aldehyde dehydrogenase (NAD(+)) (EC 1.2.1.3) (Aldehyde dehydrogenase B) (EC 1.2.1.22)	"GO:0004029; GO:0008911; GO:0055114"	"Complete proteome; Oxidoreductase"	512		ALDB_ECOLI	P37685		>P37685|ALDB_ECOLI Aldehyde dehydrogenase B OS=Escherichia coli (strain K12) GN=aldB PE=1 SV=2	yes	A		Cytoplasmic	512			0	0	0	0		CYT 		0	0.07	0.00		0	10	0.062
C6EII4	fbaA ECBD_0813 ECD_02756	fbaA		ECBD_0813 ECD_02756	C6EII4_ECOBD		Predicted		Fructose-bisphosphate aldolase (EC 4.1.2.13) (Fructose-bisphosphate aldolase, class II)	"GO:0004332; GO:0006096; GO:0008270"	"Complete proteome; Lyase; Zinc"	359		ALF_ECOLI	P0AB71		>P0AB71|ALF_ECOLI Fructose-bisphosphate aldolase class 2 OS=Escherichia coli (strain K12) GN=fbaA PE=1 SV=2		A		Cytoplasmic >EXP<	359			0	0	0	0		CYT 		0	0.00	0.00		0	50	0.053
C6EAL3	fbaB ECBD_1560 ECD_02025	fbaB		ECBD_1560 ECD_02025	C6EAL3_ECOBD		Predicted		Fructose-bisphosphate aldolase (EC 4.1.2.13)	GO:0004332	"Complete proteome; Lyase"	350		ALF1_ECOLI	P0A991		>P0A991|ALF1_ECOLI Fructose-bisphosphate aldolase class 1 OS=Escherichia coli (strain K12) GN=fbaB PE=1 SV=2		A	Cytoplasm. 	Cytoplasmic	350			0	0	0	0		CYT 		0	0.16	0.00		0	24	0.055
C6E9Y7	alkB ECBD_1447 ECD_02139	alkB		ECBD_1447 ECD_02139	C6E9Y7_ECOBD		Predicted		Alkylated DNA repair protein AlkB (Oxidative demethylase of N1-methyladenine or N3-methylcytosine DNA lesions)	"GO:0006281; GO:0008168"	"Complete proteome; Methyltransferase; Transferase"	216		ALKB_ECOLI	P05050		>P05050|ALKB_ECOLI Alpha-ketoglutarate-dependent dioxygenase alkB OS=Escherichia coli (strain K12) GN=alkB PE=1 SV=1	yes	B		Cytoplasmic	216	SEC		0	0	30	0		CYT 		0	0.28	0.07		0	19	0.232
C6EBX8	eda ECBD_1789 ECD_01821	eda		ECBD_1789 ECD_01821	C6EBX8_ECOBD		Predicted		2-dehydro-3-deoxyphosphogluconate aldolase/4-hydroxy-2-oxoglutarate aldolase (EC 4.1.3.16) (Keto-hydroxyglutarate-aldolase/keto-deoxy-phosphogluconate aldolase) (EC 4.1.2.14) (EC 4.1.3.16)	"GO:0008675; GO:0008700"	"Complete proteome; Lyase"	213		ALKH_ECOLI	P0A955		>P0A955|ALKH_ECOLI KHG/KDPG aldolase OS=Escherichia coli (strain K12) GN=eda PE=1 SV=1	yes	A	Cytoplasm. 	Cytoplasmic	213			0	0	0	0		CYT 		0	0.35	0.07		0	4	0.090
C6EKW0	allA ECBD_3152 ECD_00455	allA		ECBD_3152 ECD_00455	C6EKW0_ECOBD		Predicted		Ureidoglycolate hydrolase (EC 3.5.3.19)	"GO:0000256; GO:0006144; GO:0004848"	"Complete proteome; Hydrolase; Purine metabolism"	160		ALLA_ECOLI	P77731		>P77731|ALLA_ECOLI Ureidoglycolate hydrolase OS=Escherichia coli (strain K12) GN=allA PE=1 SV=1		A		Cytoplasmic	160			0	0	0	0		CYT 		0	0.01	0.00		0	14	0.049
C6EKV4	allB ECBD_3146 ECD_00462	allB		ECBD_3146 ECD_00462	C6EKV4_ECOBD		Predicted		Allantoinase	"GO:0000256; GO:0004038; GO:0008270"	"Complete proteome; Hydrolase"	453		ALLB_ECOLI	P77671		>P77671|ALLB_ECOLI Allantoinase OS=Escherichia coli (strain K12) GN=allB PE=1 SV=1		A		Cytoplasmic	453			0	0	0	0		CYT 		0	0.00	0.00		0	46	0.051
C6EKV0	allC ECBD_3142 ECD_00466	allC		ECBD_3142 ECD_00466	C6EKV0_ECOBD		Predicted		Allantoate amidohydrolase (EC 3.5.1.87) (N-carbamoyl-L-amino acid amidohydrolase) (EC 3.5.3.4)	"GO:0050538; GO:0004037; GO:0005515"	"Complete proteome; Hydrolase"	411		ALLC_ECOLI	P77425		>P77425|ALLC_ECOLI Allantoate amidohydrolase OS=Escherichia coli (strain K12) GN=allC PE=1 SV=1		A		Cytoplasmic	411			0	0	0	0		CYT 		0	0.05	0.00		0	21	0.134
C6EKU9	allD ECBD_3141 ECD_00467	allD		ECBD_3141 ECD_00467	C6EKU9_ECOBD		Predicted		Ureidoglycolate dehydrogenase	"GO:0005737; GO:0055114; GO:0016491"	"Complete proteome; Cytoplasm; Oxidoreductase"	349		ALLD_ECOLI	P77555	notes: Bernsel Theoretical but no predictions	>P77555|ALLD_ECOLI Ureidoglycolate dehydrogenase OS=Escherichia coli (strain K12) GN=allD PE=1 SV=1		A	Cytoplasm. 	Cytoplasmic	349	SEC		0	0	27	0		CYT 		0	2.47	0.00		0	26	0.055
C6EKV5	allP ECBD_3147 ECD_00461	allP		ECBD_3147 ECD_00461	C6EKV5_ECOBD		Predicted		NCS1 nucleoside transporter family (Predicted allantoin transporter)	"GO:0016020; GO:0015205"	Complete proteome	484		ALLP_ECOLI	P75712		>P75712|ALLP_ECOLI Putative allantoin permease OS=Escherichia coli (strain K12) GN=ybbW PE=1 SV=2		B	"Cell inner membrane; Multi-pass membrane protein. "	-	484	SEC		0	0	0	0		TMH 	1.552	12	265.25	19.49		12	19	0.137
C6EKV9	allR ECBD_3151 ECD_00456	allR		ECBD_3151 ECD_00456	C6EKV9_ECOBD		Predicted		DNA-binding transcriptional repressor (Transcriptional regulator, IclR family)	"GO:0003677; GO:0006355; GO:0006350"	"Complete proteome; DNA-binding; Transcription; Transcription regulation"	271		ALLR_ECOLI	P0ACN4		>P0ACN4|ALLR_ECOLI HTH-type transcriptional repressor allR OS=Escherichia coli (strain K12) GN=allR PE=1 SV=1		A		Cytoplasmic	271			0	0	0	0		CYT 		0	3.34	0.00		0	23	0.214
C6EKW1	ybbS ECBD_3153 ECD_00454	ybbS		ECBD_3153 ECD_00454	C6EKW1_ECOBD		Predicted		DNA-binding transcriptional activator of the allD operon (Transcriptional regulator, LysR family)	"GO:0003677; GO:0006355; GO:0003700; GO:0006350"	"Complete proteome; DNA-binding; Transcription; Transcription regulation"	308		ALLS_ECOLI	P0ACR0		>P0ACR0|ALLS_ECOLI HTH-type transcriptional activator allS OS=Escherichia coli (strain K12) GN=allS PE=1 SV=1	yes	A		-	308			0	0	23	0		CYT 		0	0.09	0.00		0	22	0.113
C6ED72	alr ECBD_3980 ECD_03925	alr		ECBD_3980 ECD_03925	C6ED72_ECOBD		Inferred from homology	Alanine racemase family	Alanine racemase (EC 5.1.1.1)	"GO:0006522; GO:0008784; GO:0009252; GO:0030170"	"Complete proteome; Isomerase; Pyridoxal phosphate"	359		ALR1_ECOLI	P0A6B4		>P0A6B4|ALR1_ECOLI Alanine racemase, biosynthetic OS=Escherichia coli (strain K12) GN=alr PE=1 SV=1	yes	A		Cytoplasmic	359			0	0	0	0		CYT 		0	0.02	0.02		0	37	0.145
C6EGS7	dadX ECBD_2432 ECD_01165	dadX		ECBD_2432 ECD_01165	C6EGS7_ECOBD		Inferred from homology	Alanine racemase family	Alanine racemase (EC 5.1.1.1)	"GO:0006522; GO:0008784; GO:0009252; GO:0030170"	"Complete proteome; Isomerase; Pyridoxal phosphate"	356		ALR2_ECOLI	P29012		>P29012|ALR2_ECOLI Alanine racemase, catabolic OS=Escherichia coli (strain K12) GN=dadX PE=2 SV=2		A		Cytoplasmic	356			0	0	0	0		CYT 		0	0.91	0.00		0	38	0.151
C6ED36	alsA ECBD_3943 ECD_03959	alsA		ECBD_3943 ECD_03959	C6ED36_ECOBD		Predicted	ABC transporter superfamily	ABC transporter related (Fused D-allose transporter subunits of ABC superfamily: ATP-binding components)	"GO:0005524; GO:0016887"	"ATP-binding; Complete proteome; Nucleotide-binding"	510		ALSA_ECOLI	P32721		>P32721|ALSA_ECOLI D-allose import ATP-binding protein alsA OS=Escherichia coli (strain K12) GN=alsA PE=1 SV=2	yes	F1	"Cell inner membrane; Peripheral membrane protein. "	Cytoplasmic	510			0	0	0	0		CYT 		0	0.03	0.00		0	54	0.052
C6ED35	alsB ECBD_3942 ECD_03960	alsB		ECBD_3942 ECD_03960	C6ED35_ECOBD		Predicted		D-allose transporter subunit (Periplasmic binding protein/LacI transcriptional regulator)		"Complete proteome; Signal"	311		ALSB_ECOLI	P39265		>P39265|ALSB_ECOLI D-allose-binding periplasmic protein OS=Escherichia coli (strain K12) GN=alsB PE=1 SV=1		G	Periplasm. 	Periplasmic >EXP<	311	SEC		24	1.000	24	0.877	23	SpI 	18.079	1	21.32	20.71	23	0	23	0.196
C6ED37	alsC ECBD_3944 ECD_03958	alsC		ECBD_3944 ECD_03958	C6ED37_ECOBD		Predicted		D-allose transporter subunit (Inner-membrane translocator)	"GO:0016021; GO:0005886; GO:0005215"	"Cell membrane; Complete proteome; Membrane; Transmembrane; Transmembrane helix; Transport"	326		ALSC_ECOLI	P32720		>P32720|ALSC_ECOLI D-allose transport system permease protein alsC OS=Escherichia coli (strain K12) GN=alsC PE=1 SV=1		B	"Cell inner membrane; Multi-pass membrane protein. "	Integral Membrane Protein	326	SEC		0	0	0	0		TMH 	4.985	9	198.43	23.93		8	20	0.158
C6ED38	alsE ECBD_3945 ECD_03957	alsE		ECBD_3945 ECD_03957	C6ED38_ECOBD		Predicted		Allulose-6-phosphate 3-epimerase (EC 5.1.3.-) (Ribulose-phosphate 3-epimerase) (EC 5.1.3.1)	"GO:0005975; GO:0004750"	"Complete proteome; Isomerase"	231		ALSE_ECOLI	P32719		>P32719|ALSE_ECOLI D-allulose-6-phosphate 3-epimerase OS=Escherichia coli (strain K12) GN=alsE PE=1 SV=1		A		Cytoplasmic	231			0	0	0	0		CYT 		0	0.05	0.00		0	55	0.026
C6ED39	alsK ECBD_3946 ECD_03956	alsK		ECBD_3946 ECD_03956	C6ED39_ECOBD		Predicted		D-allose kinase (ROK family protein)	GO:0016301	"Complete proteome; Kinase; Transferase"	309		ALSK_ECOLI	P32718		>P32718|ALSK_ECOLI D-allose kinase OS=Escherichia coli (strain K12) GN=alsK PE=1 SV=1		A		Cytoplasmic	309			0	0	0	0		CYT 		0	7.89	0.00		0	37	0.067
C6EHQ7	ygjT ECBD_0653 ECD_02957	ygjT		ECBD_0653 ECD_02957	C6EHQ7_ECOBD		Predicted		Integral membrane protein TerC (Predicted inner membrane protein, part of terminus)	GO:0016021	Complete proteome	321		ALX_ECOLI	P42601		>P42601|ALX_ECOLI Inner membrane protein alx OS=Escherichia coli (strain K12) GN=alx PE=1 SV=2	yes	B	"Cell inner membrane; Multi-pass membrane protein. "	Integral Membrane Protein	321	SEC		0	0	36	0.464		TMH 	11.536	9	195.55	39.83		9	43	0.167
C6EKR9	amiA ECBD_1247 ECD_02335	amiA		ECBD_1247 ECD_02335	C6EKR9_ECOBD		Predicted		N-acetylmuramoyl-L-alanine amidase (EC 3.5.1.28) (N-acetylmuramoyl-l-alanine amidase I) (EC 3.5.1.28)	"GO:0008745; GO:0009253"	"Complete proteome; Hydrolase; Signal"	289		AMIA_ECOLI	P36548	TAT secretion system	>P36548|AMIA_ECOLI Probable N-acetylmuramoyl-L-alanine amidase amiA OS=Escherichia coli (strain K12) GN=amiA PE=3 SV=1	yes	G	Secreted. 	Periplasmic >EXP<	289	TAT / SEC		35	1.000	35	0.836	34	SpI 	15.951	0	0.42	0.09	34	0	34	0.541
