Reference Locus	Reference Common Name	Comparison Locus	Comparison Common Name	Percent Similarity	
b2585	phosphatidylserine synthase; phospholipid synthesis	ECBD_1095	phospholipase D/Transphosphatidylase	100.0	
b1527	orf, hypothetical protein	ECBD_2115	conserved hypothetical protein	100.0	
b3867	O2-independent coproporphyrinogen III oxidase	ECBD_4161	oxygen-independent coproporphyrinogen III oxidase	100.0	
b2942	methionine adenosyltransferase 1 (AdoMet synthetase); methyl and propylamine donor, corepressor of met genes	ECBD_0798	S-adenosylmethionine synthetase	100.0	
b2456	detox protein	ECBD_1234	Ethanolamine utilization protein EutN/carboxysome structural protein Ccml	100.0	
b3587	orf, hypothetical protein	ECBD_0144	hypothetical protein	100.0	
b2394	IS186 hypothetical protein	ECBD_3217	transposase IS4 family protein	100.0	
b2394	IS186 hypothetical protein	ECBD_0970	transposase IS4 family protein	100.0	
b2394	IS186 hypothetical protein	ECBD_3603	transposase IS4 family protein	100.0	
b2394	IS186 hypothetical protein	ECBD_3075	transposase IS4 family protein	100.0	
b3440	putative regulator	ECBD_0302	oxidoreductase domain protein	100.0	
b2595	orf, hypothetical protein	ECBD_1089	outer membrane assembly lipoprotein YfiO	100.0	
b0104	GMP reductase	ECBD_3514	guanosine monophosphate reductase	100.0	
b1046	putative synthase	ECBD_2553	phospholipase D/Transphosphatidylase	100.0	
b1382	orf, hypothetical protein	ECBD_2241	lipoprotein, putative	100.0	
b4063	redox-sensing activator of soxS	ECBD_3969	transcriptional regulator, MerR family	100.0	
b3022	orf, hypothetical protein	ECBD_0717	conserved hypothetical protein	100.0	
b3085	orf, hypothetical protein	ECBD_0657	protein of unknown function DUF45	100.0	
b2480	bacterioferritin comigratory protein	ECBD_1209	Peroxiredoxin	100.0	
b1944	flagellar biosynthesis	ECBD_1701	flagellar basal body-associated protein FliL	100.0	
b3807	orf, hypothetical protein	ECBD_4235	iron donor protein CyaY	100.0	
b1074	flagellar biosynthesis, cell-proximal portion of basal-body rod	ECBD_2526	flagellar basal-body rod protein FlgC	100.0	
b1273	orf, hypothetical protein	ECBD_2349	conserved hypothetical protein	100.0	
b1648	orf, hypothetical protein	ECBD_1995	protein of unknown function DUF1289	100.0	
b3086	orf, hypothetical protein	ECBD_0656	protein of unknown function DUF218	100.0	
b3781	thioredoxin 1	ECBD_4259	thioredoxin	100.0	
b1475	formate dehydrogenase-N, nitrate-inducible, iron-sulfur beta subunit	ECBD_2164	formate dehydrogenase, beta subunit	100.0	
b2979	glycolate oxidase subunit D	ECBD_0759	glycolate oxidase, subunit GlcD	100.0	
b2291	putative alpha helix protein	ECBD_1368	metal dependent phosphohydrolase	100.0	
b3707	tryptophanase leader peptide	ECBD_4325	tryptophanase leader peptide	100.0	
b3535	orf, hypothetical protein	ECBD_0204	conserved hypothetical protein	100.0	
b4129	lysine tRNA synthetase, inducible; heat shock protein	ECBD_3901	lysyl-tRNA synthetase	100.0	
b3961	activator, hydrogen peroxide-inducible genes	ECBD_4063	transcriptional regulator, LysR family	100.0	
b4072	formate-dependent nitrite reductase; Fe-S centers	ECBD_3960	cytochrome c nitrite reductase, Fe-S protein	100.0	
b0156	orf, hypothetical protein	ECBD_3462	iron-sulfur cluster assembly accessory protein	100.0	
b4012	orf, hypothetical protein	ECBD_4025	GCN5-related N-acetyltransferase	100.0	
b4070	periplasmic cytochrome c(552): plays a role in nitrite reduction	ECBD_3962	formate-dependent cytochrome c nitrite reductase, c552 subunit	100.0	
b0902	pyruvate formate lyase activating enzyme 1	ECBD_2693	pyruvate formate-lyase activating enzyme	100.0	
b0844	orf, hypothetical protein	ECBD_2779	Cof-like hydrolase	100.0	
b0806	orf, hypothetical protein	ECBD_2817	protein of unknown function DUF1471	100.0	
b0180	(3R)-hydroxymyristol acyl carrier protein dehydratase	ECBD_3439	beta-hydroxyacyl-(acyl-carrier-protein) dehydratase FabZ	100.0	
b1651	lactoylglutathione lyase	ECBD_1992	lactoylglutathione lyase	100.0	
b4107	orf, hypothetical protein	ECBD_3924	Glyoxalase/bleomycin resistance protein/dioxygenase	100.0	
b3687	heat shock protein	ECBD_0016	heat shock protein Hsp20	100.0	
b4302	putative PTS system enzyme II A component	ECBD_3737	putative PTS IIA-like nitrogen-regulatory protein PtsN	100.0	
b1531	multiple antibiotic resistance; transcriptional activator of defense systems	ECBD_2109	transcriptional regulator, AraC family	100.0	
b1184	SOS mutagenesis and repair	ECBD_2438	DNA-directed DNA polymerase	100.0	
b2468	putative oxidoreductase, Fe-S subunit	ECBD_1222	glutamate synthase, small subunit	100.0	
b3597	putative membrane protein	ECBD_0131	secretion protein HlyD family protein	100.0	
b0595	2,3-dihydro-2,3-dihydroxybenzoate synthetase, isochroismatase	ECBD_3059	Isochorismatase	100.0	
b0959	orf, hypothetical protein	ECBD_2635	regulator of competence-specific genes	100.0	
b0571	putative 2-component transcriptional regulator	ECBD_3091	two component heavy metal response transcriptional regulator, winged helix family	100.0	
b1892	regulator of flagellar biosynthesis, acting on class 2 operons; transcriptional initiation factor	ECBD_1746	flagellar transcriptional activator	100.0	
b2948	orf, hypothetical protein	ECBD_0792	protein of unknown function DUF179	100.0	
b3764	orf, hypothetical protein	ECBD_4273	protein of unknown function DUF413	100.0	
b1852	glucose-6-phosphate dehydrogenase	ECBD_1787	glucose-6-phosphate 1-dehydrogenase	100.0	
b1033	putative dehydrogenase	ECBD_2566	D-isomer specific 2-hydroxyacid dehydrogenase NAD-binding	100.0	
b1039	curli production assembly/transport component, 2nd curli operon	ECBD_2560	curli assembly protein CsgE	100.0	
b3399	putative phosphatase	ECBD_0347	HAD-superfamily hydrolase, subfamily IA, variant 3	100.0	
b3068	orf, hypothetical protein	ECBD_0673	Uracil-DNA glycosylase superfamily	100.0	
b1824	orf, hypothetical protein	ECBD_1817	conserved hypothetical protein	100.0	
b0076	probable transcriptional activator for leuABCD operon	ECBD_3540	transcriptional regulator, LysR family	100.0	
b0892	putative polynucleotide enzyme	ECBD_2703	AAA ATPase central domain protein	100.0	
b1210	enzyme in alternate path of synthesis of 5-aminolevulinate	ECBD_2411	glutamyl-tRNA reductase	100.0	
b3031	orf, hypothetical protein	ECBD_0708	protein of unknown function UPF0227	100.0	
b1851	6-phosphogluconate dehydratase	ECBD_1788	6-phosphogluconate dehydratase	100.0	
b0953	ribosome modulation factor	ECBD_2642	ribosome modulation factor	100.0	
b4084	putative NAGC-like transcriptional regulator	ECBD_3946	ROK family protein	100.0	
b2698	regulator, OraA protein	ECBD_1027	regulatory protein RecX	100.0	
b1058	orf, hypothetical protein	ECBD_2542	conserved hypothetical protein	100.0	
b1445	orf, hypothetical protein	ECBD_2194	conserved hypothetical protein	100.0	
b2710	putative flavodoxin	ECBD_1015	beta-lactamase domain protein	100.0	
b0529	5,10-methylene-tetrahydrofolate dehydrogenase; 5,10-methylene-tetrahydrofolate cyclohydrolase	ECBD_3129	Methylenetetrahydrofolate dehydrogenase (NADP(+))	100.0	
b2670	orf, hypothetical protein	ECBD_1049	protein of unknown function DUF1144	100.0	
b1420	orf, hypothetical protein	ECBD_2219	conserved hypothetical protein	100.0	
b2707	regulator for gut (srl), glucitol operon	ECBD_1018	transcriptional regulator, DeoR family	100.0	
b3611	orf, hypothetical protein	ECBD_0114	Rhodanese domain protein	100.0	
b3987	RNA polymerase, beta subunit	ECBD_4046	DNA-directed RNA polymerase, beta subunit	100.0	
b1426	orf, hypothetical protein	ECBD_2214	protein of unknown function DUF465	100.0	
b1953	orf, hypothetical protein	ECBD_1692	conserved hypothetical protein	100.0	
b0822	orf, hypothetical protein	ECBD_2801	Cof-like hydrolase	100.0	
b3024	orf, hypothetical protein	ECBD_0715	conserved hypothetical protein	100.0	
b1236	glucose-1-phosphate uridylyltransferase	ECBD_2386	UTP-glucose-1-phosphate uridylyltransferase	100.0	
b0554	orf, hypothetical protein	ECBD_3101	Lysis S family protein	100.0	
b1374	putative transposon resolvase	ECBD_2094	Resolvase domain protein	100.0	
b1374	putative transposon resolvase	ECBD_2250	Resolvase domain protein	100.0	
b0579	orf, hypothetical protein	ECBD_3083	protein of unknown function DUF419	100.0	
b1510	orf, hypothetical protein	ECBD_2128	outer membrane autotransporter barrel domain protein	100.0	
b3204	phosphotransferase system enzyme IIA, regulates N metabolism	ECBD_0538	PTS IIA-like nitrogen-regulatory protein PtsN	100.0	
b1064	glutaredoxin 2	ECBD_2536	glutaredoxin, GrxB family	100.0	
b0454	orf, hypothetical protein	ECBD_3201	methylated-DNA/protein-cysteine methyltransferase	100.0	
b0461	orf, hypothetical protein	ECBD_3195	conserved hypothetical protein	100.0	
b1774	putative oxidoreductase	ECBD_1870	Alcohol dehydrogenase zinc-binding domain protein	100.0	
b1782	orf, hypothetical protein	ECBD_1862	MltA-interacting MipA family protein	100.0	
b3594	orf, hypothetical protein	ECBD_0136	PBS lyase HEAT domain protein repeat-containing protein	100.0	
b2677	ATP-binding component of transport system for glycine, betaine and proline	ECBD_1042	glycine betaine/L-proline ABC transporter, ATPase subunit	100.0	
b4043	regulator for SOS(lexA) regulon	ECBD_3990	SOS-response transcriptional repressor, LexA	100.0	
b2689	orf, hypothetical protein	ECBD_1031	conserved hypothetical protein	100.0	
b0700	rhsC protein in rhs element	ECBD_0137	Rhs family protein-like protein	100.0	
b1668	orf, hypothetical protein	ECBD_1977	conserved hypothetical protein	100.0	
b2281	NADH dehydrogenase I chain I	ECBD_1380	NADH-quinone oxidoreductase, chain I	100.0	
b2331	orf, hypothetical protein	ECBD_1328	Smr protein/MutS2	100.0	
b0539	putative exonuclease (EC 3.1.11.3) similar to lambda	ECBD_2897	Exodeoxyribonuclease (lambda-induced)	100.0	
b0099	7,8-dihydro-8-oxoguanine-triphosphatase, prefers dGTP, causes AT-GC transversions	ECBD_3518	mutator MutT protein	100.0	
b0224	orf, hypothetical protein	ECBD_3398	ErfK/YbiS/YcfS/YnhG family protein	100.0	
b0989	cold shock-like protein	ECBD_2606	cold-shock DNA-binding domain protein	100.0	
b1761	NADP-specific glutamate dehydrogenase	ECBD_1883	Glutamate dehydrogenase (NADP(+))	100.0	
b3884	putative DEOR-type transcriptional regulator	ECBD_4143	transcriptional regulator, DeoR family	100.0	
b0385	orf, hypothetical protein	ECBD_3279	diguanylate cyclase	100.0	
b3280	orf, hypothetical protein	ECBD_0471	protein of unknown function DUF1488	100.0	
b2340	orf, hypothetical protein	ECBD_1320	phosphohistidine phosphatase, SixA	100.0	
b1165	orf, hypothetical protein	ECBD_2457	ncharacterized protein YmgA	100.0	
b2286	NADH dehydrogenase I chain C, D	ECBD_1375	NADH dehydrogenase I, D subunit	100.0	
b3512	orf, hypothetical protein	ECBD_0229	transcriptional regulator, LuxR family	100.0	
b2680	orf, hypothetical protein	ECBD_1039	major facilitator superfamily MFS_1	100.0	
b2875	putative synthases	ECBD_0862	selenium-dependent molybdenum hydroxylase system protein, YqeB family	100.0	
b3341	30S ribosomal subunit protein S7, initiates assembly	ECBD_0408	ribosomal protein S7	100.0	
b2089	IS3 putative transposase	ECBD_0874	Integrase catalytic region	100.0	
b2089	IS3 putative transposase	ECBD_2088	Integrase catalytic region	100.0	
b2089	IS3 putative transposase	ECBD_2235	Integrase catalytic region	100.0	
b2089	IS3 putative transposase	ECBD_2568	Integrase catalytic region	100.0	
b4367	orf, hypothetical protein	ECBD_3652	ferric iron reductase	100.0	
b2732	orf, hypothetical protein	ECBD_0993	conserved hypothetical protein	100.0	
b0039	probable carnitine operon oxidoreductase	ECBD_3576	acyl-CoA dehydrogenase domain protein	100.0	
b2978	glycolate oxidase iron-sulfur subunit	ECBD_0761	protein of unknown function DUF224 cysteine-rich region domain protein	100.0	
b0437	ATP-dependent proteolytic subunit of clpA-clpP serine protease, heat shock protein F21.5	ECBD_3220	ATP-dependent Clp protease, proteolytic subunit ClpP	100.0	
b3038	putative synthetase/amidase	ECBD_0702	Trypanothione synthase	100.0	
b3316	30S ribosomal subunit protein S19	ECBD_0435	ribosomal protein S19	100.0	
b1048	periplasmic glucans biosynthesis protein	ECBD_2551	periplasmic glucan biosynthesis protein MdoG	100.0	
b3225	N-acetylneuraminate lyase (aldolase); catabolism of sialic acid; not K-12?	ECBD_0522	N-acetylneuraminate lyase	100.0	
b3301	50S ribosomal subunit protein L15	ECBD_0450	ribosomal protein L15	100.0	
b3306	30S ribosomal subunit protein S8, and regulator	ECBD_0445	ribosomal protein S8	100.0	
b3320	50S ribosomal subunit protein L3	ECBD_0431	ribosomal protein L3	100.0	
b1174	cell division topological specificity factor, reverses MinC inhibition of ftsZ ring formation	ECBD_2448	cell division topological specificity factor MinE	100.0	
b3406	transcription elongation factor and transcript cleavage	ECBD_0339	transcription elongation factor GreB	100.0	
b3472	orf, hypothetical protein	ECBD_0269	lipoprotein, putative	100.0	
b0636	orf, hypothetical protein	ECBD_3015	protein of unknown function DUF163	100.0	
b0023	30S ribosomal subunit protein S20	ECBD_3593	ribosomal protein S20	100.0	
b0032	carbamoyl-phosphate synthetase, glutamine (small) subunit	ECBD_3583	carbamoyl-phosphate synthase, small subunit	100.0	
b0151	ATP-binding component of hydroxymate-dependent iron transport	ECBD_3467	ABC transporter related	100.0	
b2687	orf, hypothetical protein	ECBD_1033	quorum-sensing autoinducer 2 (AI-2), LuxS	100.0	
b4244	aspartate carbamoyltransferase, regulatory subunit	ECBD_3789	aspartate carbamoyltransferase, regulatory subunit	100.0	
b1792	orf, hypothetical protein	ECBD_1853	protein of unknown function DUF488	100.0	
b2744	survival protein	ECBD_0980	stationary-phase survival protein SurE	100.0	
b3935	primosomal protein N(= factor Y)(putative helicase)	ECBD_4089	primosomal protein N	100.0	
b0310	orf, hypothetical protein	ECBD_3348	conserved hypothetical protein	100.0	
b0174	orf, hypothetical protein	ECBD_3445	undecaprenyl diphosphate synthase	100.0	
b1838	protein phosphatase 1 modulates phosphoproteins, signals protein misfolding	ECBD_1802	bis(5nucleosyl)-tetraphosphatase, ApaH	100.0	
b1915	orf, hypothetical protein	ECBD_1727	conserved hypothetical protein	100.0	
b3229	regulator of transcription; stringent starvation protein A	ECBD_0518	Glutathione S-transferase domain protein	100.0	
b1662	riboflavin synthase, alpha chain	ECBD_1981	riboflavin synthase, alpha subunit	100.0	
b3073	probable ornithine aminotransferase	ECBD_0669	putrescine aminotransferase	100.0	
b0460	haemolysin expression modulating protein	ECBD_3196	Hemolysin expression modulating family protein	100.0	
b3167	ribosome-binding factor A	ECBD_0573	ribosome-binding factor A	100.0	
b1472	putative outer membrane porin protein	ECBD_2167	putative outer membrane porin protein	100.0	
b0546	putative ARAC-type regulatory protein	ECBD_3112	transcriptional regulator, AraC family	100.0	
b4090	ribose 5-phosphate isomerase B	ECBD_3940	ribose 5-phosphate isomerase B	100.0	
b2812	putative enzyme	ECBD_0910	UBA/THIF-type NAD/FAD binding protein	100.0	
b4356	putative transport protein, cryptic, orf, joins former yjiZ and yjjL	ECBD_3663	major facilitator superfamily MFS_1	100.0	
b1708	lipoprotein	ECBD_1937	NLP/P60 protein	100.0	
b4334	putative enzyme	ECBD_3696	CoA-substrate-specific enzyme activase	100.0	
b3857	molybdopterin ---> molybdopterin-guanine dinucleotide, protein Ar	ECBD_4173	molybdopterin-guanine dinucleotide biosynthesis protein A	100.0	
b3669	response regulator, positive activator of uhpT transcription (sensor, uhpB)	ECBD_0034	two component transcriptional regulator, LuxR family	100.0	
b4087	putative ATP-binding component of a transport system	ECBD_3943	ABC transporter related	100.0	
b4147	elongation factor P (EF-P)	ECBD_3884	translation elongation factor P	100.0	
b1244	oligopeptide transport permease protein	ECBD_2378	binding-protein-dependent transport systems inner membrane component	100.0	
b0623	cold shock protein	ECBD_3027	cold-shock DNA-binding domain protein	100.0	
b0181	UDP-N-acetylglucosamine acetyltransferase; lipid A biosynthesis	ECBD_3438	acyl-(acyl-carrier-protein)--UDP-N-acetylglucosamine O-acyltransferase	100.0	
b0512	putative hydrolase	ECBD_3146	allantoinase	100.0	
b1650	N-ethylmaleimide reductase	ECBD_1993	NADH:flavin oxidoreductase/NADH oxidase	100.0	
b0784	molybdopterin biosynthesis	ECBD_2839	molybdopterin converting factor, subunit 1	100.0	
b0345	transcriptional repressor of the lac operon	ECBD_3312	transcriptional regulator, LacI family	100.0	
b0345	transcriptional repressor of the lac operon	ECBD_2908	transcriptional regulator, LacI family	100.0	
b2285	NADH dehydrogenase I chain E	ECBD_1376	NADH-quinone oxidoreductase, E subunit	100.0	
b3605	L-lactate dehydrogenase	ECBD_0120	FMN-dependent alpha-hydroxy acid dehydrogenase	100.0	
b3375	putative transcriptional regulator	ECBD_0374	transcriptional regulator, GntR family	100.0	
b1722	orf, hypothetical protein	ECBD_1923	protein of unknown function DUF481	100.0	
b3383	orf, hypothetical protein	ECBD_0364	hypothetical protein	100.0	
b1023	orf, hypothetical protein	ECBD_2571	xylanase/chitin deacetylase-like protein	100.0	
b3856	molybdopterin-guanine dinucleotide biosynthesis protein B	ECBD_4174	molybdopterin-guanine dinucleotide biosynthesis protein B	100.0	
b1477	orf, hypothetical protein	ECBD_2162	plasmid maintenance system antidote protein, XRE family	100.0	
b1533	orf, hypothetical protein	ECBD_2107	protein of unknown function DUF6 transmembrane	100.0	
b1307	phage shock protein	ECBD_2310	phage shock protein PspD	100.0	
b2437	putative ARAC-type regulatory protein	ECBD_1245	transcriptional regulator, AraC family	100.0	
