Accession	Gene names	Gene names (PREFERRED)	Gene names (ALTERNATIVE)	Gene names (OLN)	Entry name	Subcellular locations	Protein existence	Protein family	Protein names	Gene Ontology ID	Keywords	Length	Gene location
C6EID5	glcB ECBD_0763 ECD_02844	glcB		ECBD_0763 ECD_02844	C6EID5_ECOBD	Cytoplasm. 	Inferred from homology	Malate synthase family, GlcB subfamily	Malate synthase (EC 2.3.3.9) (Malate synthase G) (EC 2.3.3.9)	"GO:0008415; GO:0005737; GO:0006097; GO:0004474; GO:0006099"	"Acyltransferase; Complete proteome; Cytoplasm; Glyoxylate bypass; Transferase; Tricarboxylic acid cycle"	723	
C6EJI7	ECBD_2908 ECBD_3312			ECBD_2908 ECBD_3312	C6EJI7_ECOBD		Predicted		Transcriptional regulator, LacI family	"GO:0003677; GO:0005622; GO:0006355; GO:0003700; GO:0006350"	"Complete proteome; DNA-binding; Transcription; Transcription regulation"	363	
C6EIJ3	iciA ECBD_0822 ECD_02747	iciA		ECBD_0822 ECD_02747	C6EIJ3_ECOBD		Predicted		Chromosome replication initiation inhibitor protein (Transcriptional regulator, ArgP, LysR family)	"GO:0003677; GO:0006355; GO:0003700; GO:0006350"	"Complete proteome; DNA-binding; Transcription; Transcription regulation"	297	
C6EK39	ECBD_2995 ECD_00624			ECBD_2995 ECD_00624	C6EK39_ECOBD		Predicted		40-residue YVTN family beta-propeller repeat protein (Putative uncharacterized protein)	GO:0016021	"Complete proteome; Signal"	625	
C6EA37	yagT ECBD_3371 ECD_00245	yagT		ECBD_3371 ECD_00245	C6EA37_ECOBD		Predicted		(2Fe-2S)-binding domain protein (Predicted xanthine dehydrogenase, 2Fe-2S subunit)	"GO:0051537; GO:0009055; GO:0046872; GO:0055114; GO:0016491"	"2Fe-2S; Complete proteome; Iron; Iron-sulfur; Metal-binding"	229	
C6ELS2	ykgG ECBD_3349 ECD_00264	ykgG		ECBD_3349 ECD_00264	C6ELS2_ECOBD		Predicted		Predicted transporter (Putative uncharacterized protein)	"GO:0030272; GO:0005524; GO:0009396"	Complete proteome	231	
C6EDU6	ydfH ECBD_2099 ECD_01499	ydfH		ECBD_2099 ECD_01499	C6EDU6_ECOBD		Predicted		Predicted DNA-binding transcriptional regulator (Transcriptional regulator, GntR family)	"GO:0003677; GO:0005622; GO:0006355; GO:0003700; GO:0006350"	"Complete proteome; DNA-binding; Transcription; Transcription regulation"	228	
C6EB80	cobS ECBD_1657 ECD_01901	cobS		ECBD_1657 ECD_01901	C6EB80_ECOBD	"Cell inner membrane; Multi-pass membrane protein. "	Inferred from homology	CobS family	Cobalamin synthase (EC 2.-.-.-)	"GO:0008818; GO:0009236; GO:0015420; GO:0005886"	"Cell inner membrane; Cell membrane; Cobalamin biosynthesis; Complete proteome; Membrane; Transferase; Transmembrane; Transmembrane helix"	247	
C6EEZ2	rhaS ECBD_4118 ECD_03791	rhaS		ECBD_4118 ECD_03791	C6EEZ2_ECOBD		Inferred from homology		DNA-binding transcriptional activator, L-rhamnose-binding (Transcriptional regulator, AraC family)	"GO:0005737; GO:0006355; GO:0019299; GO:0043565; GO:0003700; GO:0006350"	"Activator; Complete proteome; Cytoplasm; DNA-binding; Repeat; Rhamnose metabolism; Transcription; Transcription regulation"	278	
C6EC44	yeaJ ECBD_1858 ECD_01755	yeaJ		ECBD_1858 ECD_01755	C6EC44_ECOBD		Predicted		Diguanylate cyclase (Predicted diguanylate cyclase)	"GO:0009190; GO:0016849"	"Complete proteome; Signal"	496	
C6EA32	yagX ECBD_3366 ECD_00250	yagX		ECBD_3366 ECD_00250	C6EA32_ECOBD		Predicted		Predicted aromatic compound dioxygenase (Putative uncharacterized protein)	"GO:0004180; GO:0016702"	"Complete proteome; Dioxygenase; Oxidoreductase; Signal"	841	
C6EE47	udhA sthA ECBD_4062 ECD_03847	udhA	sthA	ECBD_4062 ECD_03847	C6EE47_ECOBD	Cytoplasm. 	Inferred from homology	Class-I pyridine nucleotide-disulfide oxidoreductase family	Soluble pyridine nucleotide transhydrogenase (STH) (EC 1.6.1.1) (NAD(P)(+) transhydrogenase [B-specific])	"GO:0050660; GO:0003957; GO:0045454; GO:0005737; GO:0055114"	"Complete proteome; Cytoplasm; FAD; Flavoprotein; NAD; NADP; Oxidoreductase"	466	
C6EC15	yoaE ECBD_1826 ECD_01786	yoaE		ECBD_1826 ECD_01786	C6EC15_ECOBD		Predicted		Fused predicted membrane protein/conserved protein (Integral membrane protein TerC)	"GO:0050660; GO:0003824; GO:0016021; GO:0055114"	Complete proteome	518	
C6EI75	serC ECBD_2688 ECD_00911	serC		ECBD_2688 ECD_00911	C6EI75_ECOBD	Cytoplasm. 	Inferred from homology	"Class-V pyridoxal-phosphate-dependent aminotransferase family; Class-V pyridoxal-phosphate-dependent aminotransferase family, SerC subfamily"	Phosphoserine aminotransferase (EC 2.6.1.52) (Phosphohydroxythreonine aminotransferase)	"GO:0006564; GO:0004648; GO:0030170"	"Amino-acid biosynthesis; Aminotransferase; Complete proteome; Cytoplasm; Pyridoxal phosphate; Pyridoxine biosynthesis; Serine biosynthesis; Transferase"	362	
C6EJZ5	yfiO ECBD_1089 ECD_02485	yfiO		ECBD_1089 ECD_02485	C6EJZ5_ECOBD		Predicted		Outer membrane assembly lipoprotein YfiO (Predicted lipoprotein)	GO:0005488	"Complete proteome; Lipoprotein; Signal"	245	
C6EJ85	gudD ECBD_0942 ECD_02632	gudD		ECBD_0942 ECD_02632	C6EJ85_ECOBD		Predicted		(D)-glucarate dehydratase 1 (EC 4.2.1.40) (Glucarate dehydratase) (EC 4.2.1.40)	"GO:0019394; GO:0008872; GO:0000287"	"Complete proteome; Lyase; Metal-binding"	446
C6EB19	carB ECBD_3582 ECD_00037	carB		ECBD_3582 ECD_00037	C6EB19_ECOBD		Inferred from homology	CarB family	Carbamoyl-phosphate synthase large chain (EC 6.3.5.5) (Carbamoyl-phosphate synthetase ammonia chain)	"GO:0005524; GO:0006526; GO:0004088; GO:0046872; GO:0006221"	"ATP-binding; Amino-acid biosynthesis; Arginine biosynthesis; Complete proteome; Ligase; Magnesium; Manganese; Metal-binding; Nucleotide-binding; Pyrimidine biosynthesis; Repeat; Signal"	1073
C6EDH3	tdh ECBD_0109 ECD_03474	tdh		ECBD_0109 ECD_03474	C6EDH3_ECOBD	Cytoplasm. 	Inferred from homology	Zinc-containing alcohol dehydrogenase family	L-threonine 3-dehydrogenase (EC 1.1.1.103)	"GO:0008743; GO:0005737; GO:0055114; GO:0006567; GO:0008270"	"Complete proteome; Cytoplasm; Metal-binding; NAD; Oxidoreductase; Zinc"	341
C6EH60	rpsO ECBD_0575 ECD_03032	rpsO		ECBD_0575 ECD_03032	C6EH60_ECOBD		Inferred from homology	Ribosomal protein S15P family	30S ribosomal protein S15	"GO:0019843; GO:0005840; GO:0003735; GO:0006412"	"Complete proteome; RNA-binding; Ribonucleoprotein; Ribosomal protein; rRNA-binding"	89
C6EIH9	yggF ECBD_0808 ECD_02761	yggF		ECBD_0808 ECD_02761	C6EIH9_ECOBD		Predicted		Fructose-1,6-bisphosphatase, class II (EC 3.1.3.11) (Predicted hexoseP phosphatase)	"GO:0042132; GO:0006071"	"Complete proteome; Hydrolase"	321
C6ELQ5	yahK ECBD_3332 ECD_00280	yahK		ECBD_3332 ECD_00280	C6ELQ5_ECOBD		Inferred from homology	Zinc-containing alcohol dehydrogenase family	Alcohol dehydrogenase zinc-binding domain protein (Predicted oxidoreductase, Zn-dependent and NAD(P)-binding)	"GO:0048037; GO:0055114; GO:0016616; GO:0008270"	"Complete proteome; Metal-binding; Oxidoreductase; Zinc"	349
C6EHT1	ygjD gcp ECBD_0677 ECD_02934	ygjD	gcp	ECBD_0677 ECD_02934	C6EHT1_ECOBD		Inferred from homology	Peptidase M22 family	Probable O-sialoglycoprotein endopeptidase (Glycoprotease) (EC 3.4.24.57)	"GO:0004222; GO:0006508; GO:0008270"	"Complete proteome; Hydrolase; Metal-binding; Metalloprotease; Protease; Zinc"	337
C6EIV7	fsa ECBD_2798 ECD_00792	fsa		ECBD_2798 ECD_00792	C6EIV7_ECOBD		Inferred from homology	Transaldolase family	Fructose-6-phosphate aldolase 1 (EC 4.1.2.-) (Transaldolase)	"GO:0005975; GO:0005737; GO:0016829"	"Complete proteome; Lyase; Pentose shunt; Transferase"	220
C6ECE9	rpsF ECBD_3834 ECD_04067	rpsF		ECBD_3834 ECD_04067	C6ECE9_ECOBD		Inferred from homology	Ribosomal protein S6P family	30S ribosomal protein S6	"GO:0019843; GO:0005840; GO:0003735; GO:0006412"	"Acetylation; Complete proteome; RNA-binding; Ribonucleoprotein; Ribosomal protein; rRNA-binding"	131
C6EBS5	yjhT ECBD_3727 ECD_04177	yjhT		ECBD_3727 ECD_04177	C6EBS5_ECOBD		Predicted		Kelch repeat-containing protein (Putative uncharacterized protein yjhT)		"Complete proteome; Signal"	368
C6EE85	selB ECBD_0140 ECD_03445	selB		ECBD_0140 ECD_03445	C6EE85_ECOBD		Predicted		Selenocysteine-specific translation elongation factor (Selenocysteinyl-tRNA-specific translation factor)	"GO:0005525; GO:0003924; GO:0003723; GO:0005737; GO:0001514; GO:0003746"	"Complete proteome; Elongation factor; GTP-binding; Nucleotide-binding; Protein biosynthesis"	614
C6EFQ7	ycjG ECBD_2292 ECD_01302	ycjG		ECBD_2292 ECD_01302	C6EFQ7_ECOBD		Predicted		L-Ala-D/L-Glu epimerase (Mandelate racemase/muconate lactonizing protein)	"GO:0003824; GO:0009063"	Complete proteome	321
C6EGF8	rplE ECBD_0443 ECD_03159	rplE		ECBD_0443 ECD_03159	C6EGF8_ECOBD		Inferred from homology	Ribosomal protein L5P family	50S ribosomal protein L5	"GO:0019843; GO:0005840; GO:0003735; GO:0000049; GO:0006412"	"Acetylation; Complete proteome; RNA-binding; Ribonucleoprotein; Ribosomal protein; rRNA-binding; tRNA-binding"	179
C6ELI3	brnQ ECBD_3260 ECD_00349	brnQ		ECBD_3260 ECD_00349	C6ELI3_ECOBD		Predicted		Branched-chain amino acid transport system II carrier protein (Predicted branched chain amino acid transporter (LIV-II))	"GO:0015658; GO:0016021"	"Complete proteome; Signal"	439
C6EE37	nusG ECBD_4051 ECD_03858	nusG		ECBD_4051 ECD_03858	C6EE37_ECOBD		Inferred from homology	NusG family	Transcription antitermination protein nusG	"GO:0032968; GO:0031564; GO:0003711; GO:0006353"	"Complete proteome; Transcription; Transcription antitermination; Transcription regulation; Transcription termination"	181
C6EBI9	deoA ECBD_3638 ECD_04258	deoA		ECBD_3638 ECD_04258	C6EBI9_ECOBD		Inferred from homology	Thymidine/pyrimidine-nucleoside phosphorylase family	Thymidine phosphorylase (EC 2.4.2.4) (TdRPase)	"GO:0006206; GO:0046104; GO:0009032"	"Complete proteome; Glycosyltransferase; Transferase"	440
C6EC53	ydjL ECBD_1868 ECD_01745	ydjL		ECBD_1868 ECD_01745	C6EC53_ECOBD		Inferred from homology	Zinc-containing alcohol dehydrogenase family	Alcohol dehydrogenase zinc-binding domain protein (Predicted oxidoreductase, Zn-dependent and NAD(P)-binding)	"GO:0055114; GO:0016491; GO:0008270"	"Complete proteome; Metal-binding; Oxidoreductase; Zinc"	358
C6EIK5	gcvP ECBD_0834 ECD_02735	gcvP		ECBD_0834 ECD_02735	C6EIK5_ECOBD		Inferred from homology	GcvP family	Glycine dehydrogenase [decarboxylating] (EC 1.4.4.2) (Glycine cleavage system P-protein) (Glycine decarboxylase)	"GO:0019464; GO:0004375; GO:0055114; GO:0030170"	"Complete proteome; Oxidoreductase; Pyridoxal phosphate"	957
C6ED49	nrfG ECBD_3956 ECD_03948	nrfG		ECBD_3956 ECD_03948	C6ED49_ECOBD		Predicted		Heme lyase (NrfEFG) for insertion of heme into c552, subunit NrfG (TPR repeat-containing protein)	"GO:0005488; GO:0016829"	"Complete proteome; Lyase; Signal"	198
C6EJK6	ybgG ECBD_2929 ECD_00691	ybgG		ECBD_2929 ECD_00691	C6EJK6_ECOBD		Predicted		Alpha-mannosidase (Glycoside hydrolase family 38)	"GO:0004559; GO:0030246; GO:0006013; GO:0008270"	"Complete proteome; Hydrolase"	877
C6EL79	yfeO ECBD_1283 ECD_02299	yfeO		ECBD_1283 ECD_02299	C6EL79_ECOBD	"Cell membrane; Multi-pass membrane protein. "	Inferred from homology	Chloride channel (TC 2.A.49) family	Putative ion-transport protein yfeO	"GO:0016021; GO:0005886; GO:0005247"	"Cell membrane; Chloride; Complete proteome; Ion transport; Ionic channel; Membrane; Signal; Transmembrane; Transmembrane helix; Transport"	418
C6EIJ0	ygfG ECBD_0819 ECD_02750	ygfG		ECBD_0819 ECD_02750	C6EIJ0_ECOBD		Inferred from homology	Enoyl-CoA hydratase/isomerase family	Enoyl-CoA hydratase/isomerase (Methylmalonyl-CoA decarboxylase, biotin-independent) (EC 4.1.1.41)	"GO:0016853; GO:0004492"	"Complete proteome; Isomerase; Lyase"	261
C6EEV1	acpD ECBD_2228 ECD_01367	acpD		ECBD_2228 ECD_01367	C6EEV1_ECOBD		Inferred from homology		Acyl carrier protein phosphodiesterase (EC 3.1.4.14) (NAD(P)H dehydrogenase (Quinone))	"GO:0008770; GO:0050662; GO:0009055; GO:0055114; GO:0016491"	"Complete proteome; Flavoprotein; Hydrolase; Oxidoreductase"	201
C6EGQ2	ychA ECBD_2407 ECD_01189	ychA		ECBD_2407 ECD_01189	C6EGQ2_ECOBD		Predicted		Predicted transcriptional regulator (SirB1 protein)	GO:0005488	Complete proteome	269
C6EH48	rrmJ ftsJ rrmJ rlmE ECBD_0563 ECD_03044	rrmJ	ftsJ rrmJ rlmE	ECBD_0563 ECD_03044	C6EH48_ECOBD	Cytoplasm. 	Inferred from homology	Methyltransferase superfamily, RlmE family	Ribosomal RNA large subunit methyltransferase E (EC 2.1.1.-) (23S rRNA Um2252 methyltransferase) (rRNA (uridine-2'-O-)-methyltransferase)	"GO:0005737; GO:0003676; GO:0016436"	"Complete proteome; Cytoplasm; Methyltransferase; S-adenosyl-L-methionine; Transferase; rRNA processing"	209
C6EJQ1	fur ECBD_2978 ECD_00640	fur		ECBD_2978 ECD_00640	C6EJQ1_ECOBD		Predicted		Ferric uptake regulator (Ferric uptake regulator, Fur family)	"GO:0006355; GO:0003700"	Complete proteome	148
C6EKR7	yfeG ECBD_1245 ECD_02337	yfeG		ECBD_1245 ECD_02337	C6EKR7_ECOBD		Predicted		Predicted DNA-binding transcriptional regulator (Transcriptional regulator, AraC family)	"GO:0005622; GO:0006355; GO:0043565; GO:0003700; GO:0006350"	"Complete proteome; DNA-binding; Transcription; Transcription regulation"	350
C6EI88	dmsA ECBD_2701 ECD_00898	dmsA		ECBD_2701 ECD_00898	C6EI88_ECOBD		Predicted		Anaerobic dimethyl sulfoxide reductase, A subunit, DmsA/YnfE family (Dimethyl sulfoxide reductase, anaerobic, subunit A) (EC 1.8.99.-)	"GO:0051539; GO:0009389; GO:0009055; GO:0030151; GO:0055114"	"Complete proteome; Iron; Iron-sulfur; Metal-binding; Molybdenum; Oxidoreductase; Signal"	814
C6EL61	ptsI ECBD_1265 ECD_02316	ptsI		ECBD_1265 ECD_02316	C6EL61_ECOBD		Inferred from homology		PEP-protein phosphotransferase of PTS system (Enzyme I) (EC 2.7.3.9) (Phosphoenolpyruvate-protein phosphotransferase)	"GO:0005737; GO:0016301; GO:0046872; GO:0009401; GO:0008965; GO:0005351"	"Complete proteome; Kinase; Magnesium; Metal-binding; Pyruvate; Transferase"	575
C6EGN4	ychJ ECBD_2389 ECD_01209	ychJ		ECBD_2389 ECD_01209	C6EGN4_ECOBD		Inferred from homology	UPF0225 family	UPF0225 protein ychJ		Complete proteome	152
C6EGL9	yhcQ aaeA ECBD_0505 ECD_03101	yhcQ	aaeA	ECBD_0505 ECD_03101	C6EGL9_ECOBD	"Cell inner membrane; Single-pass membrane protein. "	Evidence at transcript level	Membrane fusion protein (MFP) (TC 8.A.1) family	p-hydroxybenzoic acid efflux pump subunit AaeA (pHBA efflux pump protein A)	"GO:0016020; GO:0009306; GO:0008565"	"Cell inner membrane; Cell membrane; Complete proteome; Membrane; Signal; Transmembrane; Transmembrane helix; Transport"	310
C6EKZ0	adk ECBD_3182 ECD_00425	adk		ECBD_3182 ECD_00425	C6EKZ0_ECOBD	Cytoplasm. 	Inferred from homology	Adenylate kinase family	Adenylate kinase (AK) (EC 2.7.4.3) (ATP-AMP transphosphorylase)	"GO:0005524; GO:0004017; GO:0005737; GO:0009165"	"ATP-binding; Acetylation; Complete proteome; Cytoplasm; Kinase; Nucleotide biosynthesis; Nucleotide-binding; Transferase"	214
C6EIK8	yqfB ECBD_0837 ECD_02732	yqfB		ECBD_0837 ECD_02732	C6EIK8_ECOBD		Inferred from homology	UPF0267 family	UPF0267 protein yqfB		Complete proteome	103
C6EK86	ybdR ECBD_3044 ECD_00577	ybdR		ECBD_3044 ECD_00577	C6EK86_ECOBD		Inferred from homology	Zinc-containing alcohol dehydrogenase family	Alcohol dehydrogenase GroES domain protein (Predicted oxidoreductase, Zn-dependent and NAD(P)-binding)	"GO:0055114; GO:0016491; GO:0008270"	"Complete proteome; Metal-binding; Oxidoreductase; Zinc"	412
C6EBG7	thrA ECBD_3616 ECD_00002	thrA		ECBD_3616 ECD_00002	C6EBG7_ECOBD		Predicted		Aspartate kinase (EC 1.1.1.3) (EC 2.7.2.4) (Bifunctional aspartokinase I/homoserine dehydrogenase I) (EC 1.1.1.3) (EC 2.7.2.4)	"GO:0050661; GO:0016597; GO:0009067; GO:0004072; GO:0004412; GO:0055114"	"Complete proteome; Kinase; Oxidoreductase; Transferase"	820
C6EDE0	spoT ECBD_0075 ECD_03507	spoT		ECBD_0075 ECD_03507	C6EDE0_ECOBD		Inferred from homology	RelA/spoT family	(P)ppGpp synthetase I, SpoT/RelA (EC 3.1.7.2) (Bifunctional (P)ppGpp synthetase II/ guanosine-3',5'-bis pyrophosphate 3'-pyrophosphohydrolase) (EC 2.7.6.5) (EC 3.1.7.2)	"GO:0008728; GO:0015969; GO:0008893"	"Complete proteome; Hydrolase; Transferase"	702
C6EHK3	wrbA ECBD_2590 ECD_01007	wrbA		ECBD_2590 ECD_01007	C6EHK3_ECOBD		Inferred from homology	WrbA family	Flavoprotein wrbA (Trp repressor-binding protein)	"GO:0010181; GO:0016481; GO:0016491"	"Acetylation; Complete proteome; FMN; Flavoprotein"	198
C6EL07	ylaB ECBD_3199 ECD_00408	ylaB		ECBD_3199 ECD_00408	C6EL07_ECOBD		Predicted		Conserved inner membrane protein (EAL domain protein)		"Complete proteome; Signal"	516
C6EC31	yeaT ECBD_1843 ECD_01769	yeaT		ECBD_1843 ECD_01769	C6EC31_ECOBD		Predicted		Predicted DNA-binding transcriptional regulator (Transcriptional regulator, LysR family)	"GO:0003677; GO:0006355; GO:0003700; GO:0006350"	"Complete proteome; DNA-binding; Transcription; Transcription regulation"	307
C6EDV7	marR ECBD_2110 ECD_01489	marR		ECBD_2110 ECD_01489	C6EDV7_ECOBD		Predicted		DNA-binding transcriptional repressor of multiple antibiotic resistance (Transcriptional regulator, MarR family)	"GO:0003677; GO:0005622; GO:0006355; GO:0003700; GO:0006350"	"Complete proteome; DNA-binding; Transcription; Transcription regulation"	144
C6EA11	yejK yjeK ECBD_1471 ECD_02116	yejK	yjeK	ECBD_1471 ECD_02116	C6EA11_ECOBD	Cytoplasm › nucleoid. 	Inferred from homology	YejK family	Nucleoid-associated protein YejK	"GO:0005737; GO:0009295"	"Complete proteome; Cytoplasm"	335
C6EEM2	yddB ECBD_2144 ECD_01453	yddB		ECBD_2144 ECD_01453	C6EEM2_ECOBD		Predicted		Predicted porin protein (TonB-dependent receptor plug)	"GO:0016020; GO:0004872; GO:0005215"	"Complete proteome; Receptor; Signal"	790
C6EL86	ypdC ECBD_1290 ECD_02292	ypdC		ECBD_1290 ECD_02292	C6EL86_ECOBD		Predicted		Predicted DNA-binding protein (Transcriptional regulator, AraC family)	"GO:0005622; GO:0006355; GO:0043565; GO:0003700; GO:0006350"	"Complete proteome; DNA-binding; Transcription; Transcription regulation"	285
C6EFV7	ribA ECBD_2342 ECD_01254	ribA		ECBD_2342 ECD_01254	C6EFV7_ECOBD		Inferred from homology	GTP cyclohydrolase II family	GTP cyclohydrolase-2 (EC 3.5.4.25) (GTP cyclohydrolase II)	"GO:0003935; GO:0009231; GO:0008270"	"Complete proteome; GTP-binding; Hydrolase; Metal-binding; Nucleotide-binding; Riboflavin biosynthesis; Zinc"	196
C6ECY9	dsbD ECBD_3895 ECD_04006	dsbD		ECBD_3895 ECD_04006	C6ECY9_ECOBD	"Cell inner membrane; Multi-pass membrane protein. "	Inferred from homology	Thioredoxin family, DsbD subfamily	Thiol:disulfide interchange protein dsbD (EC 1.8.1.8) (Protein-disulfide reductase)	"GO:0045454; GO:0017004; GO:0016021; GO:0055114; GO:0047134"	"Cell inner membrane; Cell membrane; Complete proteome; Cytochrome c-type biogenesis; Disulfide bond; Electron transport; Membrane; NAD; Oxidoreductase; Redox-active center; Signal; Transmembrane; Transmembrane helix; Transport"	565
C6EBX3	pykA ECBD_1784 ECD_01825	pykA		ECBD_1784 ECD_01825	C6EBX3_ECOBD		Inferred from homology	Pyruvate kinase family	Pyruvate kinase (EC 2.7.1.40)	"GO:0006096; GO:0000287; GO:0030955; GO:0004743"	"Complete proteome; Glycolysis; Kinase; Magnesium; Pyruvate; Transferase"	480
C6EEA8	malS ECBD_0163 ECD_03423	malS		ECBD_0163 ECD_03423	C6EEA8_ECOBD		Predicted		Alpha amylase catalytic region (Periplasmic alpha-amylase) (EC 3.2.1.1)	"GO:0004556; GO:0005975; GO:0043169"	"Complete proteome; Glycosidase; Hydrolase; Signal"	676
C6ECR5	ydiB ECBD_1954 ECD_01661	ydiB		ECBD_1954 ECD_01661	C6ECR5_ECOBD		Inferred from homology	Shikimate dehydrogenase family	Quinate/shikimate dehydrogenase (EC 1.1.1.282) (NAD-dependent shikimate 5-dehydrogenase 2)	"GO:0005488; GO:0005737; GO:0055114; GO:0033706; GO:0004764"	"Amino-acid biosynthesis; Aromatic amino acid biosynthesis; Complete proteome; NAD; Oxidoreductase"	288
C6EEM6	yddW ECBD_2148 ECD_01449	yddW		ECBD_2148 ECD_01449	C6EEM6_ECOBD		Predicted		Predicted liprotein (Putative uncharacterized protein)	"GO:0005975; GO:0003824; GO:0043169"	Complete proteome	439
C6EK62	ybeD ECBD_3020 ECD_00600	ybeD		ECBD_3020 ECD_00600	C6EK62_ECOBD		Inferred from homology	UPF0250 family	UPF0250 protein ybeD		Complete proteome	87
C6EGQ7	lolB ECBD_2412 ECD_01184	lolB		ECBD_2412 ECD_01184	C6EGQ7_ECOBD	"Cell outer membrane; Lipid-anchor. "	Inferred from homology	LolB family	Outer-membrane lipoprotein lolB	"GO:0009279; GO:0005886; GO:0015031"	"Cell membrane; Cell outer membrane; Chaperone; Complete proteome; Lipoprotein; Membrane; Palmitate; Protein transport; Signal; Transport"	207
C6EEG8	gadX ECBD_0224 ECD_03364	gadX		ECBD_0224 ECD_03364	C6EEG8_ECOBD		Predicted		DNA-binding transcriptional dual regulator (Transcriptional regulator, AraC family)	"GO:0005622; GO:0006355; GO:0043565; GO:0003700; GO:0006350"	"Complete proteome; DNA-binding; Transcription; Transcription regulation"	274
C6EAP4	yegH ECBD_1592 ECD_01969	yegH		ECBD_1592 ECD_01969	C6EAP4_ECOBD		Predicted		Fused predicted membrane protein/predicted membrane protein (Integral membrane protein TerC)	"GO:0050660; GO:0003824; GO:0016021; GO:0055114"	Complete proteome	527
C6ECH1	yjeB ECBD_3856 ECD_04045	yjeB		ECBD_3856 ECD_04045	C6ECH1_ECOBD		Predicted		Predicted DNA-binding transcriptional regulator (Transcriptional regulator, BadM/Rrf2 family)	GO:0003677	"2Fe-2S; Complete proteome; DNA-binding; Iron; Iron-sulfur; Metal-binding"	141
C6EDN7	fumC ECBD_2035 ECD_01580	fumC		ECBD_2035 ECD_01580	C6EDN7_ECOBD		Inferred from homology		Fumarate hydratase (EC 4.2.1.2) (Fumarate hydratase, class II)	"GO:0004333; GO:0006106; GO:0006099; GO:0045239"	"Complete proteome; Lyase"	467
C6EBQ2	yjiE ECBD_3704 ECD_04196	yjiE		ECBD_3704 ECD_04196	C6EBQ2_ECOBD		Predicted		Predicted DNA-binding transcriptional regulator (Transcriptional regulator, LysR family)	"GO:0003677; GO:0006355; GO:0003700; GO:0006350"	"Complete proteome; DNA-binding; Transcription; Transcription regulation"	303
C6EAS0	yadL ECBD_3482 ECD_00136	yadL		ECBD_3482 ECD_00136	C6EAS0_ECOBD		Predicted		Fimbrial protein (Predicted fimbrial-like adhesin protein)	"GO:0007155; GO:0009289"	"Complete proteome; Fimbrium; Signal"	200
C6EE25	thiE ECBD_4039 ECD_03870	thiE		ECBD_4039 ECD_03870	C6EE25_ECOBD		Inferred from homology	TMP-PPase family	Thiamine-phosphate pyrophosphorylase (TMP pyrophosphorylase) (TMP-PPase) (EC 2.5.1.3) (Thiamine-phosphate synthase)	"GO:0000287; GO:0009228; GO:0004789"	"Complete proteome; Magnesium; Metal-binding; Thiamine biosynthesis; Transferase"	211
C6ED87	glvG ECBD_0021 ECD_03565	glvG		ECBD_0021 ECD_03565	C6ED87_ECOBD		Predicted		Glycoside hydrolase family 4 (Predicted 6-phospho-beta-glucosidase)	"GO:0005488; GO:0005975; GO:0004553"	"Complete proteome; Hydrolase"	440
C6EDF0	slmA ECBD_0085 ECD_03498	slmA		ECBD_0085 ECD_03498	C6EDF0_ECOBD		Predicted		Nucleoid occlusion protein (Transcriptional regulator, TetR family)	"GO:0003677; GO:0006355; GO:0003700; GO:0016566; GO:0006350"	"Complete proteome; DNA-binding; Transcription; Transcription regulation"	198
C6ELK6	ddlA ECBD_3283 ECD_00328	ddlA		ECBD_3283 ECD_00328	C6ELK6_ECOBD		Inferred from homology		D-alanine/D-alanine ligase (EC 6.3.2.4) (D-alanylalanine synthetase) (EC 6.3.2.4)	"GO:0005524; GO:0008716; GO:0005618; GO:0005737; GO:0009252"	"Complete proteome; Ligase"	364
C6EKZ1	htpG ECBD_3183 ECD_00424	htpG		ECBD_3183 ECD_00424	C6EKZ1_ECOBD	Cytoplasm. 	Inferred from homology	Heat shock protein 90 family	Chaperone protein htpG (Heat shock protein htpG) (High temperature protein G)	"GO:0005524; GO:0005737; GO:0006457; GO:0006950; GO:0051082"	"ATP-binding; Chaperone; Complete proteome; Cytoplasm; Nucleotide-binding; Stress response"	624
C6EGW2	phoQ ECBD_2470 ECD_01127	phoQ		ECBD_2470 ECD_01127	C6EGW2_ECOBD	"Membrane; Multi-pass membrane protein. "	Inferred from homology		Histidine kinase (Sensory histidine kinase in two-compoent regulatory system with PhoP) (EC 2.7.1.-)	"GO:0005524; GO:0016021; GO:0046872; GO:0018106; GO:0000155; GO:0000160"	"ATP-binding; Complete proteome; Kinase; Membrane; Nucleotide-binding; Phosphoprotein; Signal; Transferase; Transmembrane; Two-component regulatory system"	486
C6ECV9	amiB ECBD_3865 ECD_04036	amiB		ECBD_3865 ECD_04036	C6ECV9_ECOBD		Predicted		N-acetylmuramoyl-L-alanine amidase (EC 3.5.1.28) (N-acetylmuramoyl-l-alanine amidase II) (EC 3.5.1.28)	"GO:0008745; GO:0009253"	"Complete proteome; Hydrolase; Signal"	445
C6EDM5	malY ECBD_2023 ECD_01591	malY		ECBD_2023 ECD_01591	C6EDM5_ECOBD		Predicted		Aminotransferase class I and II (Bifunctional beta-cystathionase, PLP-dependent/ regulator of maltose regulon) (EC 2.6.1.-)	"GO:0009058; GO:0030170; GO:0008483"	"Aminotransferase; Complete proteome; Transferase"	390
